[00:00] 歡迎收聽古哀為生夢公文本集節目由如意堂贊助
[19:32] 在之後的大家身體裡面
[19:34] 我們知道說電龍跟電感
[19:36] 可能在後面要用到的數量
[19:38] 都會直線的上升
[19:39] 所以我覺得這幾支特別好
[19:41] 然後就問我另外一支
[19:42] 就是那個其實是
[19:43] 被動員間的一個
[19:45] 像是代理通路上這樣的一個角色
[19:47] 他說這支這個股價非常強勢
[19:49] 就是為什麼你沒有選到這一支
[19:51] 我說感那個就是
[19:52] 大家都知道說他不是真的在做
[19:54] 被動員間
[19:55] 他就是一個通路代理
[19:56] 通路代理有沒有這麼喜歡
[19:57] 就那一支後來就是
[19:58] 所有的所謂的被動的族群裡面
[19:59] 最噴的
[20:00] 但最好笑的是什麼
[20:01] 他其實最後面
[20:02] 根本就不是在噴被動員間
[20:03] 他在噴
[20:04] 他有在代理某個記憶體
[20:06] 就很好笑
[20:07] 就殺小
[20:07] 真的是封回路轉
[20:09] 他跟著被動員間的股票一起表達
[20:11] 因為過往
[20:12] 大家都是把他當成是被動員間
[20:14] 就他之所以拉得很遠的原因是
[20:16] 後來新聞也告訴你
[20:17] 因為他有在代理某個記憶體
[20:18] 因為這個東西很賺錢
[20:20] 所以這就為什麼我們會去進位市場
[20:22] 因為有些東西你當下看
[20:23] 你想說殺小
[20:24] 這是假貨吧
[20:24] 你怎麼不去拉那些
[20:25] 大家真的會受惠的日系
[20:27] 或是台系的龍頭場
[20:29] 既然跑去拉一個通路代理
[20:30] 就因為他有別的故事
[20:32] 所以把這個例子告訴大家
[20:34] 就是說
[20:34] 一些東西大家覺得是
[20:35] 什麼超股票假貨
[20:36] 怎麼的
[20:37] 可能只是你看不夠多
[20:38] 因為一開始覺得他是假貨
[20:40] 然後之後面就就告訴你他的整個
[20:41] 其實每個標股
[20:42] 那種突然間設上去了
[20:43] 很多人都跑出來問這個問題
[20:45] 這個東西是不是噴假的
[20:46] 很多時候只是噴你不知道
[20:47] 你要知道那個是
[20:49] 怎麼講
[20:49] 有一堆錢去把它堆出來的
[20:51] 除非是那種超級鳥鳥股
[20:52] 那很明顯只有一兩個做手把它弄上去
[20:54] 如果是那種很大量
[20:55] 然後一堆外資在咖啡了
[20:56] 就是千萬不要當大家是白死
[20:58] 就是說
[20:59] 什麼某一個族群在拉
[21:00] 你們都在操股票
[21:01] 你們都在惡搞
[21:02] 就算他有一天跌會有點點
[21:03] 又怎麼樣
[21:04] 就像是DDIC
[21:05] 我現在說的老闆也都這樣講
[21:06] 每個老闆都跟你講說
[21:07] 這次不一樣
[21:08] DDIC從下開始不是僅僅喜歡股
[21:10] 那最後面就證明說
[21:11] 哪次不一樣嘛
[21:12] 他還是僅僅喜歡股嘛
[21:13] 可是問題就說
[21:13] 那一破還是很多人發財的嗎
[21:15] 那或者說還運股
[21:16] 很多人發財的嗎
[21:17] 或者說現在記憶體
[21:18] 很多人發財的嗎
[21:19] 你說會不會就是幾年走
[21:20] 因為現在開始有些空方園論出來
[21:22] 其實空方園論講的是沒錯的
[21:23] 就像是那時候可能在去年的時候
[21:25] 不是就很多聽出來我有D4嘛
[21:28] 那時候我說那個型態不好
[21:29] 我不喜歡嘛
[21:30] 那其實那時候我講的一些內容
[21:32] 就是所謂的比較偏空方的言論
[21:34] 到現在都還是試用
[21:35] 就是說你看我們就尊重
[21:36] 因為我們知道說
[21:37] 你現在報價就是好嘛
[21:38] 好你就不要去跟他逆著幹
[21:39] 可是不然說像D4可能是一些
[21:41] 產品要飛燒的一個選項
[21:43] 這個沒有錯
[21:44] 或者說瞎搭都開始要轉D5
[21:46] 這也沒有錯
[21:47] 可是問題就是說
[21:48] 這個東西現在就是全嘛
[21:49] 就是漲價
[21:49] 就是說那個被動元件
[21:51] 他其實就是一個便宜的東西
[21:52] 可是為什麼當時會發生被動元件
[21:54] 質軟
[21:54] 他是有一個結構性的問題存在
[21:56] 所以我給大家建議
[21:57] 就是說你不要專有腳尖
[21:58] 就不要去怎麼樣
[22:00] 就是說我知道這個產品本身他
[22:02] 並不是什麼特別的東西
[22:03] 可是問題就是說
[22:04] 有時候在工序是很的時候
[22:05] 他價格可以跑很兇
[22:07] 那他確實就有面可能變成一個造善
[22:09] 所以他就真的是拍一波
[22:10] 然後造一個刪出來
[22:10] 然後接著可能他會三點
[22:12] 要等十年他會解套
[22:13] 可是問題就是
[22:13] 那至少在上三的時候
[22:15] 有沒有知道這一筆錢
[22:16] 這其實我們以交易的角度
[22:17] 會去考量的
[22:18] 如果說你今天是比較價頭
[22:20] 比較長頭的
[22:20] 但可以避開這種
[22:21] 就是所謂的
[22:22] 因為報價而起的任何東西
[22:24] 也會讓你比較安全一點
[22:25] 但那就是一個路線的選擇
[22:27] 所以拉回到我們剛剛前面所提到
[22:29] 就是那時候
[22:30] 為什麼兩極錢
[22:31] 就我們現在要快速去做一個回顧
[22:33] 為什麼那時候會講說
[22:33] 我去猜一想
[22:34] 大家會去找什麼東西
[22:36] 可以去擊破記憶體牆
[22:38] 什麼東西是可能介於SRAM
[22:41] 或者說HBM之間有空間的東西
[22:43] 大家會去搞它
[22:44] 就是因為我們長期看到
[22:45] 我們知道市場的這樣去做想像
[22:47] 那至少有時候我們還是要去維持一個理智
[22:49] 因為他就說
[22:50] 不知道就
[22:50] 但這個舉例可能不是太好
[22:51] 可能是有點壞
[22:52] 可是我們看到的電影
[22:53] 那種大獨小
[22:53] 他自己可能不一定會講到嗎
[22:55] 他在那邊賣獨
[22:55] 給他不會自己吃
[22:56] 他來跟他小孩說
[22:57] 你吃我
[22:58] 他們就打斷你的腿
[22:59] 所以他腦袋是很清楚的
[23:00] 他知道說這個東西
[23:01] 就是一個生意
[23:02] 或是一個遊戲
[23:03] 我覺得我們就要維持
[23:04] 這樣的一個狀態
[23:04] 要不然當獨小
[23:05] 之後說那個概念
[23:06] 可以稍微的哪一用
[23:07] 就是你知道說市場的這樣去想像
[23:09] 所以你下一步該怎麼做
[23:11] 那首先我覺得
[23:12] 還是要比較清楚的就是
[23:13] 不然說我在連書貼文寫的
[23:14] 那個書都SRAM
[23:15] 其實他就是DURAN
[23:16] 幫你量級前跟大家講
[23:17] 那個是ETC
[23:18] 他其實是DURAN
[23:19] 所以如果說大家一直跟你講
[23:21] 這個是SRAM的話
[23:22] 代表他們搞錯了
[23:23] 可是搞錯
[23:23] 不代表不能長
[23:24] 還是可能先噴
[23:25] 那只是呢
[23:26] 可能更進一步去 diggin的話
[23:27] 因為開始有很多人出來寫這個東西
[23:29] 說我順便再拿出來跟大家呼吸
[23:31] 他其實最主要的
[23:32] 我認為
[23:33] 就是這兩支
[23:33] 你要去講說
[23:34] 他是在噴什麼PLSRAM
[23:35] 那種東西
[23:36] 我覺得不是
[23:37] 我覺得是在噴他們
[23:38] 跟兩個產品
[23:39] 一個VHM
[23:39] 一個Q本
[23:40] 因為這兩個東西
[23:40] 嚴格上來說
[23:42] 他可以當成是CPU catch
[23:43] 去做使用
[23:44] 也就是大家講的
[23:45] 所以的FineSRAM
[23:46] SRAM-like的一個概念股
[23:49] 那實際上
[23:49] 他也是有一些細節要去注意
[23:51] 因為我們今天討論的GRAC
[23:53] 或是說他使用的SRAM
[23:54] 或是之後假設不知道
[23:55] 就已經VDR去拿他的授權
[23:57] 拿他的團隊之後
[23:58] 他真的也去搞什麼
[23:59] WaveFive的堆疊
[24:00] 然後去搞大量的SRAM什麼的
[24:02] 這個東西我們講的都是說
[24:03] 在DR Center的一個應用裡面
[24:05] 那如果說我們今天在講
[24:07] 華邦電
[24:07] 或是在講說艾普的這種
[24:09] SRAM-like的一個手錄選
[24:11] VHM是Q本的話
[24:12] 他其實是比較偏向是在H device
[24:14] 就是在中端的東西裡面
[24:16] 那他可不可以
[24:17] 坐進去DR Center裡面
[24:19] 以我們目前
[24:20] 當然這就不方便跟大家投了
[24:21] 因為我們其實知道
[24:22] 他們有哪一些客戶
[24:24] 那個都確實是H device
[24:25] 我覺得他不在DR Center裡面
[24:27] 但我這樣講
[24:28] 感覺是某種程度的偏
[24:30] 比較負面或是空方的言論
[24:32] 一樣我們要去
[24:33] 針對標地做太多的這個價格的一個論述
[24:35] 我們是針對說這個題材
[24:36] 怎麼去做判斷的一個討論
[24:38] 那聽起來像是說
[24:40] 我的意思是在跟你說
[24:41] Rock這個東西是DR Center
[24:43] 那台灣在噴的這兩支
[24:45] 其實不是DR Center
[24:46] 它是比較偏向H device
[24:48] 聽起來我好像是偏
[24:49] Negative
[24:50] 我比較負面的一個講
[24:50] 但我有跟你講
[24:51] 有時候真的就是Surprise Modifier
[24:53] 會不會今年就是Age端的爆發之時
[24:55] 會不會今年不知道
[24:57] 突然間Apple還是Samson
[24:59] 還是誰告訴你說
[25:00] 我們去採用了
[25:01] 這種S-RAM-like的某種技術
[25:03] 然後我們把這些記憶體
[25:04] 放在H device裡面
[25:06] 我們非常有效的去降低
[25:08] 可能對於DR Center
[25:09] 或是對於這個網速的一個需求
[25:11] 那就是可能
[25:12] 那時候大家的講AI PC講的東西
[25:13] 就是AI PC那一破沒有起來
[25:16] 因為AI PC那一破
[25:16] 就大家也是在講說
[25:17] 我們要把記憶體放在中段
[25:19] 然後去降低對雲端的一個需求
[25:21] 只那一破沒有起來
[25:22] 可是這個就一樣要講谷一下
[25:24] 就是我們那時候跟大家聊到一個
[25:25] 也是我常年的一個經驗
[25:28] 也不敢說多長
[25:29] 相對可能蠻多人是長年
[25:31] 因為我們那時候每年都會做一支股票
[25:33] 叫圓派
[25:34] 我覺得差不多
[25:35] 我記得好像快十年前
[25:36] 反正就是每年
[25:37] 大家都會去搞那支股票
[25:39] 那為什麼會去搞那支股票
[25:40] 因為那時候就會講說電子指
[25:41] 怎麼樣 電子指怎麼樣
[25:42] 然後後面就是每年都放槍
[25:44] 就是根本就沒有出來
[25:45] 可是後來電子指就大爆發
[25:47] 那時候很多人去使用閱讀器
[25:48] 或是現在的智慧標籤
[25:50] 其實他們都同一個類股
[25:51] 那後來就大爆發了
[25:52] 那只是說
[25:53] 前面幾年你被騙到的
[25:55] 你就講說乾脆就炸騙
[25:56] 這個門就是騙人的東西
[25:57] 可是後來真的他出來的時候
[26:00] 你看你就是沒有把握到
[26:01] 像我自己就是沒有把握到
[26:02] 所以後來我都會去避免這樣的東西
[26:04] 就是我你因為每年都被騙
[26:05] 只是我不要受重傷
[26:06] 我知道你可能會騙人
[26:07] 所以你再讓我差不多到錢高的時候
[26:10] 我就先調節一點
[26:11] 我不會傻傻的
[26:12] 在那邊媽抱過一座山
[26:13] 那是講
[26:14] 可是我還是會去做嘗試
[26:15] 那像EIPC
[26:16] 或者說所謂的H Computing
[26:18] 然後在去年
[26:19] 騙過大家
[26:19] 前年騙過大家
[26:21] 會不會今年就突然間沉沉沉
[26:22] 然後這些東西噴起來
[26:23] 你現在要講說
[26:24] 炸騙幾條什麼
[26:25] 就後來他們就變疹果
[26:26] 這其實是有可能的
[26:27] 當然有可能
[26:28] 他在今年就一樣是炸騙集團
[26:30] 可是他在明年
[26:31] 他就突然間就變疹果
[26:32] 所以很難講
[26:33] 所以這就為什麼我們不會去
[26:34] 針對市場的一些題材
[26:36] 然後去做太多空放的論述
[26:38] 因為其實沒有什麼太大意
[26:39] 因為除非你是靠空東西賺錢
[26:42] 但是老師跟大家講
[26:43] 空東西要賺錢是比較難的
[26:44] 因為你最多就怎麼樣
[26:45] 就100%
[26:46] 你一個東西空到他媽嚇死
[26:48] 你還要去找人家補
[26:49] 那個不是說
[26:50] 你快嚇死你是沒有辦法
[26:51] 在交易所這邊去做回補
[26:52] 你知道去找人家
[26:53] 然後拿他的實際股票來回補
[26:55] 所以你這樣子也就100%而已
[26:57] 但是如果說你多方壓對東西的話
[26:59] 像我自己最近就是有買到一個
[27:02] 反正就是比較小型的
[27:03] TSM相關的設備的東西
[27:05] 那個才每幾天就突然間100%
[27:07] 雖然壓得不多
[27:08] 可是你看這種東西
[27:09] 它是有可能會數倍以上的
[27:10] 所以當然多方賺錢是比較容易了
[27:12] 那既然是這樣走的話
[27:14] 那我個人還是會比較認真去面對每一個題材
[27:16] 今天這些題材可能在過去
[27:18] 曾經商過我們
[27:19] 曾經騙過我們
[27:20] 像其實這一波記憶體
[27:21] 很多沒有達到車的人是吧
[27:23] 他們其實是當時最相信記憶體的人
[27:25] 因為他在去年
[27:26] 或是前年他太早進去了
[27:28] 然後那時候大家應該知道吧
[27:29] 那個南亞科什麼驚豪科
[27:30] 什麼的全部是他媽殺到你媽都不認得
[27:33] 那結果那一年是證明是假貨
[27:35] 因為根本就還沒有真的缺貨
[27:37] 或者說讓工序適恨的狀態產生
[27:39] 但其實後面就出現了
[27:41] 他只是晚了一年而已
[27:42] 那很多人因為這樣子一招被捨搖
[27:44] 就沒有達到
[27:45] 那這其實我也是我過去的一些痛勞
[27:47] 就是像包含像
[27:48] 涵蓋王事件
[27:49] 為什麼我沒有去買這個貨櫃輪
[27:51] 就是因為你在過去就知道說
[27:52] 貨櫃輪就是那個鳥樣
[27:54] 你要吵你就是要吵散裝
[27:55] 你去吵貨櫃是沒有用的
[27:57] 可是突然間的一個怎麼樣
[28:00] 可能是地緣證刺
[28:01] 或是可能是圈球的Pandemic Z
[28:04] 它產生了一個變化
[28:05] 然後就當然很大的報酬
[28:07] 那當然
[28:08] 你可以選擇你都不要去做這類東西
[28:10] 你就可以講說
[28:10] 每個東西可能都是不好的
[28:11] 或是他們要騙你
[28:12] 他們要怎麼樣
[28:13] 但在我的論子是
[28:15] 反正都一樣是要來賺錢
[28:16] 那個地方有可能有報酬
[28:18] 我們回去試看看
[28:18] 那我太腰的
[28:20] 太假的
[28:21] 我們沒有辦法問到任何資訊
[28:22] 或是說它完全不對外去做法術的
[28:24] 我們可能就會稍微的逼改
[28:26] 所以簡單的跟大家分享
[28:28] 就是最近的一些市場上的一些想法
[28:30] 因為其實真的是
[28:31] 當成是某種案例研討
[28:32] 因為在兩極前的時候是跟大家講說
[28:34] 我猜大家會這樣想
[28:35] 那猜中了
[28:36] 做完就說
[28:37] 那你現在後面該怎麼做
[28:38] 後面就兩條路線
[28:39] 一個就是說
[28:40] 你就持續相信它是真的
[28:41] 就可以留在上面
[28:42] 另外一個就是說
[28:42] 反正就說形態跟
[28:44] 居然說今天假設有一些什麼跌破
[28:46] 出爆大量或什麼的人
[28:47] 就把當成說
[28:48] OK 那可能今年還沒有發酵
[28:49] 可是不代表它在名後
[28:51] 也不會因為這個東西
[28:52] 再去做發酵
[28:53] 所以這個稍微跟大家分享一下
[28:55] 自己的一些小小的經驗
[28:56] 好 那接下來我們今天
[28:57] CREATE部分
[28:57] 地位人生的擴充包
[28:59] 暖暖的講話中
[29:00] 可能的來大
[29:00] 先謝謝來大聲音
[29:02] 跟觀點陪伴我多年塞車的時段
[29:04] 這年代講人話的不多了
[29:06] 人話形亂話形
[29:07] 幹話形
[29:07] 噴韌也很形超強
[29:08] 很難不去聽
[29:10] 那強壞到對於連擁後續的看法
[29:11] 跌到沒人要了
[29:12] 一滴好
[29:12] 更滴滴
[29:13] 那最後拽大
[29:14] 能夠隨心所欲得做自己
[29:16] 買什麼長什麼
[29:17] 就是身來做股票的
[29:19] 掛好無物
[29:19] 那繼續陪大家
[29:20] 歡樂的時光
[29:21] 大家新年快樂
[29:22] 出這位兄弟新年快樂
[29:23] 非常感謝你的支持
[29:25] 那在他講到連擁
[29:26] 連擁
[29:26] 我們剛剛前面有講到
[29:28] DDI之亂
[29:28] 那時候就有發揮
[29:29] 他跟敦臺
[29:31] 那他到底什麼時候
[29:32] 會有新的故事跟題材呢
[29:33] 其實連擁的話
[29:35] 在前陣子有人在講說
[29:36] 他要做什麼AI卻
[29:37] 朋友要去做N3
[29:38] 那時候就算是
[29:39] 被我們身邊的一些
[29:41] 產業跟工業人士
[29:42] 直接去否決掉
[29:43] 因為接下來講就是說
[29:44] 你要去開N3
[29:45] 或是說N2的案子
[29:46] 那是很貴的
[29:47] 所以應該不會有任何的公司
[29:49] 會願意來拿你去適當
[29:51] 所以不會說什麼一開始
[29:52] 因為那時候市場在傳說什麼
[29:53] 他一個案子有多少錢
[29:55] 就不可能一開始會
[29:55] 給你這麼大的案子
[29:56] 就沒有什麼經驗
[29:57] 所以他確實在
[29:58] 目前的這種AI的環境裡面
[30:00] 有感覺說是稍微的落對了
[30:03] 那我覺得他可能要等到
[30:05] 整個消費性都比較好一點
[30:06] 之後才會起來
[30:07] 但也不一定
[30:08] 有時候市場就會先動
[30:10] 那他在我心目中
[30:11] 我會把他跟那種
[30:12] 像5269
[30:13] 享受放在一起
[30:14] 就說可能看消費性
[30:15] 怎麼走好
[30:15] 他們就有機會
[30:16] 那享受最近也有
[30:17] 市值要進攻
[30:18] 這多少錢就這樣
[30:18] 就是市值要進攻
[30:19] 然後打不上去
[30:20] 又再具備往下打
[30:21] 那我覺得是因為現在市場
[30:23] 真的也跟上來說
[30:24] 它是一種K型經濟
[30:25] 就是有AI的
[30:26] 就是K的那只是像上的角
[30:28] 那你沒有AI的
[30:29] 或是AI的
[30:30] Exporture是比較少的
[30:32] 你就是K的像下的那個角
[30:33] 那看什麼時候會去做反轉
[30:35] 那我覺得特別是在
[30:37] 今年我們知道
[30:38] 都集體的漲價
[30:39] 又影響到很多的消費性
[30:41] 難說
[30:41] 真的非常難說
[30:42] 因為像有些手機
[30:43] 我們知道的狀況
[30:44] 當然這不方便講是哪些廠商
[30:46] 只是說
[30:47] 它已經接受了
[30:48] 它的Supplier
[30:50] 就記憶器廠商要漲它的那個價格
[30:51] 而且那個價格是非常恐怖的
[30:53] 那你覺得它可能會全吃
[30:54] 然後犧牲自己的毛利嗎
[30:55] 它應該會吃一點
[30:56] 可是有蠻多會轉價給消費者
[30:58] 所以一些手機的銷量
[30:59] 趕快會再受到一些影響
[31:01] 難說
[31:01] 就消費性到底什麼時候會起來
[31:03] 真的沒有人知道
[31:04] 已經是好幾年
[31:05] 像那種放養到孩子
[31:06] 因為說會起來
[31:06] 那就都沒有起來
[31:07] 但搞不好真的就是在
[31:08] 大家都不相信
[31:09] 的時候就今年
[31:09] 然後就意外的
[31:11] Supplier的發覺就起來
[31:12] 但是這個
[31:12] 我覺得可以看那個線圖去做判斷
[31:14] 就稍微看一下市場的
[31:16] 怎麼樣
[31:17] 就有時候注意到那個抵開的打出來
[31:19] 它沒有再去破底
[31:20] 甚至是開始往上
[31:21] 去去把一些頸線給打回來的話
[31:23] 有可能就是有一些狀況出來
[31:24] 所以這種時候
[31:25] 我反而覺得說只要看線
[31:26] 我真的覺得只要看線
[31:27] 就是你去做一些
[31:28] 讓房的Mental的分析
[31:30] 在這個案例上
[31:32] 幫助是不會太大
[31:33] 然後稍微跟你分享一下
[31:33] 下面因為
[31:34] 馬吉就媽媽叫玉頭
[31:36] 人生第一次寫評論
[31:37] 愛大信念快樂
[31:37] 我現在自己的超級信徒
[31:38] 總是一邊工作一邊聽你的Parkets
[31:40] 每集都好幾抓
[31:41] 他的英文很爛
[31:42] 所以常常請我幫他聽
[31:44] 看看你念的英文單字是什麼
[31:46] 因為出生的生日希望
[31:47] 可以請你祝福
[31:48] 正在開車或是工作
[31:49] 或是在洗澡的小鍋
[31:51] 生日快樂
[31:52] 小鍋生日快樂
[31:53] 非常感謝你的支持
[31:54] 說出白大一家大小平安
[31:55] 這個很開心每一條
[31:56] 非常感謝玉頭
[31:58] 下面因為好愛寶爆到
[32:00] 夢宮四個種族
[32:01] 愛大
[32:02] 我跟老公都是你的忠實聽眾
[32:04] 周董黑白大廚的
[32:06] 料理怪物
[32:07] 日本的情積博都跟你很像
[32:09] 難道你是夢宮族的球長嗎
[32:11] 祝福夢宮一家
[32:12] 包含觀音短
[32:13] 2026線快樂
[32:14] 我們也祝好愛寶爆到
[32:16] 新年快樂
[32:17] 希望你跟老公都可以平安
[32:18] 前面的狗狗天下講過
[32:20] 但是日本的情積博都怎麼不知道
[32:21] 大家可以查一下
[32:22] 最近是很多人貼一個熊族
[32:25] 來一個夾夾去泡溫泉
[32:26] 跟猴子一起泡溫泉
[32:27] 超多人貼這個給我
[32:28] 然後說那個是我
[32:29] 下面因為
[32:30] Rave UY
[32:32] 台南留言測試
[32:33] 終於在去年成為二寶霸
[32:35] 謝謝優質的節目
[32:36] 希望來到可以做兩個兒子
[32:38] 大兒子又有1月10號
[32:39] 生日快樂小兒子
[32:40] GD12月24號
[32:42] 生日快樂GD
[32:44] 該不會是GJ跟狂粉吧
[32:46] 跟猴子講
[32:46] 我一直超級喜歡GJ
[32:48] 那我們祝這個兩位寶貝
[32:49] 生日快樂
[32:49] 下面因為
[32:51] 鐵達阿尼號
[32:52] 聖利諾男神夢宮
[32:54] 阿尼號小弟前水中年
[32:55] 第一次浮上水流
[32:56] 也女友最近工作
[32:57] 補順又碰上的車禍
[32:59] 所以特地來謝夢宮
[33:00] 這裡幫他改革運
[33:02] 因為要是他生日鄉
[33:03] 請阿尼達尼姆馬
[33:04] 飾敵
[33:04] 瓜好太特拉老闆
[33:06] 太特拉老闆
[33:07] 神藥同學
[33:08] 就是
[33:10] 不像
[33:11] 祝他狗狗包
[33:13] 生日快樂
[33:14] 不管今後遇到什麼事情
[33:16] 不要怕我都在
[33:17] 有個
[33:18] 感謝大家一路以來的
[33:19] 陪伴祝您一家人
[33:20] 平安快樂愛你
[33:21] 會愛你
[33:22] 下面為新生活人類
[33:23] 新年學院臺夢宮
[33:24] 感謝您一週兩節
[33:25] 又是節目
[33:26] 陪我通勤的塞車時光
[33:27] 那2005年快過了
[33:28] 好消息
[33:29] 今年我離婚
[33:30] 爛男人了
[33:31] 自己帶兩個孩子
[33:32] 雖然辛苦
[33:33] 但心靈自由無價
[33:34] 但最近
[33:35] 至今得了罕見的癌症
[33:36] 我也心疼
[33:37] 那幸好都是可以處理的
[33:38] 請幫我祝福
[33:39] 您的中時聽眾
[33:40] 我的弟弟土肺
[33:41] 1月6號
[33:42] 生日快樂
[33:43] 股票機效費高高
[33:44] 也祝福您全家
[33:45] 平安大家身體健康最重要
[33:48] 好
[33:49] 我們恭喜這位新生活人類
[33:51] 要結束了一個
[33:52] 自己不滿意的感情
[33:53] 那其實在我的角度看
[33:54] 這是一件好事情
[33:55] 就是
[33:56] 蠻多人會堅持說
[33:57] 什麼一個家庭
[33:58] 就一定要把媽媽
[33:59] 我老子講
[34:00] 有把媽媽媽媽當然是
[34:01] 大家都會比較輕鬆
[34:02] 也會所謂的
[34:03] 比較傳統意義上的完整
[34:04] 但如果你今天
[34:05] 是已經開始有很多的糾紛
[34:06] 你每天在家
[34:07] 就是媽互吵的話
[34:08] 那我覺得
[34:09] 你們乾脆離離是更好
[34:10] 因為那個對小朋友
[34:11] 都有影響
[34:12] 小朋友都看在眼裡
[34:13] 所以非常感謝
[34:14] 或說非常讚嘆
[34:15] 這位媽媽
[34:16] 做了一個勇敢的決定
[34:17] 那希望你在之後的
[34:18] 預而之路
[34:19] 都一切順利
[34:20] 有下面因為
[34:21] 我最愛發鬥
[34:22] 但我養米克斯
[34:23] 推薦動漫地下人者
[34:25] 那感謝孟宏大持續
[34:26] 錄製節目
[34:27] 奉上五星好評
[34:28] 讓我在2025
[34:29] 你的最後一天
[34:30] 六狗的時候
[34:31] 有你的聲音陪伴
[34:32] 讓我想到2018
[34:33] 所以在西語中
[34:34] 聽著剛才的Roses
[34:35] 現場唱
[34:36] Vamber Rain
[34:37] 真的可以這麼幸福嗎
[34:38] 那諸孟宏大
[34:39] 以及說的
[34:40] 聽有明年都不會
[34:41] 遇到沉默循環
[34:42] 及身體健康
[34:43] 那個第一個
[34:44] 許願
[34:45] 應該就是很難實現
[34:46] 就是每年其實
[34:47] 都會有一些
[34:48] 讓沉默循環成
[34:49] 那我這邊稍微講
[34:50] 因為現在聽眾可能不知道
[34:51] 甚至說
[34:52] 其實在現在
[34:53] 已經比較少感受到
[34:54] 那種沉默循環了
[34:55] 因為就是一個大多頭
[34:56] 所以當東西
[34:57] 掉下去
[34:58] 可能稍微的成績
[34:59] 下又上來
[35:00] 那2002是開始會
[35:01] 就要做你
[35:02] 越來越少
[35:03] 大家開始不講話了
[35:04] 甚至到全組自己都消失了
[35:06] 那個就是真的就大家都
[35:07] 被這個市場
[35:08] 給虐到
[35:09] 或者說直接放棄
[35:10] 甚至是畢業了
[35:11] 那現在這個
[35:12] 狀況是比較少
[35:13] 但確實在
[35:14] 未來的某一天搞不好
[35:15] 是一年搞不好
[35:16] 是兩年三年
[35:17] 我們還是會遇到這樣的東西
[35:18] 所以大家都還是要做
[35:19] 新準備
[35:20] 希望大家都順利
[35:21] 那非常感謝這位朋友的支持
[35:23] 我沒有出他身體健康
[35:24] 那這個有點像是
[35:25] 包含太高了
[35:26] 就說
[35:27] 既然說
[35:28] 這跟在
[35:29] 剛才Roses
[35:30] 現場聽到
[35:31] 這個對我來說
[35:32] 是非常抬劇的事情
[35:33] 那非常感謝你的支持
[35:34] 我下面有一位
[35:35] 可愛水滴與梅勒蒂泄
[35:37] 選我選我
[35:38] 您好
[35:39] 其實你不只是子男巧悟
[35:40] 也是子女巧悟
[35:41] 每當我想
[35:42] 皺男友的時候
[35:43] 冷靜下來
[35:44] 想想夢工好像
[35:45] 也會做類似的事情
[35:46] 就覺得沒這麼生氣了
[35:47] 聽您的節目
[35:48] 不只能夠增加股市的知識
[35:49] 還可以促進良心的交流
[35:50] 絕對是在五星推爆
[35:51] 那這邊想要請您開進口
[35:53] 住原蛋寶寶的男友Will
[35:55] Hapy Balls
[35:56] 爹
[35:57] 新工作趕快上手
[35:58] 睡飽了一點
[35:59] 老了
[36:00] 在身邊支持你的優
[36:01] PS超希望
[36:02] 有一點可以在路上遇到一大堂
[36:03] 也希望遇到你們
[36:04] 那住男友Will
[36:06] 身邊快樂
[36:07] 下面因為
[36:08] 在棉被放屁有點香香的
[36:09] 愛大你好
[36:10] 過去的節目我提到
[36:11] 通常在文某些關鍵的位置
[36:13] 掛好屁如頸線
[36:14] 後會用一張資金打進去
[36:16] 那如果是用
[36:17] 頸線來舉例
[36:18] 綠K顯示
[36:19] 可能頸線畫出之後
[36:21] 時間在拉更長一點
[36:22] 就不頸線了
[36:23] 掛好不同的時間
[36:24] 線的曲線圖不同
[36:26] 那一方面請教
[36:27] 關鍵位置的設定
[36:28] 愛大具體是選擇打線
[36:29] 除了頸線
[36:30] 記線還有什麼
[36:31] 想知道愛大最常用的時間區段
[36:33] 是什麼設定以及
[36:34] 為什麼這樣設定
[36:35] 掛好屁如三年內的高點
[36:37] 200但拉到5年
[36:38] 就是250這樣
[36:39] 要用三年還是5年畫線
[36:40] 掛好個人知道
[36:41] 沒有正確的答案
[36:42] 單純想學習
[36:43] 高手怎麼使用這項工具
[36:44] 越詳細越好
[36:45] 愛你
[36:46] 非常感謝這位兄弟的支持
[36:47] 那樣
[36:48] 就是我不會把自己當高手
[36:49] 或是來教大家的
[36:50] 我比較把自己當成是
[36:51] 就是各位的一種朋友
[36:53] 或是夥伴
[36:54] 跟你分享我自己的一些想法
[36:55] 那他這個問題
[36:56] 就你就知道說
[36:57] 已經是脫離新手存
[36:58] 他就會去問這種
[36:59] 就是相對境界的問題
[37:00] 確實如果你接種
[37:01] 日線格局
[37:02] 跟周線格局
[37:03] 跟月線格局
[37:04] 去看一次標題
[37:05] 你會獲得
[37:06] 吉蘭不同的一個想法
[37:07] 一檔在日線
[37:08] 你覺得是他媽垃圾的標題
[37:09] 每次上去
[37:10] 然後可能就又再被打下來
[37:11] 或什麼的
[37:12] 可是你接種月線看
[37:13] 他可能是一個
[37:14] 偷偷的多頭排列的股票
[37:15] 他只是日線
[37:16] 他沒有辦法
[37:17] 變標股而已
[37:18] 那所以有一個
[37:19] 比較經典的說法這樣
[37:20] 你可以用月線
[37:21] 當成是趨勢
[37:22] 用日線
