[00:00] 歡迎收聽古い為聖母公本季節目由諾尼VPN贊助
[18:58] 然後幾乎所有可以調動的錢
[19:01] 所有可以搬出來的各種
[19:03] 融資或質壓
[19:03] 怎麼都拿出來烤
[19:04] 然後直到我就開始發現說
[19:06] 不算被套的機率持續上升之後
[19:08] 那就把它縮回去
[19:09] 但這個算是有守住了
[19:11] 那我覺得這個部位有可能
[19:12] 就還是維持一樣的看法
[19:14] 就是因為其實在今年都還是可以做
[19:16] 買都做得好好的
[19:17] 所以在明年就還是會持續這樣子
[19:19] 那只是在小鬼谷這邊
[19:20] 我去做了蠻多的調整
[19:22] 就是逛了小鬼谷
[19:23] 我鎖定的對象是那些
[19:24] 適時大概是低於差不多50到71之間的
[19:28] 台灣小公司
[19:30] 那我進去之後
[19:31] 我的一個做法就是買金幣持勇
[19:33] 我至少就像是當了美谷這樣的做
[19:35] 那我在台谷是比較少像美谷這樣做
[19:36] 因為比較多題材的成分
[19:38] 所以今天可能一進去
[19:39] 發現說打輸了就走
[19:40] 就換下一個
[19:41] 這也不會整天在那邊靠北說什麼
[19:43] 哪個都會被套
[19:44] 然後一直念一整念
[19:45] 就是我發現說我自己身邊
[19:46] 又有一些人會這樣整天在明年
[19:49] 就好像怎樣子家裡出事是不是
[19:51] 你就拜託媽的Bianman好不好
[19:52] 你現在那個東西你被套到
[19:54] 你就處理掉就好了
[19:55] 你不舒服就處理掉就好了
[19:56] 就這麼簡單
[19:57] 只是就是不知道
[19:58] 很多人沒有辦法做到這件事情
[20:00] 那我是刻意就是去拉一個部位
[20:02] 我想要去做像美谷這樣
[20:04] 因為美谷很多時候
[20:04] 真的會有那種奇蹟一般的報酬率出現
[20:06] 幾百%上千%都有看過
[20:09] 那自己都沒有想過說
[20:11] 這個東西可以這樣子長
[20:12] 在當下的時候看不出來
[20:13] 那只是因為也就是美谷的東西
[20:14] 你比較懶得去動
[20:14] 因為發現說短線你去那邊抽叉
[20:16] 很多時候會被上課
[20:17] 你這個地方你看
[20:18] 像台谷會覺得說
[20:20] 這是跌破除掉
[20:20] 你跌破除掉
[20:21] 然後隔天直接把局勢大盆
[20:23] 美谷一天給你噴到30%都有
[20:25] 所以你就會知道說
[20:26] 就像這樣子的一些機會會放掉過之後
[20:28] 你就知道你不要一直去做這種短線的抽叉
[20:31] 所以因為這樣子
[20:32] 可能意外吃到一些大魚
[20:33] 那當然出現一些比較大的虧損
[20:35] 也是在美谷
[20:35] 所以都符貨相依
[20:37] 你會有那種看起來很誇張的報酬率
[20:39] 可是你會有那種套到身處無怨
[20:41] 有什麼負50%
[20:42] 負60%的東西出現
[20:43] 我就都會有
[20:44] 但我還蠻喜歡這樣的一個模式
[20:46] 我覺得整體來看
[20:47] 它其實賺錢的方式是很簡單的
[20:49] 就是跟台谷這種
[20:50] 又要去拼消息
[20:52] 又要去問東西
[20:53] 要去對數字
[20:54] 要去看現息
[20:55] 然後擔心說車不會太重
[20:57] 什麼這台車
[20:58] 你知道我都大家都會互相問說
[20:59] 你們那邊有沒有上車
[21:00] 大家都上車
[21:01] 然後之後就偷偷趕快下車
[21:02] 運翻說
[21:02] 你們都上車誰要買
[21:04] 所以就沒有這麼多玩心機的東西
[21:07] 所以在台谷這裡
[21:09] 我算是
[21:10] 對自己來講
[21:11] 蠻大的一個操作
[21:12] 我就搞這些小規固
[21:13] 我們講這個大膽其實是比較偏向說
[21:15] 我就之前
[21:16] 因為我真的會刻意挑
[21:17] 那些特別小的東西
[21:18] 因為我就去想像說
[21:19] 很小的東西
[21:20] 有機會去打出一個
[21:22] 非常大的一個報酬
[21:23] 就是說它可能會長大
[21:24] 然後變得很大隻
[21:26] 可是我沒有突然間意識到一件事情
[21:27] 其實也是因為說
[21:28] 自己有做台美股雙旗
[21:30] 所以它會變成說
[21:31] 你知道有些想法比較同頭
[21:32] 我就想說
[21:33] 其實在台灣
[21:33] 這些我們看起來還蠻大的公司
[21:35] 就算中大型
[21:36] 在美股都還是小的科等級的小東西
[21:39] 所以為什麼我要去
[21:41] 把這個目標放在那些
[21:42] 真的是幾小耐米等級的東西
[21:44] 那台股算是小規股
[21:46] 可是這個放在美股
[21:47] 可能就是讓耐米等級
[21:48] 拼續的那種小樂色之類的
[21:49] 所以開始去理解到這個
[21:52] 圍度上的一個差距之後
[21:53] 就覺得說
[21:54] 台股的一些東西
[21:55] 如果真的覺得它不錯的話
[21:57] 那可能像一些
[21:58] 這種新貴的股票
[21:59] 一跑去記錄
[21:59] 買了一些什麼AOI的股票
[22:01] Test Handler
[22:02] 反正全部都是那個
[22:03] 七開頭的股票
[22:04] 反正說七開頭的股票
[22:05] 有很多好料的東西
[22:07] 那所以呢
[22:08] 這些東西也都全部都
[22:09] 把8000給放進去
[22:11] 那也把他當小規股去操作
[22:13] 雖然他的市值呢
[22:14] 可能是相對大
[22:15] 8億甚至過千億以上的
[22:17] 那可是對我來講
[22:18] 就是我去把那個
[22:19] 限制器給拔掉
[22:20] 就本來會覺得說
[22:21] 都只要買那種最小的
[22:22] 當下覺得說
[22:23] 反正只要是那一些
[22:25] 相對沒有這麼擁擠的地方
[22:27] 那未來的ROMAD
[22:28] 北京算是很清楚
[22:29] 各環節我都已經打力好
[22:31] 那我覺得願意把錢
[22:32] 趴進去
[22:33] 然後當小規股去操作
[22:34] 也就是說不會有太多秘籍的進廚
[22:36] 除非說
[22:37] 當時買進的理由徹底的改變
[22:39] 好像之前砍掉了幾支小規股
[22:41] 有一個是
[22:42] 本來他是做散熱相關的題材
[22:44] 那那時候是在講說
[22:45] 反正有機會會弄那個
[22:46] Emergent Cooling
[22:47] 那之後沒有我們都知道說
[22:49] Emergent Cooling下就是死掉了
[22:50] 所以因為你買進的理由不見了
[22:52] 所以就把它除掉
[22:53] 那再來有一個消費的
[22:55] 線數相關的公司
[22:57] 然後消費晶片相關的公司
[22:59] 那個的問題就是在於說
[23:00] 其實之後沒有我們是
[23:01] 一直沒有看到消費性復俗
[23:02] 然後最後面他其實噴上去的主因
[23:04] 根本就不是消費相關的東西
[23:06] 而是說他整個集團都在做動
[23:09] 然後每次到說那個整個集團
[23:10] 也不要講他超股票
[23:11] 反正說人家就在搞嗎
[23:13] 人家在那邊AI大事實
[23:14] 所以他跟你的想法其實是相反的
[23:18] 那其實你也知道說
[23:19] 還有你們有把它弄上去
[23:20] 我再給丟給你們
[23:21] 不然我還真的不知道要什麼時候丟
[23:23] 因為其實這個消費復俗
[23:24] 也沒有看到
[23:25] 所以呢
[23:26] 都算是有順利的廚場
[23:27] 那當然也是有一些這個消費國族
[23:30] 像今年就有去買那個
[23:32] Nexperia的一個轉單的社會者
[23:35] 那其實這個我們目前看的話
[23:36] 還是非常的明確
[23:37] 就是知道說Nexperia
[23:39] 那時候就是有很多人
[23:39] 一直在喘新聞嘛
[23:40] 什麼又合好了又怎麼樣
[23:42] 你看隔了這麼久是發現說
[23:43] 真的超多人在放假新聞的
[23:45] 反正轉單就是確實有發生
[23:47] 就是真的有東西出來
[23:48] 他只是說他可能不會這麼快看到
[23:50] 像這個人就有一些被套到
[23:52] 反正就是說
[23:52] 當然我們的每個部位
[23:53] 不管是動的
[23:54] 或是小規模
[23:55] 他是不可能全聖
[23:56] 所以其實也不要去想追求說
[23:58] 全聖或什麼
[23:59] 所以看到一些論壇會討論
[24:01] 我就想說什麼
[24:01] 我講的時候某個東西被套到
[24:03] 其實我覺得會講這種話都
[24:05] 就快樂寶貝
[24:06] 差點有講不好聽的話
[24:07] 反正就快樂寶貝
[24:08] 就這麼可能有東西不會被套到
[24:09] 你有東西不會被套到的話
[24:10] 你是神仙吧
[24:11] 那你來叫我做股票了
[24:13] 我就是一定有些東西
[24:14] 會不是按照你的預期
[24:15] 那只是看出要怎麼樣去處理
[24:17] 這個時候是你要再加碼
[24:19] 要把這個成本給貪品
[24:20] 還是說其實這個地方是要認輸
[24:22] 這個就是一個No號之所在
[24:24] 所以其實你去無腦更加單
[24:26] 很困難的語言覺得這邊
[24:27] 因為你不知道人家遇到
[24:28] 一個事件會怎麼樣判斷
[24:30] 這個真的是很難去跟大家說分明
[24:32] 所以我大概說其實最好的一個
[24:34] 操作能或是說學習的方式是
[24:36] 但幫我們自己也都還在學習
[24:38] 我們看到人家有好的東西
[24:39] 我們去學
[24:40] 然後接著呢
[24:40] 我們去觀察人家怎麼樣去做應對
[24:42] 然後自己要花多一點時間
[24:44] 就是站在旁邊看
[24:46] 那看時候之後
[24:47] 可能再下去做會比較保守一點
[24:48] 會比較保險一點
[24:49] 就算你今天是跟巴菲特的
[24:50] 但其實是一樣的道理
[24:51] 就人家也是有東西被套
[24:53] 那所以整體看下來就是
[24:55] 報酬的表現是還蠻不錯的
[24:57] 如果說我今天這個
[24:58] 總結是發生在今年年中的話
[25:01] 我覺得跟你們講說
[25:01] 這個今年小規模的表現不好
[25:03] 基本上是
[25:05] 算是在零走附近
[25:06] 因為有些東西真的有回擋到滿身的
[25:09] 那有些像那種七開頭的東西
[25:10] 可能走得還蠻不錯
[25:11] 可是大家就不起來
[25:12] 因為整體的配置的原因
[25:14] 那只是剛好在年底
[25:15] 因為大家都上去了
[25:16] 所以就非常好的一個時間點去做總結
[25:19] 當然其實我不知道
[25:20] 去吹說這個機校本來怎麼樣
[25:21] 我也很討厭去做這樣的事情
[25:22] 我也不會去
[25:24] 丟對張單跟大家講多少錢
[25:25] 這邊跟大家講
[25:26] 就像丟對張單已經不是一個
[25:27] 在流行的一個
[25:29] 去宣示自己多有購買力的一個做法
[25:31] 現在都直接看大股東了
[25:33] 因為台灣一堆這個主力門
[25:35] 其實都已經是發展到大股東的一個階段
[25:37] 大股東這個很難騙人
[25:39] 除非你是怎麼透明同行
[25:40] 可是對張單那一下很多社群
[25:42] 或者說各個地方丟的
[25:43] 那個都是用修徒改出來都給人家抓到
[25:45] 所以大家也不要去相信那種東西
[25:47] 其實我覺得說真正對自由幫助的是一些
[25:50] 就算他可能今年做得不好
[25:52] 像有些架頭載
[25:53] 或者說有些去做那種Value Investing的老外
[25:56] 我們都知道說在過去幾年表現
[25:58] 可能都不是太好
[25:59] 那可是他們講出來的很多東西
[26:00] 會點到你會讓你有一些想法
[26:02] 上的突破我覺得這是最重要的東西
[26:05] 當然機效表現還是很重要
[26:07] 所以是說因為不是每個人都可能每一年
[26:09] 都會有不錯的表現
[26:10] 也會有一些不好的年
[26:12] 像我自己來說的話
[26:13] 我在2022年的表現就是不好的
[26:15] 可是我反正覺得說在2022年就是
[26:18] 扛了非常多的壓力
[26:19] 然後大家都在講說什麼
[26:21] MTK是垃圾
[26:22] MVDR是垃圾
[26:23] 然後什麼TESR是垃圾的
[26:24] 這樣環境之中
[26:25] 我還是可以扛住
[26:26] 那就代表說
[26:27] 其實我當時的認知水準
[26:28] 可能是比那些
[26:29] 就是只會看圖說故事的人強很多
[26:32] 那反而在這個時候
[26:33] 我就跟你分析這些東西
[26:34] 你看不出來說
[26:35] 我到底跟別人的那個No號差在哪
[26:38] 因為這時候大家都會吹嘛
[26:39] 就像TESR每次上五百的時候
[26:40] 你就注意到
[26:41] 就是整個社群就一面倒都是看好TESR
[26:43] 那大家下次下來的時候呢
[26:44] 大家又不看好了
[26:45] 可是關鍵就是
[26:46] 如果你每次都是在大家
[26:47] 很看好的時候去買的話
[26:49] 那就會變成有可能的
[26:50] 就是都賺不太到錢
[26:52] 因為你都是買在一個情緒的高點
[26:54] 那股票本來就是上上下下的
[26:55] 所以大概這樣子
[26:56] 就是說這個機效的東西
[26:57] 大家就稍微的參考就好
[26:59] 就有時候好有時候不好
[27:01] 那個是一定的
[27:01] 重點是說你有沒在裡面
[27:03] 獲得一些體會
[27:04] 所以在我的認知就是
[27:05] 在這個小規格部分
[27:07] 我持續的把它加大
[27:08] 因為對我來講
[27:09] 這個就比較偏向的是一個
[27:11] 長頭的思維
[27:12] 也就是我自己未來的一個規劃
[27:13] 就是我都已經講說
[27:14] 我自己想要當一個資本家
[27:15] 我要以資本家作為目標
[27:17] 那資本家是不會
[27:18] 就是每天可能今天大家出去
[27:20] 玩 花個血
[27:22] 或者說什麼 去游泳
[27:23] 你明明是在一個度假村裡面
[27:24] 然後你還帶一個筆店
[27:25] 在那邊整天下單
[27:26] 我現在就是這樣子一個狀態
[27:27] 我覺得這個
[27:28] 我自己有時候想要覺得蠻丟臉的
[27:30] 你現在曾經覺得自己這樣子
[27:31] 很帥
[27:32] 我在交易
[27:32] 或什麼的
[27:33] 然後只想要覺得說
[27:34] 這個並不是一個很帥的事情
[27:35] 所以我想要發展為
[27:36] 就是
[27:37] 那些東西可以直接用放的
[27:39] 那我不用去跟你們講說什麼
[27:40] 你今天賺幾%少小的
[27:42] 我自己一賺就是一倍
[27:43] 我就我喜歡這種
[27:44] 幹大的的相法
[27:46] 那當然有些東西像我講
[27:47] 它會變成沉默成本
[27:48] 有些東西可能會
[27:49] 因為隨著你長頭
[27:50] 那當然它可能會吃到的回答
[27:52] 也會很深
[27:52] 但你就整體來看
[27:54] 只要是有賺錢的都可以的
[27:56] 那它有點像說
[27:57] 它其實也需要一點時間
[27:58] 去累積你的信心
[28:00] 就是我在2023年
[28:01] 可能開始去弄小鬼的時候
[28:02] 我那時候也不太確定
[28:03] 這個策略可不可行
[28:04] 然後又遇到一些挫折
[28:06] 那只是後來
[28:06] 就是隨著這幾年
[28:07] 這樣下去怎麼辦
[28:08] 這個東西其實真的可以
[28:09] 所以我就會選擇
[28:10] 可能可以去事實間
[28:12] 然後去把這個部位加大
[28:14] 因為本來小鬼果算是自己的
[28:16] 就是投資組合裡面
[28:17] 比較小的東西
[28:18] 然後現在就可能會把它放大一點
[28:19] 所以希望最終的狀態是
[28:21] 可能在台股就是留一個部位
[28:24] 然後還是可以每天去看這些消息
[28:26] 然後去脆這些入墨什麼
[28:27] 這個我還是很喜歡
[28:29] 可能絕對要多做的東西
[28:30] 都變成是放置Play
[28:31] 那這個也是我自己
[28:32] 可能在市場裡面
[28:34] 欣賞的一些前輩
[28:35] 他們可能都不知道我欣賞它們
[28:37] 因為我們這邊
[28:37] 像那種地下的一個
[28:39] 錢報中心
[28:40] 就是大家在幹嘛
[28:41] 很多時候我們都知道
[28:42] 所以已經知道說有些人
[28:43] 他是怎麼樣做
[28:44] 即便他可能對外面講是這樣
[28:45] 可是他其實實際上
[28:46] 做另外一個東西
[28:47] 讓我知道說
[28:48] 他其實這樣是很好的
[28:49] 就是因為你畢竟要跟人家講話
[28:51] 你要有談資
[28:52] 你還是要講說
[28:53] 一下市場上在紅什麼在調什麼
[28:54] 可是媽媽可能就是
[28:56] 滿手Google跟什麼台積電
[28:58] 放放到底
[28:59] 其實我覺得這個是超帥的一個做法
[29:00] 就這樣就好
[29:01] 就這麼簡單
[29:02] 然後所以可能也會
[29:04] 想往這個方向區域努力
[29:05] 只是我不會想要去
[29:06] 把太多錢放在那
[29:07] 我們比較大型的股票
[29:08] 因為對我來講
[29:09] 就是沒有這麼好玩
[29:11] 就好玩
[29:11] 也是滿重要的
[29:12] 就很奇怪
[29:12] 就不是只是單純的說
[29:14] 這個機效很好
[29:15] 但是機效很好
[29:16] 很重要
[29:16] 只是同時也要去
[29:17] 買一些
[29:18] 我覺得好玩的東西
[29:19] 我覺得打爆擊的東西
[29:20] 所以就是會把一些東西放進去
[29:22] 那我們就要唱頭的東西
[29:23] 那因為在過去幾年
[29:24] 去驗證下來覺得說
[29:26] 應該是可以這樣子做
[29:27] 所以就先這樣做
[29:28] 然後直到下次有繞賽
[29:29] 再來跟大家分享
[29:30] 因為我繞賽一定會改變
[29:32] 我覺得說如果之後
[29:33] 出現一個什麼兩年的空頭
[29:35] 那個一定會發現
[29:36] 就在2022的時候
[29:37] 一開始第一季我被殺爆
[29:38] 那第一季之後
[29:39] 我就知道說我要黑群
[29:40] 我知道我沒有辦法這樣做
[29:42] 所以其實那個做法
[29:42] 都會慢慢調整
[29:43] 這些是為什麼
[29:44] 很多時候在那個QA
[29:46] 就是有些人想要問我一個標準答案
[29:47] 或是說他想要去做一個
[29:49] 某一個什麼五腦的做法
[29:50] 就跟你講說
[29:50] 沒有辦法五腦是因為
[29:52] 其實行情都是會變的
[29:53] 就是你要吃這些行飯的人
[29:55] 就除非說你就是爆吃的那一種
[29:56] 反正我套三年五年
[29:57] 沒差我只數跟你幹到底
[29:59] 那如果不是這樣子的話
[30:00] 那其實都是有機會
[30:02] 就是就算你現在可能講的
[30:03] 很自得意嘛
[30:03] 可是後面呢
[30:04] 就是會逼你
[30:05] 一定要去改一些做法
[30:07] 那到時候我們再來說
[30:08] 會怎麼樣做吧
[30:09] 如果結婚還在的話
[30:10] 好 那接下來就用QA的部分
[30:11] 第一位是口試口叫吉吉
[30:13] 希希不希希
[30:14] 到過來希希不希希
[30:16] 大家好
[30:17] 男友是來大多年的庭總
[30:18] 而我算是今年6月才開始
[30:20] 每集報導投資小菜鳥
[30:22] 雖然跟男友才在一起幾個月
[30:24] 但有一種愛叫命中注定
[30:26] 我愛你
[30:26] 我和男友都努力規劃
[30:28] 理財去創造兩人
[30:29] 更好的未來
[30:30] 今天我上來到推薦的
[30:31] Travel Blue組合當做
[30:33] 聖誕禮物給男友
[30:34] 雖然說經濟還沒有
[30:35] 餘力跟男友每次出國都搭
[30:37] 商務廠
[30:38] 但希望他手牽手
[30:39] 和我一起做經濟常識
[30:41] 有Travel Blue
[30:42] 而感覺到
[30:43] 商務廠的舒適
[30:44] 那祝福來大一家
[30:45] 聖誕快樂平安健康
[30:47] 這就是我們講加合萬世紀
[30:49] 所以因為
[30:50] 配好
[30:51] 哈毫無聊
[30:51] 不然來買零零五零好了
[30:53] 來大您好
[30:53] 感謝
[30:54] 來大每週三
[30:55] 六提供又找節目
[30:56] 我跟女友哈起是
[30:57] 您的忠實聽眾
[30:58] 心喜歡矮大的無私分享
[31:00] 還有一家
[31:00] 四口快樂的生活點滴
[31:02] 他最喜歡在邊保護粉絲的時候
[31:04] 邊聽您的節目
[31:05] 約二號說
[31:06] 女友哈起的生日
[31:07] 希望大家可以用川普的
[31:08] 雲祝他生日
[31:09] 秒月今天那個紅龍的傻咬
[31:11] 那個川普
[31:12] 我最
[31:12] 後面聲音可能
[31:14] Happy birthday
[31:15] 有講不太出來
[31:16] 祝他明年高考順利商案
[31:18] 也祝白大技校大報社
[31:19] 一家四口平安喜愛你
[31:21] 我愛你
[31:22] 這個月禁好現實案
[31:23] 我要太長
[31:27] 感覺是滿不錯的東西
[31:28] 只兄弟這個留言
[31:29] 不可以太長
[31:30] 我們的留言要在霸航內
[31:31] 或是說
[31:32] 稍微多一點點
[31:33] 我可以假裝沒有看到
[31:34] 下面有一位
[31:35] 體重減不下來的晚熊爸爸
[31:37] 祝我結婚五週年快樂
[31:39] 我也是六月從直軍
[31:40] 轉直到半導體產業的新社會處
[31:42] 太太也準備離開軍中
[31:44] 回歸自由身
[31:45] 太太近期對於未來
[31:46] 有所螃蟲擔心沒有穩定的收入
[31:48] 我想告訴他
[31:49] 老公會努力的扛起
[31:50] 家中的經濟
[31:51] 請你安心的
[31:52] 王妮有興趣的產業發展
[31:54] 以你的能力一定會有所收貨
[31:56] 最後祝福我們12月24號
[31:58] 結婚五週年快樂
[31:59] 也出來大一家
[32:00] 以及我們一家四口平安健
[32:01] 要祝你們一些順利
[32:02] 不要怕
[32:03] 這個從這個部隊出來的人
[32:05] 有一點不錯
[32:06] 就說非常有紀律
[32:07] 有非常安心安穩
[32:09] 只要可以好好的
[32:10] 去執行好設定好的目標
[32:12] 安部就有辦法
[32:12] 一定沒有問題
[32:13] 下面為Kathy包
[32:15] 親邁好好玩
[32:16] 因為密碼測試
[32:17] 大家好
[32:17] 我是小梁界的
[32:18] 建台高中同社團的學妹
[32:21] 建台高中同社團
[32:23] 科研社
[32:24] 好久沒有想到這個名字
[32:25] 從高一開始就知道
[32:26] 現夢功的名號
[32:27] 掛號當時長得真帥
[32:29] 現在也是
[32:31] 這個人知道
[32:32] 怎麼樣討人家喜歡
[32:33] 多年前
[32:33] 開始一路紅
[32:35] 我還跟朋友說
[32:35] 可是我聽不懂股票
[32:36] 聽幾集就算了
[32:37] 那直到前兩個月
[32:38] 因為台同那集
[32:39] 又開始聽這個頻道
[32:40] 像是側頭側尾的氣氛窄
[32:42] 其實也這麼優質的節目
[32:44] 陪伴我通行
[32:45] 即在我和男友開車時的
[32:46] 唯一指定節目
[32:47] 那小夢可以用酷洛米
[32:48] 甚至有報酷洛米
[32:50] 住12月的時候
[32:51] 甚至有男友
[32:51] 甚至快樂集聖誕快樂
[32:53] 抓給機校長紅
[32:54] 繼續帶我出國玩
[32:55] 也住這裡的聽眾
[32:55] 跟一大一家平安健康幸福
[32:57] 憂
[32:58] 非常感謝這個
[32:59] Kathy包
[33:00] 這個建台的科研社
[33:02] 我記得都忘記這個東西了
[33:03] 那個是高中算
[33:04] 蠻好的一個回憶
[33:06] 反正就是
[33:07] 名字叫科學研究社
[33:09] 但其實都不在科學研究
[33:10] 全部人都在玩
[33:11] 全部都在
[33:12] 高一些有的沒有的東西
[33:13] 然後在練一些表演
[33:14] 或什麼的
[33:15] 然後就是半那種
[33:16] 素贏給國中
[33:17] 或是說更小的小朋友
[33:18] 然後莫名其妙
[33:19] 就大家有一個非常強大的向行力
[33:21] 然後那時候還有一些
[33:22] 畢業的學長節
[33:24] 我都還是會回來幫忙
[33:25] 會捐錢過什麼
[33:26] 當然我畢業之後
[33:27] 就是完全消失
[33:28] 完全忘記自己的事情
[33:29] 反正那時候還蠻感動的
[33:31] 就是說你去辦這些活動
[33:32] 然後可以看到
[33:34] 各路的人馬
[33:35] 這個社會人士都還是會跑回來幫忙
[33:37] 什麼會覺得說
[33:38] A蠻酷的
[33:38] 一些什麼大學的
[33:40] 學長節也都會加入
[33:42] 所以當時是蠻有那種
[33:43] 漁有榮嚴的感覺
[33:44] 就可以在這樣的一個社團
[33:45] 覺得自己是一個很酷的人
[33:47] 只是那時候我自己的爸爸
[33:48] 就是非常討厭這件事情
[33:50] 他很多時候也講說
[33:50] 你看一看
[33:51] 告社團的壓力的週碼
[33:53] 就是我那時候的
[33:54] 怎麼同學
[33:55] 他們在玩社團的
[33:56] 現在都很慘
[33:57] 很爛
[33:58] 還有就是我可能
[33:59] 後面還算OK
[34:00] 所以爸爸當年的擔心
[34:02] 證明是想太多
[34:04] 但當然我們都知道
[34:05] 然後就是
[34:06] 東西不能夠舉特例
[34:07] 可是有時候換句話說
[34:08] 就是當我們去舉一些例子
[34:10] 人家也會講說什麼
[34:11] 性存者偏差
[34:12] 性存者偏差
[34:13] 而不是
[34:13] 其實我講這個社會
[34:14] 就八二法車
[34:15] 就其實你不管在哪個地方
[34:17] 能夠做起來的都是
[34:18] 比較少數人
[34:19] 會過得比較好的
[34:20] 也是少數人
[34:21] 那過得極爛的
[34:22] 其實也是少數人
[34:23] 就要多數人可能
[34:24] 就是在中間之類的
[34:26] 這長太分布
[34:27] 所以我覺得
[34:28] 後來我比較不會
[34:29] 去用一些
[34:31] 就要說你玩社團
[34:32] 你就是怎麼樣的人
[34:33] 或是說
[34:33] 你做什麼
[34:34] 你就是怎麼樣的人
[34:35] 去幫大家做分的
[34:36] 因為這個很奇怪
[34:37] 或是說你會自己打臉自己
[34:39] 但對
[34:39] 那時候的回憶是非常好
[34:42] 就即便其實我相信
[34:43] 我們很多之中的
[34:44] 那時候同學
[34:45] 家長可能也都是反對我什麼
[34:47] 可是看大家都玩得滿開心
[34:48] 可能就每天都放棄
[34:50] 那不止我在那
[34:51] 後來我自己的妹妹也是跑
[34:52] 那個社團去
[34:53] 只不過這個畢業之後
[34:54] 就沒有在參加了
[34:56] 生命位
[34:57] 紅藥師
[34:57] 感謝孟公
[34:58] 愛寧
[34:58] 感謝孟公
[34:59] 替我們這些沒有經常時靠
[35:00] 正當工作
[35:01] 在社會離譜
[35:02] 一步一步
[35:02] 慢累積的人
[35:03] 發生愛寧的愛寧
[35:03] 要生命位
[35:04] 好好Q某
[35:06] 某公、某公、某老公
[35:07] 很喜歡寧一家的合照
[35:09] 充滿關心信服看著新暖暖的
[35:11] 月底老婆
[35:12] Emily要再度做事館的
[35:13] 辛苦老婆了
[35:14] 那相信主席跟館因老大
[35:17] 祝福我們
[35:17] 這是可以順利成功
[35:18] 最後一定要祝主席
[35:20] 一家身體健康
[35:20] 平安信服
[35:21] 對
[35:21] 館一大
[35:22] 館一大
[35:23] 館一大有聽到
[35:24] 因為路極為了做後面
[35:25] 所以他會幫你祝福一下
[35:26] 希望了
[35:27] 希望我妹妹是很誠心
[35:28] 我下面因為
[35:29] 年收中衛術上員的
[35:31] 竹北工程師
[35:33] 想幫竹哥媽媽們平反一下
[35:35] 其實那些
[35:35] 為人購病的路群標準
[35:37] 並不困難
[35:38] 而所謂軍備競賽
[35:39] 不過是對教養的一種選擇
[35:41] 在竹北
[35:42] 更是如同呼吸班自然的存在
[35:44] 因為大家都負擔的起
[35:46] 旁人以為我們
[35:46] 衝衝忙忙小孩連滾帶爬
[35:48] 但身在其中
[35:49] 我們看到的是家長
[35:50] 衝衝容容
[35:51] 孩子有任由於
[35:52] 我們只是在自己的
[35:53] 能力所及給自己的
[35:54] 孩子最好的
[35:55] 希望不要因此成為
[35:56] 被抨擊的對象
[35:58] 那真要抨擊的是
[35:59] 喜歡高調炫耀
[36:00] 或是愛對別人
[36:01] 下指導其的少數分子
[36:03] 軍備競賽
[36:04] 或是竹哥媽媽
[36:05] 都不是原罪
[36:06] 這位兄弟講的東西
[36:08] 可能有些聽眾聽的
[36:09] 就會不太舒服了
[36:10] 可是我必須得幫他講
[36:11] 就是他說了這些東西
[36:13] 我自己是完全可以理解
[36:14] 就如果說我今天去把
[36:16] 怎麼講
[36:17] 就我們身邊朋友
[36:17] 一些就愛預約吃飯
[36:19] 我每次都去把吃飯的
[36:20] 每一道菜都拍出來
[36:22] 或是說我們去哪裡
[36:22] 都都拍給大家看的話
[36:24] 一定就是開始有人會講說
[36:26] 他是什麼炫富行parkster
[36:27] 可是對我來講
[36:28] 就是這只是一餐飯
[36:29] 就是真的沒有人在意
[36:31] 這餐飯怎麼樣
[36:32] 只是說
[36:33] 這東西滿好吃的
[36:33] 我把它拍下來上傳
[36:34] 可是你可能就意外抽到一些
[36:36] 就讓這位聽眾人講的
[36:38] 他覺得說
[36:38] 那些路群標準
[36:39] 共有不難嗎
[36:40] 年輕要多少
[36:41] 你一定要什麼海外學歷
[36:42] 他們可能每個人都有
[36:43] 然後會說
[36:44] 他覺得軍備競賽
[36:45] 根本就小事情
[36:46] 可是
[36:47] 我們會忽略的一件事情
[36:48] 就是很多時候講
[36:49] 因為這個世界是有很多層次
[36:50] 所以我會講說
[36:51] 其實有時候你就待在你的
[36:52] 童文層裡面最舒服
[36:53] 你就不要出來
[36:54] 其實可以不要出來
[36:55] 我怕什麼有些人會講說
[36:56] 你一定要踏出童文層
[36:57] 其實你不一定要踏出童文層
[36:59] 除非你今天是
[37:00] 出了一些狀況
[37:01] 你要改變現狀
[37:02] 你才必要踏出童文層
[37:03] 不然其實在童文層裡面
[37:04] 是很舒服的
[37:05] 因為這些人
[37:06] 他們懂你的語言
[37:08] 他們懂你的邏輯
[37:09] 他們的生活跟你是匹配的
[37:11] 門當護隊是真的
[37:12] 所以你們做每件事情都會
[37:13] 非常的自然
[37:14] 那你今天如果跑出來
[37:15] 你就會擔心說
[37:17] 像我老婆
[37:17] 我原來是就很好笑
[37:18] 反正她在狗公園
[37:19] 然後就有人問她說
[37:21] 那個狗狗的事要吃什麼
[37:22] 然後她就故意去抱一個
[37:24] 比較便宜的事料
[37:25] 因為她不想要讓任何人
[37:26] 感覺到
[37:27] 這個事要這麼貴
[37:28] 我要花這麼多錢去買
[37:30] 因為她敲口的東西
[37:30] 她都買很好
