[00:00] 歡迎收聽古哀為聖蒙公本集節目由Backbone贊助
[19:21] 電力是很多的
[19:22] 那如果說
[19:23] 我可以開始把一些東西
[19:24] 記錄進去
[19:25] 你可以把它想成說
[19:26] 就是AI它自己有一個小本本
[19:28] 那它本來可能
[19:29] 只有一張小便條紙
[19:30] 就是這些
[19:31] 寸圖寸機的記憶體
[19:32] 那下如果說
[19:33] 可以變成是一個小本本的話
[19:34] 它有一本字點
[19:35] 它已經知道說
[19:36] 你們可能會問哪些問題
[19:38] 使用者可能有
[19:39] 有哪些分類
[19:40] 那或者說那
[19:41] 非常雕專的使用者
[19:42] 它有哪一些前提的假設
[19:43] 或者什麼的
[19:44] 它可以把它放在
[19:45] 它的DPU storage裡面的話
[19:47] 那就可以變成是說
[19:48] 這個未來AI
[19:49] 自己有一個
[19:50] 甚至可以講說大本本
[19:51] 它已經知道
[19:52] 說你在講什麼
[19:53] 它更加的準確
[19:54] 然後外加
[19:55] 因為在它的
[19:56] GPU Direct Storage的一個架構之下
[19:59] 所以它的速度也不會比
[20:01] 就是大家可能把它想像說
[20:02] 一些資料如果說
[20:03] 你放進去
[20:04] Storage Server的話
[20:05] 它來回要花很多時間
[20:06] 沒有它還是會比較快
[20:07] 所以它算是蠻完美的
[20:09] 去解決了大家
[20:10] 目前所看到的一些痛點
[20:11] 但因為我自己本身並不是那種
[20:13] 技術的內行人
[20:15] 就是我都只是大概
[20:16] 像一些聽眾朋友所提到的
[20:18] 你可能跟那個PM的水準
[20:19] 感覺還比我們家PM的水準高
[20:21] 這對我大概知道這些東西
[20:22] 可是我要去跟工程師比的話
[20:24] 差非常多
[20:25] 所以我講的東西可能有些工程師
[20:26] 會覺得說不太可能
[20:27] 辦法技術上什麼什麼的
[20:28] 因為我跟一些身邊的工程師
[20:29] 頭人他們就這樣講
[20:30] 可是
[20:31] 反正的工作就是去處理這些題材
[20:33] 然後去做投資
[20:34] 所以在我非常直覺
[20:35] 吸返設的一個角度看來的
[20:37] 就是我也想知道說
[20:38] 所以你現在這個
[20:39] TPU的Storage Server
[20:40] 你要用到我的SSD
[20:42] 或是裡面相關的Components
[20:43] 它會不會是需要invidia certified
[20:45] 就如果說它是需要invidia認證的話
[20:47] 那它可能就會變成像是HBM這樣子
[20:49] 就是說
[20:50] 不知道
[20:51] HBM它可能本身是一個
[20:52] 假設我們先想說
[20:53] 它就是一個純粹的東西
[20:54] 它本來是中性的
[20:55] 可是如果你今天通過我的驗證
[20:57] 你要達到我的一些水準跟要求
[20:59] 然後我才要把我的TPU
[21:00] 架在上面的話
[21:01] 那
[21:02] 那這些東西就會有
[21:03] 誰先隨後的問題
[21:04] 先進來先拿到跨的人
[21:06] 那可能就是
[21:07] 就會有一波長幅的機會
[21:09] 那誰是後進來的可能
[21:10] 那個長幅就會少一點
[21:11] 那就是我們前面在看
[21:12] 那個HBM3
[21:13] 3E的時候
[21:14] 大家都來去比拼說
[21:15] 這一代到底是什麼三星
[21:17] 還是海利式還是什麼最快
[21:18] 當然我們最近發現說
[21:19] 就海利式是最強
[21:20] 可是我一直說
[21:21] 搞不好會有一樣的劇本產生
[21:22] 這個就是說
[21:23] 如果它需要去跨的話
[21:24] 那如果說它不需要去跨
[21:26] 它只需要說
[21:27] 你可能不知道
[21:28] 就是每一個廠商
[21:29] 你們所做出來的Storage Server
[21:30] 你只需要去採購
[21:31] 我invidia的DPU
[21:32] 跨在上面的話
[21:33] 那你買硬體
[21:34] 有可能把軟體一起送你這樣
[21:36] 那我就可以去做整合的話
[21:38] 就不會有這一段機會
[21:39] 可是我覺得對於整體SSD的用量
[21:41] 不管是前載的後者
[21:42] 前載的話
[21:43] 就是有特定的SSD廠商
[21:44] 他們就會有很大的受惠
[21:46] 那後者的話
[21:47] 就說全體的SSD廠商
[21:48] 他們就從本來的
[21:50] 大家想說這個東西
[21:51] 只能夠忍儲存
[21:52] 然後現在變成說
[21:53] 它不只是忍儲存
[21:54] 它也可以做到可能
[21:55] 就讓
[21:56] 也不敢說它是熱儲存
[21:57] 因為不會說什麼
[21:58] 每個東西都要跑進去那裡面
[21:59] 可是就是半熱吧
[22:00] 這裡的準熱儲存
[22:02] 那它也會有很多的機會產生
[22:04] 所以其他這個
[22:05] 是覺得還蠻嗨的
[22:06] 就是說
[22:07] 老王真的非常厲害
[22:08] 從前面那個CPX給我們一個驚喜
[22:10] 我覺得大家還在那邊開始講說
[22:11] prefelt這裡有一些問題
[22:13] 因為障礙那個上下玩態度要讀了
[22:15] 它直接搞一個CPX
[22:16] 你然後接著
[22:17] 大家說低扣這邊
[22:18] 有可能寫如果不夠快
[22:19] 然後他去搞了一個
[22:20] 跟Grow
[22:21] 搞不好未來在Stremm的一個合作
[22:23] 我有解決你的問題
[22:24] 然後現在大家覺得
[22:25] Context太多AI會有段片
[22:26] 或什麼有的沒有
[22:27] 要告訴你說
[22:28] 我現在有一個ICMS的解放
[22:29] 所以真的是非常
[22:31] 非常猛、非常非常厲害
[22:32] 那這時候
[22:33] 你就可以去回顧一下
[22:34] 那時候很多人講說
[22:35] 一些ASIC廠商
[22:36] 包含像什麼TPU的出現
[22:37] 他就要把它
[22:38] 老黃擊敗
[22:39] 你就會發現說
[22:40] 事情沒有這麼單純
[22:41] 這是沒有這麼單純
[22:42] 他們還是有很多的
[22:43] 東西壓著滑水
[22:44] 你不知道
[22:45] 然後真的是等到
[22:46] 大家遇到問題的時候
[22:47] 突然間斷一個解放出來
[22:48] 你知道那個解放
[22:49] 他絕對不會說什麼
[22:50] 他看到這個問題
[22:51] 然後兩天開會就給出來
[22:52] 那一定就是壓著滑水可能久
[22:53] 甚至是
[22:54] 很多人發現像我自己
[22:55] 也是瞎台發現說
[22:56] 原來這個prefelt這麼屌
[22:58] 因為之前大家其實都沒有什麼
[22:59] 在討論這個prefelt dpu
[23:01] 就只是說
[23:02] 可能會寫到這件事情
[23:03] 可是沒有人去深度討論他
[23:04] 可是我覺得就是
[23:05] 從現在開始
[23:06] prefelt dpu
[23:07] 應該會是一個
[23:08] 蠻多人會討論的一個重點
[23:10] 所以他到底要
[23:11] 怎麼樣去
[23:12] 支應這些Storage Server
[23:13] 然後去跟他的
[23:14] Compute
[23:15] 跟他Switch去做一個結合
[23:16] 那怎麼樣去解決
[23:18] 現在大家的一個痛點
[23:19] AI的段片
[23:20] 或是操場的上下文
[23:21] 所耗損的一些算力
[23:22] 那算力蠻多是白化的
[23:24] 這些東西如果可以解決的話
[23:26] 你就想在資料中
[23:27] 現在的角度是
[23:28] 我可能因為這樣子
[23:29] 我又要省下更多錢的
[23:30] 所以老黃真的沒有騙你
[23:31] 就是買越多省越多
[23:32] 然後買越新的東西
[23:33] 你可能還會意外地
[23:34] 又再省更多
[23:35] 所以雖然聽起來
[23:36] 在這一集
[23:37] 我個人分享的東西
[23:38] 因為像說我是這個
[23:39] 老黃的一個業務
[23:40] 就把它做宣傳
[23:41] 可是就真的覺得
[23:42] 蠻厲害的
[23:43] 就是你會突然間
[23:44] 到零光榨線的感覺
[23:45] 就是當他推出這個東西
[23:46] 他一開始
[23:47] 大家可能就是看過去
[23:48] OK好他也有新東西
[23:49] 可是突然一想
[23:50] 就發現說
[23:51] 要不要靠這東西厲害
[23:52] 原來你們早就已經準備好
[23:53] 只是你們現在才把它
[23:54] 端出來
[23:55] 大概這樣的一個清醒
[23:56] 所以稍微跟大家分享一下
[23:57] 就是我認為說
[23:58] 當然可能在過去的半年
[24:00] 我們已經花了很多時間
[24:01] 再講什麼記憶體
[24:02] Memory or Server
[24:03] Storage
[24:04] 可是現在又一直有新的東西出來
[24:06] 所以我不知道
[24:07] 這一波記憶體
[24:08] 廣告我自己也覺得非常扯
[24:09] 只是在我自己的角度看來
[24:11] 就是這些東西
[24:12] 雖然也是跟記憶體
[24:13] 是高度相關的
[24:14] 可是其實
[24:15] 假設我現在去重新介入的話
[24:16] 我就不會把它
[24:17] 視為是某種
[24:18] 就是可能大家
[24:19] 一下所看到的
[24:20] NAN的
[24:21] 或是D-RAN的長假題材看待
[24:22] 而是把它視為說
[24:23] 就是KVCASH
[24:24] 下放的一個新的題材
[24:26] 像我自己好
[24:27] 再有一個特性
[24:28] 就是我不太怕搞
[24:29] 而且可能看起來很高的東西
[24:30] 那過去長A題材
[24:31] 那下可能是B題材
[24:32] 那是不一樣的東西
[24:33] 所以可能還是會持續的去亡
[24:34] 這個方向去做研究了
[24:36] 那接著有找一些機會
[24:37] 也會事實地去介入一下
[24:39] 所以大概的跟大家分享一下
[24:41] 就是因為
[24:42] 我們從一個
[24:43] 怎麼樣
[24:44] 就大家去參訪所拍到的照片裡面
[24:46] 然後本來大家只能還說
[24:48] 那個上面怎麼會有
[24:49] 全年都很抽的
[24:50] 然後到去挖
[24:51] 然後知道說
[24:52] 這個東西它不是一般的
[24:53] TLC
[24:54] 它是Sudo的SLC
[24:55] 然後去理解
[24:56] 為什麼它要用Sudo的SLC
[24:58] 為什麼它要犧牲三分之二的容量
[25:00] 因為它要快速存取
[25:01] 那當你了解到
[25:02] 它要快速存取
[25:03] 它有耐用性之後
[25:04] 你就可以理解到
[25:05] 那它那個
[25:06] ICMS可能要搞的東西
[25:07] 跟這個是有關聯的
[25:09] 所以一切就這樣子
[25:10] 把它連在一起
[25:11] 那當然可能在裡面
[25:12] 會有一些
[25:13] 錯誤的東西有什麼
[25:14] 但我覺得市場就是這樣
[25:15] 不然說
[25:16] 像我們前幾集
[25:17] 再跟大家去做一個
[25:18] 所謂的大膽的猜想
[25:19] 去猜想說
[25:20] 接下來大家會去找
[25:21] 那些可以打破記憶體強的東西
[25:23] 那後面就發生了
[25:24] 因為其實我們
[25:25] 雖然可能在這種
[25:26] 非常工程方面的東西
[25:28] 那絕對是會輸那些工程實的
[25:30] 那他們的專業嘛
[25:31] 可是在這種聯想方面
[25:32] 可能還是
[25:33] 有一點
[25:34] 修煉的
[25:35] 所以稍微再跟大家分享
[25:36] 自己的一個簡單的猜想
[25:37] 那也希望對大家
[25:38] 有所幫助
[25:39] 那接下來我們就去的部分
[25:40] 第一位三峽二寶寶
[25:41] 感謝孟公大的推薦
[25:43] 活下轉
[25:44] 今天早上送兒子去拖音中心
[25:46] 他的學校在擦擦國小裡面
[25:48] 每天早上國小都會放廣播音樂
[25:50] 大部分都是古典樂
[25:51] 或是一些鋼琴樂
[25:52] 那今天早上竟然是在
[25:53] 放活下轉的音樂
[25:55] 這種中國古風的音樂
[25:56] 放在國小裡
[25:57] 也很合適
[25:58] 聽了覺得好開心
[25:59] 那是新奇一上班
[26:01] 潛的小確信
[26:02] 剛完這款一開始
[26:03] 以為是劇情在鬧
[26:04] 結果越玩越有深度
[26:05] 還玩到熱淚螢礦
[26:06] 那真的是一款
[26:07] 很棒的遊戲
[26:08] 感謝作為大家的推薦
[26:09] 對
[26:10] 活下轉真的是一款
[26:11] 超棒的遊戲
[26:12] 所以我心中的一個
[26:13] 夢幻遊戲
[26:14] 那非常感謝
[26:15] 大家都支持大家
[26:16] 下面一位
[26:17] 身體健康才是好
[26:18] 願一切都好
[26:19] 前幾集
[26:20] 聽到某位聽眾
[26:21] 在感情中的痛苦
[26:22] 想對你說
[26:23] 沒有任何人事物
[26:24] 能夠讓你
[26:25] 沒有重要的
[26:26] 會讓你失去自己
[26:27] 我曾經也
[26:28] 因為在一起
[26:29] 17年的另外一半
[26:30] 在我被運的期間
[26:31] 發現出軌
[26:32] 當時想不開
[26:33] 不離開
[26:34] 脫了快要
[26:35] 一年
[26:36] 那身體長大病之後
[26:37] 才果斷的離開
[26:38] 遠離
[26:39] 讓你痛苦的人
[26:40] 和環境是
[26:41] 很好的方法
[26:42] 願您願每一個人
[26:43] 都安好
[26:44] 那也就是說
[26:45] 那一家平安健康
[26:46] 謝謝您
[26:47] 陪我度過那段
[26:48] 低潮時刻感謝
[26:49] 我真的非常感謝
[26:50] 就是每次當
[26:51] 我們的聽眾
[26:52] 有一些狀況
[26:53] 一些分享
[26:54] 然後接著
[26:55] 就會有其他聽眾
[26:56] 來
[26:57] 你可以講是取暖
[26:58] 或者說及私廣義都很好
[26:59] 我就是
[27:00] 滿喜歡這樣的一個節奏
[27:01] 那非常感謝
[27:02] 大家都一直
[27:03] 互相的扶持
[27:04] 那上集有一個
[27:05] 爸爸提到說
[27:06] 他的小朋友檢查
[27:07] 有某個問題的
[27:08] 那也有聽眾在
[27:09] YT這邊講說
[27:10] 這個是很建議
[27:11] 要去做羊魔穿恥
[27:13] 他是講這樣的一個說法
[27:14] 那當然
[27:15] 還是以你的意識為主
[27:16] 這位意思說
[27:17] 可能是他
[27:18] 有遇過類似的事情
[27:19] 那他去做了這個東西
[27:20] 然後可能才發現
[27:21] 說是怎麼樣之類的
[27:22] 所以可能可以跟意識
[27:23] 討論看看
[27:24] 那我意思說
[27:25] 以前我的安哥可能
[27:26] 一些狀況的時候
[27:27] 也就很多聽眾
[27:28] 給我 feedback
[27:29] 雖然可能90%都是
[27:30] 很恐怖的東西
[27:31] 可是就是
[27:32] 因為他們提了這些
[27:33] 夠恐怖的東西
[27:34] 然後我們接著去
[27:35] 一一的把他化解掉
[27:36] 自己的心才是
[27:37] 放的下來
[27:38] 所以都非常感謝
[27:39] 大家的各種 feedback
[27:40] 大家都可以參考看
[27:41] 那希望大家都平安靜
[27:42] 下面一位
[27:43] HCYY前
[27:44] 包培的夠很多
[27:46] 包培的夠很多
[27:48] 包靠北
[27:49] Aida
[27:50] 蛋蛋大
[27:51] 小地快機系大三
[27:52] 還在找選外的出路
[27:53] 自己對金融比較興趣
[27:54] 想忘產業分析師
[27:55] 或者是正確研究研究方向走
[27:57] 所以在寒屬價期間
[27:58] 我嘗試做了
[27:59] 第一份研究報告
[28:00] 想請問Aida
[28:01] 認為一個完整的研究報告
[28:03] 那些資訊最重要
[28:04] 以記憶體產業為例
[28:05] 另外
[28:06] 駐來大全家身體健康
[28:08] 天天開心安哥
[28:09] 諾亞平安長大
[28:10] 試試順行
[28:11] 非常感謝這位兄弟的祝福
[28:13] 那以我的角度來講
[28:14] 對他
[28:15] 非常聰明
[28:16] 他以前講說要以記憶體舉例
[28:17] 因為其實
[28:18] 每個東西
[28:19] 你問我都會
[28:20] 給你不一樣的答案
[28:21] 你就要說你今天說
[28:22] 電動輔助車
[28:23] 這個報告
[28:24] 我要怎麼樣才會覺得
[28:25] 他是好報告
[28:26] 我覺得你只要夠說明
[28:27] 說什麼是電動輔助車
[28:28] 他會用在哪
[28:29] 他的試站怎麼樣
[28:30] 那他的價格變化是怎麼樣
[28:31] 他的供應鏈環節
[28:32] 會覺得很好
[28:33] 可是如果你今天
[28:34] 這個講記憶體產業
[28:35] 那你跟我講說
[28:36] 什麼記憶體的試站怎麼樣
[28:37] 或者說
[28:38] 什麼價格變化怎麼樣
[28:39] 為什麼這個對我來講
[28:40] 一點都不重要
[28:41] 為什麼
[28:42] 因為我們自己都找我到了
[28:43] 所以確實會因為說
[28:44] 你對這個產業的
[28:45] 社路的身於否而決定了
[28:47] 你想要看到什麼樣的東西
[28:48] 那所以對我來講
[28:49] 像剛剛
[28:50] 前面所隨便舉例的時候
[28:51] 電輔助車
[28:52] 那你可能就要給我一些
[28:53] 財務的資訊嗎
[28:54] 那可是在記憶體的話
[28:55] 我覺得你給我財務資訊
[28:56] 我反而還還想跟你講說
[28:58] 你怎麼估這個數字
[28:59] 你怎麼會估這麼高
[29:00] 或這麼低支援
[29:01] 那你給我這個數字的
[29:02] 意義就不大
[29:03] 我反而需要的什麼
[29:04] 就是你去跟我分析說
[29:05] 可能再接下來
[29:06] 像
[29:07] Invidia一下
[29:08] 推了這個ICMS
[29:09] 我覺得他就是一個
[29:10] 非常好的實際點
[29:11] 因為Invidia
[29:12] 他自己要去搞這個
[29:13] Storage Server
[29:14] 那請問這個對記憶體產業的影響是什麼
[29:16] 你可以寫出來給我
[29:17] 我覺得你非常厲害
[29:18] 然後或者是說
[29:19] 你可以告訴我說
[29:21] 目前可能
[29:22] 因為我們知道說
[29:23] D5的價格
[29:24] 在一些實驗點上
[29:25] 靠他比D4還便宜
[29:26] 所以
[29:27] 4B是有很多廠商會怎麼樣
[29:29] 他本來做D4的嘛
[29:30] 就叫說我的筆電是用D4的
[29:32] 我現在都發現說
[29:33] D4的價格比較貴
[29:34] 那我直接趁下規格提升
[29:35] 我就重新設計
[29:36] 那請問一下這些
[29:37] reDesign
[29:38] 從D4變D5
[29:39] 哪些components會用到很多
[29:40] 那這個可能就是
[29:41] 我會想知道的東西
[29:42] 就是說
[29:43] 一些
[29:44] 怎麼講
[29:45] 因為我們對爆價是非常熟悉
[29:46] 那我們也知道說
[29:47] 講服我們知道
[29:48] EPS的孤法
[29:49] 什麼的
[29:50] 我們對於這些公司的環節
[29:51] 摩豬廠是幹嘛
[29:52] 顆粒廠的幹嘛
[29:53] 都已經太熟了
[29:54] 所以我不會想知道這個
[29:55] 我只想知道
[29:56] 我不知道我的東西
[29:57] 所以我整個說
[29:58] 報告沒有那種
[29:59] 可以通遲的
[30:00] 但絕大多數人
[30:01] 他們需要的
[30:02] 只是一份通適報告
[30:03] 你可以跟我介紹說
[30:04] 每家廠商在幹嘛
[30:05] 然後你就會發現說
[30:06] 有些這種文章在網路上
[30:07] 超多人分享
[30:08] 大家說有料有料
[30:09] 可是在一些
[30:10] 但我們不知道
[30:11] 去雞蛋挑骨頭
[30:12] 可是就對於我們一些
[30:13] 可能已經花很深的了
[30:14] 我們就覺得說
[30:15] 這有什麼好看的
[30:16] 雞蛋幫助沒有的
[30:17] 你也不會因為這個
[30:18] 你就把它交易賺到錢
[30:19] 那我就會想要
[30:20] 更深入的東西
[30:21] 所以以記憶體的話
[30:22] 就是你可以在第一時間
[30:23] 現在其實
[30:24] 已經有廠商在做這樣的事情
[30:25] 我覺得蠻厲害
[30:26] 他們真的是
[30:27] 敏感度非常高
[30:28] 你去找到一下
[30:29] 最新的某些應用
[30:31] 然後你告訴我說
[30:32] 它對於既有的
[30:33] 產業的影響了什麼
[30:34] 那這個報告
[30:35] 就會非常的值錢
[30:36] 所以覺得說
[30:37] 你突然間寫一份這樣的報告
[30:38] 然後你丟到的信箱
[30:39] 我看到
[30:40] 我還直接幫你弄一推
[30:41] 弄一推
[30:42] 我還幫你那一推
[30:43] 給我的一些
[30:44] 那種在找研究員的朋友說
[30:45] 這個家務非常有料
[30:46] 就是有時候你看到一些
[30:48] 那種令你非常印象深刻的東西
[30:50] 真的發生過幾次
[30:51] 我們有一些聽眾
[30:52] 是自己來跟我互動之後
[30:53] 然後後來被我推到
[30:54] 某些人在教育室裡面
[30:55] 去做教育室
[30:56] 因為你就覺得這個人不一樣
[30:58] 可是問題就是說
[30:59] 因為我都單打獨鬥
[31:00] 所以我不需要你們來幫我工作
[31:01] 要不然很多是寫清楚
[31:02] 我想要幫你工作
[31:03] 可是我不需要你們來幫我工作
[31:04] 所以你就去那個
[31:05] 我朋友在找人
[31:06] 他有在需要心血
[31:07] 那就過去
[31:08] 那就因為這樣找一些機會
[31:09] 所以你要做出
[31:10] 跟別人不一樣的地方
[31:11] 這個我覺得非常重要
[31:12] 但一樣是看你是什麼環節
[31:14] 就如果說你是一般的
[31:15] 消災分析師
[31:16] 你也不打算
[31:17] 就是讓自己的生活太累的話
[31:19] 你做一個很棒的通勢報告
[31:21] 跟大家就很喜歡了
[31:22] 可是如果說
[31:23] 你要去引起一些
[31:24] 比較特別的人的助理的話
[31:25] 你就寫一些特別的東西
[31:26] 我相信你會
[31:27] L.A.M. Hermes
[31:28] 古愛、謝孟公
[31:29] 通微二寶寶的
[31:30] 我很喜歡你的節目
[31:31] 言論重新鎖育
[31:32] 拿捏得當不餘舉
[31:33] 跟酸民對賭的時候
[31:34] 也常用兩顆淡淡的幸運金幣
[31:36] 也是頭藝人
[31:37] 那可以問一下
[31:38] 人生過程中
[31:39] 作對選擇時
[31:40] 是一種直覺
[31:41] 還是有什麼牽引者你嗎
[31:42] 能夠培養的嗎
[31:43] 那最後能夠
[31:44] 用拉伸中
[31:45] 酸爽帶痛
[31:46] 咬下嘴唇
[31:47] 我聽起來贏到的感覺
[31:48] 得聲音住
[31:49] 1月7號的
[31:50] 我生日快樂愛寧
[31:52] 非常感謝這位兄弟的支持
[31:54] 老實講
[31:55] 並不是說我的言論不餘舉
[31:56] 就是因為我的言論
[31:57] 餘舉過很多次
[31:58] 那我知道說
[31:59] 我講某些東西
[32:00] 會出事情
[32:01] 就要說
[32:02] 前面去跟大家講那個
[32:03] 我對黃牛的一些看法
[32:05] 就有出事情
[32:06] 就被臭罵一段
[32:07] 即便我還是得強調
[32:08] 我身邊跟我
[32:09] 差不多四為的人
[32:10] 那我覺得生活過得滿不錯的
[32:12] 他們都完全認同我的手法
[32:14] 可是
[32:15] 你知道這個手法出了
[32:16] 我的同溫層次
[32:17] 我竟然很多人是不認同的
[32:18] 所以代表說你知道
[32:19] 有些世界不一樣
[32:20] 你們的觀點就不一樣
[32:21] 就以前我可能也跟你想法一樣
[32:22] 只是我現在
[32:23] 我可能
[32:24] 我在努力往上爬
[32:25] 所以我想法變得不一樣之類的
[32:26] 因為我自己跟我
[32:27] 自己的大學的
[32:28] 思維比起來
[32:29] 我就覺得說
[32:30] 我那時候一直在
[32:31] 打練我大學的自己
[32:32] 之類的
[32:33] 就是為什麼會變這樣
[32:34] 因為沒有辦法你成長了嗎
[32:35] 所以很多時候
[32:36] 並不會說什麼
[32:37] 我不餘舉
[32:38] 反而是我其實
[32:39] 真的在餘舉
[32:40] 那我可能自己有時候
[32:41] 講的一些東西
[32:42] 我越想越覺得
[32:43] 好像不應該這樣講話
[32:44] 會刺激到人
[32:45] 或者是可能
[32:46] 因為這樣子然後真的
[32:47] 有被攻擊
[32:48] 有被罵過什麼的
[32:49] 像舉例來說
[32:50] 前陣子的那個耳包事件
[32:51] 就是明明我講的是
[32:53] 可是在社群上面
[32:54] 大家都在講畢業
[32:55] 然後他們都說那是我講的
[32:56] 所以就知道說
[32:57] 就台灣的快樂寶貝
[32:58] 真的很多嘛
[32:59] 其實那些都是直接說
[33:00] 我是快樂寶貝
[33:01] 這些舉手
[33:02] 因為很明顯他連聽都沒聽
[33:03] 然後直接做評論
[33:04] 才講那些話
[33:05] 可是你就知道說
[33:06] 那我現在講的這些東西
[33:07] 有可能會觸動到那些人
[33:08] 即便我知道
[33:09] 他們跟我是
[33:10] 到不同不像微謀
[33:11] 可是你不想要
[33:12] 你整天在網路上
[33:13] 給人家燒嗎
[33:14] 你看了也煩嘛
[33:15] 所以你是不是以後
[33:16] 就會避談這個東西
[33:17] 所以我覺得我是
[33:18] 在不停的嘗試之中
[33:19] 然後有一直去微服的
[33:20] 做修正
[33:21] 這個修正我不一定會
[33:22] 每個都拿出來跟大家講
[33:23] 就是我覺得我敏感度很高
[33:24] 我會知道說哪些東西
[33:25] 會幫我得到麻煩
[33:26] 然後我覺得
[33:27] 很討厭麻煩的人嘛
[33:28] 所以我覺得稍微得去閃
[33:29] 所以是這樣子
[33:30] 去做一些變化
[33:31] 然後再講說
[33:32] 人生中作對選擇是直覺嘛
[33:34] 其實
[33:35] 老實講
[33:36] 我覺得人生之中的
[33:37] 一些決定
[33:38] 我都有辦法把它
[33:39] 腦補成為是好的
[33:40] 我就算當時
[33:41] 遇到一些壞的事情
[33:42] 我心中就講說
[33:43] 因為覺得說像
[33:44] 我之前幫一個
[33:45] 老闆打工嘛
[33:46] 那個老闆什麼都對我很好
[33:47] 可是我什麼
[33:48] 後面我們會分開呢
[33:49] 我幫我們在節目講過
[33:50] 一定會講過
[33:51] 只是我忘記是什麼時候
[33:52] 反正就是
[33:53] 有一次
[33:54] 他跟我講說
[33:55] 他要去頭抹個擺貨
[33:56] 新開的擺貨裡面
[33:57] 他要去丟一個餐廳
[33:58] 然後他希望這個餐廳
[33:59] 是由我幫他管
[34:00] 那我也可以去路骨
[34:01] 拿到一些份額
[34:02] 我什麼的
[34:03] 這個餐廳以後
[34:04] 可以拼上四櫃或殺小的
[34:05] 所以
[34:06] 他要我去做處理
[34:07] 那我就是
[34:08] 稍微的試探
[34:09] 他講說
[34:10] 我現在手上可能有
[34:11] 鸡擺
[34:12] 那我可以買多少
[34:14] 趴的骨份
[34:15] 那我希望你可以
[34:16] 再多分一點
[34:17] 給我了
[34:18] 因為是我幫你做管理
[34:19] 你也不用再擔心我什麼
[34:20] 那他就直接跟我講說
[34:21] 反正就說
[34:22] 你怎麼會講這個
[34:23] 這東西又上次之後
[34:24] 就不好不好
[34:25] 然後我就聽到這個時候
[34:26] 回家跟我老婆講
[34:27] 然後我老婆
[34:28] 也是非常支持我
[34:29] 就再也不幫這個人工作
[34:30] 那當時當然對我來講
[34:31] 我就掉了一個收錄了
[34:32] 而且收錄還滿不錯的
[34:33] 好像我沒有幫他工作
[34:34] 如果有幫他工作的話
[34:35] 我不一定會這麼專心的
[34:37] 在那種股票
[34:38] 或是說我不一定會
[34:39] 開古來這個節目
[34:40] 我不會認識這麼多人
[34:42] 我不會有這個
[34:43] 廣告的收錄
[34:44] 或是說什麼
[34:45] 因為節目所帶來的
[34:46] 一些資訊的優勢
[34:47] 可是老實講
[34:48] 如果我今天覺得說
[34:49] 我這個是
[34:50] 做了對的決定
[34:51] 還要我錄古來
[34:52] 可是決定來說
[34:53] 我會不會因為
[34:54] 我在古來講了一些
[34:55] 可能不知道
[34:56] 就得罪人的話
[34:57] 或什麼的
[34:58] 然後有時候有一日
[34:59] 我真的傷透了某個
[35:00] 我很在乎的人的心
[35:01] 然後接著呢
[35:02] 他在某一天
[35:03] 決定要跑去跳
[35:04] 因為我節目講了
[35:05] 某些東西刺激到他
[35:06] 然後說孟公
[35:07] 你真的是
[35:08] 讓我傷心得太省了
[35:09] 然後我就會心中想說
[35:10] 媽的早知道
[35:11] 不要錄這個節目
[35:12] 所以你真的不知道
[35:13] 就是你沒有在一些
[35:14] 關鍵的時間點
[35:15] 回頭看的話
[35:16] 你不會知道說
[35:17] 這個選項到底是好事壞
[35:18] 有時候看起來是好
[35:19] 有時候看起來是壞
[35:20] 就像你自己的一些
[35:21] 膽勢
[35:22] 在某些時間點
[35:23] 你就說
[35:24] 還有那時候有衝
[35:25] 所以我才追到老婆
[35:26] 他那時候我說話
[35:27] 所以我現在怎麼樣
[35:28] 可是在某個時間點
[35:29] 你可能會說
[35:30] 為什麼我要這麼抽
[35:31] 我跑去偷我朋友的
[35:32] 珍珠奶茶店
[35:33] 然後家我陪到歸領
[35:34] 可是你這個膽勢
[35:35] 某個時間點是幫你
[35:36] 某個時間點
[35:37] 他卻變成是害你的東西
[35:38] 所以我很常覺得
[35:39] 符貨相疑
[35:40] 就是你沒有在某個時間點
[35:42] 回顧你不知道
[35:43] 那個事情是好事壞
[35:44] 就算你現在覺得是好
[35:45] 他可能在未來
[35:46] 也有可能變成是壞
[35:47] 或什麼
[35:48] 但我問如何
[35:49] 我是很相信直覺的人
[35:50] 我是有
[35:51] 從講
[35:52] 記憶得在訓練我的直覺
[35:53] 所以包含說
[35:54] 像你剛剛前面問過
[35:55] 你雖然感覺
[35:56] 跟這個是沒有關係
[35:57] 我的角度是有關係的
[36:00] 因為我就是直覺知道說
[36:01] 我現在講什麼東西
[36:02] 會得罪到人
[36:03] 所以有時候你會注意到
[36:04] 就是我節目有多講
[36:05] 你就會講說
[36:06] 這個不要再講下去
[36:07] 因為我知道我講下去
[36:08] 我覺得都要麻煩
[36:09] 我已經知道
[36:10] 過往的雞肉記憶
[36:11] 就是這個在講下去
[36:12] 他媽的一定會有人要
[36:13] 跑出來幹給我
[36:14] 老實講你幹給我
[36:15] 我也不會痛
[36:16] 我不會不認識你
[36:17] 我們一輩子也不會交集
[36:18] 可是我就是不爽
[36:19] 說他奇怪什麼
[36:20] 我好好的坐在家裡
