[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过在肺瓣部分成分股仍然有显著的带动
[25:41] 只要我技术做突破
[25:42] 前阵子我们就有看到
[25:44] 因为微软当时不是考虑
[25:46] 要导入DeepSeek吗
[25:47] 让DeepSync的V4
[25:49] 纳入到Copilot服务
[25:51] 那就代表着
[25:52] 接下来微软
[25:53] 可能会改采
[25:54] 依使用量来做计费
[25:56] 如果只要把Token成本
[25:57] 尤其现在Token成本指数
[25:59] 正在缓步的往下滑
[26:00] 这代表着
[26:01] 也许我不用盖
[26:02] 这么多的资料中心
[26:03] 也可以有同等量的算力
[26:06] 这个时候
[26:07] 藉由科技力的突破
[26:08] 导致我资本支出
[26:09] 在不失控的情况底下
[26:11] 能够陆续的反映到应用层面
[26:14] 这个就是大家
[26:15] 值得观察的重点
[26:16] 这也说明着
[26:17] 这个中国在低成本AI的拉伸底下
[26:20] 它就会形成市场上是否能让本轮资本支出竞赛
[26:24] 走到终局的一个重要方式
[26:26] 我们举例来说
[26:27] 最近人工智慧公司Enthropy才指控阿里巴巴旗下的千问团队疑似在今年4月到6月透过2.5万个虚拟账号向Cloud模型发送2880万只的请求
[26:39] 目的就是大规模的截取
[26:41] 模型在城市开发
[26:43] 带领型推论的高阶能力
[26:45] 这个某种程度等同于针溜
[26:47] 所以Enthropy是不断的进行指控
[26:50] 那的确
[26:50] 我们看中国目前
[26:52] 最新智普所开发的开源模型
[26:55] GLM5.2
[26:56] 在引发市场高度关注
[26:57] 为什么呢
[26:58] 重点就是
[26:58] 它的模型在推理知识能力上
[27:01] 大概仅次于GBT 5.5
[27:03] 还有Cloud的Fable 5
[27:05] 可是它的成本
[27:06] 现在按照它的公开说法
[27:08] 大概是十分之一
[27:10] 也就是说
[27:11] 当我的能力
[27:12] 当我的推论能力
[27:14] 贴近于你
[27:15] 但是成本大幅下滑的时候
[27:16] 某种程度而言
[27:18] 在奠定着一个新的AI的赛道
[27:20] 那就是要看哪一个AI最为实用化
[27:23] 如果你只是需要
[27:24] 简单的客服等等
[27:25] 中国的模型
[27:26] 虽然并不是最优秀的
[27:28] 可是肯定是最便宜的
[27:30] 那么就会吸引部分的资金回流
[27:31] 那么如果影响到科技巨头的
[27:34] 资本支出的投入幅度的时候
[27:36] 就会让全球的AI投入
[27:39] 来到一个缓不趋缓的空间
[27:41] 这个是值得大家观察的重点
[27:43] 也就是要解决本轮通膨的方式
[27:46] 中国也是一个重要的色彩
[27:48] 这给投资朋友多些思考了
[27:50] 事实上我们看到中国市场
[27:52] 在这一段时间
[27:54] 其实AI爆发的速度也相当之快
[27:56] 我们前阵子才跟投资朋友提到
[27:58] 最近DeepSeek是大举的扩编
[28:00] 全球现在迎来全球AI竞争
[28:02] DeepSeek是宣布
[28:03] 所有部门扩编至少一倍
[28:06] 现在是积极的招募资料工程师
[28:08] 开发工程师
[28:09] 还有跨领域的AI人才
[28:11] 来挑战海外对手
[28:12] 现在这项征财计划
[28:14] 大概是需要500亿人民币
[28:16] 现在DeepSeek也在大规模的募资
[28:19] 再加上之前的质朴
[28:21] 半年股价涨了20倍
[28:22] 现在也是募了接近有数十亿美元
[28:25] 来扩大AI的布局
[28:26] 那这些企业
[28:28] 这些中国的AI公司
[28:29] 它在前沿模型上
[28:31] 还从来没有拿下第一过
[28:33] 可是在成本上
[28:34] 目前平均来看
[28:35] 速度下滑的越来越快
[28:37] 我们以今年大摩针的资料来看
[28:40] 从DeepSick目前
[28:41] 看起来仍然是最具破坏力的低价值
[28:43] V4的输入成本
[28:45] 每百万Token
[28:46] 大概一块人民币
[28:47] 这个字节跳动提下的豆包
[28:51] 极低定价
[28:52] 大概是0.8块
[28:54] 其他就算是比较前沿的模型
[28:56] 具有M5.2或者Kimi K2.7
[28:58] 相对高价格
[29:00] 价格大概也就是美国的五分之一四分之一而已
[29:03] 所以这就是一个很新的路线
[29:05] 低成本普及化的策略
[29:08] 正在快速的反映在中国的民间市场
[29:12] 然后这个后续是可能压缩通膨的一个重要方式
[29:15] 也给投资朋友多做一些思考和留意
[29:17] 好早上九点钟
[29:19] 我们先稍微看一下行情的变动
[29:21] 股市下跌594点
[29:24] 收在45660点
[29:26] 这个行情走到现在这个位置
[29:28] 我们很清楚知道
[29:29] 好像极化现象更明显
[29:32] 可是这个极化
[29:32] 已经不是单纯集中在科技巨头
[29:34] 而是反映在各大资金流层面
[29:38] 锁定在卖产值的这些企业
[29:40] 其实大家来到我们节目
[29:43] 很多人
[29:44] 他是用不同角度来做观察
[29:47] 因为我们今天聊的范围都很广
[29:48] 每天聊都很广
[29:49] 一开始先聊整个通膨
[29:51] 科技通膨的问题
[29:52] 到苹果产品的售价调高
[29:54] 到解决这个科技通膨问题
[29:56] 你可以藉由科技通促的方式
[29:58] 也可以藉由物价压制的方式
[30:00] 甚至让消费需求适度的走软
[30:03] 也是一种方式
[30:04] 但是在多空的角度过程当中
[30:07] 本来大家都是有多有空
[30:09] 你只要有自己的原则思维
[30:11] 汲取你所需就可以了
[30:13] 所以很多来我们节目的网友
[30:15] 其实都是不同理由来这边的
[30:17] 有的专门就是想看看
[30:19] 散户在想什么
[30:21] 想看我在想什么
[30:23] 了解一下市场概况
[30:24] 有些人就收集一下讯息
[30:26] 有些人只是要稍微梳理一下
[30:28] 一整天的新闻聚焦点
[30:31] 大概在哪里
[30:31] 了解题材的走向
[30:33] 其实大家就是不同的理由
[30:34] 来到这边
[30:35] 当然大家有自己的投资中心逻辑
[30:37] 我们提供的内容也是参考就好了
[30:40] 也不全然
[30:41] 这些理由都是唯一理由
[30:43] 你说大家都是为了震惊资讯来
[30:46] 好像也没那么震惊
[30:48] 说的都是因为黄段子来
[30:50] 我们节目
[30:51] 朋友怎么可能那么肤浅
[30:53] 所以想来想去
[30:54] 只有一种解释
[30:55] 就你们都是为了我的美色而来
[30:58] 你说浩哥我是男生
[31:00] 我们节目
[31:02] 对男性观众比较多
[31:03] 你没试过你怎么知道呢
[31:06] 你看我们每一次
[31:07] 我不是讲一个笑话
[31:08] 每个人都打一个问号
[31:10] 很多问号问号
[31:11] 大部分都男生
[31:13] 问号是什么意思
[31:14] 问号就是
[31:15] 弯的
[31:17] 自己是弯的
[31:19] 露馅了吧
[31:19] 如果是直的
[31:21] 以后要打惊叹号
[31:22] 好不好
[31:22] 弯的是问号
[31:24] 直的是惊叹号
[31:25] 你看现在又弯又直
[31:28] 果然双信链抓到
[31:29] 所以
[31:30] 对
[31:30] 我为什么要讲这个
[31:31] 我们讲就是
[31:32] 我们所提供的内容资讯
[31:34] 那很多网友会在留言区
[31:36] 给我们指教看法
[31:37] 这都没有太大的一个问题
[31:39] 主要就是提供
[31:40] 我们的所见所闻
[31:41] 给大家做一些梳理
[31:42] 那大家积蓄所需就可以了
[31:44] 为什么这样讲呢
[31:45] 因为好久没抽书了
[31:46] 我们一直希望大家
[31:47] 不要只从我们的节目当中
[31:48] 获取进一步的财经资讯和思维
[31:51] 也可以从不同的书籍当中
[31:52] 获得更进一步的思考
[31:54] 今天介绍这本书叫做
[31:56] 《为什么会战争》
[31:57] 这本书的作者是
[31:59] 早稻田大学的学术教授
[32:01] 野上元先生所写
[32:03] 他里头其实就提到了
[32:05] 战争当然离我们很近
[32:07] 不只是谈前线军队或者国际政治
[32:10] 他里头主要是聊
[32:11] 我们在不同社会当中
[32:14] 战争怎么看社会
[32:16] 过去是谁在打仗
[32:17] 那过去谁该上战场
[32:19] 它是如何演变到现在的战争格局
[32:22] 那当然我们讲说战争离我们很近
[32:25] 刚才我们聊到的一个最大区别在于
[32:27] 现在的战争跟过往又不太一样
[32:29] 尤其在东亚市场当中
[32:31] 我们有清楚知道
[32:32] 不管是中国南韩日本台湾
[32:34] 它都经不起一场热战
[32:36] 可是这一波热战
[32:38] 它又由于休息底的陷阱的产生
[32:40] 势必又觉得美中之间
[32:42] 好像在东亚势必会有一场消耗
[32:44] 大家总会担心
[32:46] 南韩台湾日本
[32:47] 是否成为一个消耗的棋子
[32:50] 但其实我们都很清楚知道
[32:52] 现在在休息底的陷阱当中
[32:54] 已经很难把它比拟在东亚市场了
[32:57] 第一休息底的陷阱
[32:59] 在16次的国际冲突当中
[33:00] 有12次演变为战争
[33:02] 可是有4次并没有演变为战争
[33:05] 第二现在的战争
[33:07] 其实更集中在我们刚才所提到的
[33:09] 虚拟市场
[33:10] 往往比的是什么
[33:11] 以前大多数的争霸
[33:14] 都是沿着那个地缘轴线
[33:15] 雅典跟斯巴达
[33:17] 北约跟俄罗斯
[33:18] 那都热战
[33:19] 但是21世纪的美中争霸
[33:22] 它比的是什么
[33:23] 比的是晶片技术
[33:24] 比的是ChatGPT跟DeepSeq
[33:27] 比的是量子电脑
[33:29] 这些都是跟地缘完全没有关系的虚拟世界
[33:32] 你说美中之间的争霸
[33:33] 真的是为了一个地缘上的一个小岛吗
[33:37] 并不是
[33:38] 台湾当然很重要
[33:39] 但是我们也知道
[33:40] 对于川普来看
[33:41] 到底是台湾这个位置很重要
[33:44] 还是台湾的晶片生产能力
[33:46] 对他来讲很重要
[33:47] 这个背后就要了解了
[33:48] 以前是沿着地缘轴线来引发战争
[33:51] 现在是由虚拟世界的争霸
[33:54] 这个争霸某种程度
[33:56] 也可以为我们争取到更多的时间
[33:58] 但是也让我们意识到
[34:00] 这个技术一定要好好地把握在自己手上
[34:04] 一定要强化自己的技术
[34:05] 才能够在这场热战当中
[34:07] 或者冷战当中
[34:08] 新一轮的科技争霸战当中
[34:11] 能够存活下来
[34:12] 本书其实就是聊这些事情
[34:14] 让我们了解在整个东亚局势当中
[34:16] 我们作为一个平凡人
[34:17] 要如何看待
[34:18] 现在新一轮的美中局势
[34:21] 给投资朋友做一些思考
[34:22] 905分
[34:23] 台股还是下跌600点左右
[34:24] 我们今天聊范围很广
[34:26] 从一开始的
[34:27] 荷姆斯海峡的开开关关
[34:29] 一直到苹果产品的科技通膨
[34:32] 到后续
[34:33] 藉由不管是科技通缩的方式
[34:35] 中国模型AI竞争的方式
[34:37] 资本支出能够趋缓的方式
[34:40] 来尝试的把本轮的AI泡沫
[34:42] 它能够有一个良好的方式来做解决
[34:45] 无条件的扩大资本支出也是一个问题
[34:48] 但是要让它立即停止资本支出
[34:50] 也有点难度
[34:51] 也许就有一些折中方式
[34:53] 能够让本场游戏回归到理性
[34:55] 当然回过头来看
[34:57] 最为重要的就是对于台湾而言
[34:59] 无疑是站在AI的时代浪口
[35:01] 那如何让技术秩序把握在我们手中
[35:03] 就特别重要了
[35:04] 给投资朋友多多的思考
[35:05] 如果喜欢这本书
[35:06] 那我们也在稍晚在留言处
[35:08] 也抽出两本书
[35:10] 送给我们的投资朋友
[35:11] 那我也建议大家
[35:12] 把这本书给买回家
[35:13] 那抽到的书
[35:14] 就送给你的好朋友
[35:15] 给投资朋友多多去思考
[35:17] 如果喜欢我们的节目
[35:17] 记得帮我们订阅按赞加分享
[35:19] 我们就礼拜一早上八点半
[35:20] 找成财经数据图
[35:21] 再相见
[35:22] 祝各位投资朋友
[35:23] 看完顺利
[35:23] 操盘愉快
