[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 不管是臺美股市成交量都在陸續放大
[24:46] 越做越真
[24:47] 招募公司
[24:48] 現在也在訓練
[24:49] AI接受你的工作
[24:50] 這個公司叫默克
[24:51] 就是他是一個科技新創
[24:53] 他現在呢
[24:54] 幫助很多專業人士來教AI
[24:58] 做他們原本擅長的事情
[24:59] 比如說從顧問
[25:00] 到記者
[25:01] 到房仲
[25:02] 到社工
[25:03] 各行各業的人啊
[25:04] 你去上面可以賺錢
[25:05] 就是你去教AI
[25:07] 我怎麼具體做
[25:08] 因為現在AI
[25:08] 獲得的都是一些
[25:09] 知識性的工作嘛
[25:10] 那具體要如何
[25:12] 把一些物理上的行為
[25:14] 更好的調教呢
[25:16] 那這些AI呢
[25:17] 他會幫助你做學習
[25:19] 學習完之後
[25:19] 你還可以付給他錢
[25:20] 讓他的模型更加成熟
[25:22] 然後企業端
[25:23] 就會來跟這家公司來買
[25:25] 如何去買更專業的AI
[25:27] 因為我們現在AI的
[25:28] 很多都是未到錯誤的資訊
[25:30] 所以回答可能有一點問題
[25:32] 但不管怎麼說
[25:33] 我們看到軟體產業
[25:34] 目前全面爆發
[25:35] 硬體產業就後來跟上
[25:37] 這家公司叫日本電通
[25:39] 日本電通
[25:40] 它專門是做科技裝置感觸的
[25:42] 以前沒有AI的時候
[25:44] 你要讓大家感受到
[25:46] 一個物理的結構
[25:48] 它的觸感
[25:49] 其實有很大挑戰
[25:50] 但是現在隨著AI技術的成熟
[25:53] AI會先判斷這個物體
[25:55] 大概是偏硬還是偏軟
[25:56] 偏粗糙還是偏光滑
[25:59] 還是次次的
[26:00] 再轉成不同強弱的振動和聲音
[26:03] 透過在指尖上的小裝置傳給使用者
[26:06] 就我們小時候在教育在繪本的時候
[26:09] 都是讀故事都是看故事
[26:12] 但是如果能讓小孩子摸到陶瓷的感覺
[26:15] 摸到武器是什麼形狀
[26:17] 摸到怪物的皮膚
[26:18] 裡頭說什麼獨角獸的腳
[26:20] 龍的鱗片
[26:21] 它都可以自然的生成
[26:23] 用AI的方式持續進行更改
[26:25] 這種觸覺上的一個突破
[26:27] 也是一種我們講說
[26:29] 物理上的一個顯著突破
[26:30] 你說我想要設定成
[26:32] 浩哥屁股下面的毛的觸感
[26:35] 它也給你觸感
[26:36] 你要打什麼
[26:37] 它都可以回饋給你
[26:38] 這個就是我們看到
[26:39] AI幫助這個世界
[26:41] 所帶來的新方向
[26:42] 當然了
[26:43] 這些都是屬於
[26:44] 在我們從軟體層面
[26:46] 到比較新創形態的一個表現
[26:48] 最好還是要有終端產品的推出才適合
[26:51] 舉例來說生存式AI
[26:53] 現在一直在想說
[26:54] 下一輪的AI終端裝置
[26:56] 到底是眼鏡還是其他手機
[26:58] 或者是一個戒指
[27:00] 現在不管是OpenAI還是Cloud
[27:03] Gemini
[27:03] 後續都認為會有新硬體的亮相
[27:06] 大家想要打破
[27:07] 原本由蘋果獨佔的手機消費市場的龍頭藉由其他的終端裝置來做打破那肯定不可能在手機上跟你競爭嘛所以現在智慧戒指越來越流行以後
[27:18] 我們就來觀察
[27:19] 它到底能不能有未來更多
[27:21] 為了對話而生的硬體
[27:23] 這給投資朋友做一些思考了
[27:24] 現在不是捷運啊
[27:27] 都可以直接逼信用卡和手機了嘛
[27:29] 我就看到越來越多人
[27:30] 可能後來就改用那個Apple Watch了嘛
[27:33] 那有時候那個逼卡
[27:34] 帶左手帶右手還不太方便對不對
[27:37] 有些人左撇子
[27:37] 有些人又撇子
[27:38] 我後來看到網路上有人說
[27:40] 用戒指是一種方式
[27:42] 就把晶片輸入在
[27:44] 類似戒指的終端裝置
[27:46] 那就手靠一下
[27:47] 你連卡都不用拿出來
[27:49] 手機都不用拿出來
[27:50] 逼卡一下就可以過了
[27:51] 甚至有人說
[27:52] 可以掛在耳環
[27:53] 耳環這樣子
[27:54] 對
[27:54] 彎一下腰
[27:55] 晶片感應一下
[27:57] 就能夠過了
[27:58] 你要舌環也可以
[27:59] 吐出舌頭就可以過了
[28:02] 那你不想彎腰
[28:03] 你也可以穿肚環
[28:05] 或者其他位置
[28:07] 就不用彎腰了
[28:08] 但不管怎麼講
[28:09] 我們講說一般人
[28:11] 都是為了準備AI
[28:13] 產生新一輪的週期輪替
[28:15] 而現在這種AI的大爆發
[28:17] 其實就是最後搶錢的問題
[28:19] 所以這麼多的新創公司要IPO
[28:21] 這麼多的新創公司
[28:22] 陸續推出以後
[28:23] 我們就要觀察
[28:24] 到底下一輪的終端裝置為何
[28:26] 有些人說戒指
[28:27] 那現在比較主流的思想
[28:29] 是穿戴裝置的眼鏡
[28:30] 消費型的AR眼鏡
[28:32] 的確在過去Meta的推波助瀾底下
[28:35] 曾經受到市場的關注
[28:36] 那很多新創公司
[28:38] 也走入到更輕更小的設計
[28:41] 比如說Specs
[28:42] 他研發的就是那種
[28:43] 相對於SnapOS手勢的操控
[28:47] 來加強他的情感認知的演進
[28:49] 把數位資訊疊加到現實世界
[28:52] 基本上就把它帶著一整天以後
[28:54] 晚上甚至他可以幫你總結出
[28:56] 你今天做了什麼事情
[28:57] 你今天做了什麼樣的一個
[28:59] 這個事情的衍生整理
[29:01] 以及你今天有跟人家約幾點幾分
[29:04] 他都可以幫你後續資料調出來
[29:06] 用這樣的一個方式來搶佔
[29:08] 下一輪相對直觀的傳代商機
[29:11] 所以不管怎麼說
[29:12] 我們看到這個時代已經正式大爆發
[29:14] 那當然最終最終呈現的效果就是
[29:17] AI所創造的產值越來越高
[29:20] 但是AI所需要的人力成本卻持續下行
[29:23] 對於很多年輕人來說
[29:24] 畢業之後找工作的現實
[29:26] 現在就開始改變了
[29:28] 我們舉例來說
[29:28] 現在出現了幾個現象
[29:30] 第一個現象就是
[29:31] 市場上有越來越多人
[29:33] 用AI去填寫履歷
[29:35] 那填寫履歷以後
[29:36] 後來大家發現
[29:38] 過去一年
[29:39] 你像是Greenhouse
[29:40] 就美國的求職系統公司
[29:42] 平均一位求職者的投遞值缺數
[29:45] 暴增了239%
[29:47] 有些公司收履歷收到手軟
[29:49] 因為大家都在用AI來投履歷
[29:52] 那甚至亞馬遜上個月就擋下了1800封
[29:55] 來自北韓的申請
[29:56] 也不知道為什麼北韓申請這麼多履歷
[29:59] 是要攻擊還是怎麼樣
[30:00] 但不管怎麼說
[30:01] 這些訊息都導致
[30:02] 公司要匯入更多AI
[30:04] 來阻擋這麼多AI的履歷表
[30:06] 種種效果就變成了
[30:08] AI博弈AI的現象
[30:09] 這也使得我們看到
[30:11] 在過去一段時間
[30:11] 整體年輕人口的失業率
[30:13] 其實還在緩步的上升
[30:15] 科技提升生產力
[30:17] 會催生新工作
[30:18] 但這一輪
[30:19] 削減的工作速度
[30:20] 似乎比催生的新工作
[30:22] 還要來得更為快速一點
[30:23] 我們從美國在實職工作
[30:26] 或者我們講說
[30:27] 對於勞動年齡人口
[30:29] 開始下坡的國家
[30:31] 基本上都必須被迫要持續性的匯入AI
[30:34] 那現在呢
[30:35] 新鮮能工作的乾旱時代也正式來臨
[30:38] 所以啊
[30:38] 我們也清楚知道
[30:39] 這個工作的新定義啊
[30:41] 它已經變成了能否解放雙手
[30:43] 王豪的構想
[30:44] 馬斯克的構想是能夠解放雙手
[30:47] 大家就是做自己想做的事情啊
[30:48] 也許我們的確迎來一個物質風雨的時代
[30:51] 但往壞處想啊
[30:53] 還來不及迎來那個時代
[30:54] 大家先失業了
[30:55] 所以不管怎麼說啊
[30:56] 重點是錢嘛
[30:57] 那你能不能維持整個貨幣穩定的環境
[31:00] 大家還是有錢可以拿了
[31:02] 對不對
[31:02] 工作心定義
[31:03] 我們講說
[31:04] 你不愛一個人
[31:05] 你會選擇離開
[31:07] 你不愛去上班
[31:08] 你還是每天要去上
[31:09] 所以你不是不能忍受痛苦
[31:12] 你只要給錢就行
[31:13] 所以有工作沒工作都可以
[31:15] 重點是給我錢就行
[31:17] 要讓人家活得下去
[31:19] 好
[31:19] 我們今天主要是跟投資朋友分享
[31:21] 在整個AI榮景的帶貨潮底下
[31:23] 軟體股的拉昇幅度
[31:25] 沒有想象中有進一步的突破
[31:27] 不過這不一定是一件壞事
[31:29] 因為現在股票也沒什麼幾檔是便宜的
[31:32] 而且少數是又大又貴的股票
[31:35] 現在開始本一筆下滑
[31:37] 那另外一大方面
[31:38] 我們看到本破的帶貨潮
[31:40] 對於臺灣長期龍井的拉昇
[31:41] 以及對於終端裝置的衍生
[31:44] 都使得市場上有更進一步的想象空間
[31:46] 給投資朋友做一些參考
[31:47] 臺北股市下跌232點也跌不重
[31:50] 現在500點以內都正常波動
[31:53] 因為點位變大了
[31:54] 今天跟投資朋友導讀一本書
[31:56] 叫做馬斯克X帝國
[31:59] 那這本書呢
[32:00] 是作者是
[32:02] Cote Hagen
[32:03] 他是彭博新聞的專題記者
[32:06] 那其實他也寫過相關的著作
[32:09] 都是描述名人或者科技巨星
[32:11] 一路成長到現在的關鍵
[32:13] 馬斯克我們知道
[32:14] 今年SPEX就即將要上市了
[32:17] 那裡頭他其實就聊了
[32:18] 這個X帝國它是如何產生的
[32:21] 其實我建議
[32:22] 之前有那個馬斯克傳
[32:24] 你應該交叉起來讀
[32:25] 因為作為一名企業家
[32:27] 他的公司很複雜
[32:28] 他有做電動汽車的特斯拉
[32:31] 現在變成做機器人
[32:32] 有研究火箭的SPECX
[32:34] 有Neuralink
[32:35] 連線腦機介面的
[32:37] 還有一個Boring Company
[32:39] 沒賺什麼錢
[32:39] 但有點類似高鐵技術
[32:41] 到後來變成收購了Twitter
[32:44] 成立X
[32:44] 總之就是馬斯克是一個
[32:47] 從各大方面都很難被總結的人
[32:49] 他有很極端的優點
[32:50] 有很極端的缺點
[32:52] 有時候我們覺得他的言行
[32:53] 感覺有點狂妄
[32:54] 有點瘋子
[32:55] 但他的確又在創造歷史
[32:57] 所以後續我們要觀察的幾大效果
[33:00] 你會發現馬斯克之所以成立X帝國
[33:03] 有很多的想象空間逐步的發酵
[33:06] 也就是說他本身所有的目的
[33:09] 其實都是從第一性原理
[33:11] 一路的往下延伸
[33:12] 到最後成立一大帝國
[33:14] 你看馬斯克他最大的夢想是什麼
[33:16] 最大的夢想就是要上火星
[33:18] 讓人類成為一個多星球物種
[33:21] 那聽起來很狂妄
[33:22] 那馬斯克要如何把它拆分成小目標呢
[33:25] 那美國政府算過
[33:27] 如果要把一個人送上火星
[33:28] 現在技術上是有可行性的
[33:31] 那要花多少錢呢
[33:32] 大概100億
[33:33] 你要送100萬人上去
[33:35] 那就是一兆兆個億
[33:37] 那這筆錢差不多是美國500年GDP
[33:39] 所以馬斯克該怎麼做呢
[33:41] 先把錢成本給降下來
[33:43] 那最好的做法
[33:44] 先把它拆分成火星飛船
[33:48] 火星太空船
[33:50] 先把成本給壓下來
[33:52] 所以我們要造更大一點的火箭
[33:54] 而且要可以重複的利用
[33:56] 可是就算要重複利用
[33:57] 火箭還是很貴
[33:58] 那該怎麼辦呢
[33:59] 先做電動車
[34:01] 因為做電動車
[34:02] 它就會需要用到太陽能
[34:03] 或者需要用到綠能
[34:05] 相關的產品迭代
[34:06] 所以把電動車可以賣好以後
[34:08] 整個儲能系統就已經完成了
[34:10] 所以你看
[34:10] 馬斯克現在從資料中心
[34:13] 甚至他自己要新建半導體廠
[34:15] 一直到電動車
[34:16] 中單產品
[34:17] 一直到火箭
[34:18] 一直到未來移民計劃
[34:20] 它本身都是圍繞著
[34:21] 這個X帝國產生的
[34:23] 所以它是有一個很長遠的宏圖
[34:25] 把它細分成每一個每一個
[34:28] 細節要如何做成
[34:30] 那當然其中就是第一性原理的產生
[34:32] 第一性原理就是
[34:33] 像科學家一樣思考的方式
[34:35] 科學家不做任何的假設
[34:37] 他們以這樣的問題來開始
[34:38] 他們絕對確定這是為什麼
[34:40] 已經被證明的是什麼
[34:42] 第一性原理要求你越挖越深
[34:44] 直到你只剩下一個基本事實
[34:46] 用這樣的一個方式
[34:47] 你後續才能夠組裝成
[34:49] 你所需要的東西
[34:50] 舉例來說
[34:51] 你不必把每一個問題
[34:53] 簡化到像原子級別一樣的條件
[34:55] 之前是哪一本書
[34:57] 美國有一個著名的戰鬥飛行員
[34:59] 他就做過一個實驗
[35:00] 假設你手上有三件東西
[35:02] 比如說
[35:03] 你想要做一個跟著滑雪者的摩托車
[35:07] 和一個軍事坦克
[35:10] 還有一個腳踏車
[35:11] 那麼現在你把它進行拆分以後
[35:13] 那個摩托艇
[35:14] 大概就是摩托艇
[35:16] 然後船殼
[35:16] 還有一對滑雪板
[35:17] 坦克的部分就是金屬踏片
[35:19] 有鋼板有槍
[35:20] 腳踏車有車把
[35:22] 有車輪有齒輪和坐車吧
[35:24] 那你把這些第一性原理全部拆解以後啊
[35:27] 你就很容易組裝成新一臺的雪地摩托車嘛
[35:30] 用這樣的一個方式啊
[35:32] 你才可以瞭解說第一性原理啊
[35:34] 從最原始的角度往最擴張的角度來做延伸
[35:37] 很多創意的演發引發其實都是如此啊
[35:41] 那馬斯克的X帝國這本書啊
[35:43] 現在因為六月份就要上市了嘛
[35:44] 我們要怎麼來觀察
[35:46] 現在馬斯克這個帝國的成立
[35:48] 他的興衰呢
[35:49] 最大風險是他嗎
[35:50] 還是說
[35:51] 其實他塑造了一個構想
[35:53] 他塑造了一個新時代
[35:54] 他讓很多年輕人都在追隨他
[35:56] 我就是他其中一個追隨者
[35:58] 我覺得這本書推薦給投資朋友
[36:00] 如果大家有興趣
[36:01] 就買這本書回家
[36:02] 或者也可以在底下留言抽書
[36:04] 如果抽到的話
[36:05] 也可以送給你欣賞的人
[36:06] 把這本書送給他
[36:08] 如果喜歡我們節目
[36:09] 記得幫我們訂閱按贊加分享
[36:10] 那我們就下禮拜一早上八點半
[36:12] 早晨財經數學書在相見
[36:13] 祝各位投資朋友
[36:14] 開門順利
[36:15] 操盤愉快
