[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那大家更为关注的当然是标普和纳指改写历史新高以后
[25:10] 市场开始剧烈波动的时候
[25:12] 你能不能坚持原本的策略
[25:15] 我们作为左侧买方
[25:16] 不代表说
[25:18] 股价上涨过程当中
[25:19] 不能追股票
[25:20] 可是如果本意比情绪乖离
[25:22] 这种太疯狂的显著推高
[25:24] 那你就要好好了解
[25:26] 那你有没有坚持当时原本的路线
[25:28] 这是很重要的
[25:30] 最近诺兰的电影要上映了
[25:32] 奥德赛
[25:33] 我自己是对奥德赛很熟悉
[25:35] 因为我们那时候要追人生院的妹子
[25:36] 常常看一些
[25:37] 平时大家不太懂的一些
[25:39] 人生院才懂的作品
[25:40] 那奥德赛里面有一个非常经典的故事
[25:43] 讲那个海妖赛连的歌声
[25:46] 会让水手去失去理智
[25:48] 然后就会把船开向死亡去撞墙
[25:51] 奥德修斯知道这件事情
[25:53] 他也很好奇
[25:54] 想说那到底是多好听
[25:56] 他就提前安排
[25:57] 叫所有的船员
[25:58] 用蜡去封住自己的耳朵
[26:00] 然后把自己牢牢的绑在船杆上
[26:03] 无论等等发生什么事情
[26:05] 你们都听着
[26:06] 不准把我给放开
[26:07] 然后当船经过的时候
[26:10] 他就瞬间失去理智了
[26:12] 实在太好听了
[26:13] 忍不住
[26:14] 心饥渴
[26:14] 想要冲向赛连
[26:15] 但是船员就不理他
[26:17] 硬是把船划离开危险海域
[26:20] 那投资市场
[26:21] 每天都在上演赛联的故事
[26:24] 市场的暴涨神话
[26:26] 社群的炫耀
[26:27] 短线翻倍的诱惑
[26:29] 就像那个让人失控的歌声
[26:32] 真正成熟的投资人
[26:34] 是不会信饥渴的
[26:35] 不会相信自己永远理性
[26:37] 而是知道自己一定会被情绪影响
[26:39] 所以你要先建立好规则
[26:40] 把自己给绑起来
[26:42] 你有橡皮筋先绑起来
[26:44] 有人用资产配置来限制风险
[26:46] 有人设定停损停利
[26:48] 有的人用定期定额来规避情绪交易
[26:50] 所以手乱下单就是下流了
[26:53] 我们不要乱摸当下流的投资人
[26:56] 好那回过头来说
[26:57] 你说那难道这一轮的上涨就毫无理性吗
[27:00] 上涨是有其道理的
[27:02] 但是情绪推动是真的
[27:04] 我们举例来说
[27:04] 上涨有道理的原因是因为过去我们提到
[27:06] 非半的本益比的确在下滑
[27:08] 而获利的成长开始扩散了
[27:11] 过去两年大家一直批评
[27:12] 美国只是少数的科技巨头在成
[27:15] 可是最新标普的中位数公司
[27:18] 获利已经开始成长了
[27:19] 而且是四年来的最高
[27:22] 更重要的事情是
[27:23] 11个产业部门
[27:24] 同时间出现了正成长
[27:26] 就说明着
[27:27] 不只是挥达
[27:28] 微软Meta在赚钱
[27:30] 它开始全面扩散了
[27:31] 所以这就对于整个美国股市
[27:33] 它有一个获利会开始推升的重要信心
[27:37] 可是重点来了
[27:38] 那这个信心
[27:39] 足不足以导致
[27:40] 第一所有股票大涨
[27:42] 第二值不值得
[27:43] 这么高强度的追加意愿呢
[27:45] 这个就见仁见智
[27:46] 毕竟现在情绪怪力
[27:47] 真的拉得有点高
[27:48] 持押或者房贷抵押规模
[27:50] 真的都在创高
[27:51] 融资规模更不用讲了
[27:53] 如果我们细节观察
[27:54] 其实没有股市
[27:55] 内部市场也没有想象中
[27:56] 这么健康
[27:57] 获利是健康的
[27:59] 可是股价就不一定了
[28:00] 举例来说
[28:01] 最近我们看到
[28:02] 同博说统计
[28:03] 标普500创下
[28:04] 52周新低的股票数量
[28:06] 正在增加
[28:07] 目前已经超过20档了
[28:09] 历史上
[28:09] 这种情况出现的时候
[28:11] 短期可能还能够继续涨
[28:12] 可是未来三到六周报酬
[28:15] 可能会瞬间拥有压力
[28:16] 为什么
[28:17] 因为如果你跟AI无关的
[28:20] 现在看起来巨头压力是非常大的
[28:22] 就是你像波克西亚
[28:23] 传产等等
[28:24] 越来越多的股票
[28:26] 现在快要跟不上指数了
[28:28] 其实台股也是
[28:29] 台股因为这几周
[28:31] 涨的比较多是龙头股
[28:33] 就是你如果持股比较分散一点
[28:35] 比较多中小型股
[28:37] 你的确是蛮容易
[28:38] 突然之间好像有点追不上大盘
[28:40] 像台股就真的是这样子
[28:42] 涨20%算赔
[28:43] 40%算跟上大盘
[28:46] 涨60%才好不容易跟上主动型基金
[28:49] 今年绩效80%
[28:51] 才算是顶尖的投资人
[28:53] 看起来是如此
[28:54] 所以投资人
[28:56] 现在也很容易抱持着
[28:57] 这种沉默成本的陷阱
[28:59] 很多人也抱着一档股票
[29:01] 也不是说他会有未来
[29:02] 而是自己已经投入太多时间
[29:04] 金钱或者情感
[29:06] 然后开始替公司找理由
[29:08] 有时候现在价格不好的
[29:09] 也帮他合理化
[29:10] 他赔我很多年
[29:12] 他陪你很多年
[29:13] 不代表他会回报你
[29:14] 所以市场上
[29:15] 也是这样的一个情况
[29:16] 整体报酬内部分期
[29:19] 其实相对来的大
[29:20] 所以有时候我们讲说
[29:20] 为什么要有一定的部位
[29:21] 参与大盘
[29:22] 超越大盘的方式
[29:23] 也许可以在低乖离
[29:24] 情绪相对低的时候
[29:26] 多扣款一点
[29:27] 用成本价的方式
[29:28] 来超越大盘
[29:29] 但最后你会发现
[29:30] 整体市场的走势
[29:31] 获利是健康的
[29:33] 但是在股价的推高
[29:35] 和分期层面
[29:36] 又没有这么的健康
[29:38] 这给投资朋友做些借镜
[29:39] 台股上涨872点
[29:41] 是在42,011点
[29:43] OK
[29:43] 那我们就看一下
[29:44] 这股行情
[29:46] 到底能够推升到
[29:47] 什么样的一个区间
[29:48] 今天我们聊的范围比较广
[29:50] 从中东战事
[29:51] 一路聊到
[29:52] 整个美中之间
[29:53] 川习会的登场
[29:54] 以及川习会之间的
[29:56] 经济筹码的陆续释放
[29:57] 再来也看一下
[29:59] 整体全球股市
[30:00] 涨到这样的一个位阶以后
[30:01] 市场它的力度的支撑论点
[30:04] 在于基本面的上行
[30:05] 但是情绪和乖离
[30:07] 肯定跟过往
[30:08] 造成这种基本面上行的区间
[30:11] 有点脱离
[30:12] 以前也常常看到获利上行的财报季
[30:15] 但是这一轮的上涨
[30:17] 那好像不只是反映本轮财报
[30:19] 好像反映在2028年财报的一样
[30:21] 那要如何理解这件事情呢
[30:23] 也许用一个周期角度而言
[30:25] 平心而论
[30:26] 你有没有坚持当时的投资初衷
[30:28] 左侧你不要过度的悲观
[30:30] 右侧你也不要过度的乐观
[30:32] 依循着乖离
[30:33] 依循着情绪
[30:34] 依循着景气位阶
[30:35] 调节自己的资金部位
[30:36] 我们相信是最为合理的做法
[30:38] 也给投资朋友做些参考
[30:39] 如果喜欢我们的节目
[30:40] 记得帮我们订阅按赞加分享
[30:41] 我们就明天早上8点半
[30:43] 早晨财经速解读再相见
[30:44] 祝各位投资朋友
[30:45] 开盘顺利
[30:46] 炒盘愉快
