[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那是否代表着巨头有开始获得新一轮资金的机会
[26:00] 上涨也赚钱
[26:01] 后来学会了期货
[26:02] 价格不动
[26:03] 波动的耗损也赔钱
[26:07] 后来学了选择权
[26:08] 十倍数亏钱
[26:10] 最早只炒台股上班亏钱
[26:12] 现在台股交易到三点半
[26:13] 下午也亏钱
[26:14] 后来学了美股
[26:15] 晚上睡觉也亏钱
[26:16] 好不容易学会了炒币
[26:18] 周末也亏钱
[26:18] 最后去融资
[26:19] 没钱也亏钱
[26:20] 所以你要了解
[26:22] 如果你心态不对
[26:23] 做什么都会亏的
[26:24] 但是本身交易制度的优化
[26:26] 都是让我们能够与市场
[26:28] 做更进一步的结果
[26:30] 给投资朋友多多一些思考
[26:31] 好 当然回过头来看
[26:32] 第三个PNI的观察数据
[26:35] 就是中国市场的PNI
[26:37] 这一次整体中国PNI
[26:39] 其实数据表现算是非常不错
[26:41] 整体PNI是来到50.3
[26:44] 官方所公布的PNI
[26:46] 你说好像比美国比台湾稍微差一点
[26:48] 但问题在于
[26:49] 基本已经陆续走出过去的
[26:52] 制造业疲惫阴霾了
[26:54] 我们知道中国制造业PNI
[26:56] 重返扩张以后
[26:57] 其实主要还是靠AI和出口来做带动
[26:59] 以前我们讲的中国大陆的三驾马车
[27:02] 出口消费投资
[27:04] 消费和投资还是有点疲惫
[27:06] 尤其是投资还是负4.1
[27:08] 可是出口它跟台湾一样
[27:10] 都创下历史新高
[27:11] 整体年增幅是高达15.5%
[27:14] 尤其现在中国市场是大型推动新三样
[27:18] 新能源车
[27:19] 太阳能还有离电池
[27:20] 这个是让25年顺差
[27:23] 创下1.19兆美元历史新高的重要关键
[27:26] 所以你不要看说
[27:27] 那中国的单是不是很大一大段都被台韩给抢走了
[27:31] 是
[27:32] 可是中国出口到外部的半成品越来越多
[27:36] 尤其是在东南亚市场
[27:37] 事实上中国国务院李强
[27:39] 在这一次的达沃斯论坛当中
[27:41] 也向外直接强硬的回应
[27:43] 因为现在很多
[27:45] 不管是欧洲还是美国
[27:47] 都认为中国商品大量的涌入到全球市场
[27:50] 被称之为中国冲击2.0
[27:53] 叫China Shock 2.0
[27:55] 但是李强说
[27:56] 我们应该称之为中国机会2.0
[27:59] 要是没有我们
[28:00] 这个世界的通膨早就已经失控了
[28:03] 过去中国向全世界提供的是低成本的制造
[28:06] 现在是透过技术的进步
[28:08] 产业的升级
[28:09] 创新能力
[28:10] 我们持续输出便宜的电动车
[28:13] 便宜的锂电池
[28:14] 便宜的太阳能
[28:15] 完整供应链和企业的努力
[28:17] 并不是政府的大规模补贴的结果
[28:19] 那这几年的确
[28:21] 中国对于全球的贸易顺差
[28:23] 不断的扩大市场的疑虑
[28:25] 去年是1.2兆
[28:26] 今年按照这种市况
[28:28] 看起来他也会创高
[28:29] 但中方的态度很明显
[28:31] 要是没有我们的帮忙
[28:32] 这个世界早就已经毁灭了
[28:34] 概念是这样子
[28:35] 李强的态度
[28:36] 差不多就是小孩不笨里面阿伯讲的一样
[28:41] 林北讲林北是林北的事
[28:43] 林北讲林北还轮到你来讲林北
[28:46] 中国冲击2.0
[28:48] 他认为是中国机会2.0
[28:49] 没有我们的帮忙
[28:51] 这个世界的通膨早就已经失控了
[28:53] 事实上我们看到
[28:54] 在昨天根据彭博新闻
[28:56] 几乎已经确认了
[28:57] 以前只是传闻
[28:58] 现在彭博几乎快要确认了
[29:00] 苹果真的在跟中国记忆体大厂的
[29:03] 长兴存储
[29:04] 以及长江存储
[29:05] 洽谈采购合约
[29:06] 希望以后把两家公司生产的记忆体晶片
[29:10] 直接用在中国市场销售的
[29:12] iPhone Mac和其他装置
[29:14] 这就说明着
[29:15] 库克9月份就要正式卸任了
[29:18] 库克真的在他离职之前
[29:21] 尽可能的帮助苹果的供应链成本压到极致
[29:25] 因为苹果现在主要的记忆体供应商
[29:27] 那就是三星和海力士
[29:28] 但现在AI资料中心
[29:30] 把海力士和三星的货都给抢走了
[29:32] 那传统消费性电子的记忆体日益吃紧
[29:35] 那又有美方的禁制令
[29:37] 所以苹果就处于一个很尴尬的情况
[29:39] 那很明显
[29:40] 库克就是想要在卸任之前
[29:42] 希望跟贝森特谈妥
[29:43] 跟川普谈妥
[29:44] 重新的去回到中国市场当中
[29:47] 所以这场贸易战科技战
[29:49] 看起来又演变得更加恶化了
[29:51] 那当然了
[29:52] 中方在三架马车年征服
[29:55] 靠出口新三样带动的情况底下
[29:57] 已经在针对下一个世代产品来做布局了
[30:00] 那就是工业和人型机器人
[30:02] 其实中国内部
[30:04] 已经是工业机器人最为普及的国家
[30:07] 在整个24年已经有安装30万台
[30:09] 去年是接近到50万台
[30:11] 整体而言
[30:13] 中国运转的工业机器人
[30:14] 保有量是突破了200万台
[30:16] 这个是比日本美国南韩全部加起来
[30:19] 都还来得多
[30:19] 所以中国人这么多
[30:21] 它的工业机器人
[30:22] 也是最多的
[30:23] 尤其现在
[30:24] 人形机器人
[30:24] 成为下一个科技焦点竞赛之后
[30:27] 很多车厂是优先选择
[30:29] 大量的投入人形机器人
[30:31] 之所以使用人形机器人的目的
[30:33] 是因为
[30:34] 以防未来的工作形态会改变
[30:36] 所以如果只用工业型的
[30:38] 制造标准流程化
[30:40] 也不一定好
[30:40] 未来可能汽车的制造模式
[30:42] 又会改变
[30:43] 所以不如直接让人形机器人
[30:45] 在工厂里学习
[30:46] 在马达
[30:47] 减速器
[30:47] 摄影机
[30:48] 感测器当中量产的流程
[30:50] 高度充电以后
[30:51] 车厂就被认为有了天然的优势
[30:53] 双方刚好可以互相的合作
[30:55] 那当然走到这个地步
[30:57] 我们也知道
[30:58] 很多过去我们讲的新三样
[31:00] 它也变成旧三样了
[31:02] 你靠电动车
[31:03] 你觉得能够赚多少钱
[31:04] 你靠离电池
[31:05] 你靠太阳能板
[31:06] 其实也赚不了多少钱
[31:08] 这个已经陆续变成红海市场了
[31:10] 所以一定要往下一个产品来做延伸
[31:12] 举例来说
[31:13] 中国电动车的出口
[31:14] 五月份又创新高了
[31:16] 出口金额是92亿美元
[31:17] 我讲的不是内部销售
[31:19] 是对外出口
[31:20] 年增幅是50%
[31:22] 这一次美伊战事
[31:24] 直接让全球针对电动车的转型
[31:26] 快速加快
[31:27] 以前喊了那么久
[31:28] 要喊电动车
[31:29] 大家意见阑珊
[31:31] 电动车会不会起火
[31:32] 找不到电动装
[31:34] 我家没办法装
[31:35] 都是一堆理由
[31:36] 一场战争
[31:37] 欧洲人跑去全部都换电动车了
[31:39] 这么快
[31:40] 一场战争就足以导致
[31:41] 民意的心理情绪转变
[31:43] 甚至导致出的现象
[31:45] 就是如果持续聚焦在电动车
[31:47] 对于中国内部的经济拉抬幅度
[31:50] 其实也是有限的
[31:51] 为什么
[31:51] 因为已经几乎白热化了
[31:53] 你看最近大家观察到的新闻
[31:55] 就是追秘
[31:56] 追秘就是做那个扫地机器人
[31:58] 他也要租电动车
[32:00] 以前是做手机的小米做电动车
[32:02] 现在扫地机器人也要做电动车
[32:04] 这个你就可以看得出来
[32:06] 这种白热化的市场就代表着
[32:08] 电动车技术在中国内部是太成熟了
[32:11] 成熟到大家挂个牌
[32:12] 就可以重新的制造
[32:14] 那行情走到这一步
[32:16] 市场上就会有进一步的投射
[32:19] 那就是一定要快速的摆脱
[32:21] 过去我们看到
[32:22] 行情在旧产品当中的打转
[32:26] 而要往下一个世代的产品
[32:27] 来进行延伸
[32:28] 所以中国内部当然
[32:30] 我们今天数据讲不完
[32:31] 还有很多问题
[32:32] 彭博社前阵子还公布了
[32:34] 六个数据来观察
[32:36] 中国的整体经济指标
[32:38] 尤其从内需的消费疲惫
[32:40] 房地产市场价格的显著走皮
[32:42] 来做看待
[32:43] 那中国市场的房市走皮
[32:45] 它是拖累经济的一个重要关键
[32:47] 但它不阻挡出口创高的一个事实
[32:50] 这给投资朋友做一些思考了
[32:51] 我们今天聊范围比较广
[32:53] 从一开始在美国股市内部资金的概况
[32:56] 来看待整体波动率的放大
[32:58] 台股下跌957点
[32:59] 摔46081点
[33:01] 后续我们又观察了美国偏挨
[33:03] 台湾偏挨
[33:04] 中国偏挨
[33:05] 其实三大偏挨数据都在50以上
[33:08] 都在扩张
[33:08] 那比较观察的重点是
[33:10] 美国的偏挨数据
[33:11] 它是由AI的投资所进行的带动
[33:14] 内部的消费
[33:15] 反而只能靠财富换取
[33:17] 或者股市的增长
[33:18] 来做进一步的维持
[33:19] 对于台湾市场而言
[33:21] 其实已经有出现那种
[33:23] 由AI向前带头冲
[33:25] 来带动船船跟上的
[33:28] 这种AI浪潮国家队
[33:30] 我们当然要拭目以待
[33:31] 这样的一个变化
[33:33] 能不能借由国家队的成立
[33:35] 来进一步的投放
[33:36] 下一个世代的产品推出
[33:38] 对于中国市场而言
[33:39] 不要看它经济内部
[33:41] 的确内部是蛮疲惫的
[33:43] 可是问题在于
[33:44] 它的出口顺差也创高
[33:46] 它的出口额也创高
[33:47] 它的五月份的电动车也创高
[33:50] 从这些数据也看得出来
[33:52] 全球经济正在迎来新一波的新龙井
[33:55] 但是这波龙井的代价
[33:56] 那就是贫富差距的扩大
[33:58] 无法改变
[33:58] 给投资朋友多多一些思考
[34:00] 如果喜欢我们节目
[34:00] 记得帮我们订阅按赞加分享
[34:02] 我们就明天早上半半
[34:03] 早晨财经速写读再相见
[34:05] 祝各位投资朋友
[34:06] 看完顺利
[34:06] 长安快快
