[00:00] 投資變化的收聽早晨財經速解讀
[24:13] 就在種種效果底下
[24:14] 等於臺廠們
[24:15] 陸續迎來新一波的庫存上升週期
[24:18] 那這也會使得臺廠
[24:20] 大量的開始匯入新一輪的AI
[24:23] 開始走出去
[24:24] 有的到海外佈局
[24:25] 有的快速匯入AI
[24:27] 商周本期的主題
[24:28] 他講的就是AI創新百強
[24:30] 他裡面就看
[24:31] 到底有沒有AI
[24:33] 真的去改變企業的運作
[24:34] 他從一些中大型企業
[24:36] 到小型的微創
[24:37] 從300多件提案當中
[24:39] 發現全臺灣大量的企業
[24:41] 都在瘋狂匯入AI
[24:42] 電子製造金融電信
[24:45] 憑藉資金資料和人才優勢
[24:47] 跑在前面
[24:48] 很多傳展和中小型企業
[24:49] 有更迫切的生存問題
[24:51] 但是也嘗試的把流程效率
[24:53] 風險控制和產業升級
[24:55] 嘗試的去匯入AI
[24:57] 進一步的拉昇臺灣整體條件
[24:59] 所以大家都想要跟上
[25:01] 本波的AI行情
[25:02] 這個AI不一定真的做AI伺服器
[25:05] 而是因為AI缺貨了
[25:06] 所以我要趁這段時間
[25:08] 缺貨的一段時間
[25:09] 報價上揚
[25:10] 趕快進行調整
[25:11] 因為現在隨便賣隨便賺
[25:13] 所以這就是我們看到臺商
[25:15] 現在在這個時代
[25:16] 所面臨的機會和挑戰
[25:17] 昨天我才看到賈永傑董事長
[25:19] 他不是發一篇文
[25:20] 感謝所有人
[25:21] 平息紛爭
[25:22] 說是誰誰誰的功勞
[25:24] 他說大家都有幫忙
[25:26] 不管是中央地方都感謝
[25:27] 然後我才看到陳嘉玥老師分享
[25:30] 他說這一次你像爬101
[25:32] 歷史性畫面有很多聲音
[25:34] 那有一種是很值得臺灣人驕傲的
[25:36] 就放眼亞洲
[25:37] 幾乎沒有任何一個國家會批准
[25:40] 這麼高風險
[25:41] 其實有點娛樂性的計劃
[25:43] 那也正因為事情很順利
[25:45] 所以事過境遷
[25:46] 我們就馬後炮
[25:47] 幹得好
[25:48] 這就是臺灣該做的事情
[25:49] 但反過來講
[25:51] 那假設可能中間出了一點意外
[25:53] 那輿論風暴一定會去救責
[25:55] 可是這個時候你就會發現
[25:57] 亞洲各國的官員
[25:59] 你看他會去爬上海
[26:01] 他會去爬東京
[26:02] 各國政府其實都很保守
[26:04] 只有臺灣
[26:05] 他說叫做easy going
[26:07] 陳嘉悅老師分享的
[26:08] 就是很隨和
[26:10] 就是很清楚自己的成長文化
[26:13] 需要什麼樣的背景
[26:14] 那臺灣今天這個時代
[26:16] 他就是有一種某種隨性和開放
[26:19] 有點類似德國且過了
[26:21] 但臺商就是在這種歷史的變化當中
[26:24] 一下跑到中國設廠
[26:26] 中國不行了
[26:27] 到東南亞
[26:28] 美中貿易戰
[26:29] 東南亞也不行
[26:29] 被科幹稅
[26:30] 那我就去美國
[26:31] 就一步一步的走下來
[26:33] 每一輪的庫存迴圈
[26:34] 我們都會受到一定程度的淘汰
[26:36] 然後再進步
[26:37] 但是最後臺商就這樣子
[26:39] 一步一步的生活到現在
[26:41] 所以我們臺灣的制度
[26:43] 它其實某種程度就是允許那種
[26:44] 不確定性的存在
[26:46] 而且大家其實也願意承擔那種
[26:49] 如果出事
[26:50] 那我們先討論
[26:52] 也不是先封殺的概念
[26:53] 完成之後做得好
[26:55] 系統性的風險稍微算一算
[26:57] 覺得差不多可以
[26:58] 那就先去做
[26:59] 不求一次到位
[27:00] 能夠調整就好了
[27:02] 不是沒標準
[27:03] 是標準不僵化
[27:05] 好像鐵皮屋
[27:06] 鐵皮屋能用就好了
[27:08] 你又木頭又貴又漏水
[27:10] 你不蓋頂樓也會漏
[27:11] 很多臺商
[27:13] 以前在中國東南亞美國到處搶單
[27:15] 那一樣跟臺灣的建築物
[27:16] 都是鐵皮屋舊廠房
[27:18] 一樣可以吃下
[27:19] AI半導體伺服器的供應訂單
[27:21] 老闆沒有人在穿西裝
[27:23] 對不對
[27:23] 都已經穿Polo 3
[27:24] 講話很直接
[27:25] 談的都是美國客戶
[27:27] 歐洲規格
[27:27] AI伺服器的兩率
[27:29] 那機車文化
[27:30] 能騎一下
[27:31] 臨停一下就好了
[27:33] 騎車放個東西
[27:34] 你要過你講一下
[27:35] 制度是有點不嚴謹
[27:36] 可是你還是可以感覺到
[27:38] 這個社會的感知密度特別高
[27:40] 臺灣現在是亞洲新聞
[27:41] 最自由最高的地區之一
[27:43] 尺度比日本韓國都還來得寬鬆
[27:46] 這都是有統計調查
[27:47] 那這種easy going
[27:48] 那反而就是那種
[27:50] 你的確可以說是得過且過
[27:52] 但是我們也因此更有
[27:54] 更前衛的思想
[27:55] 我們是亞洲最平權的政府
[27:57] 是亞洲新聞最自由的地方
[27:59] 那臺商就這樣子
[28:00] 我們是第一波到中國開放
[28:03] 然後也是中國最大的外資
[28:05] 東南亞開放
[28:06] 美洲貿易戰我們說走就走
[28:08] 到現在我們是美國最大單一投資案
[28:10] 臺積電
[28:10] 臺積電現在是世界第八大企業
[28:13] 臺北股市是全球市值第六大股市
[28:17] 你說那些比較死板一點的國家
[28:20] 性格比較傳統一點的
[28:22] 能夠有這樣的成就嗎
[28:23] 所以這就是我們看到
[28:25] 新一輪的時代已經正式來臨
[28:28] 所以到底是臺北股市還是臺灣股市
[28:30] 這我也不確定
[28:32] 應該都可以
[28:33] 最近好像很多人在討論
[28:34] 到底是臺北101還是臺灣101
[28:37] 到底是中華隊還是臺灣隊
[28:39] 差不多得了
[28:40] easy going
[28:41] 隨便
[28:42] 湊合的上就OK
[28:44] 反正你知道那什麼意思
[28:45] 很多網友留言
[28:47] 浩哥好厲害
[28:47] 要準備那麼多內容
[28:49] 其實有時候會有點心虛
[28:51] 因為我們也是差不多easy going
[28:53] 資料收集差不多
[28:54] 那就上了
[28:55] 能夠湊得出來
[28:57] 一起講就一起講
[28:58] 那不行就多講點笑話
[28:59] 嘻嘻哈哈一集就過了
[29:01] 你能夠拿點知識走
[29:02] 我們當然儘量努力去做
[29:04] 可是你也不用逼到極端
[29:06] 稍微輕鬆一點
[29:07] 這種帶狀節目
[29:08] 我們團隊人也不是特別多
[29:11] 也不用拿命平
[29:11] 看到什麼稍微整理一下
[29:13] 分享我的說法
[29:14] 有什麼樣的工作
[29:15] 比念點書分享給大家
[29:18] 更受青睞的呢
[29:20] 特別喜歡這樣的一個直播模式
[29:22] 湊合湊合就上了
[29:24] 有些人
[29:25] 每個人的興趣方向都不一樣
[29:28] 有些人是good at planning
[29:30] 善於計劃
[29:32] 有些人是good at making decision
[29:35] 做決定
[29:36] 那我們是good morning
[29:37] 對我們特別喜歡跟大家說早安
[29:40] 讓大家有一個儀式感
[29:41] OK了
[29:42] 我們稍微聊到這邊為止
[29:43] 主要是跟大家分享
[29:45] 我們從南韓以及美國關稅的
[29:48] 新一波的不確定性
[29:49] 導致金價銀價
[29:50] 是否有進一步買盤的確認
[29:52] 一直推論到
[29:53] 現在金屬價格的上漲
[29:54] 已經擴散到整體原物料
[29:56] 原物料價格的上漲
[29:57] 已經擴散到整體電子零元件
[29:59] 電子零元件的上漲
[30:01] 已經影響到了終端商品
[30:02] 那這對於聯準會
[30:04] 看起來是一個極大的挑戰
[30:06] 因為供給鏈的瓶頸再度產生
[30:08] 這個不是不太好的
[30:09] 如果你說因為全球需求太好了
[30:11] 我一個人想要買五臺手機
[30:13] 那就是需求好
[30:15] 那沒問題
[30:15] 現在是因為缺貨缺到你的手機漲價了
[30:19] 這個供給鏈的成本壓力
[30:21] 其實就稍微有點大了
[30:22] 也給投資朋友多做一些思考
[30:24] 臺北股數上漲99點
[30:25] 收在32,170點
[30:27] 我們看一下投資朋友的幾個想法
[30:29] 好的
[30:29] 長嘆一口氣
[30:30] 這集是不是有點水
[30:32] Easy going
[30:34] Easy going
[30:34] 結束零二分
[30:35] 感謝各位投資朋友的參與
[30:37] 如果喜歡我們的節目
[30:38] 記得幫我們訂閱按贊加分享
[30:39] 我們就明天早上半半
[30:40] 早晨財經色彩圖
[30:41] 再相見
[30:42] 祝各位投資朋友
[30:42] 看盤順利
[30:43] 操盤愉快
