[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 的个人操作和实际观点
[24:57] 那你这样一讲
[24:58] 那Google以后卖记忆体就好了
[25:00] Google还要做AI吗
[25:02] 他就专门卖记忆体
[25:03] 那不就赚大钱了
[25:04] 所以你要仔细想想
[25:05] 这对于记忆体族群
[25:06] 当然是一大利空
[25:08] 但是对于整个市场
[25:09] 它到底是利多还是利空
[25:11] 我发明了更进一步的TurboQuant
[25:14] 可以导致我的记忆体的成本
[25:17] 压缩到原本的六分之一
[25:19] 这不就是生产力提升吗
[25:21] 所以它对于记忆体族群
[25:22] 过去涨高当然是一个压力
[25:24] 但对于整个AI股
[25:26] 真的是一个极大压力
[25:27] 你要想想看这项技术
[25:29] 它是不需要重新训练模型
[25:31] 理论上可以直接套用在AI系统上
[25:34] 所以正常我们的逻辑是
[25:36] 好像生产效率提升
[25:37] 我们就不需要这么多硬体
[25:38] 没有生产效率提升
[25:40] 我们就可以享用更廉价的产品
[25:42] 以此来刺激需求
[25:44] 笔电成本暴跌
[25:45] 有代表的是我们的营业额就会暴跌吗
[25:50] 不一定
[25:50] 我们可以用更低的成本
[25:52] 创造更多的产品
[25:54] 更优质的产品
[25:55] 消费量
[25:56] 人类的幸福度
[25:57] 生产力就能够因此而提升
[25:59] 所以我认为这反而是一件好事
[26:00] 记忆体下来肯定对于消费者是利多
[26:03] 反而对于通膨的传导链压力就没这么大了
[26:06] 那当然了
[26:06] 如果仔细观察
[26:07] 昨天记忆体族群压力就很大了
[26:10] 有的本来早盘还大幅拉伸的
[26:13] 直接尾盘被压下来
[26:14] 甚至我们看到低润成分股
[26:17] 创建
[26:18] 威刚
[26:18] 广颖
[26:20] 宜鼎
[26:21] 这很多昨天叠福的确相对沉重了
[26:24] 南亚科特别明显
[26:26] 昨天我听到有种说法叫南科一梦
[26:29] 讲的就是散户追高南亚科
[26:31] 股市如戏
[26:32] 开盘涨停
[26:33] 结果转头空
[26:35] 这叫南科一梦
[26:36] 发现获利仅仅是一场空
[26:38] 昨天我还看到一个网友分享
[26:41] 昨天本来想要跟女友坏坏
[26:43] 但找不到套套
[26:45] 于是就打开证券户一看原来套在这里所以记忆体波动很大我们一直跟投资朋友分享这种行情市场的波动供需的变革
[26:56] 在短期内真的很难做抉择
[26:58] 很多人以为自己在投资的
[27:00] 结果发现自己在投机
[27:01] 很多人以为自己在投机的
[27:02] 结果是在赌博
[27:03] 当你一开始做投资
[27:05] 一开始是要让自己的自我意识
[27:07] 能够过度的摄入以后
[27:09] 最后你就把市场
[27:10] 跟你个人的感觉混为一谈
[27:12] 这个时候心理因素
[27:13] 就可能会造成亏损
[27:14] 所以你一定要搞清楚
[27:16] 现在你还留在市场的
[27:17] 关键原因是什么
[27:18] 很多台湾人的理财观点
[27:19] 是用投报率的角度看保险
[27:22] 用领配息的角度看股票
[27:24] 用赚价差的角度看债券
[27:27] 所以要回过头来看
[27:28] 我们要先区分
[27:29] 第一
[27:30] 现在整个供需的变化
[27:31] 短期的个股族群
[27:32] 是否代表着
[27:33] AI基本面出现重大转变
[27:35] 第二
[27:36] 这次标普白指数
[27:37] 总体跌幅其实还不到10%
[27:39] 但是对于中东战火的升温
[27:41] 市场波动的加剧
[27:42] 过去的外部性冲突
[27:44] 或者扩充回调
[27:45] 那标普500动不动
[27:47] 每两到三年
[27:48] 就是跌幅20% 30%
[27:49] 甚至出现50%的年度回撤
[27:52] 这一波
[27:53] 如果跌幅还不到15%
[27:55] 你就开始情绪崩溃
[27:57] 那也不是说市场变差
[27:58] 是你的承受风险能力
[28:00] 是变弱了
[28:01] 去年4月份都熬过来了
[28:03] 这种等级的回调
[28:04] 你会熬不住
[28:05] 那可能是单日的波动
[28:06] 真的太大
[28:07] 把你给洗出去了
[28:08] 尤其遇到真正的外部性冲击
[28:10] 像去年的关税战
[28:12] 就跟地震一样
[28:13] 小的不用爬
[28:14] 大的跑不掉
[28:15] 跑得死更快
[28:16] 所以遇到外部性冲击
[28:18] 我们的策略都是
[28:19] 让时间来救援
[28:20] 更何况现在跌幅
[28:21] 还并不是特别大
[28:22] 所以股市涨跌
[28:23] 其实都不要诉股
[28:24] 赚了你也不要跟人家分享
[28:26] 人家会嫉妒你
[28:27] 稍微有点亏损
[28:28] 也不用讲
[28:29] 为什么呢
[28:30] 这点小小的跌幅
[28:31] 人家还觉得还是零头而已
[28:33] 我昨天才看到一种说法
[28:35] 他说已婚男人
[28:37] 对未婚男人的忠告
[28:39] 不要股票赔一点
[28:40] 没事就一直跟你另外一半诉苦
[28:43] 因为你的太太
[28:44] 她不是你的妈妈
[28:46] 女生难免还是有点木墙的
[28:49] 第一次第二次
[28:50] 她当头面安慰你
[28:51] 你每天都跟她抱怨
[28:53] 时间久了
[28:54] 她只会觉得你没用
[28:55] 当然也不要跟你的妈妈诉苦
[28:57] 因为你的妈妈她也帮不了你
[28:59] 她还会担心你整夜也睡不着
[29:01] 如果你非要诉苦
[29:02] 你就去找别人的老婆诉苦
[29:05] 心态保持好
[29:07] 这个是最安全的
[29:08] 人生就是这样子
[29:09] 怕你富恨你有
[29:11] 嫌你穷
[29:12] 笑你无
[29:13] 文贵提过
[29:14] 人类的嫉妒行为
[29:16] 如果你真的赚钱了
[29:17] 心态就主要集中在
[29:19] 同质性比较高的群体当中
[29:21] 同性之间的嫉妒
[29:23] 会高于异性之间的嫉妒
[29:24] 男性之间和女性之间的嫉妒频率
[29:28] 程度远远超过男女之间互相的嫉妒
[29:31] 同事同乡同学之间的嫉妒
[29:36] 更加显度远远超过对于陌生人的嫉妒
[29:39] 乞丐不会嫉妒百万富翁
[29:42] 肯定会嫉妒比他收入更高的乞丐
[29:44] 人都有嫉妒之心
[29:46] 所以赚了钱也不要讲
[29:47] 赔了钱也不要讲
[29:48] 你要依循着自己的投资逻辑
[29:50] 来选择自己的操作就可以了
[29:52] 如果是乖离
[29:53] 那就针对乖离的高低
[29:54] 如果是外部性冲击
[29:55] 那就针对外部性冲击
[29:56] 如果是基本面
[29:58] 除非基本面出现了重大转向
[30:00] 否则都把它视为价值投资点
[30:03] 人都有嫉妒之心
[30:04] 我记得好几年前
[30:05] 我们以前办公室在南京东路
[30:07] 老大楼
[30:08] 之前那个大楼打扫阿姨
[30:10] 有时候常常在楼梯会遇到
[30:12] 被她抓住就聊天
[30:14] 有一次我跟小编回来
[30:15] 被抓住聊
[30:16] 聊了好一阵子
[30:17] 那阿姨也一直讲
[30:19] 她儿子刚毕业就在外商
[30:21] 现在101工作
[30:23] 哪像你们这栋大楼这么老了
[30:26] 厕所每次都堵塞
[30:28] 环境又差
[30:29] 我儿子好像也是你学弟
[30:32] 他在101的工作
[30:34] 不知道那个风景有多好
[30:36] 我跟小编就
[30:37] 是是是
[30:37] 是是是是
[30:38] 他走之後我就旁邊悠悠的說
[30:40] 我說101有什麼了不起
[30:43] 搞不好在101掃地
[30:45] 有什麼了不起
[30:45] 後面小編直接踹我一腳
[30:46] 不要亂說話
[30:47] 觀眾朋友連我都會嫉妒別人
[30:50] 對不對你一直講一直講
[30:51] 一直分享你的財富的報酬
[30:54] 損益的大小
[30:55] 人家是會嫉妒你的
[30:57] 所以投資永遠都是自己的事情
[30:59] 然後連我都會嫉妒別人
[31:00] 所以大家一定要了解說
[31:02] 這條路上是很孤獨的
[31:03] 當你超過別人一點點
[31:05] 別人會嫉妒你
[31:06] 当然你跟人家超过一大截的时候
[31:08] 别人就改成羡慕你了
[31:10] 竞争是生物之间的本能
[31:12] 人与人
[31:13] 团体和团体
[31:14] 国与国
[31:14] 民族和民族
[31:15] 文化之间
[31:16] 小孩之间
[31:17] 别人的小孩
[31:18] 也是一种天性的竞争
[31:20] 所以在这样的一个角度底下
[31:22] 就要回过头来看
[31:23] 当前市场的周期演变
[31:25] 到底有没有依循过去的循环
[31:27] 还是这次只是一个外部性冲击
[31:29] 所以我们还是要宣传一下
[31:30] 明天晚上八点钟
[31:31] 就是我们财经号角金融会了
[31:33] 我们后续会跟投资品种
[31:34] 做进一步的追踪
[31:35] 来了解当前行情的演变
[31:38] 到底外部性冲击的反应
[31:39] 反应完了没有
[31:41] 跌幅够不够重
[31:42] 那到底目前的回调
[31:44] 跟前几次的回调
[31:45] 有什么样的一个不一样
[31:46] 我们应该把它视为一个
[31:48] 扩存循环的新的转折点
[31:50] 我们开始要背波向下
[31:51] 进行修正了
[31:52] 高点见到了
[31:53] 还是它只是一个外部性冲击
[31:55] 难得一见的买点呢
[31:57] 稍晚再来跟投资朋友做些追踪
[31:59] 欢迎大家参加我们的听语会
[32:00] 或者参加我们的订阅系统
[32:02] 最后几分钟
[32:03] 今天跟投资朋友导读一本书
[32:04] 叫做《川普的智囊团》
[32:07] 这本书的作者景尚宏贵
[32:10] 他在1973年生于东京
[32:12] 是早稻田大学的政治学研究博士
[32:14] 他其实有非常多
[32:16] 不管是美国政治思想史
[32:18] 或者美国公共政策讨论的一些书籍
[32:21] 本书当中
[32:22] 我觉得日本人写书就这样子
[32:24] 包包一本
[32:24] 但是把很多观念写得非常透彻
[32:27] 这本书叫《川普的智囊团》
[32:29] 那很明显
[32:29] 就是在聊川普的幕僚
[32:31] 我们知道川普从来不属于
[32:33] 传统光谱当中的某一部分
[32:35] 它更像是一个镜子
[32:37] 映照出不同的
[32:38] 阵营对于权力的渴望和不满
[32:40] 首先是Margaret派
[32:42] 这是川普最原生的政治基础
[32:44] 这批人来自于美国的铁锈带
[32:46] 乡村地区对于全球化
[32:47] 自由贸易和移民政策
[32:49] 常年不满
[32:50] 所以他们很怀念
[32:51] 那个工厂林立的时代
[32:52] 他的副总统J.D. Vance
[32:54] 就是这样的一个重要角色
[32:56] 那第二个派系是商业科技派
[32:58] 这群人
[32:59] 他不是一开始就支持川普的
[33:01] 他们是2024年逐步转向的
[33:03] 从以前的马斯克到彼得提尔
[33:06] 很多都来自于异国
[33:08] 崇尚精英治理
[33:09] 现在黄仁勋看起来也是其中的一环
[33:12] 他们希望国家能够像科技公司那样
[33:14] 被CEO管理鼓励风险打击无能
[33:17] 他们看中川普打破规则的特质
[33:19] 把他当成对抗建制派的临时武器
[33:22] 所以这一派人
[33:23] 他不只是追求全球企业
[33:25] 基本上价值观
[33:27] 也是让美国利益核心
[33:29] 能够确保科技领先的重要关键
[33:31] 最后一派
[33:32] 那就是传统的保守派
[33:33] 以获利为代表
[33:35] 他们批判的是自由主义
[33:36] 导致的道德崩坏
[33:37] 强调地方社群
[33:38] 传统家庭
[33:39] 宗教美德
[33:40] 过去几年的保守派
[33:42] 其实没有太大区别
[33:43] 那川普
[33:44] 他不是一个某一派别的教祖
[33:46] 他是三个教会的权力节点
[33:49] 他的幕僚也是这样子分配的
[33:51] 那有时候你会感觉
[33:51] 好像科技派占上风
[33:53] 有时候是MAGA派占上风
[33:54] 有时候川普被迫要做一些妥协
[33:57] 保守派占上风
[33:58] 他的天赋就是察觉
[34:00] 谁最渴望改变现状
[34:02] 谁手上有选票
[34:03] 有钱有枪
[34:04] 然后在这些势力当中
[34:06] 灵活的做切换
[34:07] 所以川普可以一中内
[34:09] 先见个牧师
[34:10] 再见一下企业家
[34:11] 又跟钢铁工会领袖握手
[34:14] 最后再跟科技巨头
[34:16] 一起发表谈话
[34:17] 对于每个人
[34:18] 他都说他们想要听的话
[34:19] 这种多面向的投射能力
[34:22] 就建立出一个
[34:23] 很有趣的
[34:24] 以川普为主的
[34:25] 有松散
[34:26] 但是非常有效的政治联盟
[34:28] 综合来说
[34:29] 川普他是以交易者的身段
[34:30] 强势的语言
[34:32] 总统的权力
[34:33] 把这些看似互斥的目标
[34:35] 整合成一个他的执政计划
[34:36] 川普了解权力的核心
[34:39] 不是单纯理念
[34:40] 是掌握节奏和主导分配
[34:43] 所以他在这一场混乱的政治格局当中
[34:46] 不仅成为交集
[34:47] 更成为了节点
[34:48] 他持续以这种高效率推进政令
[34:52] 就是他在这三者当中
[34:53] 持续的取得平衡
[34:55] 所以本书川普的智囊团
[34:57] 本身也是川普在三个教派
[35:01] 三个体系当中的组合
[35:04] 如何成为当权右派的重生相
[35:07] 本书当中
[35:08] 我觉得写的是相当精彩
[35:09] 也推荐给我们的投资朋友
[35:10] 如果有兴趣
[35:11] 也可以在底下留言
[35:12] 留下你对本书
[35:13] 留下你对本节目的想法
[35:15] 我们也抽本书送给投资朋友
[35:16] 或者大家就直接买本书回家
[35:18] 当你抽到书以后
[35:19] 再送给你喜欢的人
[35:21] 给投资朋友做一些观察
[35:22] 好就06分
[35:23] 台股下跌548点
[35:25] 正常波动
[35:26] 这台股没在怕
[35:27] 我们看一下
[35:28] 到底川普说的话
[35:29] 能不能拉动全球股市
[35:31] 看一下这一次
[35:32] 应该是狼来了第三次了吧
[35:34] 到底市场的接受意愿会有多高呢
[35:37] 给投资朋友做一些观察
[35:38] 如果喜欢我们节目
[35:39] 记得帮我们订阅按赞加分享
[35:40] 那我们就明天晚上八点钟
[35:42] 财经号角第二季听友会再相见
[35:45] 祝各位投资朋友看盘顺利
[35:46] 操盘愉快
