[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 这次会议被迫一定要做一些表态
[25:07] 我们知道保家
[25:08] 一直是一个重要的风向球
[25:10] 这几年保家房子
[25:12] 其实也不便宜
[25:14] 虽然市场上常常有人开玩笑
[25:16] 保家的产品
[25:17] 好像见仁见智
[25:18] 品质层面
[25:19] 不可否认的事情是
[25:20] 长期以来他们对于土地开发
[25:22] 区域的布局
[25:23] 还有图案节奏
[25:24] 其实相当具有敏锐的判断力
[25:27] 所以如果价格从保家开始出现
[25:29] 大幅度的松动
[25:30] 那就要看看
[25:30] 可能全台湾都要做集体下修
[25:33] 不过看起来像预售
[25:34] 有些地方还是蛮硬的
[25:35] 就是故意卡在这样的一个价位
[25:37] 所以房价指数修整
[25:38] 远远相对于量缩程度
[25:42] 有一段距离
[25:42] 那之前不是常讲吗
[25:44] 疫情以来
[25:45] 第一年是拒绝保家
[25:47] 第二年质疑保家
[25:48] 第三年接受保家
[25:50] 第四年研究保家
[25:52] 第五年再买不起保家了
[25:53] 现在好一点了
[25:54] 股市涨回来了
[25:55] 所以开始有重新进场保家的可能性了
[25:58] 当然了
[25:59] 很多人对他的那个讨论度高低不一
[26:03] 我是觉得地段条件通常不差
[26:05] 好但你说品质层面
[26:07] 每个人的看法不太一样
[26:08] 之前才看到两个人讨论
[26:11] 旁边那男的讲
[26:13] 跟你讲
[26:14] 大家都说保家的建案不好
[26:17] 很容易漏水什么的
[26:19] 但我跟你讲
[26:19] 我买的那一间都不会漏水
[26:21] 而且品质超级好
[26:23] 另外一个讲
[26:24] 哈哈你买到假货了
[26:25] OK那不管怎么看
[26:27] 我们接下来要观察
[26:29] 旗下价格的变化
[26:30] 因为昨天英建股开始拉第一根
[26:32] 那是否真的房地产市场
[26:35] 有监管松绑的可能性呢
[26:36] 我觉得按照杨总台的谈话
[26:38] 更类似于保持在这样的一个位阶
[26:40] 保持一阵子
[26:42] 那一直到接下来
[26:44] 房地产市场
[26:45] 能够有效的集中度降温之后
[26:47] 再来陆续考虑松绑的特性
[26:49] 否则你说跌三趴压力有特别大吗
[26:53] 我倒觉得是还好啦
[26:55] 其实房地产市场
[26:56] 如果是支柱一直都这样子
[26:58] 我们讲说
[26:59] 自住就是在所有条件符合下
[27:02] 你有一定的需求
[27:03] 一定的区块
[27:03] 一定的总价代
[27:04] 你像我
[27:05] 我以前买自住
[27:06] 我也没有在考虑大环境的
[27:08] 当然你会会顾忌这个区块好不好
[27:10] 但其实你也是为了
[27:11] 自己的居住环境来考量
[27:12] 所以
[27:13] 我觉得现在这个时间点反而是不错
[27:16] 因为你知道房地产市场
[27:17] 不会更加监管了
[27:18] 你也知道
[27:19] 房地产市场
[27:20] 市况也没有特别好
[27:21] 房价虽然没有到崩跌的程度
[27:23] 但是现在去看
[27:24] 总比未来发生意外
[27:26] 开始上涨
[27:27] 看还会好得多
[27:28] 所以自助
[27:29] 我觉得应该是要多看房的
[27:30] 没有什么太大问题
[27:31] 其实多看房
[27:32] 有时候我们讲说
[27:34] 这叫street smart
[27:36] 就街头上的知识
[27:38] 跟看数据来做决定不太一样
[27:41] 尤其有一阵子
[27:42] 我很喜欢看那种大建商的预售
[27:45] 有冷气
[27:46] 服务的又很好
[27:47] 又有黑丝
[27:48] 不是
[27:48] 让你可以了解
[27:50] 一个从话区的规划
[27:52] 或者话术
[27:53] 很多人就是一直不看
[27:55] 不看
[27:56] 等到跌了
[27:56] 到时候你要出手的时候
[27:58] 搞不好被人削的
[28:00] 已经大过房价的跌幅
[28:02] 美国人常常讲一个人聪明
[28:04] 会说他是Booksmart
[28:06] 或者StreetSmart
[28:08] 就是很多Booksmart的小朋友
[28:10] 从小就念书很优秀
[28:11] 然后名校毕业
[28:13] 财经硕士
[28:14] 每天钻研于财经数据
[28:17] 工程顾问
[28:18] 身边有很多这样的朋友
[28:20] 但是也有很多是属于
[28:22] StreetSmart
[28:23] 就是从小就在街头做生意
[28:26] 建商老板
[28:27] 业务高手
[28:28] 有时候你买房
[28:29] 你看这些数据
[28:30] 还不如去多看几间
[28:32] 了解一下话术
[28:33] 条理分明
[28:34] 辨证有误
[28:35] 从言谈之间当中
[28:36] 整理出自己的一场知识
[28:38] 所以我认为知识
[28:39] 其实也分为两种
[28:40] 一种叫做Book Knowledge
[28:42] 就是书本上的知识
[28:43] 我们看到这些数据
[28:44] 另外一种叫做Street Knowledge
[28:47] 就是街上的知识
[28:48] 你要去实打实的
[28:49] 自己去摸索的
[28:50] 还有另外一种知识
[28:52] 叫Bed Knowledge
[28:53] 叫床上的知识
[28:55] 那是知识不是知识
[28:57] 那不重要
[28:58] 重点来自于市场上
[29:00] 我们从数据上的理解
[29:01] 最后一定要从实体上来做实证
[29:04] 那有时候自助就是这样子
[29:05] 那有时候是看感觉
[29:07] 看风水
[29:08] 看气氛
[29:09] 跟我们在数据上的讨论
[29:10] 又是另外一个层级
[29:11] 好台北股市平盘下跌32点
[29:14] 刷43192点
[29:16] 我们回过头看美股
[29:18] 来看一下本轮的修正
[29:19] 盘叠情况能不能持续
[29:21] 我跟你讲
[29:21] 我最喜欢的就这种盘叠
[29:23] 因为这种才是真的让人有点痛苦的
[29:25] 要涨又不涨
[29:27] 要跌又不跌
[29:28] 然后默默的趋势就走出来
[29:30] 然后就慢慢的把一些人给洗掉了
[29:32] 不然现在大涨一堆人追
[29:34] 下跌又怕太多人接火
[29:36] 事实上
[29:37] 这融资台股也是一天大增一天大减
[29:41] 这种洗盘
[29:42] 短线做多做空都蛮刺激的
[29:44] 我又上杠杆了
[29:45] 我又下杠杆了
[29:46] 我又上杠杆了
[29:47] 我又降杠杆了
[29:48] 所以如果现在这段时间
[29:51] 应该会有些人心情不是很好
[29:53] 这种趋势不确认的情况
[29:56] 反而心情是特别不好的
[29:58] 也不要过度去问人家的绩效怎么样
[30:00] 所以我们要明哲保身
[30:02] 英雄不问出处
[30:04] 少富不问岁数
[30:05] 投资不问权益数
[30:07] 好 那么回过头看四大指数的表现
[30:09] 道琼工业指数的变化
[30:11] 刚才提到下跌953.1.87%
[30:14] 则是49918点
[30:16] 标普下跌119.1.62%
[30:19] 则是7266点
[30:20] 纳指下跌509.1.98%
[30:23] 是在25169
[30:24] 感觉趋势走出来了
[30:25] 做一个中期回调
[30:27] 肺瓣下跌451.3.57%
[30:30] 说到12206点
[30:32] 你说到底在跌什么
[30:33] 是跌新股的IPO
[30:35] 明天SpaceX就要正式挂牌了
[30:38] 还是在跌市场的利率指引呢
[30:40] 还是在跌财报的不如预期
[30:43] 还是在跌巨头的融资成本呢
[30:46] 都可以了
[30:47] 因为我们看到的利空
[30:48] 两个月前它也存在
[30:50] 那过去两个月不是股价一直在上涨吗
[30:52] 先把它视为一个中期性的怪力回调吧
[30:55] 那在这一波回调当中
[30:57] 最好洗得久一点
[30:58] 洗到大家没有耐心
[31:00] 洗到成交量下滑
[31:02] 那这个时候筹码就相对干净沉淀
[31:04] 已经很久没有这种市场上的清洗过程了
[31:08] 因为从川普好像就任以来
[31:10] 回调好像很少超过三周的
[31:12] 有没有发现
[31:13] 我们看看这次有没有机会能够突破三周
[31:16] 往三个月来迈进
[31:18] 哇三个月就不得了了
[31:19] 2022年是九个月
[31:21] 所以在这样的一个过程当中
[31:23] 才是让你能够坚持自己投资原则
[31:26] 和投资哲学的重要原因
[31:28] 那我们今天主要是跟投资朋友分享
[31:30] 从美国的通膨数据
[31:31] 到中国的通膨数据
[31:33] 韩国的通膨数据
[31:34] 到台湾的通膨数据
[31:35] 各大通膨数据所导致央行的做法
[31:38] 都并不太一样
[31:39] 那当然台湾有特殊的环境
[31:41] 在2%的通膨水位
[31:43] 同时间台湾也有关注的
[31:44] 房地产市场的信用管制政策
[31:47] 那这些数据
[31:47] 最后都变成你的实际操作
[31:49] 那你在操作的过程当中
[31:51] 也要了解
[31:51] 你像资产价格上的变动
[31:54] 有些靠数据就可以判断
[31:55] 那有些个人人生生涯规划的部分
[31:58] 可能还是要到街上去探讨
[32:00] 给投资朋友多多去思考了
[32:02] 如果喜欢我们节目
[32:02] 就帮我们订阅按赞加分享
[32:04] 我们就明天早上半半半
[32:05] 早晨财经4点多再相见
[32:07] 祝各位投资朋友看盘顺利
[32:08] 参谋愉快
