[00:00] 我是朋友大家好,欢迎收看市场观察
[24:43] 来盗采台湾珍贵的红块
[24:45] 扁婆 湘南等这些林木
[24:48] 导致一株高达上千年年龄的超龄老木
[24:51] 被开膛剖腹
[24:52] 最终枯死
[24:53] 很多护龄员都相当难过
[24:55] 这些都是副作用
[24:56] 并不代表台湾人不犯罪
[24:58] 而是说失联移工的犯罪
[25:00] 它的确是一个值得观察的课题
[25:02] 而且这些移工也不一定会向台湾人下手
[25:05] 他也可能会向本国人下手
[25:07] 举例来说
[25:08] 像移工的诈骗金额人数持续上升
[25:11] 我们看到在过去一段时间
[25:12] 整体产业移工平均被诈骗的金额
[25:16] 是高达13145块一年
[25:18] 产业移工月薪资也才2万7
[25:21] 有接近一半都被骗走了
[25:23] 平均诈骗金额大概是8000块左右
[25:25] 社福移工的部分被骗5596块
[25:28] 薪资也不高只有19000块
[25:30] 这件事情其实都意味着
[25:32] 整体台湾在缺工
[25:34] 引进新一波劳动力市场的时候
[25:36] 其实还有内部性的摩擦性问题需要解决
[25:39] 最后我们再看看
[25:40] 少此话很多人说会对于房地产市场
[25:42] 形成重大冲击
[25:43] 的确如果单纯从房地产周期
[25:46] 房子是给人住的
[25:47] 所以人越少房价就要跌越凶
[25:49] 不过我们还是清楚知道
[25:50] 这几年从15年开始
[25:52] 能够购屋的年龄人口
[25:54] 其实就已经开始减少了
[25:56] 但是房价照涨不误
[25:57] 它里面有几个原因
[25:58] 一方面是开始产生外溢效果
[26:01] 淡黄区台北市基本上少涨小跌
[26:05] 但是对于外溢人口区
[26:07] 像淡水 龟山 观音 巴黎
[26:09] 随着台北淡黄区向外扩增的地区
[26:12] 房价都在持续的上涨当中
[26:14] 我们以过去一年来看
[26:16] 2025年第四季国泰房价指数
[26:19] 也就是预收物的部分
[26:20] 大部分季政府都还在正值
[26:22] 整体年政府也保持相当稳健
[26:25] 也就代表着
[26:26] 央行的第七波信用管制
[26:27] 看起来更像是挹注了当前的房价
[26:29] 而并不是让房价进入到下行通道
[26:32] 其他也就意味着
[26:33] 其实人口的流入地
[26:35] 房价仍然会上涨
[26:36] 而人口的流出地
[26:37] 台北市的部分
[26:38] 其实房价下跌幅度也是相当有限的
[26:41] 这个时候
[26:42] 你把它放到更宏观的格局
[26:43] 到底人口数减少
[26:45] 出生率减少
[26:47] 是否会意味着房价一定下跌呢
[26:49] 其实如果我们细看
[26:50] 在全球的低生育率市场
[26:52] 台湾是名列第一
[26:53] 再来有南韩
[26:54] 有新加坡
[26:55] 有香港
[26:56] 有澳门
[26:57] 有日本等等
[26:58] 即便如此
[26:59] 我们看到生育率低的国家
[27:01] 也不代表国内的房价一路下跌
[27:03] 我们看在中国市场的部分
[27:06] 它也不是因为生育率低而下跌
[27:08] 而是来自于过去的经济疲惫所导致的
[27:10] 代表的事情是
[27:12] 如果生育率低
[27:13] 建商很自然的未来的建造开工数量
[27:16] 就会跟着因此的收缩
[27:18] 收缩以后供给就有限了
[27:20] 房价就可以保持在一定的区间
[27:22] 所以能不能把因为少子化
[27:24] 房价必定要重点
[27:25] 拿来做一个直接联系
[27:27] 这基本上可能要花更长的时间
[27:29] 才能够做判断
[27:30] 那第二件事情
[27:31] 是房屋需求到目前为止
[27:33] 还在缓步的增长
[27:34] 一方面是房屋需求平均每年
[27:37] 按照换屋族以及太弱换新
[27:39] 每年大概要增加5万户
[27:41] 房屋供给期并没有想象中还来得多
[27:43] 加上如果我们细看
[27:45] 少子化带来的是生活形态的改变
[27:48] 现在家庭的组成人数减少
[27:50] 也就是户内人数下滑
[27:51] 但是户数却是持续上升的
[27:53] 在1945年
[27:54] 台湾一个家庭大概要住6个人
[27:56] 可是到目前为止
[27:57] 连3个人都不到
[27:59] 未来有没有可能变成2个人
[28:01] 1.9个人
[28:01] 1.8个人
[28:02] 都是有机会的
[28:03] 就在种种效果底下
[28:05] 虽然我们看到人生最大的分水岭在羊水
[28:08] 人生最大的基本盘是台盘
[28:09] 六都的继承移转动数还在持续创高
[28:12] 高达7.83万间
[28:14] 对于年轻人来说
[28:15] 继承的似乎比买来的更大钱
[28:17] 未来房价其实就是由这群年轻人来决定
[28:20] 一方面经济如果到时候持续好下去
[28:23] 你要帮孙子多买几间
[28:24] 作为资产布局还是要顺势出托
[28:27] 实现资金转换
[28:28] 但是我们刚才跟投资朋友讲到
[28:30] 由于没有一个国家的经济体
[28:32] 目前是因为少子化而造成房价严重下跌
[28:35] 所以更有可能
[28:36] 我认为形成房价是否能够下跌的关键
[28:39] 取决于新一轮出生的这些年轻人口
[28:43] 他们未来有非常多的机会
[28:45] 因为可能要到处飞
[28:46] 一下飞雄本
[28:47] 一下飞凤凰城
[28:48] 台湾的台干人数实在太少了
[28:50] 所以可能很年轻
[28:51] 大学就要出国念书
[28:53] 在海外进行力电
[28:54] 他有没有必要在台湾留一栋房子
[28:57] 留两栋房子
[28:58] 留住爸妈的房子
[28:59] 这个就不一定了
[29:00] 这个才是认为房价长期松动的根本原因
[29:03] 而并不是来自于单纯的少子化
[29:05] 如果经济仍然蓬勃发展
[29:07] 这些房子以后也是可以给移工住
[29:10] 或者来引进新一波的移民人口
[29:12] 所以我们做个总结
[29:13] 台湾在2026年少子化的几大方向
[29:16] 第一人口的缩表已经成为常态
[29:18] 出生少死亡多退休潮进场
[29:21] 台湾进入长期的结构性负成长
[29:23] 缺工也成为了国家级问题
[29:25] 从服务业到公部门都缺薪资工时品质
[29:28] 治理成本一起被拉扯
[29:30] 台湾也走向一个移民或者准移民社会
[29:33] 外劳破百万是一个高几率的入境
[29:35] 那问题是我们的管理成本
[29:37] 和社会磨合也会同步的上升
[29:39] 房地产的部分
[29:40] 会从总量市场变成结构市场
[29:42] 地段会分化
[29:44] 产品会分化
[29:45] 流动性会分化
[29:46] 更重要的事情是
[29:47] 继承潮和买房能力
[29:49] 它会越来越决定
[29:50] 你是否要留住这间房子
[29:52] 以及未来台商走出去以后
[29:54] 这些年轻人
[29:55] 他们想不想要留在台湾
[29:56] 也是下一轮定居和流动的重要关键
[29:59] 所以总结来说
[30:00] 少子化并不会让台湾变穷
[30:02] 它是让台湾人从靠人数撑起来的社会
[30:05] 变成靠效率
[30:06] 靠资产
[30:07] 靠流动撑起来的社会
[30:08] 房地产最后也不一定是输给少子化
[30:11] 它可能是输给下一代的选择
[30:13] 当然国家政府的补助也没有停下来的迹象
[30:15] 不管是从目前的婚育房
[30:17] 还是我们看到相关的少子化对策计划
[30:20] 每年的预算规模仍然高达1000亿以上
[30:23] 可是我们也清楚知道
[30:25] 真实由于出生人口数已经呈现断崖式的下滑
[30:28] 就算以后一个人
[30:30] 每个人都生一个
[30:31] 出生人口数也不足以去弥补当前的缺工问题
[30:34] 所以即使少子化已经不可逆
[30:37] 唯一能够解决的方式
[30:39] 就是让大家有更多的生活成本的下滑
[30:41] 让大家有养儿的需求
[30:43] 包括我们像是奥地利
[30:45] 德国韩国俄罗斯匈牙利
[30:47] 也推出了相关的政策
[30:49] 这在金周刊过去一期的杂志当中
[30:51] 有以蜂蜜为主题
[30:53] 做更细致的探讨
[30:54] 像奥地利的部分
[30:55] 提供新生儿父母每胎两年的育婴假
[30:58] 而且育婴假期间
[30:59] 如果再出生第二胎
[31:00] 还可以再直接请两年
[31:01] 德国的部分
[31:02] 会由健保给付的专业助产师
[31:04] 会在女性产后进行每日家访
[31:06] 追踪宝宝的健康
[31:08] 韩国的部分
[31:09] 从22年开始
[31:10] 光州市办小学生父母迟点上班
[31:12] 让育儿家长每天可以减少一个小时工时
[31:15] 而且薪水不能变
[31:16] 俄罗斯的部分
[31:17] 女性生两胎以上
[31:18] 政府提供一万两千美元
[31:20] 补助买房或者购屋
[31:22] 匈牙利的部分
[31:23] 民众购买五千万福林的房地产
[31:25] 只要生到两胎以上
[31:27] 政府提供每胎一千万
[31:29] 大概是90万新台币总用的辅助
[31:31] 所以这些政策
[31:32] 某种目的就是希望
[31:34] 年轻人的生活成本能够降低
[31:36] 生活成本降低
[31:37] 生活富足以后
[31:38] 保暖思营育
[31:39] 也许小孩就这样子生出来了
[31:40] 孙子有时候会去问阿公
[31:42] 阿公阿公
[31:43] 你以前你不能够滑手机
[31:45] 都在干嘛
[31:46] 阿公说少废话
[31:48] 叫你十三叔赶快过来吃饭
[31:50] 所以在未来的时代
[31:52] 小孩子应该也要多方探索
[31:54] 我们讲说量变引起质变
[31:56] 你跟一个男生聊天
[31:57] 可能会栽在他的手里
[31:59] 但跟一群男生聊天
[32:00] 机会就掌握在你手里
[32:02] 未来这些小孩子的机会是非常多的
[32:04] 可能到凤凰城
[32:05] 可能到熊本
[32:06] 可能到东南亚
[32:07] 可能到越南
[32:08] 可能到岘港
[32:09] 到处都是这些年轻人抬上的机会
[32:12] 总而言之
[32:13] 人口变少
[32:14] 劳动力是变贵的
[32:15] 但是企业也跟着出海
[32:16] 移工开始补位
[32:17] 资产重分配
[32:18] 年轻人也更加流动
[32:20] 台湾的未来就掌握在这些
[32:22] 每年出生人口不到10万的年轻人手上
[32:26] 那今天市场观察到这边
[32:27] 如果喜欢我们的节目
[32:28] 记得帮我们订阅按赞加分享
[32:29] 我们就下一期市场观察
[32:31] 再相见
[32:31] 拜拜
