[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是否现在终于波云见日
[26:29] 告诉你说他们是一堆还在亏损的企业
[26:32] 你要知道SPEX从这个过去成立以来
[26:37] 没有一年真正赚钱过
[26:38] 就没有一年是这个营收减成本之后
[26:42] 利润是正值
[26:43] 但是呢他还是一样可以IPO
[26:45] 而且还经得起这么大的估值条件
[26:47] 那这件事情就意味着市场未来的风险估值的投射
[26:52] 是否成为重大转变
[26:53] 这就特别重要了
[26:55] 那在这样的一个效果底下
[26:56] 等同于马斯克一定要说服大家
[26:59] SpeedX不是单纯的火箭公司
[27:01] 第一庞大的商业地股
[27:03] 我们在算力层面就有机会能够赚得回来
[27:06] 第二大观察重点来自于未来的电力需求
[27:09] 我们过去已经观察到
[27:11] 因为AI时代现在最缺的
[27:13] 从原本的GPU到记忆体
[27:15] 现在很明显更缺电了
[27:17] 如果缺电是美国更深层的问题
[27:20] 马斯克认为瓶颈在能源层面
[27:23] 那就要把目光放到更远的地方
[27:25] 也就是限制人类文明最大的瓶颈
[27:27] 不再是演算法是能源
[27:29] 根据他的估算
[27:30] 人类目前的总用电大概是3.5太瓦
[27:34] 未来AI和机器人可能会来到上百或者上千太瓦的规模
[27:38] 但是现在连地球要盖一座新电厂都要花好久时间
[27:42] 所以未来的能源一定要走向太空
[27:45] 例如利用月球的资源来制造太阳能发电设施和散热的系统
[27:50] 甚至建立超大型的太空网络
[27:52] 让AI的运算能力能够突破未来资源的限制
[27:55] 这个就是马斯克目前所给予的构想
[27:57] 所以他一定要去寻找或者创造一个新的营收来源
[28:01] 要不然有时候是经不起这样的一个估值的
[28:04] 如果说AI资料中心上台孔很像科幻小说
[28:08] 的确真正把它推向现实的
[28:11] 也不一定是市场上的狂乐
[28:14] 更有可能是大家已经意识到了
[28:16] 对啊现在问题也不是太阳能板不够
[28:18] 中国生产很多
[28:19] 也不是晶片不够先进
[28:21] 是电网的速度根本就没办法来得及升级
[28:24] 你从美国到欧洲
[28:26] 现在一条新的高压电网
[28:28] 要10年才能够完成完平
[28:31] 土地征收和行政审批
[28:33] 现在大量的核电厂
[28:35] 大量的能源设施
[28:36] 卡在地方反对和政治角力当中
[28:38] 资料中心盖的速度
[28:40] 是远远大于电网升级的速度
[28:42] 你如果只能用10年为单位
[28:44] 来慢慢推进的话
[28:45] 相对于地球比较繁琐的法规
[28:48] 土地或者电力瓶颈
[28:49] 太空现在有无限的太阳能资源
[28:51] 虽然有科技上的突破
[28:53] 但某种层面
[28:54] 他讲的是有道理的
[28:55] 我们之所以往外太空走
[28:57] 也不一定是我们盖不了这么多核电厂
[28:59] 因为政治的问题
[29:02] 效率的问题
[29:03] 让我们被迫走向太空
[29:05] 如果大家接受这样的一个叙事的话
[29:07] 那就经得起更进一步估值提升
[29:09] 所以马斯克就一直这样做
[29:10] 他在做电动车的时候
[29:12] 就一直告诉你说
[29:12] 我们要改做机器人
[29:14] 我们要改做接下来自驾系统
[29:17] 他在做SpaceX也是一样
[29:19] 我们不是做火箭的
[29:20] 我们是发展太空资料中心
[29:23] 我们是发展太空能源设备
[29:25] 我们是发展稳定市场上
[29:28] 针对未来太空造梦的创始者
[29:31] 有这样的一个感觉
[29:32] 所以有时候他只是
[29:33] 把叙事从政府效率的不张
[29:36] 转化成被迫
[29:38] 他一定得向外投资发展
[29:39] 成为市场趋势
[29:41] 以前雷根不讲过一个笑话吗
[29:44] 讲政府效率的问题
[29:45] 一个男的存钱存了20年
[29:48] 终于可以买新车了
[29:49] 来到汽车销售店
[29:51] 工作人员说
[29:53] 恭喜你
[29:53] 你的新车大概十年之后就能够交付
[29:56] 难得说
[29:57] 那是上午还是下午
[29:59] 那工作人员愿意认住
[30:00] 十年后交付
[30:01] 你还在乎是上午还是下午
[30:03] 难得说
[30:04] 因为上午水管工要来
[30:06] 所以一切都是效率问题
[30:08] 效率越差
[30:10] 大家对于马斯克的信心投射程度来得越强
[30:13] 好那不管怎么说
[30:14] 等同于整条马斯克帝国已经正式成立
[30:17] 我们看到马斯克
[30:19] 因为现在公司还是很多
[30:21] 未来有没有可能SpaceX来并入特斯拉
[30:24] 他也不排除
[30:25] 现在在地面移动和能源部分
[30:27] 特斯拉的移动事业有7亿的电动车
[30:30] 不过重点在于发展自驾模型
[30:33] 还有未来的新链
[30:34] 在自动辅助驾驶当中的关键通讯
[30:37] 再来就是特斯拉能源
[30:38] SpaceX部署太阳能卫星的关键角色
[30:41] 未来在能源系统
[30:42] 全球储能系统有进一步的拉伸
[30:44] 再来就是Boring Company
[30:46] Boring Company其实虽然过去的效率不佳
[30:49] 不过现在还在做
[30:50] 它主要是为特斯拉的自驾车
[30:52] 打造出高速的封闭的运输系统
[30:54] 未来太空基地之间的高效的运输管道
[30:57] 也有可能采取相关的系统
[31:00] 再来就是XAI
[31:01] XAI是最烧钱的
[31:03] 新链收入和未养AI的事业研发
[31:05] 还有特斯拉合作的大规模的
[31:08] 半导体的制造计划
[31:10] Teloswap
[31:10] 这些都是XAI未来的主轴
[31:12] 再来是Newlink
[31:13] 是人机界面
[31:15] 神经科技和脑的接口公司
[31:17] 也就是人类在应对AI崛起的防线
[31:20] 还有在Optimus
[31:21] 在太空协作当中的沟通界面
[31:23] 最后就是Optimus
[31:25] 到底机器人什么时候推出来
[31:26] 一方面它是采用
[31:28] 特斯拉自家技术和晶片
[31:30] 来纳入到机器人体系
[31:32] 另外一方面又以XAI所开发的Gorok
[31:34] 作为协作的大脑
[31:36] 所以这些事情就意味着
[31:37] 马斯克现在的公司越来越多间
[31:40] 他尽量把它融合成同一家公司
[31:42] 达成垂直整合
[31:44] 我们讲说马斯克的时间管理书
[31:46] 一直都很厉害
[31:46] 现在一方面
[31:48] 前阵子去年
[31:49] 大家还审查政府预算
[31:51] 然后现在经营六家公司
[31:53] 现在开始合并
[31:54] 抚养13个小孩
[31:56] 应付三位前妻
[31:58] 数目不详的女朋友
[31:59] 最近还多了一位
[32:00] 平时还会在X上
[32:02] 跟大家来做互动
[32:04] 有时候还要安抚一下
[32:05] 受惊的特斯拉股东们
[32:07] 我都不知道
[32:07] 特斯拉股东们
[32:09] 作何感想
[32:09] 我也很压力很大
[32:11] 难道我现在要
[32:12] 该把信心投射在SpaceX吗
[32:15] 所以这件事情说明什么
[32:16] 特斯拉的Robotex已经满周年了
[32:20] 可是成绩单远远不如马斯克当年的承诺
[32:23] 所以我们虽然
[32:24] 我是对于科技乐观论者
[32:26] 该批评的还是要批评
[32:28] 你那个自驾车
[32:30] 他之前跟投资人承诺
[32:32] 2025年前
[32:33] 自动驾驶轿车服务会涵盖美国约一半的人口
[32:37] 光是在德州奥斯汀就超过500辆的Robotex上路
[32:40] 结果现在6月了
[32:42] 2026年
[32:43] 特斯拉的Robotex
[32:44] 车队既然不到100台
[32:47] 服务范围也是只有限定于奥斯丁
[32:49] 这有点慢
[32:50] 这是有点问题的
[32:52] 所以不管怎么说
[32:53] 现在马斯克
[32:54] 他就是创造一个新的商机
[32:57] 一个新的构想
[32:57] 让大家的预测
[32:59] 投资心理情绪
[33:00] 能够不断的拉升
[33:01] 我之前看到
[33:02] 很多人说SPECX的AI资料中心
[33:04] 散热问题好像很好解决
[33:06] 什么太空很冷
[33:07] 那冷就会很便宜
[33:08] 就免费的散热方式
[33:10] 但是你要想看
[33:11] 你靠服饰散热
[33:12] 那国际太空上有这样的一个系统
[33:14] 你要怎么做到这样的一个等级呢
[33:15] 好像给不出答案
[33:17] 但是人人现在看起来
[33:19] 都是很欣赏马斯克的思路
[33:21] 一个新的思路
[33:22] 一个新的叙事
[33:23] 就能够引起市场估值的投射
[33:25] 这也许是最重要的
[33:27] 所以有一个好的老板
[33:28] 作为一个好的思路
[33:30] 好的计划
[33:30] 是非常重要的
[33:31] 在现在这个年代
[33:32] 那之前不是讲说呢
[33:34] 男同学问老师
[33:36] 老师我请教您一个问题
[33:38] 三位女士各买了一根香蕉
[33:41] 三人有三种吃法
[33:43] 有的舔着吃
[33:44] 有的咬着吃
[33:45] 有的含着吃
[33:46] 您觉得哪位已结婚
[33:48] 你老是想了想
[33:50] 那应该是含着吃的那位
[33:51] 不对
[33:52] 是戴着戒指的那位
[33:54] 不过我喜欢你的思路
[33:56] 我们也很欣赏马斯克的思路
[33:58] 我们也很喜欢
[33:59] 现在的投资人
[34:01] 对于CEO的谈话
[34:03] 你看台湾这两年的风气
[34:05] 也改变很多
[34:06] 可能是黄仁勋所带动的
[34:07] 为什么不能够把梦想说出来呢
[34:10] 以前都是夸大而不实
[34:11] 但是现在我们正在一个人类的转折口
[34:15] 这也许就是我们给予进一步的构想
[34:17] 我们今天聊的范围很广就零五分了
[34:19] 台股上涨1155点
[34:20] 说到45324点
[34:22] 行情走到这样的一个位阶
[34:24] 我们今天主要是跟投资朋友稍微梳理
[34:26] 从中东局势的软化到IPO行情的信息
[34:30] 都看得出来
[34:31] 投资人的心理情绪心脏变得更大颗了
[34:34] 利空来那是一个好买点
[34:36] 利多来你要把握机会
[34:39] 变成心理情绪的传导
[34:40] 也祝各位插鞋懂门
[34:42] 好看盘顺利
[34:43] 炒盘愉快
[34:43] 那我们就明天早上8点半
[34:45] 早晨财经数据读再相见
[34:46] 祝各位投资朋友看盘顺利
[34:48] 炒盘愉快
