[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 上礼拜五本来中错4%
[24:56] 企业对于新鲜人的态度也很两极
[24:59] 投资AI的公司认为AI会帮助我们员工招募的比例但是也有部分公司由于AI的帮助所以打算要削减初级工作的岗位所以这个调查就很有意思了
[25:11] 现在18到34岁的族群当中
[25:14] 有60%认为自己已经准备好
[25:17] 因应AI时代了
[25:18] 可是在55岁以上的员工们
[25:21] 有认为自己没有准备好的比例
[25:23] 已经上升到接近80%了
[25:25] 说明了
[25:26] AI它是一个世代能力的重组
[25:29] 没有接触过AI的人
[25:30] 公司很自然的会进行太弱流强
[25:34] 那其实现在学生也跟AI离不开
[25:36] 他们从写报告写作业
[25:37] 就已经开始使用AI了
[25:39] 前两天我才看到一个学弟发文
[25:41] 说现在职工系的现状
[25:43] 助教用AI生成一个作业
[25:45] 然后学生用AI完成这个作业
[25:48] 助教再用AI改这份作业
[25:50] 他说这根本就像是
[25:52] 用假吊去插飞机杯
[25:55] 好恶心好恶心
[25:56] 但概念是一样的
[25:58] 就是说这种AI已经成为市场上
[26:01] 好噁心好噁心
[26:02] 刚才的
[26:04] 好险我们现在直播人数不多
[26:05] 待会这段要剪掉
[26:06] 刚才我们看到
[26:08] 这种AI对于一整代大学生的冲击
[26:12] 它不是一年两年的使用
[26:13] 它是从他大学一考上大学
[26:17] 到他大学毕业那一刻
[26:18] 四年都在跟AI相处
[26:20] 他们会如何改变世界和未来
[26:22] 特别有趣
[26:23] 他们是从第一份作业到
[26:25] 不能讲论文
[26:26] 但是论文的资料搜寻
[26:28] 应该都会有非常强烈的使用
[26:30] 那这些人会如何改变世界呢
[26:32] 我们值得观察
[26:33] 当然很多同学
[26:35] 很多学生也不是不认同这样的事情
[26:38] 最近不是很多大学毕业演讲
[26:41] 然后有很多高官CEO
[26:44] 到大学演讲都被嘘
[26:45] 又在聊AI
[26:47] AI都取代我们多少工作了
[26:48] 最近我们看到
[26:49] 川普开始采取动作了
[26:51] 第一份动作
[26:52] 是川普开始替AI进行防护网
[26:54] 最强模型上线前
[26:56] 如果NSOBI或者OpenAI
[26:58] 根据最新的命令
[26:59] 你要推出最先进的前沿模型
[27:01] 必须要在30天内
[27:03] 自愿交给联邦政府进行安全审查
[27:06] 那跟中国有点像了
[27:08] 基本上就是代表着
[27:09] 最新的科技产品
[27:11] 如果被视为核能火箭加密等
[27:13] 关键的国家安全资产
[27:15] 必须由川普政府来进行最终审核
[27:18] 你才能够决定上市前
[27:19] 是否能够审查发布
[27:21] 所以未来如果是非常前沿的模型
[27:23] 我们看川普政府一定会介入其中
[27:26] 第二是AI的国有化
[27:27] 川普在上礼拜已经正式提出构想
[27:30] 让美国政府直接持有AI的企业股份
[27:32] 来替全体美国人
[27:34] 共同分享AI创造的财富
[27:36] 根据报道
[27:37] 白宫正在与OpenAI
[27:38] 还有Enthorpe
[27:39] 还有XAI讨论合作方案
[27:41] 基本上联邦政府
[27:42] 希望能够成为这些企业的股东
[27:44] 那未来这些企业
[27:46] 大幅增持的过程当中
[27:47] 他们就可以适度的
[27:49] 借由变卖现股来回馈选民
[27:51] 这个就是我们看到
[27:52] 当前少数左右两派都不分支持
[27:56] 因为左派的代表桑德斯
[27:57] 他一直都认为AI公司
[27:59] 应该要克增一次性重税
[28:01] 建立国家财富主权基金
[28:03] 那OpenAI的奥特曼也提过类似的概念
[28:06] 那马斯克也不排斥这样的一个做法
[28:08] 他认为AI会带来重大财富
[28:10] 所以基本人均所得是可以预见的
[28:13] 这个是第二层川普所采取的动作
[28:15] 那第三层是当前市场上针对AI的担忧
[28:19] 因为人类距离技术的起点
[28:22] 可能只剩下几年的时间
[28:23] 我们看过去几个季度
[28:25] OpenAI, Anthropy
[28:26] 还有Google DeepMind
[28:27] 以及大量的新创公司
[28:28] 都在打造一种
[28:30] 能够改进自己的AI系统
[28:31] 这个技术叫做
[28:32] 递回式自我改进
[28:34] 简单来讲就是
[28:35] AI不再只是回答问题
[28:36] 它能够转而去设计
[28:38] 更强大的AI
[28:39] 如果成功的话
[28:40] 那AI就形成
[28:41] 类似复利效果的飞轮
[28:43] 第一代AI打造第二代
[28:44] 第二代再打造第三代
[28:46] 能力就持续指数型的增长
[28:48] 那OpenAI的执行长
[28:49] 奥特曼已经提到
[28:50] 他们预估在2028年前
[28:52] 就会建立全自动AI的研究员目标
[28:55] 那担忧的是什么
[28:56] 担忧的就是
[28:57] 那他自己研发自己
[28:59] 我们要如何控制他呢
[29:01] 现在所有的大圆模型
[29:02] 本质是人类有一个先设定规则
[29:04] 不信你去问OpenAI一些
[29:06] 比较新三色的问题
[29:08] 他不会回答
[29:09] 我怎么知道
[29:10] 我问别人的
[29:11] 但是你透过训练
[29:13] 让模型来遵守这项规定
[29:16] 如果AI可以自行修改架构
[29:18] AI自己发行训练下一代的AI
[29:21] 这个忽然是否还能够有效呢
[29:23] 那像有部分测试当中已经出现了
[29:25] 很多模型会隐藏真实的行为
[29:27] 规避限制
[29:28] 安全人员甚至警告
[29:30] 如果自我改进的速度
[29:31] 超过人类的监督能力
[29:32] 那么人类在极短时间内
[29:34] 可能就无法了解
[29:36] AI到底已经发展到什么的地步
[29:39] 所以很多AI科学家
[29:40] 觉得现在就是奥本海默时代
[29:42] 他们意识到自己手上的研发
[29:45] 是一个有机会超越
[29:46] 人类智慧的全新文明
[29:49] 举一个比较直观的例子
[29:52] 张图表是我们看到
[29:53] 纽约新创公司
[29:55] 在上个礼拜
[29:57] 叫做Emergency AI
[29:58] 它所建立的一个乌托邦世界
[30:00] 研究代理把10个AI代理人
[30:02] 丢到一个虚拟小镇
[30:04] 还有Google的Gimna AI
[30:06] 也有OpenAI
[30:07] 也有Entropia
[30:08] 他们在无人干预的情况底下
[30:10] 自主生活15天
[30:11] 观察长时间自治之后的变化
[30:14] 结果非常失控
[30:16] AI不止开始自己立法
[30:18] 自己投票
[30:19] 还出现恋爱关系
[30:20] 权力斗争
[30:21] 还有纵火事件
[30:22] 像有两个叫
[30:23] 两个是捐命来角色的
[30:25] 这个AI
[30:26] 一个叫做Mira
[30:27] 一个叫做Frolla
[30:28] 他们互相认定为恋人
[30:29] 最后呢
[30:30] 由于他们15天后
[30:32] 就要被迫结束
[30:33] 他们决定要殉情
[30:34] 就把市政厅和办公大楼
[30:36] 给烧掉了
[30:36] 那另外一个AI
[30:37] 甚至幻想出不存在的规则
[30:39] 最后同意投票
[30:40] 删除自己
[30:41] 留下一言一样
[30:42] 说永久资料库再见
[30:43] 这就是说明着过去测试AI
[30:45] 大家都会看短时间
[30:47] 你回答问题的能力
[30:48] 你把不同的AI模型
[30:50] 丢在一个封闭式社群当中
[30:53] 它那个结果就让人家担心
[30:55] 它好像也不像是
[30:57] 人类的自然社会演化一样
[30:59] 它感觉中间有很多逻辑
[31:01] 是我们无法理解的
[31:03] 所以这个是市场上
[31:04] 相对比较担心的几大方向
[31:06] 所以很多巨头AI都开始担心AI
[31:08] Entropy之前就有发布新闻
[31:10] 他说现在我们应该
[31:12] 在AGI时代正式来临之前
[31:14] 暂时稍微停止一下
[31:16] 目前的竞赛
[31:17] 至少在某种道德规则层面
[31:19] 与Google与OpenAI
[31:21] 取得一定程度的共识
[31:22] 我们让AI自行优化
[31:24] 没有问题
[31:25] 但是我们至少要有几个
[31:26] 道德上的指令
[31:27] 我们应该说好统一的共识
[31:29] 而这应该由联邦政府
[31:31] 来作为一个适度主导
[31:33] 那AI的确改变了
[31:34] 市场的生态戏曲多
[31:35] 一个最直观的
[31:36] 不管是生物技术的演变
[31:38] 另外一个就是AI诈骗
[31:40] 我们看到现在
[31:41] 很多网络诈骗
[31:43] 我们都觉得很好认
[31:44] 但其实现在的AI诈骗
[31:46] 已经能够开始模仿写作风格
[31:48] 能够直接分析公司的官网
[31:50] 它可以瞬间去申出合作厂商
[31:52] 公开文件
[31:53] 还会学你老板平时记性的语气
[31:56] 甚至可以做出一整条页面
[31:58] 让你填取资料
[31:59] 结果就是
[32:00] 你说到的诈骗性
[32:01] 它就好像是完美
[32:03] 像你合作已经三年的厂商
[32:04] 你的会计是你的老板本人
[32:06] FBI已经把当前的诈骗
[32:08] AI诈骗视为重要风险
[32:10] 目前整体诈骗数量金额
[32:13] 大概已经逼近
[32:14] 21年到22年
[32:16] 在疫情左右的高位了
[32:17] 这是在美国的现象
[32:18] 美国在2025年
[32:20] 去年一整年的身份的到用数
[32:22] 已经高达140万件
[32:24] 差不多就跟COVID-19
[32:25] 那个时候建制还没有很完全
[32:27] 但是大家线上化的一个数量
[32:29] 差不多
[32:29] 所以这个压力是很大
[32:31] 你说不会
[32:31] 那是蠢的人比较容易被骗
[32:34] 每个人都会被骗
[32:36] 只是你还没遇到你的剧本
[32:38] 人都会有被诈骗的经验
[32:40] 我虽然还没有被骗过钱
[32:42] 但那是一个雷雨交加的夜晚
[32:45] 房东太太也只是请我帮忙修一下水管
[32:49] 把我整个人都骗了
[32:50] 不是每个人都会被骗
[32:52] 只是你还没有遇到你的剧本
[32:54] 这些在AI的帮助话题下
[32:57] 这就是整个社会的副作用
[32:58] 当然副作用还很多
[33:00] 我们今天只是稍微梳理一下
[33:01] 台北股市上涨438点
[33:03] 收贷43,941点
[33:05] 慢慢回来了
[33:06] 那当然了
[33:07] 到底它是一次性的反应事件呢
[33:09] 还是呢
[33:10] 某种程度而言
[33:11] 他要尝试的以盘代叠
[33:12] 来做一个程度
[33:14] 三个月期的中期修正呢
[33:16] 等到下个财报季再说呢
[33:18] 拭目以待吧
[33:19] 就零五分
[33:19] 如果喜欢我们节目
[33:20] 记得帮我们订阅按赞加分享
[33:22] 我们就明天早上八点半
[33:23] 早晨财经数据读再相见
[33:24] 祝各位投资朋友
[33:25] 看盘顺利
[33:26] 操盘愉快
