[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 會計年度第一季營收會高達780億美元
[25:41] 調查顯示
[25:42] 超過一半的跨國企業
[25:44] 現在因為川普
[25:45] 釋出H1B專業技術簽證申請費
[25:49] 10萬美元的原因
[25:50] 所以反而進行簽證延誤或者拒籤
[25:53] 六成以上的大型企業
[25:55] 把很多的員工調往海外
[25:57] 你在海外工作
[25:59] 然後把成果輸往美國公司就好了
[26:02] 這樣我就可以省10萬美元的費用
[26:05] 10萬美元也不少
[26:06] 300萬臺幣
[26:07] 用這樣的一個方式
[26:08] 導致很多頂尖人才
[26:10] 他是在海外為美國企業工作
[26:13] 在Google的愛爾蘭
[26:15] 在英國的分公司工作
[26:17] 那這對於美國本土的就業拉昇幅度
[26:20] 可能就形成落差
[26:21] 也許川普之後會產生新一輪的除錯
[26:24] 再來就是關稅和物價的部分
[26:26] 關稅現在成為了一種反向證據
[26:28] 來削弱它的可負擔性的主張
[26:31] 因為具體點名
[26:32] 不管是家事類汽車
[26:34] 汽車領主界
[26:35] 或者一些服飾類
[26:37] 基本上還是可以看到
[26:38] 關稅還是有在實證資料
[26:40] 讓通膨率的增加
[26:42] 那當然第一
[26:42] 這個之前哈塞提有提過
[26:45] 說不能用這樣的一個角度
[26:47] 直接做預估
[26:47] 他認為聯準會的報告
[26:49] 是非常非常嚴重誤導形式的
[26:52] 那第二個觀察重點在於
[26:53] 川普的態度
[26:54] 某種程度似乎是暗示著
[26:57] 我們的確會造成
[26:58] 適度的物價的抬升
[27:00] 可是我們會讓你
[27:01] 獲得的關稅收入進行退返
[27:04] 你拿到的錢
[27:05] 會比你物價上漲的幅度
[27:07] 還來得更多
[27:08] 這個是川普的投資的中心邏輯
[27:11] 包括能源和油價的部分
[27:13] 基本上川普一直在進行油價的壓制
[27:16] 能源成本
[27:17] 基本上有受到持續性的鉗制
[27:19] 可是到底有沒有達到
[27:21] 當時他承諾的
[27:22] 兩美元每加侖的汽油價格
[27:25] 其實還是有一定的距離
[27:27] 加上他當時也預估
[27:28] 能源成本即將砍半
[27:30] 看起來都還有一長段路要走
[27:32] 在其中選舉之前可能達不到
[27:34] 但我認為有一個蠻有效的成果
[27:36] 是犯罪率
[27:37] 美國的確在整個2025年
[27:39] 應該是史上最為驚人的犯罪率的下滑
[27:43] 2025年的兇殺案
[27:44] 是本
[27:45] 應該不能講本世紀
[27:47] 是本世紀加上世紀以來的最低
[27:50] 1900年以來最低的兇殺案的一年
[27:53] 那川普當然把功勞往自己身上攬了
[27:56] 那拜登則是認為
[27:57] 那之前從2024年開始
[27:59] 趨勢就開始向下了
[28:01] 那川普的態度是
[28:02] 由於針對非法移民的這種打擊
[28:05] 以及針對犯罪的打擊
[28:07] 以及加強的這種國民警衛兵的巡邏
[28:11] 都導致市場的犯罪力大幅的下降
[28:13] 那川普認為
[28:14] 他是全球歷史上
[28:17] 第一個在美國總統當中
[28:18] 過去200年
[28:19] 讓治安快速好化的一個
[28:22] 最佳化的一個總統
[28:23] 那的確從資料上來看是如此
[28:26] 那另外一方面
[28:27] 川普很明顯
[28:28] 是希望從可負擔性當中
[28:30] 持續的推升
[28:31] 他的助力
[28:32] 但是我知道物價我也無法下跌
[28:34] 我當然是採取適度的補助
[28:36] 醫療保險的部分
[28:38] 短期數字其實看起來還算是蠻平穩的
[28:41] 首先拜登實行又來降低ACA保費的補費
[28:44] 到2025年底到期
[28:46] 共和黨學著不延長
[28:47] 那可能會讓400萬人失去保險
[28:49] 但是另外一個變數是
[28:51] 雖然失去了保險
[28:53] 可是川普採取了一系列的動作
[28:55] 比如說他最近成立了一個網站
[28:57] 叫做TrumpRx
[28:59] 就是處方藥折扣平臺
[29:02] 他作為現在的醫療政策
[29:05] 川普最大的目的就是
[29:06] 你不用保這麼多的保險
[29:09] 政府也不會提供你太多的保險
[29:11] 可是我會盡量把藥價給壓低
[29:14] 讓你能夠自由的負擔
[29:16] 所以現在川普所推出的
[29:18] 處方藥的折扣平臺
[29:20] 就是要進行大幅度的
[29:22] 美國藥價的壓低
[29:23] 主打民眾可以以現金折扣
[29:25] 直接購買部分的品牌藥物
[29:27] 他之前也強迫
[29:28] 必須要採取讓藥商採取最惠國的定價
[29:32] 只要全世界看到一個藥
[29:33] 比美國價格還要來得低
[29:35] 那我就要用這個價格在美國售出
[29:38] 所以美國的藥價
[29:39] 已經跟以開發國家的最低價來做接軌了
[29:42] 2月份已經正式上架
[29:44] 我們就看一下這個藥價的下滑力度
[29:47] 到底會有多快
[29:48] 那不管怎麼說
[29:49] 川普政府當前所面臨的挑戰
[29:51] 雖然AI掀起了一陣旋風
[29:54] 美國股市今年的走高
[29:56] 看起來也拭目以待
[29:58] 可是相對於亞洲新興市場
[29:59] 並沒有想象中來得亮麗
[30:01] 同時間我們也看到
[30:02] 在各項民調層面
[30:04] 市場的評價也沒有想象中來得高
[30:06] 川普不是一個會認輸的人
[30:08] 他肯定會從4月份的退稅季開始
[30:10] 採取一系列的政策
[30:12] 包括我們之前講到的
[30:13] 兒童賬戶等等都會陸續出爐
[30:15] 所以我們今天聊的範圍比較廣
[30:17] 科技股這邊
[30:18] 盤面其實正在去一律
[30:20] 在回確定
[30:21] 輝達的財報和財策
[30:23] 再度把AI資料中心拉回到主蓄勢
[30:26] 那盤號的跳漲
[30:27] 等同於把半導體和資料中心
[30:29] 打了一個強心針
[30:30] 帶動納指 標普 聯俄紅
[30:33] 非半續談
[30:33] 同一時間
[30:34] 軟鐵股
[30:35] 雖然它還算是反彈
[30:37] 不是翻身
[30:38] 但是市場上針對軟鐵股的始跌
[30:41] 開始有進一步的信心
[30:42] 那我們就要看後續的應用層面
[30:45] 川普國情資文這一邊
[30:47] 市場也不是單純去喊口號
[30:49] 而是政策風險的溢價
[30:50] 他一邊強調經濟成果
[30:52] 一邊放話
[30:53] 關稅會用不同的法源依據給補上去
[30:56] 把關稅收入和所得稅
[30:57] 想象綁在一起
[30:58] 等於告訴投資人
[31:00] 不確定性我們還會延續
[31:01] 可是重點在於
[31:03] 我一定會讓你在
[31:04] 期中選舉之前
[31:06] 感受到自己口袋裡面的錢
[31:08] 越來越多
[31:09] 至於你說
[31:10] 可是物價上漲的效果還在
[31:12] 短期內我也知道
[31:13] 我壓不下來
[31:14] 那我就把錢塞到你的口袋
[31:16] 讓你可以買更多東西
[31:17] 看起來有沒有可能
[31:19] 美國日本在今年
[31:21] 都有可能有進一步的
[31:22] 財政刺激政策出爐
[31:24] 我們就拭目以待
[31:25] 902分臺北股市小跌31點
[31:27] 持續收在35381點
[31:30] 如果喜歡我們節目
[31:31] 記得幫我們訂閱按贊加分享
[31:32] 我們就下禮拜一早上8點半
[31:34] 早晨財經速解讀
[31:35] 再相見祝各位投資朋友
[31:36] 看完順利
[31:37] 炒盤愉快
