[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 道琼涨238点
[26:17] 0.78%
[26:18] 收在6869点
[26:20] 纳指上涨290点
[26:21] 1.29%
[26:22] 在22807点
[26:24] 非班上涨149点
[26:26] 1.93%
[26:27] 所在7914点
[26:29] 刚才跟投资朋友提到
[26:31] 这几任的美国总统
[26:33] 其实都遇到了科技浪潮所带动的长牛市
[26:36] 川普当然也是受益者之一
[26:38] 他在第一任的标普白指数年化报酬
[26:41] 大概是16%
[26:42] 韩股息
[26:42] 高于长期平均的9%
[26:44] 所以其实第一任任期
[26:46] 川普的股票市场表现不错
[26:47] 那这波多头就延续到拜登任内
[26:51] 那川普现在希望靠减税
[26:54] 靠监管的松绑
[26:55] 靠刺激国内投资来当作推进器
[26:57] 那现在的确
[26:59] 在2025年的股价下修以后
[27:02] 所以造成当前的反弹幅度
[27:04] 其实相对来的大
[27:05] 可是由于美元在第二任任期的下跌
[27:08] 接近9%
[27:09] 也导致总体绩效相对于海外
[27:12] 就没有这么亮丽了
[27:13] 所以这会如何影响到美股投资人的看法
[27:16] 我们后续再来做进一步追踪
[27:18] 可是要承认的是
[27:19] 美股其实这两年表现不算亮丽
[27:21] 如果你把其他新兴市场
[27:23] 或者欧洲股市
[27:24] 台韩股市拿来做对照的话
[27:26] 就是如此
[27:26] 那另外一方面
[27:27] 现在在美欧股市
[27:29] 其实在指数平和的过程当中
[27:32] 有很多个股崩跌了
[27:33] 所以有些人会说
[27:34] 现在好像是
[27:36] 类似熊市的牛市
[27:38] 怎么我在美股的持股都跌得
[27:41] 落落人
[27:42] 或者说跌得七零八歪
[27:44] 压力极大
[27:46] 但是指数就没跌
[27:47] 心里这时候就不敢讲了
[27:50] 因为指数没跌
[27:51] 可是我的持股跌得乱糟糟
[27:53] 那就不敢讲
[27:53] 但是其实大家心情很不舒服
[27:55] 有些人是这样的
[27:56] 我们举例来说像IGV
[27:58] 软体型ETF
[27:59] 最近好不容易开始止跌了
[28:01] 可是年初到现在
[28:02] 它跌幅已经跌了23%
[28:05] 这是平均跌幅
[28:06] 你买的都是实力最强的一些软体型个股
[28:10] 总体平均跌幅居然两成三
[28:12] 有很多像Adobe
[28:13] 跌幅已经来到五成六成了
[28:15] 所以年初不是才讲吗
[28:17] 有个男的
[28:19] 有一个吸毒的朋友
[28:20] 为了帮他转移注意力
[28:22] 找他一起炒股票
[28:23] 你那么爱打电玩
[28:25] 不如跟着我一起买软体股吧
[28:28] 爱打电玩
[28:29] 软体是永远不会被抛弃的
[28:32] 玩了一个月
[28:33] 那朋友说我还是回去吸毒好了
[28:35] 为什么
[28:36] 因为吸毒看起来还是便宜一点
[28:38] 所以现在我们看到
[28:40] 整个市场的资金的策略
[28:43] 它就导致内部分起极大
[28:45] 到底赚钱的人多
[28:47] 还是赔钱的人多
[28:48] 指数是没什么太大波动
[28:49] 其实今年标普派指数
[28:51] 大概还在零报酬上下
[28:53] 可是你会发现
[28:54] 怎么赚钱的人
[28:55] 好像也不是特别多
[28:57] 赔钱的人倒是蛮多的
[28:59] 这是一个蛮有趣的迹象
[29:00] 在美国股市市场是如此
[29:02] 台股的部分
[29:03] 我们就后续再来做
[29:04] 更进一步的分析
[29:05] 我们今天主要是跟投资朋友
[29:06] 稍微聊一下
[29:08] 市场上针对战争的看法
[29:10] 和川普的政治压力
[29:11] 市场上针对战争的反应
[29:13] 第一正在金融化
[29:14] 它并不是单纯的恐慌
[29:16] 从周三市场的表现来看
[29:18] 油价在快速上涨之后
[29:20] 暂时稳定在每桶80美元左右
[29:22] 美元也因此出现了谈判讯号
[29:24] 开始出现回落
[29:25] 让资金重新流回风险资产
[29:28] 但是说明市场上
[29:30] 看起来不是很关心战争本身
[29:32] 大家关心的是能源价格
[29:34] 和利率的传导对于总体经济影响
[29:36] 看起来只要油价不失控
[29:37] 美元没有持续走强
[29:39] 股票市场就会慢慢的稳住盘式
[29:41] 但是这代表股市可以上攻吗
[29:44] 不一定
[29:44] 他得看下一步
[29:46] AI基本面到底是否有好转
[29:49] 今天来不及讲
[29:50] 但我们后续再来分析一下
[29:51] 博通财报
[29:51] 第二是川普的政治压力
[29:53] 他决定了战争
[29:55] 但他不能够改变通膨
[29:57] 否则中期选举就会大败
[29:59] 川普面临的
[30:00] 看起来好像是伊朗是否和谈的问题
[30:02] 其实川普面临的是民调压力
[30:05] 美国选民在最敏感的议题
[30:07] 仍然是生活成本
[30:08] 不是地缘政治
[30:09] 所以伊朗冲突
[30:10] 如果真的把油价
[30:11] 推高到一定程度
[30:12] 保持在现在的油价
[30:14] 通膨都会拉绳
[30:15] 所以从政治逻辑来看
[30:17] 白宫其实没有太多的空间
[30:19] 让这场战争
[30:20] 变成长期能源危机
[30:21] 无论是护航
[30:23] 释放谈判讯号
[30:24] 你护航
[30:25] 你要烧的钱也不少
[30:27] 这是否有达到
[30:28] 针对国内经济议题
[30:29] 或者美国利益优先的态势
[30:31] 都是会让选民思考的问题
[30:33] 那后续
[30:34] 其实背后都是同一个目的
[30:36] 市场上相信能源供给
[30:38] 不会长期受到供给
[30:39] 因为川普受制于当前的中期选举
[30:42] 给投资朋友多一些思考
[30:44] 台股上涨1284点
[30:46] 每天波动越来越大了
[30:48] 但是投资人越来越处变不惊
[30:50] 经历过关税战的人不简单
[30:52] 睡过一次公园的人
[30:54] 你可能觉得全身痒痒的
[30:58] 但是睡到第二次
[30:59] 第三次
[31:00] 第四次
[31:01] 你都可以跟大酒保公园里面的
[31:04] 姐姐们一起聊天了
[31:06] 泰兰自落
[31:07] 睡公园一定要睡得越来越高级
[31:10] 股市点位也是越来越高
[31:12] 也祝大家新的一年发大财
[31:13] 如果喜欢我们节目
[31:14] 记得帮我们订阅按赞加分享
[31:15] 我们就明天早上八点半
[31:16] 早晨财经睡觉住
[31:17] 再相见
[31:18] 周哥投资朋友
[31:18] 开盘顺利
[31:19] 上班愉快
