[00:00] 投资变换收听早晨财经速解读
[23:55] 来解决现在的时代困局那要如何解决看黄仁勋了黄仁勋最近在干什么赶快让中国市场开放吧这很有趣我们看黄仁勋最近受访表示他说中国最终还是会
[24:07] 重新开放美国的AI晶片进口
[24:09] 即便像H200
[24:11] 其实已经算开放了
[24:12] 但是中国迟迟不愿意下单
[24:14] 他也提到说
[24:15] 中国是需要高阶AI晶片的
[24:17] 赶快来买吧
[24:18] 现在H200变成了
[24:20] 美中谈判的重要筹码
[24:21] 川普政府去年底
[24:23] 就已经同意出口了
[24:24] 现在真正卡住的房子
[24:25] 是中国自己
[24:26] 他大力的说服中国政府
[24:28] 该买的还是要买
[24:29] 基本上我们会维持
[24:31] 一定程度的技术代差
[24:33] 当然另外一边
[24:34] MARGA大统领班农
[24:37] 就开始批评
[24:38] 班农是代表
[24:39] 比较核心的美国民族主义派
[24:41] 他看到就完全不同的事情
[24:42] 他直接引用黄运勋的说法
[24:44] 说美国科技公司
[24:46] 正在为了那一丁点的股价和利润
[24:48] 把美国的技术资本
[24:50] 未来的战略优势
[24:51] 重新汇到中国
[24:52] 尤其AI已经不是普通产品了
[24:54] 它是未来的军事监控
[24:56] 金融国家权力的核心
[24:58] 我们应该全面的退出中国市场
[25:00] 禁止向中国出售任何的AI晶片
[25:02] 现在黄龙星做这样的事情
[25:04] 根本就是知敌
[25:06] 这个就是川普矛盾的地方
[25:08] 就是川普内部当然有科技派
[25:11] 也有标准的MAGA派
[25:12] 美国的鹰派急着想要围堵中国
[25:15] 但是另外一派
[25:16] 美国的企业家
[25:17] 华尔街和科技巨头
[25:18] 本质上也很难完全的放弃中国市场
[25:21] 这个就变成
[25:22] 政治上当然是反中
[25:24] 但商业上到底美国对中国的关系
[25:27] 是否有如此的脱钩
[25:29] 我们后续再多做一些留意
[25:31] 可是不管怎么说
[25:32] 整体而言
[25:33] 接下来要解决
[25:34] 我们看到过去的通膨问题
[25:37] 或者债务的方式
[25:38] 真的唯一方式就是
[25:39] 引起更进一步的科技力增长
[25:42] 其实我们会回过头看
[25:43] 昨天我们提到
[25:44] AI的泡沫相对于95年到02年
[25:47] 其实并没有到疯狂的地步
[25:49] 纳斯达克指数在过去12年
[25:51] 涨了7.4倍
[25:52] 但拿来跟1999年的网络泡沫相比
[25:55] 其实涨幅还远远不如当年
[25:57] 现在这一轮的AI牛市
[25:58] 虽然大家觉得很疯狂
[25:59] 但是其实还不到当年一半的狂热程度
[26:02] 更重要的事情是
[26:03] 现在赶涨的都是基本面极好的龙头股
[26:07] 这个就算你口头每天都在讲AI的
[26:12] 那股票也不一定会上涨
[26:13] 它只是针对大型股的估值预期来得过远
[26:16] 标普500的EPS年增幅现在是25%
[26:19] 即便扣除掉一些特殊收益
[26:22] 还有16%的成长
[26:23] 就代表着企业获利
[26:25] 现在真的在大爆发
[26:26] 所以投资现在
[26:27] 我觉得市场开始出现一个
[26:29] 比较矛盾的氛围
[26:30] 就是景气好的时候
[26:31] 企业就强调效率
[26:33] 纪律资本配置
[26:34] 大家就会认为这是成熟经营
[26:36] 当大量资金投入到
[26:38] AI伺服器
[26:39] GPU资料中心
[26:40] 甚至不断回购股票
[26:43] 来撑高估值的时候
[26:45] 也不愿意拿去改善薪资
[26:46] 我们过去所提到的事情是
[26:49] 企业以前如果什么事都不做
[26:52] 大家就会嫌
[26:53] 可是当企业开始去做这些事情
[26:56] 强调新一波的投资的时候
[26:57] 大家就会开始担心
[26:59] 他讲说
[27:00] 那你以前那个股票回购
[27:01] 那不就没了吗
[27:02] 那以前那种技巧性的
[27:04] 抬高股价的手段不就没有了吗
[27:07] 那你发的鼓励不就没有了吗
[27:09] 所以这个时候反而非常有趣
[27:11] 就是很多人感受到的
[27:13] 就变成如果你投资本支出
[27:16] 那你就是不愿意提高薪资
[27:17] 不愿意分论
[27:18] 不愿意赶上员工的处境
[27:20] 可是你不投
[27:21] 又会嫌你公司不长进
[27:23] 所以很多人感受到的
[27:24] 一方面好像是节俭
[27:26] 一方面又觉得是一种吝啬
[27:28] 到底这个公司发展的过程当中
[27:31] 投资量用什么样的评价
[27:33] 事实上我觉得
[27:34] 与其把这些钱
[27:36] 拿去做技巧性的股价抬升
[27:37] 做股票回购
[27:38] 不如投下一个时代的AI产品
[27:41] 它其实才是整个企业
[27:42] 科技生产力
[27:43] 持续突破的增长
[27:45] 过去看网络上
[27:46] 网友讲说
[27:47] 儿子问爸爸
[27:48] 那节俭跟吝啬有什么区别
[27:51] 爸爸说
[27:52] 当爸爸舍不得给自己买东西的时候
[27:55] 你妈妈会说爸爸很节俭
[27:57] 但当爸爸舍不得
[27:59] 给你妈妈买东西的时候
[28:00] 你妈就会骂爸爸很吝啬
[28:03] 节俭是自我主权的克制
[28:06] 吝啬是对于他人权益的剥夺
[28:09] 这个妈妈只是在帮爸爸厘清
[28:12] 你的钱是可以由你自己随意节约的
[28:15] 但妈妈的幸福感
[28:16] 是不容你任意删减的
[28:18] 所以今天520
[28:19] 要做一些表态好不好
[28:20] 即便股价做了一些回调
[28:22] 所以我们讲的事情就是
[28:23] 投资市场景气好的时候
[28:25] 公司就喊效率
[28:26] 喊纪律
[28:27] 喊资本配置
[28:28] 市场觉得这个叫节减
[28:30] 但是当企业只愿意把钱拿去买
[28:33] 库藏股做股票回购
[28:34] 然后充AI估值
[28:35] 不愿意提高薪资的时候
[28:37] 很多人感受到的就不是节减
[28:38] 它反而是另外一种程度的吝啬
[28:40] 所以这个就一念之间
[28:42] 就你对AI有信心
[28:44] 你就认为是对的
[28:45] 当你对于AI股价回跌的
[28:46] 你没信心
[28:47] 你就觉得
[28:47] 它是不是过度吝啬
[28:49] 或者说
[28:50] 它在投资的过程当中
[28:52] 是不是冒了更大的风险
[28:53] 所以不管怎么说
[28:54] 给投资朋友做新一波借镜
[28:56] 股价上涨下跌
[28:58] 如果你的投资策略
[28:59] 和思想是不一样的
[29:00] 那是很危险的
[29:01] 给投资朋友做一些思考
[29:02] 台股还上涨100点
[29:04] 说在40288点
[29:06] 今天520
[29:06] 520是就职周年
[29:09] 所以当然要稍微好看一点
[29:11] 我们后续来观察一下
[29:12] 没有股市
[29:13] 本轮到底是以盘待跌
[29:14] 还是做一个比较大的回调
[29:16] 让本一笔瞬间回去
[29:17] 是最好的做法
[29:19] 当然我们回过头说
[29:20] AI所造成的影响
[29:21] 难道就没有浮现吗
[29:23] 刚才提到说
[29:23] 科技增长是解决的方式
[29:25] 可是科技增长的过程当中
[29:27] 对于企业的冲击
[29:28] 其实也在逐步的涌现
[29:30] 其实在过去几个月
[29:32] Meta裁了8000人
[29:33] Amazon裁了1.6万人
[29:35] 甲骨文裁了3万人
[29:37] 微软裁了8500人
[29:38] UPS裁了3万人
[29:40] 戴尔裁了11万人
[29:42] 渣打银行
[29:43] 代表是裁了1万人
[29:46] 1万人有点多
[29:47] 渣打裁了7000人
[29:49] 最近我们看到摩根斯坦尼也裁了2500人
[29:51] 所以一系列的裁员现象
[29:53] 现在很明显科技圈都开始把AI当成裁员和从俗的理由
[29:58] 它有两层角度
[30:00] 一种角度就是市场上很明显感受到AI的导入工作以后
[30:05] 可以取代非常多的初级工程师
[30:07] 可是另外一方面
[30:08] 这个AI到底是否真的取代了工作
[30:11] 还是原本21年到22年
[30:13] 我们有一段时间就是过度扩张
[30:16] 那现在AI变成了
[30:18] 裁员的一个理由而已
[30:19] 他早就想裁你了
[30:21] 那过去一直找不到什么好理由
[30:22] 现在告诉你说
[30:23] 因为我们在做AI转型
[30:25] 我们举例来说
[30:26] 像最近币圈也在裁员
[30:27] 像coinbase
[30:28] 或者我们看crypto.com
[30:30] 最近都在大规模裁员
[30:32] 那在裁员的过程当中
[30:34] 理由当然是因为现在AI的导入
[30:35] 不需要这么多的能力了
[30:37] 可是这些企业
[30:38] 我们已经清楚知道
[30:39] 加密货币市场的交易量
[30:41] 已经不如前几年还要来的热络了
[30:43] 所以很多人可能只是
[30:45] 景气现在变差裁员
[30:47] 转化成现在正在做AI转型
[30:50] 这就是整个时代的悲哀
[30:51] 就是股价涨幅也是过度集中
[30:54] 中小型股没有被照顾到
[30:56] 那在真实的就业环境
[30:57] 其实也是如此
[30:58] 当然这件事情也就意味着
[31:00] 一个新时代正在产生
[31:02] 我们都在期待着
[31:04] 接下来整个局势
[31:05] 能不能符合有利的一边
[31:07] 有利的一边不代表
[31:08] 这个局势会反转
[31:09] 贫富差距会缩小
[31:10] 不会的
[31:10] 但是贫富差距
[31:12] 在扩大的过程当中
[31:13] 好的资本主义社会
[31:15] 它会同时
[31:16] 发展一下低轨卫星
[31:18] 发展一下元宇宙
[31:19] 发展一下电动车
[31:20] 发展一下AI
[31:21] 让你用的iPhone更好
[31:23] 这个是好的资本主义
[31:25] 贫富差距不会停止
[31:26] 但是你的物质生活
[31:27] 可以缓步的垫高
[31:29] 那坏的资本主义
[31:30] 那就是它也不投AI
[31:32] 它是每天贫富差距
[31:33] 持续的扩大
[31:34] 吸收那个海量货币
[31:36] 宽松的钱
[31:36] 最后你的物质生活
[31:38] 也没有做有效的提升
[31:39] 但是你却越来越穷了
[31:41] 所以屏幕差距是不会停止的
[31:43] 我们只能期待
[31:44] 就算我变成底层人民
[31:47] 我每天一样可以使用iPhone
[31:49] 用这样的一个生活来迎接未来
[31:51] 这也是没办法的事情
[31:52] 就零三分
[31:53] 如果喜欢我们节目
[31:54] 记得帮我们订阅按赞加分享
[31:55] 我们就明天早上八点半
[31:56] 早晨财经速解读
[31:58] 再相见
[31:58] 祝各位投资朋友
[31:59] 看完顺利
[31:59] 操盘愉快
