[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过原油价格是市场上十分关注的
[24:57] 你会有理性思考的能力
[24:59] 这叫皮脂醇的觉醒反应
[25:02] 晚上通常前额夜你会疲劳
[25:05] 你的情绪就更容易失控
[25:07] 所以你做什么重大的决策
[25:09] 就不要在晚上做
[25:10] 因为晚上是自我控制能力下滑
[25:12] 冲动增加
[25:14] 情绪反应变强
[25:15] 你以后要吵架
[25:17] 你最好出门的时候
[25:18] 你就跟你太太先吵一轮
[25:19] 晚上不要吵了
[25:20] 晚上吵都不是很理性
[25:21] 早上吵
[25:22] 他还可以稍微理性一点
[25:24] 跟你做沟通
[25:25] 所以有时候我们才讲说
[25:27] 为什么很多烦恼
[25:29] 睡一觉就好了
[25:30] 早上起来感觉就可以沟通
[25:32] 这就是原因
[25:32] 这个时代这么多鸟
[25:34] 我们每天工作日直播
[25:37] 难道每天状态都很好吗
[25:39] 难道不会有失恋的时候吗
[25:41] 不会有套牢心情差的时候
[25:44] 但是我们选择早上起来直播
[25:47] 因为这个时候已经忘光了
[25:49] 难道浩哥不会有心事吗
[25:51] 有的人现在烦小孩
[25:53] 有的人烦老公
[25:54] 有的人烦父母
[25:55] 有的人烦老婆
[25:55] 你怎么能够保证
[25:57] 每个工作日你都不烦
[25:59] 每个工作日
[26:01] 你的心情都不差呢
[26:03] 所以你就知道
[26:04] 为什么要早上直播
[26:05] 因为中午晚上很多烦恼
[26:07] 但是睡一觉
[26:08] 很多烦恼都忘了
[26:10] 你晚上才直播
[26:11] 一整天一堆鸟事
[26:13] 你都快烦死了
[26:15] 每次都想说赶快睡觉
[26:16] 赶快睡觉
[26:17] 所以很多事情就这样了
[26:18] 为什么讲说睡一觉就好了
[26:19] 因为鼻子唇重新的发酵了
[26:23] 当年也是学妹跟我
[26:25] 在成功湖畔
[26:27] 倾吐很多心事
[26:29] 我也是跟她这样子讲
[26:31] 跟我睡一觉就好了
[26:32] 跟我一样
[26:34] 睡一觉
[26:35] 很多烦恼就清空了
[26:37] 我也是开导很多人的知识
[26:39] 看到很多人的观念
[26:41] 你看我现在就昨天没睡好
[26:43] 所以脑袋不是很清楚
[26:44] 睡觉很重要
[26:45] 为什么讲这个
[26:46] 人生投资要依循周期
[26:48] 不要依循判断
[26:49] 你要了解自己的局限在哪里
[26:51] 你要了解市场的局限在哪里
[26:53] 有时候外部冲突
[26:55] 你把它给清理掉以后
[26:56] 你发现股市不就涨多有回档
[26:59] 找一个理由借口回档
[27:01] 股市涨高就会有回跌
[27:03] 积极会有高就会有低
[27:04] 股价涨跌本身不是重点
[27:06] 积极的高低才是
[27:08] 目前美国股市的本益比
[27:10] 正在以非常惊人的速度持续的下行
[27:12] 当然最终我们要看
[27:14] 市场的估值定调是否也会因此而改变
[27:17] 为什么呢
[27:18] 因为年底本来我们要预估以两码的码数
[27:21] 来预期整体资产价格的估值
[27:23] 现在逐渐变成一码
[27:25] 甚至变成我最喜欢的五码了
[27:27] 那在这样效果底下
[27:28] 等同于市场的估值也会随着通膨数据反映
[27:32] 并不代表中东问题不会对于股市
[27:34] 产生重大影响
[27:37] 而是说中东问题
[27:38] 它仍然是一个外部性冲突
[27:40] 外部性冲突解决
[27:41] 油价就会回跌
[27:42] 那只不过现在最大的敌人就是
[27:45] 油价如果维持在高位太久
[27:47] 通膨可能就要传进去了
[27:49] 如果我们细看
[27:50] 目前美国的汽油价格
[27:52] 美加仑大概在3.6
[27:53] 周末有很多投资朋友
[27:55] 也跟我分享全美各地的汽油价格
[27:58] 那当然了
[27:58] 加州地区
[28:00] 因为油价本来就比较高
[28:01] 很多来到4.5 4.6
[28:03] 甚至接近5美元美加仑
[28:05] 那这个也很正常
[28:06] 但是以平均价格来看
[28:08] 大概已经从两周前的2.8美加仑
[28:11] 现在已经冲高到3.6左右
[28:14] 那如果我们把它拿来跟去年
[28:16] 前年大前年
[28:17] 本来今年1到2月份原油价格
[28:19] 本来还是对于通膨
[28:20] 有非常强大的抑制作用的
[28:22] 因为都低于前三年的表现
[28:25] 结果在3月份突然一股脑
[28:27] 全部超过23 24 25年的表现
[28:30] 现在原油价格比过去三年都还来得贵
[28:33] 这个时候压力可能稍微就有点来得大了
[28:35] 市场上现在媒体提到
[28:37] 对于伊朗对于石油的报道数量
[28:39] 的确在增加
[28:40] 但是涉及通膨的讨论度
[28:42] 还没有完全的失控
[28:44] 从这个角度来看
[28:45] 现在最大的风险
[28:47] 就是市场对于通膨的关心
[28:48] 看起来还是
[28:49] 还是比2022年
[28:50] 乌鲁战事的担忧还要来得低
[28:53] 但是也说明
[28:54] 市场上随时都有可能
[28:55] 开始重新定价
[28:57] 大家都相信原油价格
[28:58] 这一波应该是短期问题
[29:00] 那如果变长期就有点压力了
[29:02] 川普当然也知道这件事情
[29:03] 我们从利率交换曲线来做预估
[29:05] 美国CPI未来几个月
[29:07] 可能上升到3.5%
[29:08] 但是之后又会回落到2.8
[29:10] 就代表着通膨的预期指标
[29:13] 看起来也只不过是一个温和的上升
[29:15] 所以要让通膨维持在这样的一个温和路径
[29:18] 可能其实要有很多条件的成立
[29:21] 包括战事不能拖太久
[29:22] 伊朗不能长期的干扰荷姆斯海峡的航运
[29:25] 能源价格的上涨
[29:27] 不能够进一步推高食品等成本价格
[29:29] 那现在通膨还是可控的
[29:31] 因为除了原油能源价格的上涨
[29:33] 贵金属价格没有失控
[29:35] 农粮价格也没有失控
[29:37] 那我们害怕就是外溢效果
[29:38] 最近成熟制成
[29:39] 好像报家往上扬了
[29:41] 这些效果就是我们观察
[29:43] 中东战事对于股市的长期影响
[29:46] 其实来自于利率异期的
[29:48] 码数的贡献造成的估值回调
[29:51] 但是本身中东冲突这件事情
[29:53] 对于股市而言
[29:54] 长期来看并没有太显著的关系
[29:56] 长期来看
[29:57] 还是即将到来的GTC大会
[29:59] 基本面的带动为何
[30:01] 所以我们今天梳理一下
[30:02] 我们从一开始在中东战事的进程
[30:04] 来聊对于亚洲经济体
[30:06] 对于美国经济体
[30:07] 对于欧洲经济体
[30:09] 以及对于中东经济体的各自影响
[30:11] 亚洲和中东是市值冲击最大
[30:13] 可是美国和欧洲
[30:15] 是对于通膨影响冲击来的最深的
[30:17] 与此同时我们也看到
[30:19] 各国股市在这一波的回调过程当中
[30:22] 有一些基本面极度亮丽的美股
[30:24] 仍然以非常惊人的EPS扩展
[30:27] 那就代表它的本益比正在回调
[30:29] 那么本益比回调的过程
[30:31] 如果是戴维斯双击
[30:32] 就是可能未来是恐慌
[30:34] 财报财策预期不好
[30:36] 那可以理解
[30:37] 可能会有库存循环调整的一天
[30:39] 可是如果他的回调
[30:40] 来自于外部性冲突
[30:42] 是因为几千公里外打了一场战争
[30:45] 那这个时候你就要稍微考量一下
[30:47] 他也许只是一个短期的地缘政治冲突
[30:49] 这个时候还要不要把它视为危机
[30:52] 就是一个观察重点了
[30:53] 就零二分
[30:54] 台股上涨360点
[30:55] 说来33760点
[30:58] 台股也就卡在这个位阶
[30:59] 美欧股市也卡在这个位阶
[31:01] 大家就一直盘盘盘
[31:03] 你说盘了很久
[31:03] 国家也没有跌多深
[31:04] 但是本一笔已经叠满身了
[31:06] 给投资朋友做些思考
[31:07] 如果喜欢我们的节目
[31:08] 记得帮我们订阅按赞加分享
[31:09] 我们就明天早上半半
[31:11] 找成才金数点图
[31:12] 再相见
[31:12] 祝各位投资朋友
[31:13] 开门顺利
[31:13] 操盘愉快
