[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 股市突破了三萬點的大關
[25:53] 你就是跟某個人接觸
[25:55] 你發現就是氣場不好
[25:57] 要麼損失錢
[25:59] 要麼心情不好
[26:00] 要麼損失什麼東西
[26:01] 反正就是讓你各種不順的
[26:03] 遇到這種的人
[26:04] 你就千萬就不用再來往
[26:06] 那標準的爛人
[26:07] 或爛桃花
[26:08] 之所以你跟他接觸
[26:10] 你就各種不順
[26:10] 是因為他在吞噬你的能量
[26:12] 你老是跟這種
[26:13] 對於未來不樂觀的人在一起
[26:15] 肯定會影響到的能量和運氣
[26:18] 對不對
[26:19] 所以為什麼我們講說
[26:20] 不要跟悲觀主義者合作
[26:21] 因為他們任由壞事發生
[26:23] 以此來證明
[26:24] 他們的負面看法是正確的
[26:26] 悲觀樂觀
[26:27] 表面上就是一個人的性格
[26:29] 但他們的責任感不太一樣
[26:30] 樂觀者是願意冒險的
[26:32] 因為他們判斷失誤一次
[26:34] 會被打臉
[26:35] 但他們願意繼續冒險下去
[26:36] 但悲觀者永遠都是安全的
[26:38] 他們的腳是跟著大部隊前進的
[26:41] 嘴叨叨的他的悲觀的預期
[26:43] 形勢大好
[26:44] 最後他還是會自動分享到好處
[26:46] 但是他會錯過真實資產價格的漲幅
[26:49] 所以我們每天八點半聽我們直播
[26:52] 其實塑造一個好的
[26:53] 對於金錢正確的認知觀念
[26:56] 你看這個時間
[26:57] 大家做捷運
[26:58] 有多少人是開啟學習頻道
[26:59] 都馬是滑抖音
[27:00] 但你選擇培養自己的氣場
[27:03] 多好啊
[27:04] 所以歡迎大家可以來參加
[27:05] 我們禮拜六財經號角的聽友會
[27:07] 在1月10號晚上的8點鐘
[27:10] 我們來做更進一步的解讀
[27:11] 來了解本輪的AI行情
[27:13] 會如何影響到
[27:14] 整個經濟起點的發生
[27:16] 以及股票市場
[27:17] 要如何反映接下來的AI龍井
[27:19] 還是已經反映完了呢
[27:21] 其實做人做事做投資都是一樣
[27:23] 我們過去講過婚姻也是如此
[27:25] 做一個男生
[27:26] 不要隨便去碰那些夜場的女生
[27:30] 因為她們身上有很多的力氣
[27:32] 就各種低階的能量
[27:34] 一旦你被這種能量糾纏
[27:36] 你就會終身難以擺脫
[27:38] 你的運氣財運都會受到很大的影響
[27:42] 所以你要去接近
[27:43] 就要去接近那些能量高的
[27:45] 有福氣的
[27:46] 有福報的
[27:47] 有智慧的女人
[27:48] 就好像我們小編
[27:50] 她們在無形當中就會淨化你的身心
[27:53] 帶給你好運和財運
[27:55] 你喜歡刺激的感覺
[27:57] 你也不要去夜店
[27:58] 你去百貨公司
[27:59] 我過去提過
[28:00] 百貨公司裡面很多貴婦
[28:02] 對不對
[28:04] 讀萬卷書不如行萬里路
[28:06] 行萬里路不如遇見貴婦
[28:09] 寧可追求貴婦
[28:11] 不可收留怨婦
[28:12] 你要了解那個氣場
[28:13] 女生一樣
[28:14] 女生千萬不要接觸那些渣男
[28:16] 低階能量的男生
[28:18] 那種講話很粗俗
[28:20] 一天到晚講黃段子的
[28:22] 都要小心
[28:22] 都要小心
[28:23] 否則你凝聚的福氣
[28:25] 會在一夜之間就被破壞
[28:27] 十年功力毀於一旦
[28:29] 很多人為了短期的刺激
[28:31] 常常沉溺在花花世界裡頭
[28:34] 不斷拉低自己的能量級別
[28:36] 很愚蠢的做法
[28:37] 所以每天抱怨的朋友
[28:39] 玩樂可以
[28:40] 抱怨的朋友
[28:42] 你一定要遠離
[28:42] 因為你可能以為
[28:44] 你出於你而不然
[28:45] 我告訴你
[28:46] 你一定會被影響到的
[28:47] 所以我歡迎大家
[28:48] 來參加我們
[28:49] 禮拜六舉辦的
[28:50] 財經號角聽語會
[28:51] 讓我們一起出於你而不來
[28:53] 給投資朋友做一些參考
[28:54] 當然了
[28:55] 如果大家有更多興趣的話
[28:56] 也可以參加我們的會員系統
[28:58] 會員系統當中
[28:59] 除了有未來一整年
[29:00] 聽友會的收聽權
[29:01] 也會有未來幾個季度
[29:04] 不管是專題的報告
[29:05] 還是專題影片
[29:06] 以及相關的基礎的小白系列課程
[29:09] 給投資朋友做一些觀察
[29:10] 好臺北股市開盤
[29:12] 我們來看一下今天市場的表現
[29:15] 臺北股市小跌77點
[29:18] 還收在3027點
[29:20] 我們先看一下昨天美股股市
[29:22] 四大指數表現
[29:23] 道瓊指數也是創業率新高
[29:25] 594.1.23%
[29:26] 收在48977點
[29:28] 標普上漲43.0.64%
[29:31] 收在6902點
[29:32] 準備要破高了
[29:33] 納斯達克指數上漲160點
[29:35] 0.69%
[29:36] 收在23395點
[29:38] 費半上漲1.07%
[29:43] 收在7446點
[29:45] 費半算是破高了
[29:47] 所以現在其實就是硬體股在衝
[29:49] 軟體股稍微有一點回蕩
[29:51] 那我們明天就繼續延續著
[29:52] AI浪潮是否醞釀泡沫的問題
[29:55] 以及市場的投行看法們
[29:57] 普遍為何
[29:58] 今天我們聊的範圍很廣
[29:59] 從一開始在臺積電
[30:01] 在昨天的破高
[30:02] 外資的跑路
[30:04] 內資的撐盤
[30:05] 一路到當前臺積電
[30:07] 成為整個大盤市場
[30:08] 主流的重心以後
[30:09] 我們在投資當中
[30:11] 所遇到的難關在哪裡
[30:12] 因為漲的就是那幾只
[30:14] 可是硬要去買那幾只
[30:15] 又很丟臉
[30:16] 因為這個所有人都知道
[30:18] 臺積電就是臺灣市值最大的股票
[30:20] 把錢給你
[30:21] 你還買臺積電
[30:22] 可是我不買臺積電
[30:24] 我又追不上大盤
[30:25] 這個就是現在投資面臨當中最大的困局
[30:28] 那另外一方面
[30:29] 臺積電的客戶
[30:30] 輝達以及輝達的客戶
[30:32] 要如何確保在2026年
[30:34] 有進一步的估值支撐
[30:36] 一方面當然就建制速度快一點
[30:38] 電網電力的鬆綁
[30:40] 能源的鬆綁
[30:41] 另外一方面
[30:42] 終端產品今年是一定要推出個所以然
[30:45] 錢不用賺太多
[30:46] 但樣子總要推出來
[30:47] 讓大家知道AI不是在網路上聊聊天打打字而已
[30:51] 而是正在影響你的生活
[30:53] 這個就是整個26年到27年的根本未來
[30:56] 泡沫它也不是一天養成的
[30:59] 它要好幾天好幾年的逐步的累積
[31:02] 泡沫破滅往往的確市場上估值的崩潰是很痛苦的
[31:07] 可是又有千百種方法確保它的EPS能夠追上來
[31:12] 這個羅馬不是一天造成的
[31:14] 但廣島是一天毀滅的
[31:16] 到底現在AEI是羅馬還是廣島呢
[31:18] 我們後續在聽語會當中
[31:20] 再來跟投資朋友做更進一步的解析
[31:22] 如果喜歡我們節目
[31:23] 記得幫我們訂閱按贊加分享
[31:24] 我們就明天早上半點半
[31:26] 早晨財經速點讀
[31:27] 再相見
[31:28] 祝各位投資朋友
[31:29] 看完順利
[31:29] 操盤愉快
