[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 纳斯达克指数也不过跌1.4
[25:37] 现在新申请的全部暂停
[25:40] 那压力很大
[25:41] 因为全美已经有14个州
[25:43] 已经正在考虑相关的措施
[25:45] 原因就来自于
[25:46] 当时你跟我说会创造更多的就业
[25:49] 结果想不到
[25:50] 现在资料中心要盖
[25:52] 因为电网无法承受
[25:53] 现在要盖资料中心
[25:55] 旁边一定要盖一个发电站
[25:56] 你那时候承诺我会有就业
[25:59] 会有一个资料中心在这边
[26:00] 结果告诉我
[26:02] 还会有一个发电站在旁边
[26:04] 烧天然气
[26:05] 现在美国民众开始反对了
[26:07] 纽约州开了第一个先例
[26:08] 暂停大型AI资料中心的建设一年
[26:11] 我们要知道
[26:12] 还好纽约州
[26:14] 现在并不是主要的建制区
[26:15] 现在主要是集中在
[26:16] 维吉尼亚州和德州
[26:18] 其实维吉尼亚目前也在考虑
[26:20] 是否有相关的监管措施
[26:22] 即将推出
[26:22] 这些事情都可能会影响到
[26:25] 接下来美国AI资料中心
[26:27] 建设的步调
[26:28] 维吉尼亚州
[26:29] 现在是665座全美第一
[26:32] 全年的耗电量是24太瓦
[26:35] 相当于台湾目前全年用电量年化的接近八成
[26:40] 德州是413座
[26:41] 加州是321座
[26:43] 纽约大概排到第九了可是这件事情会不会有扩散效应其实会有压力的我们看盖洛普的民调现在在全美有71%的美国人反对在自己的居住区
[26:55] 来新建AI资料中心
[26:57] 48%是高度强烈反对
[26:59] 支持者大概就是26%
[27:01] 所以美国现在
[27:02] 对于资料中心的排斥程度
[27:03] 越来越高了
[27:05] 其实就跟0币效应
[27:06] 一模一样
[27:07] AI资料中心
[27:08] 你要不要盖
[27:09] 好啊盖
[27:10] 盖可以增加国力
[27:11] 但是不要影响到
[27:13] 我的生活品质
[27:14] 跟红灯区一样
[27:16] 不 红灯区不一定
[27:17] 跟火力发电厂差不多
[27:19] 跟核电厂差不多
[27:20] 就是我都支持
[27:21] 不要盖在我家隔壁就好了
[27:23] 那它会形成市场上
[27:25] 针对未来建制量的进一步压力
[27:27] 这股压力就是
[27:28] 那有没有可能
[27:29] 硬体的需求就没这么多人了
[27:31] 所以这个是我认为
[27:32] 可能未来大家观察中
[27:33] 不过一样
[27:34] 它是估值回调的理由
[27:36] 因为泡沫破灭
[27:37] 终究要产生算力过剩
[27:39] 才会发生
[27:40] 我认为这是
[27:41] 大家比较要观察的其他方向
[27:43] 好 九点钟
[27:44] 我们今天主要跟投资朋友稍微梳理
[27:45] 现在市场上比较关注的
[27:47] 记忆体回调
[27:48] 逻辑晶片的回调
[27:49] 废办的回调
[27:50] 每一次回调鬼故事就会出现
[27:52] 说什么台积电又传出鬼故事了
[27:54] 竞争对手开始追上了
[27:56] 要不然就是记忆体行情
[27:58] 终于开始回到紧急循环
[28:00] 它的本益比从来也没有脱离过紧急循环
[28:02] 只是大家有一股预期
[28:04] 有没有可能迎来超级循环
[28:05] 现在其实大多数的废办
[28:07] 都在超级循环之上
[28:09] 但是迎来了第一波
[28:11] 从五六月份以来的
[28:14] 系统性的获利了结
[28:15] 而在获利了结过程当中
[28:17] 金融板块创高了
[28:18] 运输板块创高了
[28:20] 标普和纳指都撑在高位
[28:22] 市场资金轮动
[28:23] 我认为还是比较明显的
[28:25] 好 基本中
[28:26] 那最后几分钟
[28:27] 我们来跟投资朋友
[28:28] 导读一本书
[28:29] 台股下跌1450点
[28:31] 还好啦
[28:31] 那韩国股市
[28:32] 熔断一次正常
[28:34] 熔断两次
[28:35] 才有一点超乎预期嘛
[28:36] 台股跌1000点算正常
[28:39] 跌2000点再说啦
[28:41] 看起来是这样
[28:41] 好我们今天导读这本书
[28:43] 这本书很有名
[28:44] 叫4%法则
[28:46] 让钱活得比你久的提领金率
[28:49] 这本书是威廉班根所写
[28:52] 我相信大家应该
[28:53] 稍微都提供过4%法则
[28:56] 基本上就最高安全的提领率
[28:58] 来针对未来退休
[29:00] 做实证研究计划
[29:02] 那4%法则很简单
[29:04] 退休第一年
[29:05] 提领投资资产的4%
[29:06] 之后每年依照通膨来调整金额
[29:09] 理论上就有很高的机率
[29:10] 让资产至少维持30年
[29:12] 比如说你有3000万的
[29:13] 退休投资资产
[29:15] 第一年提领
[29:16] 3000万乘以4%
[29:17] 就120万
[29:18] 那平均每个月大概领10万
[29:20] 如果第二年通膨还是3%
[29:22] 那第二年的提领金额
[29:23] 就不是重新算4%
[29:24] 你可能是1.03
[29:27] 加上个通膨3%
[29:28] 120万乘以1.03
[29:30] 你第二年你要拿123万
[29:32] 所以即便投资组合
[29:34] 可能它会稍微有点变动
[29:36] 可是你还是按照通膨来做调整
[29:38] 那有时候有人说
[29:39] 为什么不是5%
[29:40] 不是6%
[29:41] 他是有实证经验的
[29:42] 因为4%在30年内
[29:44] 资产耗尽的几率是很低的
[29:46] 5%和6%
[29:47] 遇到熊市或者资产波动加大
[29:50] 失败的可能性就比较高
[29:51] 他如何让你在死之前
[29:54] 刚好把钱花完
[29:56] 他是一个蛮有趣
[29:57] 比较实证性的提领措施
[29:59] 当然有些人认为4%法则太乐观
[30:01] 未来可能有医疗
[30:02] 长照支出
[30:03] 没错
[30:04] 但至少让我们对于退休资产的规划
[30:07] 有一个更稳健的态势
[30:08] 我认为是蛮好的
[30:09] 其实这年头
[30:11] 本来大家对于退休理解
[30:12] 就差很多了
[30:13] 到底退休之后
[30:14] 是拿个小500万
[30:16] 去开个咖啡厅
[30:18] 找点事情做
[30:19] 还是就好好买好台积电
[30:21] 每天听财经号角呢
[30:23] 这个时代会转变的
[30:24] 你才可以了解
[30:25] 为什么现在服务业这么缺工
[30:26] 所以以前我们YouTube的简介
[30:30] 大家知道我们节目频道
[30:32] 是七年前创立的
[30:35] 当时我们就跟投资朋友分享过
[30:38] 本网站本频道的一个初衷
[30:41] 那个时候市场上
[30:44] 行情波动还不像现在这么大
[30:46] 那我也跟大家分享
[30:47] 我会在这个YouTube频道当中
[30:49] 来分享一些财务上的知识
[30:51] 那有很多人会好奇
[30:52] 可是你好像还没有财务自由
[30:55] 怎么会来教导我们财务知识呢
[30:57] 那个时候我是这样想的
[30:58] 多数成功者
[30:59] 大部分都是在成功之后
[31:01] 才把荣耀或者结果
[31:02] 展现在别人面前
[31:04] 这其实对于当下投资人
[31:05] 没什么帮助
[31:06] 因为这种成功
[31:06] 大家可以刻意的去剪裁
[31:08] 忽略隐藏
[31:09] 有时候会让我们盲目的崇拜
[31:11] 那不知如何下手
[31:12] 所以那个时候
[31:13] 我就决定把事情反过来
[31:14] 而无法保证一定财务自由
[31:17] 但我也不愿意在成功之后
[31:18] 才刻意的去裁减
[31:20] 所以它不是我成功之后
[31:22] 刻意拼接的成功论
[31:23] 每天直播都是实在的方法论
[31:25] 一路的走到现在
[31:27] 所以那个时候我讲说
[31:27] 也许未来的一段时间
[31:29] 有很多年以后
[31:30] 我们有底气的说
[31:31] 我们就是这样的计划
[31:32] 一步一步的
[31:33] 慢慢的实现财务自由了
[31:35] 好
[31:36] 那是七年前的事情
[31:37] 每天我们都在讲说
[31:39] 还要财富自由
[31:40] 陪你一起慢慢财富自由
[31:42] 到底自由了没
[31:42] 很多人最近一直问我这个问题
[31:44] 我后来想自由这个字眼
[31:46] 有点高大
[31:48] 你有了一千万
[31:49] 就想要有一个亿
[31:49] 有了一个亿就想要两个亿
[31:51] 有了两个亿就想要十个亿
[31:53] 有了钱就想要名声
[31:54] 有了名声就想要权利
[31:56] 有了权利就想要有人
[31:57] 陪我打小白球
[31:59] 欲望是不会停止的
[32:01] 所以后来想了想
[32:03] 其实并没有真正的全面自由
[32:05] 一开始我们追求的是财富自由
[32:07] 希望暴富
[32:08] 钱够多
[32:09] 人生没有烦恼
[32:10] 后来发现我们追求不是财富自由
[32:12] 是财务自由
[32:13] 就是即便不上班
[32:15] 资产产生的现金流
[32:16] 也足以支撑生活
[32:18] 可是再往前一步
[32:20] 其实财务独立
[32:22] 也不代表说你不工作或退休
[32:24] 可以创业了
[32:26] 而是你的人生不会再被薪水
[32:29] 或者老板给绑住
[32:30] 到最后
[32:31] 我今天才理解
[32:32] 最难达到的境界是财务信心
[32:35] 这个安全感就是
[32:36] 有一天你的银行账户里面
[32:39] 有多少钱不是很重要了
[32:41] 而是有一天
[32:42] 你的人生可能会有变故
[32:43] 你可能会离婚
[32:45] 你的子女可能会抛弃你
[32:48] 你的公司可能会破产
[32:49] 你可能会出了一场大车祸
[32:51] 可是当一切都发生的时候
[32:53] 如果你身体还是完好的
[32:55] 你有本事钱花光了
[32:57] 再赚回来
[32:58] 这叫做财务信心
[33:00] 我对自己的本业能力有信心
[33:02] 我认为大家应该要追求的
[33:04] 不要只追求财富自由
[33:05] 或者财务自由
[33:07] 你要追求的是财务的独立
[33:09] 你要不被生活所困扰
[33:11] 而且你要有足够的财务信心
[33:13] 所以其实我觉得到最后
[33:15] 我们强调比较多的
[33:16] 都是财务独立
[33:17] 财务独立的过程当中
[33:18] 当然你要有一些工作能力
[33:21] 你要有一些资产的累积
[33:24] 我们讲财务独立
[33:26] 也不是说你每天就工作
[33:27] 不用工作
[33:28] 然后每天花天酒地
[33:29] 大家有没有发现
[33:30] 其实我也不太炫富的
[33:32] 你有看到我每天秀
[33:33] 我的宝石节911吗
[33:35] 我会故意手伸出来
[33:37] 给大家看我手上的
[33:38] 百搭肥力精英系列吗
[33:41] 我会拍照
[33:43] 秀出我在逃出影园的新装修吗
[33:45] 都没有啊
[33:46] 为什么
[33:46] 因为我真的没有嘛
[33:48] 其实过过小日子啦
[33:50] 小日子就是懒的话
[33:52] 那就不接业配啦
[33:53] 你看我偶尔还是有收入
[33:55] 你看我们网友多大方
[33:56] 动不动就斗内
[33:57] 还亲小编喝咖啡啊
[33:59] 你像我也没什么奢侈品的爱好嘛
[34:01] 全身都unicrum
[34:02] 吃布丁一定舔钙
[34:05] 吃蛋卷一定吃蟹蟹
[34:06] 但是A片都看正版的
[34:09] 没有啦
[34:10] 我大概就是
[34:10] 可能没怎么修行
[34:12] 但屡屡有啦
[34:13] 考察各国的红灯区
[34:16] 不是
[34:16] 各国民情
[34:17] 你像我出国
[34:19] 我也很少分享照片给大家
[34:21] 为什么
[34:22] 红灯区禁止拍照
[34:24] 不是
[34:24] 我的分享会主要集中在财经
[34:27] 讲了那么多
[34:28] 为什么要讲这个
[34:28] 我们讲是
[34:29] 其实大家对于退休的理解
[34:31] 我觉得这年头已经变得非常多
[34:32] 很多人到底对于退休是想要致富
[34:35] 是想要所得借贷率百分之百
[34:37] 每个人的想法都不太一样
[34:39] 但我觉得可以往前推
[34:40] 什么叫做真正的退而不休
[34:42] 就是你一直在动
[34:43] 你一直在培养自己的专业能力
[34:45] 即便你退休
[34:46] 你也不是很担心
[34:47] 假设这笔钱被人家骗走
[34:49] 或者给人家花掉了
[34:51] 你会多担心
[34:52] 因为你相信你自己一直有能力
[34:54] 能够待在这个市场上
[34:55] 我也希望大家能够持续培养自己的专业能力
[34:58] 好我们看台北股市
[35:00] 好下跌到1758点了
[35:02] 今天聊的范围比较广一点
[35:04] 从一开始美国股市的市场卖压
[35:07] 一路聊到记忆体逻辑晶片
[35:09] 市场财报的变化
[35:11] 你会发现基本面几乎毫无波动
[35:13] 变得只有情绪
[35:15] 变得只有获利了结的卖压
[35:16] 但回过头看
[35:17] 如果真的变得只是情绪
[35:19] 基期一定会在这个时间点越来越低
[35:23] 由于股价的回落
[35:24] 那这个时候
[35:25] 到底对于左侧投资者
[35:26] 它是一个机会还是一个压力呢
[35:29] 我相信一定是钳子
[35:30] 给投资朋友做一些参考了
[35:32] 那这本书
[35:33] 我们也抽出两本
[35:34] 名额送给我们的投资朋友
[35:35] 如果大家有兴趣
[35:36] 欢迎在底下留言
[35:37] 留下你对于本书的想法
[35:38] 留下你对于本节目的想法
[35:40] 我们就礼拜一早上八点半
[35:42] 早晨财经速写组再相见
[35:44] 祝各位投资朋友看完顺利
[35:45] 操盘愉快
