[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 道琼上涨46点
[24:33] 某种程度就稍微稳定住了一个价格
[24:36] 所以最后就变成
[24:37] 量缩情况底下
[24:38] 少数的成交值
[24:40] 把整个房价指数给往上带了
[24:42] 我们看2025年十大成交量大幅上升的生活区好像新北中和园东市际广场科学园区台南的东区平石重画区新店的新河生活圈桃园的树林生活圈
[24:56] 还有台中市的青梅
[24:58] 所以你可以看得出来
[24:59] 这有一些看起来资金
[25:00] 就集中在少数的一些地区当中
[25:03] 所以我们讲说
[25:04] 现在的房地产市场
[25:05] 也不是说没钱
[25:06] 是气氛不对
[25:08] 就股票市场现在很强劲
[25:10] 企业的获利也稳定
[25:11] 但整体的经济表现并不差
[25:14] 市场并不是缺资金
[25:15] 只是央行推出第七波信用管制以后
[25:17] 它压缩了整个贷款成熟和资金弹性
[25:20] 让投资和资助买盘转为观望
[25:23] 所以就变成
[25:24] 其实我们都清楚知道
[25:25] 现在其实是气氛不对
[25:28] 并不是资金不够
[25:29] 那个M2货币量
[25:31] 台湾油资台股这个未接
[25:33] 你觉得是钱不够的问题吗
[25:35] 没有
[25:35] 就是因为央行把这个气氛给控制住了
[25:38] 这个就是房地产市场的真实概况
[25:40] 那就说明着
[25:41] 你把这个螺丝给拉开
[25:44] 也许气氛就回来了
[25:45] 完全取决于礼拜四央行里监视会议的态度
[25:48] 所以我个人的看法是
[25:49] 房地产市场并不是不好
[25:50] 是气氛不对
[25:51] 应该讲说是气氛不对
[25:54] 并不是资金不够
[25:56] 太太有时候嫌先生不给力
[25:59] 体力越来越差
[26:01] 先生很紧张
[26:02] 是气氛不对
[26:03] 不是体力不行
[26:04] 所以不是资金不够
[26:06] 是气氛不对
[26:08] 山不再高
[26:09] 有先则明
[26:11] 水不再深
[26:12] 有龙则灵
[26:13] 日子不再长
[26:15] 同心则安
[26:16] 次数不再多
[26:18] 有情则浓
[26:20] 所以气氛转换之后
[26:22] 才是我们观察的重点
[26:24] 重点其实还是来自于
[26:26] 央行什么时候
[26:27] 可以把这个插销给扒开
[26:29] 三对新婚夫妻一起去度蜜月
[26:32] 三个太太早上起来吃早餐
[26:35] 大家都困得要命
[26:36] 第一个太太说
[26:38] 我老公真的不得了
[26:40] 昨晚七次
[26:41] 现在都是黑眼圈
[26:43] 那第二个太太说
[26:44] 我先生也是啊
[26:45] 昨天五次
[26:46] 我现在全身腰酸背痛
[26:48] 他们一起问第三个太太
[26:50] 那你呢
[26:51] 第三个太太很疲惫的说
[26:53] 我们只有一次
[26:55] 那另外两个太太说
[26:56] 那你是在累什么
[26:57] 她是从昨天晚上九点
[27:00] 一次到早上
[27:04] 次数不再多
[27:05] 有情则浓
[27:06] 好那我们刚才讲
[27:07] 这种现象
[27:08] 保持的越久
[27:09] 其实越有利于房地产市场价格的稳定
[27:11] 为什么
[27:12] 房价稳住了
[27:13] 反正至少不创高了
[27:15] 未来有意愿买房的人
[27:17] 你不用担心房价无条件的上涨
[27:19] 某种程度也算是一种本意笔回调
[27:21] 但是更重要的事情是
[27:23] 到底年轻人接下来能不能跟得上当前的买盘
[27:26] 我们知道新青安2.0很快就要推出了
[27:28] 因为7月份到期
[27:30] 但是全台现在千万房贷的时代
[27:33] 已经逐步来临
[27:35] 我们看在过去几年
[27:36] 根据廉政中心资料
[27:37] 30到40岁的购物主
[27:39] 平均房贷10年前是650万
[27:41] 现在是1030万
[27:43] 2025年是首次超过了千万
[27:45] 不过好处是
[27:46] 2025年只增加9万
[27:48] 你看24 23 22
[27:49] 那个增加都是增加46万
[27:51] 增加81万的
[27:52] 好不容易增加幅度变少了
[27:54] 当然了
[27:55] 年轻人压力还是很大
[27:56] 所以真实的问题
[27:57] 还是来自于我们过去提到的
[27:59] 新一代的年轻人
[28:00] 还会不会把房地产市场
[28:02] 视为财富累积的重要资产
[28:04] 像很多年轻人流行无三贷
[28:06] 大家知道
[28:07] 无三贷就是没房贷
[28:09] 没车贷
[28:10] 没后贷
[28:10] 你少了这三贷
[28:11] 你人生就突然过得很舒服了
[28:13] 有这样的一个感觉
[28:14] 在这样效果底下
[28:16] 少子化的趋向
[28:17] 也足以形成适度的买盘退却
[28:20] 那你就要看
[28:20] 建商的供给缩窄
[28:22] 跟少子化的缩窄
[28:24] 哪一个速度比较快
[28:25] 你以为少子化建商就一定会亏吗
[28:28] 他建造数越来越少
[28:30] 他就跟上你少子化了
[28:31] 以后我每年就只推五万户
[28:33] 对不对
[28:34] 这也是一种方式
[28:35] 所以后续要观察的几大方向
[28:37] 就是新生儿的部分
[28:38] 台湾在今年大概就会跌破
[28:40] 9万大关的保卫战
[28:42] 两个角度
[28:43] 一个角度是我们之前提到的
[28:44] 台商现在都在向外走
[28:46] 代表的是2012年的龙年
[28:49] 一年是升22万的
[28:50] 现在叫9万
[28:50] 我们大概10年内
[28:52] 很快就会看到5万
[28:53] 4万
[28:54] 3万
[28:54] 未来所有小孩都是精英
[28:56] 台商现在已经大幅出走了
[28:58] 所以就代表着
[28:59] 未来遍布台商的情况底下
[29:01] 有很多小孩子
[29:02] 他可能一出生就大概知道
[29:04] 自己一定会向外跑
[29:06] 不管是自己的父母
[29:07] 相关的职业关系
[29:08] 自己的爷爷作为创办人等等
[29:10] 生小孩现在都有钱人
[29:13] 未来他一定是到各国飞来飞去
[29:16] 台湾一定会走出世界
[29:18] 那走出世界的过程当中
[29:19] 他还需不需要把台湾房地产资产
[29:23] 视为重要的资金的投入地
[29:26] 就不一定了
[29:27] 投入台股投入美股
[29:29] 那个肯定会有
[29:30] 那要不要再多买一套房呢
[29:32] 观念的转变就是一大方向
[29:34] 那第二个就是没后代
[29:35] 我们看台湾的适婚年龄
[29:37] 是25岁到35岁
[29:39] 这个区间的结婚率
[29:41] 我们看到过去几年是大幅的下滑
[29:43] 女孩子从10年前是52
[29:44] 现在来到41%
[29:46] 男孩从37.5下滑到29.8
[29:49] 也就代表在适婚年龄人口当中
[29:51] 每10个男生只有3个选择结婚
[29:54] 当然你说为什么结婚率
[29:56] 女生还是比男生高了1.4倍
[29:58] 我们过去提过
[29:59] 因为女孩子心智上本来就比较早熟
[30:01] 所以在择偶上通常也会选择
[30:04] 比自己年龄大一点的成熟男性
[30:06] 男生在进入到中壮年以后
[30:09] 智商才逐步成熟
[30:10] 才逐步了解自己年轻时的幼稚和愚蠢
[30:13] 但是物是人非
[30:14] 当年喜欢的女孩
[30:16] 她不可能永远都停留在18岁等你
[30:19] 但是有18岁的女孩
[30:20] 但是人口也少
[30:22] 越来越少了
[30:23] 所以结婚率还是因此而下滑了
[30:25] 它最终导致的结果就是
[30:26] 每年的离婚对数
[30:28] 大概是5.3万对
[30:30] 可是结婚对数正在快速的缩窄
[30:33] 这件事情就导致
[30:34] 整体结婚率的大幅下滑
[30:36] 最终影响到中下游
[30:38] 也就是现在的高中生大学生
[30:40] 我们根据经济学人的分析
[30:43] 约会次数也越来越少了
[30:44] 其实全世界都一样
[30:45] 他根据全美的大学生来看
[30:48] 从2000年一路到2024年
[30:51] 拥有学士学位的25岁到35岁的成年人
[30:54] 性生活的频率
[30:55] 大概比整体成年人少了11%
[30:58] 拥有硕士学历者还少了13%
[31:00] 也就代表在美国当中
[31:02] 每五位大四生就有一位
[31:05] 从未有过任何的性经验
[31:07] 那整体性行为减少的因素
[31:09] 很大程度就是约会次数的减少
[31:11] 就没有跟人家出去dating
[31:13] 美国派我们以前看过
[31:15] 我们都很开放
[31:15] 美国人现在越来越保守了
[31:17] 那全世界也越来越保守了
[31:19] 那最后就是
[31:19] 没房贷没车贷没后代
[31:22] 不结婚当然就不会有后代了
[31:24] 那最后形成的效果就是
[31:25] 31岁到40岁的自购屋的比例
[31:28] 从1996年的65%
[31:30] 到现在只剩下25%
[31:32] 人生的分水岭在羊水
[31:34] 人生最大的基本盘是胎盘
[31:36] 这也给投资朋友做一些思考了
[31:38] 剩下的房地产市场
[31:39] 我们就后续再来跟投资朋友做追踪
[31:41] 做一个总结
[31:42] 总结来说
[31:43] 投资人现在并不是不怕通膨
[31:45] 而是更担心的是央行的误判通膨
[31:48] 让高利率拖得更久
[31:49] 中东战火和油价上涨
[31:51] 确实把新的通膨压力推回市场
[31:53] 但资本市场还是相信这是短期冲击
[31:55] 股市不一定立刻大跌
[31:57] 真正麻烦的是
[31:58] 联准会和各国央行
[32:00] 要如何看待这次的降息周期
[32:01] 是否延后
[32:02] 甚至重新转阴
[32:03] 那对于房地产市场而言
[32:05] 其实各国股市
[32:06] 家家有本难念的金
[32:07] 美国的房地产市场
[32:09] 受到高利率的捆绑
[32:10] 中东的房市
[32:11] 在一场战争当中
[32:13] 开始笼罩上阴霾
[32:15] 南韩的房市
[32:16] 打炒房打那么凶
[32:17] 房价也跌不太动
[32:18] 总统自己都卖掉房子了
[32:19] 台湾的房地产市场
[32:21] 也有特殊的因子
[32:22] 和背后的利率因子变化
[32:24] 所影响
[32:24] 最终我们看到
[32:26] 市场上
[32:26] 针对股市
[32:27] 针对债市
[32:28] 针对黄金
[32:29] 针对房市
[32:29] 就有了一个新的维度
[32:31] 和新一个见解
[32:32] 这个都是后疫情时代
[32:33] 逐步产生的效果
[32:34] 也给投资朋友做一些思考
[32:36] 这看起来
[32:37] 看起来真的要把马总统
[32:40] 慢慢的从后面推出来了
[32:42] 压力很大
[32:43] 好给投资朋友做一些思考了
[32:45] 不过才第四局而已
[32:46] 人生就像球赛
[32:48] 还有很多局
[32:50] 而且还可以打延长赛
[32:51] 而且按照习主席说法
[32:53] 可能活到150岁
[32:54] 可能要打很久
[32:55] 所以大家要用更长远的逻辑
[32:57] 来看待当前资产的表现
[32:59] 不多说了
[33:00] 赶快看棒球了
[33:00] 祝各位投资朋友看完顺利
[33:02] 操盘愉快
[33:02] 也祝大家新年发大财
[33:04] 拜拜
