[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 支持下去的鼓励
[25:27] 标普上涨28点
[25:28] 0.38%
[25:29] 所以在7543点
[25:31] 纳指上涨233点
[25:33] 0.9%
[25:34] 所以在26107点
[25:35] 费办上涨314.2.54%
[25:38] 收到12661点
[25:40] 其实从整个美国股市来看
[25:42] 随后银行股财报开始
[25:43] 缴出量力成绩单了
[25:45] 摩根大通单季净利增长
[25:47] 应该说增长41%
[25:50] 这次净利也蛮高的
[25:51] 212亿美元
[25:53] 这算历史性高了
[25:54] 高盛是66亿美元
[25:56] 年增幅更夸张80%
[25:59] 花旗年增幅45%
[26:01] 净利58亿
[26:02] 美银净利91亿
[26:04] 年增幅有27%
[26:06] 这个华尔街都赚翻了
[26:08] 你大概也可以了解
[26:09] 今年台湾的银行股财报也是赚翻了
[26:11] 不只是放贷业务
[26:13] 证券业务其实也是如此
[26:14] 可是另外一方面我们却看到
[26:16] IBM这一次股价暴跌了25%
[26:19] 这是1968年以来的最大单日跌幅
[26:22] 主要就是公司第二季业绩不如预期
[26:25] 而且警告企业客户的资本支出
[26:27] 已经由软体及大型主机转向AI伺服器
[26:31] 所以换句话说
[26:32] 那种以前的工业电脑
[26:34] 市场的订单量
[26:35] 似乎正在萎缩当中
[26:37] 这也使得市场上
[26:38] 有进一步的压力
[26:39] 钱感觉还是不够的
[26:41] 有一点排挤效果
[26:42] 过去我们讲的那种
[26:43] SARS末日论
[26:44] 也就是软体股
[26:45] 持续被受到市场挤压的心态
[26:48] 持续的交织而成
[26:49] 当然现在没有股市
[26:51] 它算是多点开花
[26:52] 虽然大型股
[26:53] 内部轮动很激烈
[26:55] 可是小型股
[26:56] 今年的确角出了
[26:57] 相对亮丽的表现
[26:58] 小型股啰嗦2000部分
[27:00] 进入牛市了
[27:02] 今年以来已经上涨超过20%
[27:04] 这个是过去20年来最佳的年度表现
[27:08] 远远比标普白指数10%涨幅还来得高
[27:10] 科技气熊今年涨幅甚至不到3%
[27:13] 所以说代表着中小型股
[27:15] 现在加上美国的经济韧性
[27:17] 美国经济基本上是完全没有任何衰退的压力的
[27:20] 它的确对于非挂牌企业还是有适度压力
[27:23] 可是对于罗素两性而言
[27:25] 还是看得出来
[27:26] 市场上内部的轮动
[27:27] 你像一些云端服务商
[27:29] 半导体的小型设备商
[27:31] 大家就是多点开花
[27:32] 从美银的资金流向来看
[27:34] 也是非常明显的
[27:35] 上半年是由科技股
[27:37] 半导体股
[27:38] 还有通讯服务类股
[27:39] AI社会族群
[27:40] 那进入到六月份以后
[27:42] 美国的金融股也开始上涨了
[27:44] 医疗股也开始上涨了
[27:45] 小型股也开始上涨了
[27:47] 台湾市场也有这么感觉
[27:49] 台湾前面几个月的龙头股
[27:51] 最近都开始回调了
[27:52] 可是对于一些传产
[27:55] 对台塑四宝而言
[27:56] 股价开始做非常显著的资金轮动了
[27:59] 所以联准会如果未来真的有机会
[28:01] 把升息预期给打消
[28:03] 重新回到降息之路
[28:05] 也许就有机会
[28:06] 能够产生进一步的轮动的
[28:08] 今年就是主流的巨头
[28:10] 在美国市场都不是特别好
[28:12] 买股票买巨头就输给大盘
[28:14] 对不对
[28:15] 符合预期的买
[28:16] 按照过去几年的预期买
[28:18] 都可能会在今年受伤
[28:20] 这是没错
[28:20] 那跟赌球一样
[28:21] 压法国
[28:23] 结果也翻盘
[28:23] 听说法国这次
[28:25] 好像刚才输了也不想回去
[28:28] 没冷气
[28:29] 对不对
[28:29] 西班牙比你还热
[28:31] 拜托
[28:32] 他打死也不愿意回欧洲
[28:34] 现在回去就没冷气了
[28:36] 所以每个人都拼命的
[28:37] 用力的想要留在赛场上
[28:39] 好 当然回过头说
[28:40] 现在AI的发债潮
[28:42] 已经突破到2400亿美元
[28:45] 再次开始对于科技巨头
[28:47] 产生市场压力
[28:49] 为什么
[28:49] 因为有点消化不良了
[28:50] 今年7月初为止
[28:52] 我们看到六大巨头
[28:54] Google Amazon Meta
[28:56] 甲骨文汉回答SpaceX
[28:57] 全球已经累计发了
[28:59] 2440亿美元的公司债
[29:02] 这个比去年的1080亿
[29:04] 高了一整倍
[29:05] 是2024年17亿美元的140倍
[29:08] 光是这两周
[29:09] 辉达SpaceX和Amazon
[29:11] 就已经合计募资了750亿美元
[29:14] 这个问题是
[29:15] 最近一发贷成功
[29:16] 价格都往下跌了
[29:17] 你要知道最近
[29:18] 公债殖利率也没有完全失控比较高
[29:21] 但是大家都在往下跌
[29:22] 为什么
[29:23] 就投资人也不是真的很担心
[29:25] 这些科技巨头还会违约了
[29:26] 是怕AI竞赛没有尽头
[29:28] 你到底要发多少债
[29:30] 很多基金经理人都刻意的去保留资金
[29:33] 等待下一波的发债
[29:35] 也许下一波的发债利率可能会来得更高
[29:37] 这就使得市场上
[29:40] AI开始逐步的吃不下这些科技巨头的融资量
[29:44] 事实上如果仔细观察
[29:46] 现在美元债已经发行的算多了
[29:48] 我们看欧元债
[29:49] 加币
[29:50] 瑞郎
[29:51] 英镑
[29:51] 日元
[29:52] 这些科技巨头都在疯狂的发债
[29:55] 已经占了全球投资等级债
[29:57] 新发行量的接近9%
[29:59] 美国抢不够就到海外去讲
[30:01] 看看台湾投资人有没有意愿
[30:03] 日本投资人有没有意愿
[30:04] 那的确
[30:05] 现在这六大巨头
[30:07] 所持有的投资债规模
[30:09] 规模体量可能已经大到
[30:11] 未来的股市跟债市
[30:12] 会呈现高度联动
[30:14] 因为你对于AI行情的破灭
[30:16] 你一定也会反映在
[30:17] 这些巨头
[30:18] 能不能还得起这些债务
[30:20] 所以总结量还是来说
[30:22] 我们虽然看到了
[30:23] 行情市场内的波动
[30:24] 小型股开始做轮替
[30:26] 市场的内部资金开始轮动
[30:28] 开始带动传产
[30:29] 那传产其实到最后
[30:30] 它还是顺应了AI行情
[30:32] 所以回过头来看
[30:33] 一定要这些巨头能够有所成
[30:36] 我们的行情
[30:37] 我们的总体资产绩效指数
[30:39] 才能够往上进行带动
[30:41] 这是不得不的
[30:42] 虽然我们看得很清楚
[30:43] 好像各类股在做分化
[30:45] 但其实都是同一套行情
[30:47] 都是在对赌AI
[30:48] 当然了
[30:49] 这悲观的人到哪里都是悲观的
[30:51] 总会找到借口
[30:52] 觉得钱不够了
[30:53] 但必须这样讲
[30:54] 那企业
[30:55] 我们讲说为什么
[30:56] 悲观的人永远都是悲观的
[30:57] 他大举投资AI
[30:59] 你可能就会讲说
[31:00] 花了那么多钱
[31:01] 他也收不回本
[31:03] 那债务越借越多
[31:04] 可是如果企业很保守
[31:06] 我不投资
[31:06] 我不扩建
[31:07] 不参与AI
[31:08] 你会被时代给淘汰
[31:10] 所以有时候我们讲说
[31:11] 这悲观的人
[31:12] 看什么都能够找到悲观的理由
[31:15] 真正的问题
[31:16] 不是花钱或者不花钱
[31:17] 是最后资金能不能配置在
[31:19] 能够创造未来价值的地方
[31:21] 所以真正的技术革命
[31:23] 才是我们观察的重点
[31:24] 毕竟悲观的人
[31:25] 到哪里都是悲观的
[31:26] 我的人生好惨
[31:28] 配个钥匙
[31:30] 师傅说
[31:30] 你配吗
[31:31] 买便当
[31:32] 你要饭吗
[31:34] 去算个命
[31:35] 你算什么东西
[31:36] 去金饰店
[31:37] 你几两重
[31:39] 去领包裹
[31:40] 你是大件货
[31:41] 还是小件货
[31:42] 小件货
[31:43] 你倒垃圾
[31:44] 你是什么垃圾
[31:45] 去搭小黄
[31:46] 你清楚自己定位了没有
[31:48] 剪头发
[31:49] 你照照镜子
[31:51] 你觉得这样可以吗
[31:52] 悲观的人
[31:54] 听到任何人讲话
[31:55] 他都觉得很悲观
[31:56] 他都觉得人家在呛他
[31:58] 他都认为人生没有希望
[32:00] 所以到底这些巨头
[32:01] 花了这么多的钱
[32:02] 其实你愿意不愿意
[32:04] 持续待在这个行情上
[32:06] 这取决于你到底是乐观的人
[32:08] 还是悲观的人
[32:09] 毕竟所有的行情
[32:11] 所有的资金都在同一套身上了
[32:13] 好下半部分
[32:14] 我们看台韩股市的变化
[32:15] 我们就隔两天
[32:16] 再来跟投资朋友做一些叙述
[32:18] 今天时间有限
[32:18] 我们主要是跟投资朋友稍微梳理
[32:20] 这个行情走到现在这个地步
[32:23] 一方面有越来越多的
[32:25] 政治上的干预动作正在执行
[32:28] 你很明显地感受到
[32:29] 川普对于通膨压制的渴望
[32:32] 对于选情的拯救
[32:33] 在各项领域的推进
[32:34] 都认为在11月之前
[32:36] 取得一定的成果
[32:38] 所以这方面
[32:39] 你不要期待通膨会突然显而的爆发
[32:42] 使得利率预期高升
[32:44] 我认为
[32:45] 今年不升息的几率还是非常高的
[32:47] 虽然现在主流预估
[32:49] 还是有升息一次的机会
[32:50] 那第二大部分
[32:51] 是内部的资金轮动
[32:53] 的确也开始分化
[32:54] 废半回跌
[32:55] 最近巨头其实也不差了
[32:57] 巨头是今年以来绩效不好
[32:58] 可是7月份
[32:59] 已经开始回涨了
[33:01] 小型股也开始多点开花
[33:03] 硬体股反而稍微休息一下
[33:05] 不过波动还是很大了
[33:06] 那这样的一个过程当中
[33:07] 大家会觉得
[33:08] 那是不是要
[33:09] 开始针对行情
[33:10] 来做新一轮的布局
[33:11] 也不用差这么多
[33:13] 逢低的你看看
[33:14] 是不是优质股
[33:15] 能够持续的不见
[33:16] 为什么
[33:16] 其实不管是内部的股票
[33:19] 大家都在对赌AI
[33:20] 就连债券市场
[33:22] 它也跟AI密不可分了
[33:23] 最后取决于
[33:24] 那你对于未来
[33:25] 到底乐不乐观呢
[33:26] 台股上涨463点
[33:28] 刷4万5200点
[33:30] 如果喜欢我们节目
[33:30] 记得帮我们订阅按赞加分享
[33:32] 我们就明天早上八点半
[33:33] 早晨财经速写图
[33:34] 再相见
[33:35] 祝各位投资朋友
[33:36] 看完顺利
[33:36] 长安愉快
