[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 费办昨天居然一个晚上指数上涨了5.9%
[24:50] 我无法给你安全感
[24:52] 但我给你安全套
[24:54] 就是不管怎么样
[24:55] 你买龙头
[24:56] 就算你真的
[24:57] 股价当然有时候会被套牢了
[25:00] 那下跌了
[25:02] 当你知道你手上持有的股票
[25:04] 是全球最赚钱
[25:05] 最具有护城河的一群公司
[25:07] 至少心里比较踏实
[25:09] 所以今年其实大股票表现平均还是很亮丽
[25:11] 当然说那我跳到特斯拉怎么办
[25:13] 我最看好的就是特斯拉
[25:15] 但我们持有的是ETF
[25:16] 所以我们刚才讲了一群股票
[25:18] 不是一只股票
[25:19] 一只股票风险太大了
[25:21] 我们该支持要支持
[25:22] 但是一群股票对我们来讲是比较保险一点的
[25:25] 好当然回过头来看
[25:27] 现在市场上更进一步聚焦的是
[25:29] 好了那这股龙井什么时候带动经济发展呢
[25:32] 很抱歉还真的没有
[25:33] 很有趣的事情是
[25:35] 现在比较诡谲的是
[25:36] 美国经济第一季居然下修了
[25:38] 企业获利却创下五年来最大增幅
[25:41] 这次美国商务部
[25:43] 把Q1的经济成长率
[25:44] 从原本的2%下修到1.6%
[25:47] 这下修幅度不小
[25:48] 主要来自于民间消费动能的减弱
[25:51] 可是第一季的获利
[25:52] 相对于去年一季度的EPS
[25:55] 成长了3.3%
[25:56] 同期大增了17%
[25:59] 这个是疫情以来的最大增幅
[26:01] 那问题就来了
[26:03] 那怎么经济预期调降了
[26:05] 获利预期调升了
[26:06] 那就是在AI或者企业的轮动底下
[26:10] 上市企业的经营效率越好了
[26:13] 可是从广泛性的服务业没有上市的企业看起来正在拖累经济所以讲难听一点就是有挂牌的正在拉动经济没挂牌的正在拖累经济那就说明着
[26:25] 整体消费环境
[26:26] 并没有想象中来得好
[26:27] 那的确
[26:28] 其实从总体分配也是如此
[26:30] 美国的大企业是越赚越多
[26:32] 劳工分到的却是越来越少
[26:34] 根据劳工统计局的数据
[26:35] 美国劳工的薪资
[26:37] 占整体的经济收入比重
[26:38] 已经降到1947年以来的最低
[26:41] 大概是51%
[26:42] 企业占比则是来到12.1%
[26:44] 这是创下历史新稿
[26:46] 什么意思
[26:46] 就是今年一季度
[26:47] 美国的劳工薪酬成长0.8
[26:50] 企业获利却大增了2.7
[26:52] 如果把时间拉长来看
[26:54] 就整个疫情时代以来
[26:56] 美国实质薪资有没有成长
[26:58] 有了成长3%
[26:59] 就是把通膨给算进去的话
[27:02] 我们大概还是有成长3%左右
[27:04] 那企业利润从疫情以来上升多少
[27:07] 50%
[27:09] 你本来疫情
[27:10] 你的购买力是100万
[27:13] 你现在大概会有103万的购买力
[27:15] 那企业呢
[27:16] 本来赚100万
[27:18] 现在赚150万
[27:19] 好
[27:19] 这股东笑呵呵
[27:20] 员工苦兮兮
[27:21] 我们已经讲过这概念好几次了
[27:23] 所以现在这些超级企业
[27:25] 随着技术和平台
[27:27] 还有AI的优势
[27:28] 持续扩大获利
[27:29] 今年第一季
[27:30] 美国七大巨头
[27:31] 你不要看他撒那么多钱
[27:33] 他的EPS年增幅是多少
[27:35] 63%
[27:36] 很惊人的
[27:37] 标普也不过成长25%
[27:39] 前期价
[27:40] 他的EPS
[27:41] 它的获利成长了63%
[27:43] 所以我们才知道
[27:44] 为什么市场的压力
[27:45] 来得越来越大
[27:46] 整体经济环境
[27:47] 不一定能够跟股票市场
[27:49] 完全挂上钩
[27:50] 台湾是因为有特殊的财富
[27:51] 和半导体的位置
[27:52] 举一个比较直观的
[27:54] 像最近
[27:55] 我们看到美国
[27:56] Arizona的凤凰城
[27:57] 以前它是靠着
[27:58] 大量的客服中心
[27:59] 资料输入
[28:00] 还有行政资源工作
[28:02] 是全美最大的
[28:03] 办公室的后勤制度
[28:04] 现在完全变半导体了
[28:06] 但半导体所贡献的
[28:07] 就业不够多
[28:08] 光是凤凰城地区
[28:10] 客服人员的数量
[28:11] 在疫情之后减少了26%
[28:13] 全美办公室和行政资源的职位
[28:16] 预估未来会再减少4%
[28:18] 这个是目前消失幅度来说最大的
[28:20] 那你要知道
[28:21] 这是美国社会向上流动的重要管道
[28:24] 就很多人他不是念半导体的
[28:26] 可是他光靠自己打拼
[28:27] 他也没有名校学历
[28:29] 他还是可以升到销售或者金融的管理位置
[28:32] 但很抱歉
[28:33] 这些机会正在大量的消失
[28:35] 那另外一个就是
[28:36] AI爆发以后
[28:37] 他并没有形成大规模裁员潮
[28:39] 目前都是科技部内部的轮动
[28:41] 但是呢
[28:42] 它让很多初阶工作消失了
[28:44] 我们举例来说
[28:45] 美国暑期的打工
[28:46] 目前正在迎来
[28:47] 80年来最差的记录
[28:49] 上一次这么差的
[28:51] 美国的暑期打工
[28:53] 应该是1920年到1930年的
[28:56] 大萧条时期
[28:57] 我们知道每年
[28:58] 在美国很明显
[28:59] 我们看的每句
[29:00] 不是冰淇淋店
[29:01] 夏令营到主题乐园
[29:03] 很多学生在做打工
[29:05] 纽约市今年的暑期的
[29:07] 青年就业计划
[29:08] 收到20万份申请
[29:10] 但职缺只有10万个
[29:11] 以前都是人不够
[29:12] 所以这就处于一个
[29:13] 非常有趣的情况
[29:15] 那就是初阶工作正在大量消失
[29:17] 现在类似饭店
[29:19] 或者科技业的intern
[29:21] 目前暑期实习
[29:22] 是有史以来最低的
[29:24] 那基本上就有一个很好的推论
[29:26] 就是很多公司在AI的帮助底下
[29:29] 以前真的是需要找一个学生
[29:31] 来帮忙输入Excel
[29:32] 打打流程
[29:33] 做做行政工作
[29:34] 但是后来发现
[29:35] 这些工作好像真的都可以
[29:37] 用AI来做取代
[29:38] 所以目前
[29:39] 招募力
[29:40] 不只是疫情以来的心底
[29:42] 而是80年来的心底
[29:43] 所以很多年轻人
[29:45] 之所以抱怨就这个原因
[29:46] 你连让我历练的机会都没有了
[29:49] 有时候我们想说
[29:50] 这几年毕业的学生
[29:51] 真的很惨
[29:52] 压力很大
[29:53] 为什么呢
[29:54] 我们是运气好
[29:55] 在疫情前毕业
[29:56] 可是那疫情期间在念书的
[29:59] 他刚念书
[30:02] COVID-19偷走了你最美好的青春
[30:05] 你跟人家约个会
[30:06] 还要戴口罩
[30:07] 那要怎么
[30:08] 亲亲
[30:09] 压力很大
[30:11] 对
[30:11] 而且人家搞不好嫌你有病毒
[30:13] 不想跟你有接触
[30:14] 以前是嫌你丑
[30:15] 现在好不容易你戴口罩
[30:17] 你遮住自己的丑了
[30:18] 但是因为你可能带有病毒
[30:19] 不愿意跟你交流
[30:20] 结果呢
[30:21] 好不容易到大二大三
[30:23] AI爆发了
[30:24] 那我大一大二的要学什么呢
[30:25] 那我之前的实习经验还有意思吗
[30:28] 结果呢
[30:29] 一毕业
[30:29] AI大量的取代初届工作
[30:31] 抱歉
[30:32] 现在你连实习的机会都没有了
[30:34] 压力多大
[30:35] 所以我觉得年轻人是真的很辛苦的
[30:37] 所以这就造成为什么我们看到
[30:38] 的确在华尔街日报的统计当中
[30:41] 目前在全美工作消失增幅最快的
[30:45] 就是暑期英特尔
[30:47] 整体衰退幅度高达30%
[30:49] 所以年轻人的想法是可以理解的
[30:52] 当然我还是建议
[30:53] 因为你像台湾就这样
[30:54] AI时代当然是吸走了很多的资源和红利
[30:58] 但是AI时代
[30:59] 它让很多年轻人感到焦虑
[31:02] 过去努力读书
[31:03] 找一份稳定的工作
[31:04] 然后慢慢的累积财富
[31:06] 人生资本
[31:06] 那现在你说大学文凭真的很值钱吗
[31:10] 房价还是很高
[31:11] AI又取代很多人的入门职位
[31:13] 让人一直处在那种
[31:15] 怎么游戏规则改变的这么快
[31:17] 我每下一个一年级的决定
[31:19] 下一个年级就改变了
[31:21] 我每次好好要学的AI提示词
[31:23] 过一个季度
[31:24] 他的新模型推出
[31:25] 我就不用学了
[31:26] 只要我学的够慢
[31:27] 我好像什么都不用学了
[31:28] 最后就会发现
[31:29] 你好像每一次打开一扇窗
[31:33] 打开一扇门
[31:34] 结果发现后面的门
[31:36] 也跟着关起来了
[31:37] 那我们要怎么了解这样的方式呢
[31:39] 所以我觉得
[31:40] 还是要理解说
[31:42] 你要有一个正向的心态
[31:44] 这个世界就是一直将变动了
[31:45] 也许就是有这样的一个经验
[31:47] 你反而可以对于任何事物
[31:50] 都抱持着无常的态度
[31:52] 所以我觉得现在机会还是很多
[31:54] 如果善用AI
[31:55] 如果顺应的趋势
[31:56] 初阶工作是更难找的
[31:58] 可是其实市场在科技
[31:59] 它是更加缺工的
[32:01] 谁具有创造性
[32:02] 谁具有AI无法工作的能力
[32:05] 不管是感知能力
[32:06] 如果一个AI少了你的写信
[32:09] 那个人就不会回你信
[32:10] 那你当然就是在公司里头的
[32:13] 重要的职位
[32:15] 或者重要的人际关系枢纽
[32:17] 这些事情都是我们值得去学习的
[32:19] 所以我觉得要达成目标
[32:20] 有很多方式
[32:21] 但你一定要找到自己的方式
[32:23] 好不好
[32:23] 对啊
[32:25] 昨天网友分享给我一个故事
[32:27] 他讲太太去法国出差
[32:29] 那先生就问
[32:31] 那你这次去
[32:33] 你要带什么礼物回来
[32:35] 那老婆说
[32:37] 那你想我带什么礼物回来
[32:38] 那先生就很坏
[32:39] 我想要一个法国女孩
[32:41] 太太大小
[32:43] 那赶快出门
[32:43] 几个月之后太太就回来了
[32:45] 老公急着问
[32:46] 那我的礼物呢
[32:48] 太太摸着肚子
[32:50] 还要再等几个月才知道
[32:52] 有可能是男孩
[32:54] 所以最重要的事情是
[32:56] 人生从来都不是跟别人走同一条路
[32:59] 而是找到适合自己的路
[33:01] 你要了解说
[33:02] 要达成目标
[33:03] 是有非常多的方式的
[33:05] 有的人靠技术
[33:06] 有的人靠沟通
[33:07] 有的人靠整合资源
[33:09] 科技算在进步
[33:10] 贫富差距算拉大了
[33:11] 可是其实它是让
[33:13] 至少我作为文组
[33:15] 它其实是让文组
[33:16] 对于理组的距离
[33:18] 其实拉近幅度更小
[33:20] 或者说更有机会能够拉近了
[33:22] 原因很简单
[33:23] 我们当然知道
[33:24] 现在资源都需要工程师
[33:25] 需要AI
[33:26] 但是有了AI以后
[33:27] 你觉得打code
[33:29] 还有这么的困难吗
[33:30] 至少从初阶来看
[33:31] 你的学习力就能够因则展现
[33:33] 所以世界还是往好的方向走
[33:35] 也不要这么悲观
[33:36] 很多同学也跟我讲说
[33:39] 这个世界变动真大
[33:40] 是变动蛮大的
[33:41] 但是一定要保持乐观
[33:42] 因为处处是机会好不好
[33:44] 就年四分
[33:44] 台股上涨759点
[33:46] 说来46316点
[33:48] 还在涨
[33:48] 我们今天主要是跟投资朋友稍微梳理
[33:50] 从一开始的韩国股市之间
[33:53] 台湾股市
[33:53] 美国股市
[33:54] 内部的之间轮动
[33:55] 以及市场的资金
[33:56] 针对科技巨头的定价
[33:58] 和硬体股的定价
[34:00] 其实并不太一样
[34:01] 我们看起来是有点贪婪
[34:02] 没错
[34:03] 乖离拉得很高
[34:04] 可是我们似乎也在表态
[34:05] 我们现在只投那些本益比偏低的
[34:08] 而且具有利吉性回馈的
[34:10] 但是你没有给我回馈
[34:11] 你投太多
[34:12] 我是会紧张的这种感觉
[34:13] 那回过头来说
[34:14] AI也在改变这个世代的
[34:16] 新一轮的就业迹象
[34:18] 我们的确看到了很多的就业抉择
[34:20] 正在尝试的做改变
[34:22] 但是也一定要保持着乐观自信
[34:24] 因为AI时代
[34:26] 到底它是创造的机会
[34:28] 大过于对于经济的破坏
[34:30] 和重新分配
[34:31] 如果是这样的趋势
[34:32] 持续发酵的话
[34:33] 那你会发现
[34:34] 真正会被闹吓到
[34:36] 是不愿意改变的人
[34:37] 而不是那些
[34:39] 你在一毕业
[34:40] 就遭受到AI冲击的人
[34:42] 只要你愿意学
[34:43] 愿意变
[34:43] 一样是有机会的
[34:45] 听给投资朋友
[34:45] 当然要最后宣传一下
[34:46] 礼拜六就是我们
[34:47] 财经号角第三季听友会了
[34:49] 欢迎大家有兴趣的话
[34:50] 可以踊跃来报名
[34:51] 或者参加我们的年订阅系统
[34:53] 里头除了有一整年的
[34:54] 听友会的收听权
[34:55] 也会有一些专题报告
[34:57] 宏观的专业课程
[34:58] 给投资朋友多多去思考
[34:59] 如果喜欢我们的节目
[35:00] 记得帮我们订阅按赞加分享
[35:01] 我们就明天早上半半
[35:02] 早晨财经速递读
[35:03] 再相见
[35:04] 祝各位投资朋友开盘顺利
[35:05] 茶班愉快
