[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 结果我们陆续迎来史上第一大跌点
[24:40] 遇到一个极大的瓶颈
[24:41] 就在这个礼拜
[24:43] 从WWDC一路到接下来
[24:46] 三大AI股
[24:48] 在今年中旬六月
[24:50] 然后到十月十二月
[24:52] OpenAI
[24:52] Enthropic
[24:53] 还有Spex
[24:54] 陆续都要挂牌了
[24:56] 在挂牌的过程当中
[24:57] 市场上会遇到一个极大压力
[24:59] 如果又刚好遇到股市修正期
[25:02] 那会不会接下来
[25:03] SPAC的发行价
[25:05] 刚刚好就是本轮价格的高点呢
[25:08] 以前很多IPO股都是这样子
[25:10] 所以AI狂潮的另外一个风险
[25:12] 就是股票现在越来越多了
[25:14] ETF发行的数量越来越多了
[25:16] 你不要看台湾现在发行已经很多了
[25:18] 今年下半年一堆ETF要挂牌
[25:21] 这个礼拜好像也有要挂牌的新ETF
[25:24] 大家过去
[25:25] 两年一直都是透过辉达
[25:27] 然后博通Maville
[25:28] 或者OpenAI
[25:30] 这些市场上
[25:31] OpenAI没有
[25:33] OpenAI还没有挂牌
[25:34] 就是这些老的科技股
[25:36] 来作为市场的资金投入对象
[25:38] 现在SPEX
[25:39] OpenAI还有Entropy
[25:40] 都准备要上市之后
[25:42] 未来几个季度的美国股市
[25:44] 可能突然增加
[25:45] 4兆美元的新市值
[25:47] 那就是代表市场
[25:48] 即将面临一个
[25:49] 过去很少遇到的问题
[25:50] 股票供给要开始增加了
[25:53] 那股票供给开始增加
[25:54] 乖离又刚好正在下修
[25:56] 那么是不是平均
[25:58] 每个人可以获得的市场买盘
[26:00] 就会开始有所松懈呢
[26:02] 所以这才是我们讲到
[26:03] 市场上现在最为关注的问题
[26:06] 那就是行情走到这一步
[26:09] 我们看是否会由于
[26:11] 新股的发行
[26:12] 造成乖离幅度回调变大
[26:14] 这个是值得观察重点的
[26:15] 当然了
[26:17] 就巴菲特来看
[26:18] 因为你每天都想要吃大麦克
[26:20] 那你当然是希望
[26:21] 你在吃的过程当中
[26:23] 价格都不要变
[26:24] 让你有多的机会可以上层
[26:26] 如果你每天都想要吃大麦克
[26:28] 每天都以10%20%的速度上涨
[26:30] 你年老时
[26:31] 你也买不起了
[26:33] 所以这个时候我们要回过头说
[26:34] 是否能够在相对应价格回调的时候
[26:38] 做好适度部件
[26:39] 我认为还是非常重要
[26:40] 睡公园
[26:41] 哪有一天就睡公园
[26:43] 我们至少要等礼拜二
[26:44] 第一天是市场上融资清理者先去睡
[26:50] 我们礼拜二礼拜三就去了
[26:52] 先过头日的迟早也要睡的
[26:54] 迟早要被套
[26:55] 但是呢
[26:56] 可以晚一点
[26:57] 这是比较好的事情
[26:58] 好那我回过头看
[26:59] 就是说刚才我们聊到了
[27:00] 这几个市场的利空理由
[27:02] 都是指明一件事情
[27:04] 我觉得市场是在修正狂乐
[27:06] 它不是在修正任何AI资本支出
[27:09] 或者基本面的变化
[27:10] 它只是市场在预估
[27:12] 我们接下来要发行这么多的股票
[27:15] 但是我们的钱有这么多吗
[27:17] 我们过去是不是长得有点离谱了
[27:19] 与此同时
[27:20] 我们是不是对利率的预期太过乐观了
[27:23] 基本上是做一定程度的市场修正
[27:25] 所以公园是要睡的
[27:28] 但是可以稍微晚一点
[27:30] 其实我们过去讲过
[27:31] 真正的老韭菜
[27:32] 不会睡公园的
[27:34] 最多睡机场大厅
[27:36] 机场大厅有冷气
[27:38] 有WiFi还有插座
[27:39] 还可以24小时洗澡
[27:41] 我举例来说
[27:42] 像第一航下的一二楼
[27:43] 还有第二航下的一和四楼
[27:46] 都有免费的淋浴设施
[27:47] 如果你想要按摩
[27:49] 第二航下的C区
[27:51] 它有免费的按摩椅
[27:52] 睡觉你可以去第二航下的三楼
[27:54] 有躺椅区
[27:55] 你想要趁低潮时振作
[27:57] 第一航下的三楼
[27:59] A8还有B7
[28:00] 它都有电子图书室
[28:02] 还可以念书
[28:02] 你想喝饮料
[28:03] 你就站在那个出境
[28:04] 安检通道前面
[28:06] 很多人急着要赶飞机
[28:08] 发现饮料没喝完
[28:09] 给我谢谢
[28:10] 给我谢谢
[28:11] 饮料喝不完
[28:12] 被驱赶
[28:13] 你就到第一航下
[28:14] 一楼航站南路
[28:15] 宇碧处
[28:16] 它跟第二航下之间
[28:17] 有提供免费巴士
[28:19] 换个航下继续睡
[28:20] 股票跌了人生也不能跌
[28:23] 在机场我们还是有尊严的人
[28:25] 除非机场满了
[28:26] 那我们再去公园
[28:27] 好不好
[28:28] 还8点59分
[28:29] 没错我再拖时间
[28:29] 跟着大家一起见证奇迹
[28:31] 给投资朋友多些观察
[28:33] 其实我看试戳盘好像也还好
[28:36] 机场高
[28:38] 谢谢
[28:39] 所以我们讲说
[28:40] 行情走到这样的位置
[28:42] 每一次的回调
[28:43] 都是让你有重新挑战自己思考的空间
[28:47] 思考自己的投资策略
[28:49] 是否予以修正
[28:50] 如果每一次的修正
[28:52] 你都要重新想一次
[28:53] 扪心自问
[28:54] 那压力不就越来越大呢
[28:56] 所以这个时候
[28:56] 我们应该做的事情
[28:58] 就是要养好身体
[28:59] 大家都知道
[29:00] 市场上不论你的身体
[29:02] 有多么不堪
[29:03] 多么卑微
[29:04] 你的身体都比你想象中
[29:06] 还要来得更爱你
[29:07] 你溺水的时候
[29:08] 你的肺会缩成一团
[29:09] 只为了再给你输一口气
[29:11] 你失血过度
[29:12] 你的心脏会拼了命
[29:13] 为你来输血
[29:14] 所以活下去才是胜利
[29:17] 就算所有人都不在乎你
[29:19] 你的器官的细胞都还在为你拼命
[29:21] 也不要因为一次的涨跌幅
[29:23] 就受到心理试矿那种心态上的压力
[29:26] 好台北股市开盘了
[29:28] 这个先下跌2000点
[29:31] 收在43000
[29:31] 我们看跌幅能不能跟上韩国股市
[29:34] 最近波动是比较大了
[29:36] 我常跟投资朋友分享
[29:37] 我们买股票最大的目的不是赚钱
[29:40] 而是成为股东之后
[29:42] 获得的那一份荣誉感
[29:44] 你比如说我吧
[29:45] 我每次跟人家介绍
[29:46] 我也是讲
[29:47] 我是几十家上市公司的股东
[29:50] 每年会关注上百只股票的发展
[29:53] 对于二十几个产业都算是有研究
[29:55] 每一次跟别人提起这些
[29:57] 我的优越感和荣誉感都会涌上心头
[29:59] 当下觉得亏再多都是值得了
[30:02] 不说了
[30:03] 要去忙了
[30:04] 纸箱快被剪光了
[30:06] 外面是不是开始飘雨了
[30:07] 等我找到雨衣以后
[30:09] 就跟大家一起在公园相会
[30:11] 到时候我们再来布局几家上市柜公司
[30:14] 跌两千多点还好啦
[30:16] 好给投资朋友多做一些观察和留意
[30:18] 对对对
[30:20] 顶楼默默走下来一群人
[30:22] 对还好嘛还好嘛
[30:24] 我们都已经熬过这么多年了
[30:26] 这一轮甩得掉你吗
[30:28] 所以如果你是我们的老听众
[30:30] 不会害怕这种行情
[30:31] 你永远都在寻找机会
[30:33] 好不容易隔了两个月
[30:34] 机会终于来了
[30:36] 好好掌握
[30:37] 就林一芬
[30:37] 如果喜欢我们节目
[30:38] 记得帮我们订阅按赞加分享
[30:39] 我们就明天早上半点半
[30:40] 早晨财经速点图再相见
[30:42] 祝各位投资朋友看盘顺利
[30:43] 炒盘愉快
