[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那也符合我们过去所说的
[25:42] 政府就支持你
[25:43] 高市政府是预估在2040年之前
[25:46] 会动用公司部门
[25:47] 投入接近370兆日元
[25:50] 全面的投入到AI资料中心
[25:52] 打造日本的主权AI
[25:54] 那政府到时候也希望
[25:56] 最希望是什么
[25:57] 要摆出通说
[25:58] 把日本家庭金融资产中
[26:00] 股票基金债券的比例
[26:02] 现在是23%
[26:03] 就是日本家庭
[26:05] 100万里面
[26:06] 只有23万在投资
[26:08] 他希望至少可以提升到40%
[26:10] 台湾的话搞不好已经破50了
[26:12] 台湾现在也没什么人想要存定存了
[26:14] 当然日本现在也是
[26:15] 砸了数兆日元来打造国产AI
[26:18] 目标不只是要追上美国
[26:20] 想要抢下实体AI的主导权
[26:22] 我们清楚知道
[26:23] 要在大元模型做直接竞争有点难度
[26:25] 可是日本过去曾经是机器人大国
[26:28] 日本是全球第一个
[26:30] 我们讲说消费性电子机器人
[26:32] 持续推出的国家
[26:34] 最有名的就是原子小金刚
[26:35] 不是
[26:36] 索尼的很多机器人
[26:38] 最近我们也看到
[26:39] 软银本田索尼
[26:41] 新成立了一家公司叫Neutron
[26:43] 它跟产业技术相关的合作
[26:46] 目标就是跟之前那个Rapidus差不多
[26:48] 目标就是在最尖端的生成式AI模型上
[26:52] 先开始贴近于OpenAI或者Enthropy
[26:55] 然后直接导向实体AI
[26:56] 确保未来在机械机器人
[26:59] 工厂设备当中能够夺回来
[27:01] 现在目标是先把美国给挤掉
[27:03] 因为中国已经是生产量最大的
[27:05] 先把美国给挤下去
[27:06] 所以我们看到不同的做法
[27:08] 不同的措施
[27:09] 它其实都意味着从美国台湾
[27:11] 或者韩国南韩到日本
[27:14] 都采取一定性的AI的法律指引以后
[27:17] 进行全面性的放宽
[27:19] 一方面在追
[27:20] 一方面确立一下中心原则
[27:22] 那当然本轮我们讲说
[27:24] 去杠杆去化的多吗
[27:26] 我认为算是有一点
[27:27] 但是本身而言也没有到特别严重
[27:30] 这种适度的估值怪力回调
[27:32] 它就是在多头市场当中的
[27:34] 适度压抑估值而已
[27:36] 其实你看台湾市场的部分
[27:37] 台湾其实在本月份
[27:40] 我们看到违约交割数
[27:41] 又在持续做增长当中
[27:43] 违约交割到现在为止
[27:44] 今年已经接近75亿台币了
[27:47] 也不少了
[27:47] 通常都弄一两千万一两千万的
[27:50] 正常人有谁敢违约交割啊
[27:52] 一两千万的很明显
[27:54] 有些是当冲冲不掉的
[27:55] 不小心就违约交割了
[27:57] 但是龙舌混杂
[27:58] 你稍微清涂一下也很正常
[28:00] 那韩国市场也是如此啊
[28:02] 这张图表示
[28:03] 韩国的券商融资应收账款啊
[28:06] 过去几天是持续飙升
[28:07] 后来一次性的回挡
[28:09] 原因是什么
[28:10] 就是最佳保证金的通知占融资比率
[28:13] 快速的下滑
[28:15] 因为呢市场上该断头的上礼拜
[28:17] 其实已经洗的差不多了
[28:19] 那没办法一次清干净了
[28:21] 可是一次性的经验
[28:22] 让大家不敢再这么大力的上杠杆
[28:25] 这件事情是蛮重要的
[28:26] 我们想说这一次的波动
[28:28] 让市场的股民心心变得更大
[28:31] 那有些人可能是承受不住
[28:33] 压力会因此而放大
[28:34] 我举两个例子来说
[28:35] 讲财经网红的例子
[28:37] 一个就是那个之前韩国股市
[28:39] 有一个大家有看到新闻吗
[28:41] 二十多岁男子
[28:42] 因为听信理财
[28:44] YouTuber的推荐股票后
[28:45] 惨遭套牢
[28:47] 尾随对方持刀攻击
[28:49] 造成被害人脸部身体多处受伤
[28:52] 财经网红挂彩
[28:53] 索性没有生命危险
[28:55] 这也暴露南韩长期盛行的股票贷单文化
[28:59] 很多YouTuber的频道
[29:01] 像我们不太聊股票
[29:02] 他可能会用股票社群
[29:04] 用免费分析来吸引观众
[29:06] 这个时候如果股市上涨
[29:08] 那就没问题
[29:09] 股市一下跌
[29:10] 有时候压力就很大
[29:11] 财经网红现在是很危险的
[29:14] 由于游戏演的都是真的
[29:16] 断头了
[29:17] 也要别人断头
[29:18] 物理上
[29:19] 民风彪悍
[29:20] 好的老师带你上天堂
[29:23] 结果你真的带我差点上天堂了
[29:25] 可能变成韩剧外的题材
[29:27] 另外一个是日本的财经网红
[29:29] 最近我们也观察到
[29:31] 这两年市场波动放大之后
[29:32] 日本最近有一位AV新人
[29:35] 叫洛夜杰西
[29:36] 他出道之后
[29:37] 被网友比对外贸特征
[29:39] 发现跟之前经营理财
[29:41] 日本YouTube频道高度相似
[29:43] 尤其包括鼻尖和下巴质的位置
[29:45] 一致引发外界猜测两人为同一人
[29:48] 那他也没有做否认
[29:49] 那这个YouTube频道
[29:51] 以前有数万名的订阅粉丝
[29:53] 主要是分享理财财富管理内容
[29:55] 不过近期已经停止更新了
[29:57] 社群账号也全数删除
[29:59] 那看起来
[30:00] 他是有可能从原本的财经YouTuber
[30:03] 财经网红创作者
[30:04] 转行投入到AV产业
[30:06] 那很多外界流传
[30:07] 说是不是加密货币的投资失利
[30:10] 急需用钱
[30:11] 所以转行拍AV
[30:12] 不过这纯属推测
[30:13] 现有资讯只能确认
[30:15] 这个财经频道已经停止经营了
[30:17] 不过他已经开始准备要密集发片了
[30:20] 过去年收入可能是一亿的
[30:22] 现在变两亿了
[30:23] 台湾目前好像还没有传出新闻
[30:26] 但如果有一天我转行
[30:29] 还请大家多按赞订阅加分享
[30:33] 也不用帮我掩盖
[30:35] 因为记得帮我宣传
[30:36] 让我有副业收入
[30:38] 刚好我有这方面的专长
[30:41] 也算是同一个行业
[30:44] 有时候晚上睡觉
[30:46] 我都盖不到棉被
[30:47] 刚好可以套用在这份工作当中
[30:51] 所以我们讲的就是
[30:52] 财新网红在面对这个市场上
[30:55] 波动性加大的时候
[30:56] 跟台日韩面临的现况都是一样的
[30:58] 波动性加大
[31:00] 它的赌性新兴变大了
[31:02] 但是在下跌的过程当中
[31:03] 有些人可能就受不了
[31:04] 有些人可能就忍不住
[31:06] 就拿刀要插人了
[31:07] 有些人就没办法就下海了
[31:09] 但是这些事情都意味着
[31:11] 心性的加大
[31:12] 这一次去化杠杆以后
[31:14] 没办法完全把心性给抹除掉
[31:16] 可是让大家回到合理的估值
[31:18] 不要下一次借那么多钱了
[31:20] 我认为反而是健康的了
[31:22] 对我是对照了一下
[31:24] 因为脸型化妆其实看不太出来
[31:27] 通常我都是用牙齿比对
[31:29] 因为我是做学术研究
[31:31] 有时候大家去日本知道
[31:33] 因为日本女孩子
[31:33] 我发现可能牙齿矫正比较少
[31:36] 跟台湾或者南韩比起来
[31:39] 有时候牙齿稍微乱一些
[31:41] 那有时候要认出一个人
[31:43] 你脸还不记得
[31:45] 不好认
[31:45] 但是从小虎牙
[31:47] 就蛮容易认出来的
[31:49] 日本女孩的特征
[31:51] 我的印象
[31:52] 就是属于那种个子小小的
[31:53] 牙齿通常没有矫正
[31:55] 有时候走路那边
[31:57] 比较明显一点点
[31:58] 但都可爱型的
[31:59] 当然也有例外
[32:00] 前两周我们在亲身直播
[32:03] 我等公车的时候
[32:05] 刚好就看到两个美女
[32:07] 特别好看
[32:08] 穿着和服
[32:09] 打着伞
[32:10] 一个人拿着小扇子
[32:12] 身材也蛮高的
[32:15] 然后其实也蛮漂亮的
[32:17] 特别惊艳
[32:18] 两个人就在公车站那边等
[32:20] 我就多看两眼
[32:22] 还有一个女孩子
[32:24] 讲了一声
[32:25] 干 怎么那么乐
[32:26] 快乐死
[32:27] 都台湾人
[32:28] 不动静
[32:30] 我先聊很广
[32:30] 我们先主要跟投资朋友分享
[32:32] 从在股票市场当中
[32:34] 第一这种市场上
[32:36] 不管是流动性缩减
[32:39] 或者急动的结果
[32:40] 导致单一股价的波动率
[32:43] 行作的加大
[32:43] 第二是我们看到
[32:45] 从美国南韩日本到台湾
[32:48] 都采取了一定程度的AI指引
[32:50] 国家队的参与
[32:51] 推出了或者说撑住了本场的泡沫
[32:53] 可是在撑住泡沫的过程当中
[32:55] 市场的借贷意愿还是很高
[32:57] 难免就要这种去花杠杆的行为
[33:00] 所以我相信这也不会是第一次
[33:01] 未来还会有好几次的去花杠杆
[33:03] 但是我们讲过
[33:05] 只要算力没有过剩的那一天到来
[33:08] 那本身这场龙井
[33:10] 它就会持续下去
[33:11] 一直到有一天
[33:12] 你发现算力过剩了
[33:14] 才会有市场上
[33:15] 比较更进一步的系统性的修正
[33:17] 否则我都会把它视为
[33:19] 更进一步的终极回调
[33:21] 或者估值修正
[33:22] 或者它只是一个去花杠杆的过程
[33:25] 给投资朋友做一些思考
[33:26] 台股持续上涨1010点
[33:28] 刷45243点
[33:30] 左侧重复悲观
[33:32] 右侧涨得有点快
[33:34] 就看大家自己的意志了
[33:36] 不过这几年都这样
[33:38] 都是V转
[33:39] 买不了几张又要往上冲了
[33:42] 压力很大
[33:43] 压力大的原因不是被洗掉了
[33:45] 买不够买不够
[33:46] 都会有这种想法开始出现
[33:47] 就零五分
[33:47] 如果喜欢我们节目
[33:48] 记得帮我们订阅按赞加分享
[33:49] 我们就明天早上半半
[33:50] 找纯财经数解读再相见
[33:52] 祝各位投资朋友
[33:53] 看完顺利操盘愉快
