[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那这一波显著的市场拉动,
[24:46] 就是你看那个CDS你看那个Meta的你再看一下甲骨文的那个CDS价格上涨的速度就是读你违约的那个保单的价钱你以为他快违约了但真实迹象就是两面压住
[24:59] 我一边借钱给你
[25:02] 希望你到时候能够还我钱
[25:03] AI荣景大爆发
[25:05] 一方面我当然知道有风险
[25:06] 所以读你违约的几率也在拉伸
[25:09] 这个就是银行目前两面的做法
[25:12] 大家都在对读波动力的持续上行
[25:15] 当然你说能不能做突破
[25:17] 它基本上就取决于几大方向
[25:19] 第一大方向
[25:20] 我们要看短期内
[25:22] 那就是SpecX的上市
[25:23] 它能不能引起进一波的荣景
[25:25] 我们举例来说
[25:26] 这一波其实SpecX
[25:28] 因为它很快
[25:29] 这两周就要全面上市了
[25:31] 现在已经递交IPO文件了
[25:32] 到时候它就要贩卖AI
[25:35] 加上太空
[25:36] 加上火星文明的未来想象
[25:38] 如果连这样的一个叙事
[25:39] 都能够被市场所接手
[25:41] 那基本上大家的预期
[25:43] 下半年的OpenAI
[25:44] 和Ensorpt的上市计划
[25:45] 就更进一步的信心了
[25:47] 可是如果SPACX熬不过这一关IPO以后
[25:50] 股价就开始回跌
[25:52] 那你当然就知道下半年的OpenAI和Enthropia
[25:54] 恐怕就没这么乐观了
[25:56] 那这一次它的IPO文件当中
[25:58] 最为惊人的地方是什么
[26:00] 是SPACX称自己的总债潜在的市场高达28.5兆
[26:06] 而且其中大部分并不是来自于太空资料中心
[26:09] 而是来自于接下来我们看到的
[26:13] 应该这样讲
[26:14] 就是说它不是来自于火箭
[26:16] 而是来自于AI
[26:17] 就是从接下来的全球网络卫星
[26:19] 到火星的基地轨道基础建设
[26:21] 接下来都可以有非常稳定的现金流
[26:24] 足以导致下一轮的投资
[26:26] 所以马斯克这一波的IPO大豪赌
[26:29] 它可以为接下来6月7月8月
[26:33] 一路到下半年的行情
[26:34] 来奠定一定程度的基础
[26:36] 当然这个是属于天上的
[26:38] 地下的我们看到Google
[26:40] 目前也采取一定程度的措施
[26:42] Google现在想要重新的在IO大会之后
[26:45] 夺回大量的AI代理人服务宝座
[26:48] 核心概念很简单
[26:49] Google现在所推出的
[26:50] 就AI不只是应该聊天
[26:52] 它应该要帮你做事
[26:53] 像是自动整理的email
[26:54] 规划旅行
[26:55] 追踪股市
[26:56] 那之前的
[26:57] 你像OpenCloud
[26:58] 等等养龙虾
[26:59] 那个都是外部性的软体来做使用
[27:02] 可是我们的生态系还没有养成
[27:04] 一般投资人
[27:05] 一般使用者使用会害怕
[27:07] 可是你使用我的Gmail这么多年了
[27:09] 你使用我的YouTube
[27:10] 你使用我的Google云端业务
[27:12] 这么多年了
[27:13] 由我来帮你进行
[27:15] AI代理人
[27:16] AI agent工作
[27:17] 你是不是就放心很多
[27:18] 来订阅我吧
[27:20] 我可以把所有你的生态系
[27:22] 全部串起来
[27:22] 所以就变成自动整理email
[27:24] 规划旅行
[27:25] 追踪股市
[27:26] 追踪购物的折扣
[27:28] 你关掉电脑之后
[27:29] AI还可以继续为你工作
[27:31] 这个就是Google
[27:32] 现在正在做的事情
[27:33] 尝试的把整条生态系给弄断了
[27:36] 你说这件事情
[27:37] 某种程度就是在扩大
[27:39] 原本的Android
[27:40] 或者Google生态系
[27:41] 苹果的压力也因此而展现
[27:43] 很快苹果的折叠机
[27:44] 就要推出了
[27:45] 苹果最大的问题
[27:47] 其实不是手机卖不好
[27:48] 手机还是很不错
[27:49] 整间公司最大的问题
[27:51] 是失去那种
[27:52] 重新定义产品的能力
[27:53] 苹果一直以来
[27:55] 不管是iPad
[27:56] iPhone
[27:56] MacBook
[27:57] 一直以来都不是
[27:58] 第一个发明技术的人
[27:59] 但他总是能够
[28:00] 把技术变成消费革命的人
[28:03] 当然进入到AI时代以后
[28:04] 搞得就有点格格不入了
[28:06] 现在苹果开始
[28:08] 重新的拉升
[28:09] R&D费用
[28:11] 在总体营收的占比
[28:12] 你看
[28:13] 现在大家的营收占比都已经超过100%了
[28:16] 苹果也不过拉到8%到9%
[28:18] 不过相对于2011年12年甲波斯时代
[28:21] 已经翻了4倍到5倍了
[28:23] 所以苹果就要看
[28:24] 当年是它第一个推出Siri
[28:27] 有那种人机互动的条件
[28:28] 现在多快可以夺回来商机
[28:31] 我们看看美股市市场指数表现
[28:33] 道琼指数下跌118点
[28:36] 0.23%
[28:37] 收在50461点
[28:39] 标普上涨45点
[28:40] 0.61%
[28:41] 收在7519点
[28:43] 纳指上涨312.1.19%
[28:45] 收在26656点
[28:47] 费办上涨674.5.53%
[28:51] 哇
[28:51] 收在12876点
[28:54] 大家也知道我们长期的资产配置
[28:57] 这个是以美国软硬体股为重
[29:00] 这种涨幅
[29:01] 我猜大家跟我一样
[29:04] 资产比例大概已经失衡了
[29:06] 一层是资产比的失衡
[29:08] 像股债比
[29:09] 股金比
[29:10] 或者股房比
[29:11] 应该已经失衡了
[29:12] 因为国市膨胀速度太快了
[29:13] 那反而是台股跟美股比并没有失衡
[29:16] 因为以前都美股科技股涨幅比较多
[29:19] 这两年是台股后来跟上
[29:21] 但你像我们这种科技乐观论者
[29:23] 没有承受指数的波动
[29:25] 哪来这样的报酬呢
[29:27] 就因为光是指数也会有这样的报酬
[29:30] 所以我们才要买指数
[29:31] 因为个股第一怕抱不住
[29:34] 第二怕卖不掉
[29:35] 所以市场上很多人都想要追求高报酬
[29:38] 但常常忽略一件事情
[29:39] 羊毛出在毛身上
[29:41] 羊毛出在羊身上
[29:43] 你想
[29:44] 你赚两成三成
[29:46] 甚至翻倍的报酬
[29:48] 就代表你本来就要承受
[29:49] 相对应的波动压力和不确定性
[29:52] 高成长股会暴涨
[29:54] 但也有可能腰斩
[29:55] 可是我又看好AI
[29:56] 那你只能用ETF的方式来做参与
[29:58] 所以所有的收益
[29:59] 本质上都是对于风险的定价
[30:02] 你没有熬过过去这一段
[30:04] 大家对于AI的质疑
[30:06] 大家对于科技股行情
[30:07] 市场波动幅度过大的想象空间
[30:10] 或者回调空间
[30:11] 你怎么会有这样的一个结果
[30:12] 废判前两年
[30:14] 它是盘了很长一段时间
[30:15] 当时都是纳斯达克
[30:17] 指数和标普在涨
[30:18] 都是巨头在涨
[30:19] 废判其实沉寂了很久
[30:21] 但是在今年
[30:22] 迎来全面性的爆发
[30:24] 所以羊毛永远出在羊身上
[30:26] 你承担什么样的一个风险
[30:28] 最后就会取得什么样的成果
[30:31] 老公问老婆
[30:32] 如果有一天
[30:33] 我喜欢上另外一个女人
[30:35] 你会怎么样
[30:36] 老婆年纪大了吗
[30:38] 我都这个年纪了
[30:39] 你就带回来吃饭认识一下
[30:42] 大家有缘当姐妹
[30:43] 照顾同一个男人
[30:45] 我煮个鸡汤全餐
[30:47] 给他补补好不好
[30:48] 老公说老婆你真大度
[30:51] 老婆说没问题
[30:53] 鸡佛用你的
[30:55] 所以羊毛出在羊身上
[30:59] 你想要什么样的一个报酬
[31:00] 你就要承担什么样的风险
[31:02] 市场最可怕的
[31:04] 就是不是别人情绪化
[31:06] 你以为风平浪静
[31:07] 你以为风险真正爆发
[31:09] 看起来都没事
[31:10] 其实一切
[31:11] 你早就已经被自己
[31:13] 当初的投资给控制住了
[31:15] 我们是没有意料到
[31:16] 会有这样的一个报酬
[31:17] 可是我们承担了当时
[31:19] 科技股对于AI的质疑的风险
[31:21] 一路到现在
[31:22] 所以还是要宣传一下
[31:23] 下个礼拜六就是我们财经号角
[31:25] 第三季听友会
[31:27] 6月6号晚上8点钟
[31:28] 每个季度我们都会针对
[31:29] 当前行情来做一些推荐
[31:31] 也会针对过去一个季度的资产操作
[31:34] 和行情判断做一些检讨
[31:35] 直播主要是分享市场动态
[31:37] 大多数的操作和个人实际观点
[31:39] 会在我们的会员系统当中来做分享
[31:41] 短期波动都是这样子变来变去的
[31:43] 那我们在听友会当中
[31:44] 就是寻找那些不变的规律
[31:47] 如果大家常听我们直播有兴趣的话
[31:49] 欢迎可以来到我们的网站
[31:50] 会员来下举订单
[31:52] 那当然如果你只是
[31:53] 想要收听一些专题影片的话
[31:55] 那YouTube里头也有
[31:56] 不过在我们的会员系统当中
[31:58] 会有一整年的听友会的收听权
[32:00] 也会有个人资产部位周知的一些分享
[32:03] 在投资领域当中
[32:04] 往往都是不同的市况底下
[32:09] 面临同向原则
[32:10] 你能不能坚持你的原则
[32:11] 其实老朋友老观众都知道
[32:14] 我们投资就那一套
[32:15] 周期投资也没什么大不了的
[32:17] 不管新闻怎么变
[32:18] 投资决策也不会有太大改变
[32:20] 所以如果大家有兴趣
[32:21] 欢迎可以让我们做一些细节的推演
[32:23] 来回顾过去一个季度的行情
[32:25] 也来展望未来
[32:26] 本季度不是赚赔的问题
[32:28] 本季度是资产调配的问题
[32:30] 该怎么办
[32:31] 股市部位膨胀实在太大了
[32:33] 甚至已经压缩到现金部位
[32:35] 你现金即便绝对金额在创高
[32:38] 你可能比例都很小了
[32:40] 这会形成下一轮部件的极大障碍
[32:42] 到时候我们来聊一聊
[32:44] 解决这个问题
[32:45] 给投资朋友做一个思考
[32:46] 台股上涨1140点
[32:48] 收在44665点
[32:49] 还有两天
[32:52] 可能来不及了
[32:54] 但6月初上5万
[32:56] 6月底上6万呢
[32:58] 好像也不是很困难
[32:59] 按照这种质量
[33:00] 给投资朋友做一些参考
[33:01] 如果喜欢我们节目
[33:02] 记得帮我们订阅按赞
[33:03] 加分享
[33:03] 我们就明天早上八点半
[33:04] 找陈才金速解读
[33:06] 再相见
[33:06] 祝各位投资朋友
[33:07] 开盘顺利
[33:08] 操盘愉快
