[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 也说明了市场有一股共识
[25:36] 或者我们讲的
[25:37] 初阶白领工作
[25:38] 正在遭遇极大难关
[25:40] 我们根据挑战者号
[25:42] 目前2月份的裁员数据
[25:43] 是4.8万人
[25:44] 比去年同期减少了72%
[25:46] 但是主要还是来自于
[25:49] 我们看到在过去几年当中
[25:52] 稳定的裁员现象所导致的结果
[25:54] 也就是说由于过去几年
[25:56] 大家已经缺工缺帕了
[25:57] 所以裁员效果并不是特别明显
[26:00] 多数企业现在选择的做法是停止招募
[26:03] 而并不是随意的去裁员
[26:04] 因为你裁一个人
[26:05] 未来如果真的需要他
[26:07] 要花很久的时间才能够招募回来
[26:09] 这就变成劳动力市场
[26:11] 就进入了一个冷冻的迹象
[26:13] 你吃掉了
[26:14] 你可能找不太到
[26:15] 可是也不会有公司
[26:16] 主动大规模的去裁员
[26:18] 现在裁的都是AI
[26:19] 蓝领的工作反而表现还好
[26:21] 所以AI所造成的冲击不明显
[26:24] 大部分看起来是在白领
[26:25] 而并非蓝领
[26:26] 当然市场上有很多合理的解释
[26:29] 觉得说那是不是代表着
[26:30] 看起来AI冲击没有想象中来得大
[26:32] 那就是一些工程师被取代而已
[26:34] 可是这只是一种
[26:36] 让人安心的说法
[26:38] 我们过去也提过
[26:39] 这个AI主要冲击
[26:41] 虽然看起来是白领和工程师
[26:42] 蓝领和服务业看起来很安全
[26:44] 但这是一种把典型说得通
[26:47] 因为蓝领暂时无法取代
[26:48] 当成风险已经消失
[26:50] 有时候我们讲说技术扩展
[26:51] 它不是同时发生的
[26:52] 它是从最标准化
[26:53] 最数位化的工作开始
[26:55] 接着就往实体世界来做渗透
[26:57] 也许突然有一天
[26:58] 之前我们举过马车和汽车的例子
[27:01] 汽车19世纪就已经发明了
[27:04] 大概也是花了100年左右
[27:06] 才完全取代马车
[27:08] 可是取代的那一瞬间
[27:09] 马车是崩溃式的下跌
[27:11] 在10年内全数消失
[27:13] 可是90年内还是在稳定的发展
[27:15] 马车和开汽车的人同样多
[27:17] 原因很简单
[27:18] 二次大战的爆发
[27:20] 随着市场上对于工业用需求汽车的
[27:23] 拉伸生产力的提升
[27:25] 所以导致马车全部失业
[27:27] 所以今天蓝领和服务业
[27:29] 之所以还没有受到明显冲击
[27:30] 也不代表风险不存在
[27:32] 它只是没有传导
[27:33] 一旦AI开始结合自动化的设施
[27:36] 机器化和机器人的流程优化
[27:38] 很快的也许原本视为被安全
[27:41] 相对安全的领域
[27:42] 搞不好短期内就被重估了
[27:44] 所以真正的问题
[27:45] 你会发现
[27:46] 大多数人会发现
[27:48] 他发生以后
[27:49] 才意识到他原来早就已经开始了
[27:52] 这有时候压力是很大
[27:53] 所以有时候市场上有很多那种合理的解释
[27:56] 只是让人安心的说法
[27:57] 真正的风险也并没有因此而消失
[28:00] 之前看到一个男的
[28:02] 早上安静的看报纸
[28:04] 悠闲悠哉的享受着
[28:06] 这时候他妻子就悄悄的走到他后面
[28:09] 用一个平底锅
[28:10] 啪
[28:11] 敲了一下他的后脑槽
[28:12] 男的说你干嘛
[28:15] 女的太太说
[28:17] 你裤子里面写着马力的名字的那张纸条是什么
[28:21] 他说那是我前两周去赛马
[28:24] 马力是我下注的一匹马的名字
[28:27] 那他被安抚了
[28:29] 然后太太就回去干活了
[28:31] 那三天之后
[28:33] 男的又在椅子上看书
[28:35] 太太又拿平底锅打他的头
[28:38] 先生说这次又是为了什么
[28:40] 太太说
[28:41] 你的妈打电话过来了
[28:43] 有时候我们市场上
[28:45] 有很多合理的解释
[28:47] 只是让人家暂时安心的说法
[28:49] 但并不是真正的风险消失
[28:50] 所以稍晚
[28:52] 我们礼拜六刚好有听语会
[28:54] 我们也会针对这个问题
[28:55] 做更进一步的宏观解析
[28:57] 到底我们现在的生产力
[28:59] 是没看到
[29:00] 没展现
[29:01] 然后AI的资金又稀缺
[29:03] 所以导致AI提振不起来
[29:05] 还是由于过去二月份
[29:07] 我们不是才提到
[29:08] AI取代了非常多软体业的工作
[29:10] 所以AI要大规模的取代人类
[29:12] 所以市场要跌
[29:13] 那是不是AI取代人类
[29:15] 股市得跌
[29:16] AI对于生产力没有作用
[29:18] 股市也得跌呢
[29:19] 这种逻辑的闭环要如何打破
[29:22] 我们或许再跟投资朋友做一些观察
[29:24] 原因之所以这样讲
[29:25] 是因为AI现在看起来
[29:27] 仍然是属于两极化的发展
[29:30] 部分会用AI的人
[29:31] 顺应的本破行情
[29:33] 占到了大笔财富
[29:34] 可是部分工作已经被AI大量取代
[29:37] 有些还没被取代的
[29:38] 只是觉得自己不会被取代
[29:39] 不代表永远不会被取代
[29:40] 举一个最直观的
[29:42] 台湾就是在本轮的AI浪潮底下
[29:44] 就业市场好的不得了的那一块
[29:46] 失业率在1月2月陆续创下历史新低
[29:50] 3.29%
[29:51] 应该算是本世纪以来的新低
[29:53] 台湾缺工率
[29:54] 现在比美国来得更严重了
[29:56] 从餐饮业来看
[29:57] 现在看起来几乎之所以会去收摊
[30:01] 都不是因为经营不下去
[30:03] 没人找不到人
[30:05] 我们从数据来看
[30:06] 从住宿餐饮业的职缺率
[30:08] 大概已经来到4.2%
[30:10] 职缺数是2.4万个
[30:12] 制造业缺8.3万人
[30:14] 批发业缺4.7万人
[30:16] 营建业缺1.8万人
[30:18] 金融业缺1万人
[30:19] 专业科技类缺1万人
[30:21] 基本上台湾没有任何一个
[30:23] 市场上的行业职缺率
[30:25] 是低于1%的
[30:27] 这说明台湾是处于高度的劳工紧缩
[30:30] 我们过去也提过
[30:31] 根据去年天下的统计调查
[30:35] 过去来看
[30:36] 两岸变数一直都是企业最大的烦恼
[30:38] 不过这已经大家习惯了
[30:41] 但是这几年上升最快的是什么
[30:43] 就是缺工问题
[30:44] 所以AI浪潮
[30:46] 它适度的带动部分的就业繁荣
[30:48] 但是它也带领着
[30:50] 某些AI的就业怀疑陆续出现
[30:52] 这个就是我们当前所看到的迹象
[30:54] 我认为做一个结论
[30:55] 要怎么解决这件事情
[30:57] 我个人的看法是
[30:58] 我们过去提过
[30:59] 只要劳动力短缺的长期现象仍然存在
[31:03] 科技股往往会有带来一段超额报酬的爆发期
[31:07] 除非AI已经导致市场上
[31:10] 没有进一步的生产力提升
[31:12] 所以人口越来越多了
[31:14] 要不然只要我们还是有某种缺工的情况
[31:16] 像美国过去几年也是如此
[31:18] 美国就算有非法移民
[31:19] 他还是缺这么多工
[31:21] 所以美国还是缺工
[31:22] 他只是短期内的经济和政策的不确定性
[31:25] 停止招募而已
[31:26] 所以如果以长周期来看
[31:28] 基本上你就会得出一个更清晰的解读
[31:31] 就是AI本身跟少子化是一体的
[31:34] 从历史现行来看
[31:35] 不管是1948年到1967年
[31:37] 91年到99年
[31:38] 还是15年以后的人口结构转变
[31:40] 只要进入到劳动力供给不足的阶段
[31:44] 你会发现企业化就会自动的去导入
[31:47] 这些自动和技术投资
[31:48] 带动科技产业的快速发展
[31:50] 只要缺人股价就会涨
[31:53] 因为只要缺人
[31:54] 我就被迫一定要去投资科技
[31:56] 我就被迫一定要自动化
[31:58] 好那现在问题来了
[31:59] 发达市场从2015年开始
[32:01] 不管是美国欧洲台湾日本南韩
[32:04] 全部都在缺人
[32:05] 有没有发现疫情以后
[32:06] 这个世界就改变了呢
[32:08] 缺工的现象越来越明显了
[32:10] 而这就是引领AI投资
[32:12] 不能提的重要关键
[32:14] 当然这只是我的一个看法
[32:15] 也给投资朋友做一些思考
[32:16] 我们做个结论
[32:17] 台股上涨274点
[32:19] 摔33713点
[32:21] 市场看起来现在是压力解除
[32:22] 风险下滑
[32:23] 但是呢只是把战争的冲击
[32:25] 切换到结构压力的下一个阶段
[32:27] 暂时收敛带来的是价格回稳
[32:29] 但是亚洲经济体正在接受
[32:31] 能源供应的后遗症
[32:33] 这个后遗症还是得看到
[32:35] 暂时的全面结束
[32:36] 同一时间资金并没有完全回到
[32:38] 全面的风险偏好
[32:40] 更流向AI部分确定的赛道
[32:43] 形成少数资金的持续吸金
[32:45] 当然它也形成产业之间的结构性破坏
[32:48] 那就与市场就卡在一个很微妙的位置
[32:50] 本质看起来好像企业不敢扩张
[32:52] 只能维持现状
[32:54] 白领开始被AI给侵蚀
[32:56] 可是从中长期而言
[32:58] 这个AI的投资能不能停下来
[33:00] 答案是不能的
[33:01] 尤其在台湾
[33:03] 少子化每年从10万
[33:04] 以前是22万
[33:05] 到15万
[33:06] 13万
[33:07] 今年看起来连9万都不到
[33:08] 除了投资AI还能够做什么呢
[33:11] 那我们只要确定
[33:12] 美国这个就业市场
[33:13] 它的人口稀缺仍然存在
[33:15] 它的缺工现象依旧的话
[33:17] 那很抱歉
[33:18] 它的AI就只能够持续的投下去
[33:21] 因为发达市场已经脱离了那种
[33:23] 需要到新兴市场来建工厂的那种规模
[33:26] 而是把AI全部的导入到自己的国家
[33:29] 这就是一个历史的新常态
[33:31] 所以大家有兴趣
[33:31] 欢迎大家可以参加我们礼拜六
[33:33] 财经号角第二届的听语会
[33:34] 我们到时候再跟投资朋友追踪一下
[33:36] 当前全球的劳动力就业市场改况
[33:38] 也给投资朋友做一些参考
[33:39] 如果喜欢我们节目
[33:40] 记得帮我们订阅按赞加分享
[33:41] 我们就明天早上半半
[33:42] 早晨财经速解读
[33:44] 再相见
[33:44] 祝各位投资朋友看板顺利
[33:45] 操板愉快
