[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过这一次周一的全面上涨
[26:32] 然后到甲骨文
[26:33] Meta
[26:34] Salesforce
[26:35] 250亿
[26:36] 阿发贝也发了200亿
[26:37] 这些巨头这么有钱
[26:39] 他还发这么多债
[26:40] 很明显
[26:41] 大家这场军备竞赛
[26:43] 看起来比想象中还来得更远
[26:45] 当然他有没有适度的副作用
[26:47] 开始出现
[26:47] 一个副作用就是
[26:48] 我们对于AI的投射期待程度
[26:51] 来得更高了
[26:52] 当然这种期待高
[26:53] 他能不能借由
[26:55] 大量具有性价比CP值高的AI
[26:58] 来冲销掉
[26:59] 我们对于AI无条件的成本上升
[27:01] 第二种是市场上
[27:03] 已经开始有一些适度的副作用
[27:05] 那就是全球因为首位兆元富翁
[27:08] 已经正式产生
[27:09] 反对声浪也走上节奏
[27:11] 这一次马斯克的身价正式突破一兆美元
[27:14] 成为全球首位兆元富豪之后
[27:16] 在纽约的金融区
[27:17] 越来越多抗议人士
[27:19] 聚集在摩根大通总部外面
[27:20] 因为他是IPO的承销案
[27:22] 投资商批评这场资本盛宴
[27:25] 加剧了贫富差距扩大
[27:27] 那这也可以理解
[27:28] 因为过去几年美国大企业的确越赚越多
[27:31] 但劳工分到的是越来越少
[27:33] 根据劳工统计局的数据
[27:35] 美国劳工薪资占整体经济收入比重
[27:37] 从1947年最低统计来看
[27:42] 当时是59%
[27:43] 现在大概只剩下51
[27:45] 企业利润占比则上升到12%
[27:48] 今年第一季美国劳工的报酬成长只有0.8
[27:51] 企业获利成长2.7
[27:53] 这等于4倍
[27:54] 如果把时间拉长来看
[27:56] 疫情以来美国的实质薪资只有增加3%
[28:00] 美国的企业利润暴增50%
[28:03] 股东笑呵呵
[28:05] 员工苦兮兮
[28:06] 那这很大程度也不单纯来自于AI浪潮
[28:10] 是这几年不管是工会力量的衰退
[28:12] 产业外移
[28:13] 中国自动化取代劳动力
[28:15] 大型企业垄断市场的结果
[28:17] 就导致劳工能够分时的获利越越少
[28:20] 所以在这样效果底下
[28:22] 现在SpaceX上市以后
[28:23] 马斯克身价快速的暴增
[28:25] 它的身价暴增到什么程度
[28:27] 身价暴增到你把剩下几名
[28:30] 不管是Lara Page或者贝佐斯
[28:33] 全部加起来
[28:34] 好像也不如马斯克一根来得多
[28:36] 目前它的身价不只是贝佐斯的三倍到四倍
[28:40] 大概是等同于七个巴菲特的身价
[28:44] 购买力也非常惊人
[28:45] 马斯克就要把4%的财富拿出来
[28:48] 就可以买下整个PayPal
[28:50] 如果愿意
[28:51] 他甚至有能力买下美国欧洲日本
[28:53] 所有的汽车制造商
[28:55] 包括丰田通用等等
[28:57] 所以这也引来了市场上进一步的纷争
[28:59] 那就是针对富人税的加成
[29:02] 是否会有效的执行了
[29:03] 你不要看现在美国部分州
[29:06] 已经开始针对富人税来陆续提高
[29:09] 加州目前也在审议当中
[29:11] 台湾的部分
[29:12] 立法院财委会在本周审查税法的时候
[29:15] 就立委提出越来越多人
[29:17] 透过股票房地产的资产来获利
[29:19] 用钱赚钱的速度
[29:21] 已经明显大于靠薪资收入了
[29:23] 如果以后台湾人多靠炒股赚钱
[29:25] 那我们的证交税肯定不够收
[29:28] 我们应该要试试看
[29:30] 能否借由调整奢侈税等等方式
[29:33] 来获得进一步的财政回馈
[29:35] 根据财政部资料
[29:36] 目前奢侈税税率是10%
[29:37] 包括300万以上的进口小客车
[29:40] 私人飞机 游艇 高价家居等等
[29:43] 近三年收益55到66亿
[29:45] 正在疯狂上升
[29:46] 所以有没有可能全球都开始
[29:49] 采取新一轮的AI获利再分配
[29:52] 来应对未来的社会
[29:54] 这是值得大家关注的方向
[29:56] 我们今天聊的范围比较广
[29:57] 主要是跟投资品一方面来看
[29:59] 中东局势现在获得更进一步的确认
[30:02] 礼拜五签署的可能性越来越高
[30:05] 昨天还有点慌
[30:06] 想说这次到底是不是真的
[30:08] 看起来这次签署协议的可能性非常高
[30:11] 连欧洲国家陆续都到位
[30:13] 即将要善后本场的伊朗战事
[30:15] 另外一方面我们也看到市场的行情
[30:18] 现在是财报空窗期
[30:20] IPO的做梦行情
[30:22] 你當然會讓市場的投射稍微比較遠一點
[30:25] 你看前幾年我們一開始是看到
[30:27] 不管是馬斯克做他的特斯拉
[30:32] 做特斯拉的過程當中
[30:33] 市場上一方面想
[30:35] 你電動車好像賣的沒有特別好
[30:37] 沒有我們是做自駕車的公司
[30:40] 原來做自駕車
[30:41] 你自駕車今年好像還沒有超過500台
[30:44] 沒有我們是做機器人Optimus的公司
[30:47] 就是馬斯克就會不斷的照夢
[30:50] 让你有本梦里的预期推升
[30:52] 那SpaceX也一样
[30:54] 你不是做starlink吗
[30:56] 那怎么财报好像表现不是特别好
[30:58] 没有
[30:58] 我们现在是做资料中心的算力出租
[31:01] 我们现在大力发展XAI
[31:02] 资本支出稍微高一点
[31:05] 你做算力
[31:06] 你跟甲骨文跟其他厂商
[31:07] 怎么确保你能够有稳定的现金流收入
[31:10] 经得起这么高的估值
[31:12] 我们要做太空能源转型
[31:15] 太空资料中心
[31:16] 你要做太空资料中心
[31:18] 你在技术上有可能
[31:19] 没有我们最终的目的是要影响火星
[31:21] 就下一个梦就不断的往下做延伸
[31:24] 你只要相信梦
[31:26] 那估值就能够不断提升
[31:27] 那这个估值不断提升有两个效果
[31:29] 第一是现在因为一个新的科技
[31:32] 所以人人的造梦空间
[31:34] 本来就能够因此而想象
[31:36] 你说我现在要推出一个
[31:38] 每人性能更好的手机
[31:40] 更好的PC
[31:41] 那没人相信你吧
[31:42] 因为大家的预期最终就这样子
[31:44] 但是告诉我你可以征服火星
[31:46] 征服宇宙
[31:47] 浩瀚无敌
[31:48] 那就让我相信了
[31:50] 这是孤子的仇视
[31:51] 第二点是来自于利空的顿化
[31:54] 由于我对你有信心
[31:56] 而且每一次的利空
[31:58] 我都后悔自己没买够
[31:59] 所以这一次当利空消失的时候
[32:01] 我就有更进一步的信心
[32:03] 那当利空发生
[32:04] 那我买得更用力
[32:05] 这就是市场心理情绪的转变
[32:08] 也许我们正在迎来的一个新的社会
[32:10] 当然了
[32:10] 它不代表情绪就会消失
[32:12] 情绪终究会有回荡的一天
[32:15] 只是历史会重复
[32:17] 但不一定每一次都会同样的事件重复发生
[32:21] 历史能够重复的大概就是押韵
[32:24] 道理和周期是不会改变的
[32:26] 但是下一次的利空
[32:27] 大概还是有很多人会被吓到
[32:30] 被吓跑的
[32:31] 这一开投资朋友多多去思考
[32:32] 台北股市上涨232点
[32:34] 收在45,595点
[32:36] 我们今天主要跟投资朋友稍微梳理一下
[32:38] 从宏观到微观的心理情绪的变化
[32:40] 让大家更为了解这个时代的变迁
[32:42] 给投资朋友做一些参考
[32:44] 如果喜欢我们节目
[32:45] 记得帮我订阅按赞加分享
[32:46] 我们就明天早上8点半
[32:47] 早晨财经速写图
[32:48] 再想请各位投资朋友
[32:50] 看完顺利
[32:50] 下半一块
