[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 道琼是涨了700点
[25:47] 你表面上看到的
[25:48] 跟他心里所想的
[25:49] 其实还是有一段落差
[25:51] 再来是日本复原协会的调查
[25:53] 过去9年
[25:54] 我们讲说感到有精神的
[25:57] 有元气的日本人的比例逐年下滑
[25:59] 17年是24%
[26:01] 现在是下滑
[26:02] 一度下滑到18%
[26:04] 高度感到疲惫的人
[26:06] 从17年的37.4%
[26:08] 上升到25年的46%
[26:10] 整体感到疲劳的比例
[26:12] 已经来到82%
[26:14] 最近大家才看到
[26:16] 那个吉卡哇的电影
[26:18] 不是要上映
[26:21] 因为上礼拜就上映了
[26:22] 然后日本票房是提前上映
[26:24] 日本票房第一天
[26:26] 就来到9.9亿日元
[26:29] 上映前三天
[26:30] 累计票房已经来到22.4亿
[26:33] 我听说
[26:34] 它是2026年第二高开片的成绩
[26:38] 仅次于奥德赛
[26:39] 然后另外一点就是
[26:40] 吉卡娃这一次的成功
[26:43] 它在全球市场当中
[26:45] 都获得一定的评想
[26:46] 然后一定的反响
[26:47] 然后在日本本土反响特别高
[26:50] 我们当然知道
[26:51] 因为这是吉卡娃
[26:52] 那个电影名称叫什么
[26:54] 有点忘记了
[26:54] 因为这是英文
[26:55] 人鱼岛什么的
[26:56] 人鱼岛的秘密
[26:57] 他是仅次于奥德赛
[27:00] 而且是在动画片当中
[27:04] 仅次于名侦探柯南的
[27:06] 最为畅销的动画电影
[27:08] 那为什么我要讲吉卡娃
[27:09] 因为现在大家都流行吉卡娃
[27:12] 走在日本街头
[27:13] 到处都可以看到吉卡娃的身影
[27:15] 那吉卡娃真正打动人心的地方
[27:17] 在于哪里
[27:18] 他并不是单纯角色很可爱
[27:20] 他描绘了一个残酷
[27:22] 却真实的世界
[27:23] 就表面上
[27:24] 角色他每天要吃甜点
[27:26] 要吃拉面
[27:27] 他看起来很疗愈又轻松
[27:28] 但实际上
[27:29] 你如果细看吉卡娃的情节
[27:32] 他每天都要接任务
[27:33] 他要打怪
[27:34] 他要努力赚钱才能够生活
[27:36] 甚至随时有可能遭遇危险和死亡
[27:39] 这样的一个世界观
[27:40] 就跟传统那种世界观
[27:42] 那种动画的世界观不太一样
[27:44] 相对于哈罗基提
[27:46] 相对于哆啦A梦
[27:47] 吉卡蛙就是现代的日本年轻人
[27:51] 在充满竞争和不确定性的环境里头
[27:53] 努力的求生
[27:55] 所以很多人说吉卡蛙
[27:57] 让他看到了自己
[27:59] 所以他如此畅销
[28:00] 你就可以理解
[28:00] 为什么现在日本人都流行吉卡蛙了
[28:03] 大家应该看过吧
[28:04] 吉卡蛙就是那个
[28:06] 我这一生如履薄冰
[28:09] 哎呦这不薄冰哥
[28:10] 那是盗版的
[28:12] 正版的讲话不会卷舌
[28:14] OK
[28:14] 对
[28:15] 让我想到
[28:17] 我最近才买了一个
[28:19] 吉卡哇的那个吊饰
[28:21] 其实真的蛮可爱的
[28:23] 而且
[28:23] 不然分开了
[28:26] 等一下
[28:26] 我稍微把它装起来
[28:29] 连起来了
[28:29] 吉卡哇
[28:31] 它其实
[28:31] 为什么我们讲说
[28:32] 在日本年轻人当中
[28:33] 受到如此大的欢迎
[28:35] 本身其实就是
[28:36] 我们看到
[28:37] 这个世代当中
[28:39] 日本成功的摆脱通缩以后
[28:41] 对于通膨所造成的担忧和不确认
[28:43] 在过去40年当中
[28:45] 只要持有现金就是最大
[28:47] 所以通缩化的格局
[28:48] 那又如何
[28:49] 但是当通膨来了
[28:50] 过去的退休计划
[28:52] 过去的资金储备
[28:53] 已经完全丧失
[28:54] 一个新的时代的来临
[28:56] 让年轻人充满着不适
[28:57] 我们举例来说
[28:59] 只要年轻时
[29:00] 我们看到多吃苦
[29:01] 老了就会习惯了
[29:02] 为什么这样讲
[29:03] 野村最新的统计
[29:04] 日本人的幸福感
[29:05] 随着年龄变化
[29:06] 呈现U型曲线
[29:08] 现在最悲观的是哪些人
[29:09] 最悲观的
[29:10] 现在就是20岁到30岁的人
[29:12] 那50岁60岁都没那么悲观
[29:14] 这也说明着迎来一个市场的大变局
[29:17] 那最后怎么做呢
[29:18] 只好沉迷在极卡哇的世界里头
[29:21] 来呼应自己的现实社会
[29:23] 另外一方面就多看片
[29:25] 你看那个知名的动作网站
[29:27] 这是Pornhub
[29:28] 他在去年的回复报告也显示当中
[29:31] 日本人的看片时间是最长的
[29:33] 平均停留大概是1分02秒
[29:36] 这远远高于菲律宾
[29:37] 加拿大
[29:38] 澳洲
[29:39] 美国
[29:40] 智利
[29:40] 阿根廷
[29:41] 每天沉迷于其中
[29:43] 不只研究技术
[29:45] 还会欣赏剧情
[29:46] 还要学习英语
[29:47] 进阶拉长收看时间
[29:50] 时间拉太久了
[29:51] 台北股市下跌207点
[29:53] 收在43178点
[29:55] 我都还没聊韩国和台湾的偏爱的
[29:58] 稍微带一下好了
[29:59] 南韩市场的偏爱
[30:00] 其实表现也相当不错
[30:02] 这一次是占到了53.1
[30:04] 连续8个月占稳了50的龙沽线之上
[30:07] 基本上韩国市场到目前为止
[30:10] 基本面也没有什么太大改变
[30:11] 那股价波动是很大
[30:13] 是真的
[30:13] 主要还是来自于过度集中
[30:15] 加上高杠杆之后的显著回挡
[30:18] 那当然对于台湾而言
[30:19] 大家最为关注的PNI数据
[30:22] 我们主要是看中金院
[30:23] 因为台湾的PNI数据
[30:25] 我们过去一直以来
[30:26] 都是用中金院那种高强度的增长
[30:29] 来做前瞻指引
[30:30] 台湾目前中金院公布的PNI
[30:32] 是已经到61.5了
[30:34] 是台日韩三国当中
[30:36] 表现来得最为强劲
[30:38] 这也是2021年9月份以来的最快增速
[30:41] 主要动能就来自于出口的显著场望
[30:43] 甚至我们知道台湾的财富效应也开始了
[30:46] 非制造业经理人MNI也从59.9来到57.3
[30:52] 虽然稍微下滑一点点
[30:53] 不过还是高强突破扣张
[30:55] 所以不管是制造业还是非制造业
[30:58] 目前看起来前瞻指标都在快速上行
[31:02] 台湾在第二季的经济成长率
[31:04] 组织数最新公布出来了是12.9%
[31:07] 这已经连续三个季度
[31:08] 呈现双位数字的成长
[31:10] 上半年累积成长
[31:11] 已经来到13.7%
[31:13] 这个是过去50年来最佳记录
[31:17] 而且最大推力
[31:18] 我们很清楚知道
[31:19] 在AI的帮助底下
[31:21] 你把经济成长
[31:22] 去年台湾经济成长
[31:23] 已经8%
[31:24] 已经很夸张了
[31:25] 台湾现在经济成长
[31:26] 预估保底是9.6%
[31:28] 全球预估是2.3%
[31:29] 美国是2%
[31:30] 欧元区是0.4%
[31:33] 中国大陆是4.5%
[31:34] 香港是2.7%
[31:36] 日本是0.8%
[31:37] 新加坡4%
[31:38] 南韩是1.9
[31:39] 你可以了解
[31:40] 台湾目前的经济成长
[31:41] 力度到底有多大了
[31:42] 因为时间因素
[31:43] 我们就稍晚再来
[31:45] 跟投资朋友追踪一下
[31:46] 台韩市场的表现
[31:48] 在PNI的推动底下
[31:50] 目前在亚洲的争霸情况
[31:52] 我们今天主要是
[31:52] 跟投资朋友稍微梳理
[31:54] 从美国到日本
[31:56] 到韩国到台湾
[31:57] 目前PNI数据的上行通道
[31:59] 已经完全打开
[32:00] 所以你可以完全理解说
[32:02] 每一轮
[32:03] 不管是3月份的回调
[32:04] 还是在7到8月份的回调
[32:06] 都还拥有一定程度的信心
[32:08] 认为是估值回调
[32:09] 而并不是泡沫破灭
[32:10] 因为基本面通道正在快速上行
[32:13] 那PNI它不是传统的落后经济指标
[32:16] 跟就业跟通膨不一样
[32:17] 它是一个前瞻性的备货情况
[32:19] 那这一些经理人
[32:21] 正在为未来三个月疯狂的备货
[32:23] 就意味着他们接到的订单手软
[32:26] 所以疯狂的来跟市场来下订单
[32:28] 采购半成品
[32:29] 这是第一个重点
[32:30] 那第二个重点来自于
[32:32] 可是最终出的这些货
[32:34] 它始终还是要有人
[32:35] 可以创造生产力的提升
[32:37] 在创造生产力提升之前
[32:39] 要先有足够的钱
[32:40] 盖足够的资料中心
[32:42] 而要有足够的钱
[32:43] 它就必须要捆绑到全球的流动性
[32:45] 联总会现在在紧缩
[32:46] 日央也在升息
[32:48] 所以如果市场的资金缺口
[32:51] 没办法顺势的打开的话
[32:53] 那么日元高强度的升值
[32:55] 对于股市其实是不太有利的
[32:56] 可是你也不能够放任它一直贬值
[32:59] 日本政府会受不了
[33:00] 所以大家只好意识性的让它升一下
[33:03] 可是它是否改变了
[33:05] 本轮的日元贬值趋势呢
[33:06] 我觉得还要多做一些留意
[33:08] 给投资朋友做些思考了
[33:09] 如果喜欢我们节目
[33:10] 记得帮我们订阅按赞加分享
[33:11] 我们就明天早上八点半
[33:13] 早晨财经速写图再相见
[33:14] 祝各位投资朋友
[33:15] 看盘顺利
[33:16] 操盘愉快
