[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 非常不错
[25:34] AI只是加速了
[25:35] 这样的一个进程
[25:36] 就算没有AI
[25:36] 按照台湾自通讯产品的领先
[25:39] 就算像是手机当道
[25:40] 笔电当道
[25:41] 台湾市场一样通吃
[25:42] 所以基本也没有什么太大问题
[25:44] 当然它最后的一个效果
[25:46] 还是来自于
[25:47] 那么这么庞大的经济成果
[25:49] 你要降低体感温度
[25:51] 你不想要面临跟美国政府现在的处境
[25:53] 那就要学日本进行补贴
[25:55] 我们看台湾政府仍然持续采取油价动涨
[25:59] 那现在问题来了
[25:59] 之前是宣布到5月3号
[26:02] 柴油汽油价格都不再调高了
[26:04] 好像5月份到了
[26:05] 那能源价格还是很高
[26:07] 要不要顺势调高呢
[26:09] 中油我们知道现在压力越来越大
[26:11] 中油已经正式累积超过6000亿台币的吸收金额
[26:15] 亏损金额超过800亿
[26:17] 这是财务结构的快速恶化
[26:19] 经济部已经提出了三件齐发救援专案
[26:22] 总规模6500亿
[26:24] 包括3000亿的专案融资
[26:26] 四年3500亿的增资
[26:27] 而且打算运用特别预算来拨布
[26:30] 关键就在于台湾政府知道
[26:33] 第一个选举要到了
[26:35] 第二件事情
[26:36] 这么高强度的资产价格的上涨
[26:39] 它很难不带动一些通膨
[26:40] 唯一能做的就是
[26:42] 企业赚的钱
[26:44] 我今年的营业税
[26:46] 肯定创下历史新高
[26:48] 全部拿来补贴
[26:49] 我藉由企业所赚到的获利
[26:52] 拒绝或者说进行能源价格的直接补贴
[26:55] 动涨了
[26:56] 这个就是台湾政府目前所采取的做法
[26:58] 所以中油未来财务看起来不是很乐观
[27:02] 台电的部分
[27:03] 我们也清楚知道
[27:05] 台电这几年电价的动涨代价
[27:08] 就是未来账单
[27:09] 不过它就一直补贴下去
[27:10] 反正营业税营所税一直收进来
[27:12] 它就继续补贴
[27:12] 我们看到台电财务从22年以来
[27:15] 就一路的恶化
[27:16] 累积已经超过4700亿
[27:18] 负债比冲高到95%这个资不抵债那官方当然解释这是国际原物料价格的大涨台电为了体恤民间所以选择不让电价上涨三年内已经吸收了6000亿成本
[27:31] 那今年肯定要再吸收
[27:33] 所以我们看到
[27:34] 今年照来讲
[27:35] 因为美国电价已经成长快要三成了
[27:38] 照来讲台电多少要调整
[27:40] 不过今年是一次都没有调整
[27:42] 只针对大型用户用电子
[27:44] 所以在这样的一个效果底下
[27:46] 等同于大家都在称
[27:47] 称这档中东战事
[27:49] 快点结束
[27:50] 最后就是中国市场
[27:52] 中国市场
[27:54] 中央人行这一次
[27:55] 4月份借由中期近代便利MLF
[27:58] 操作出现了2000亿元的净回笼
[28:01] 正式结束了连续13个月的加码投放趋势
[28:04] 说明着连中国人行
[28:07] 现在好像宽松力度都稍微放缓了
[28:10] 关键其实还在宽松
[28:12] 因为央行是一边回收中长期资金
[28:14] 一边透过短期的操作来维持流动性的稳定
[28:17] 它类似于结构性调整
[28:19] 也不算是转紧
[28:20] 可是你至少看得出来
[28:22] 好像没那么宽松了
[28:23] 中国经济
[28:24] 其实目前还是出现
[28:25] 比较明显的政策分裂
[28:26] 其实中国在今年的出口
[28:28] 前三个月也创下历史新高了
[28:30] 可是如果我们细节观察
[28:32] 各大领域都看得出来
[28:34] 中国政府尝试着进行降温
[28:36] 我们看中国股市
[28:37] 在最近的国家队
[28:38] 几乎都在卖股票
[28:40] 数据显示
[28:42] 从今年一季度开始
[28:43] 中国主权基金旗下的中央汇金
[28:45] 已经大幅降低多档ETF的持股比重
[28:49] 举几个例子来说
[28:50] 你像是沪森300ETF持股规模
[28:52] 过去一年它都维持在高档
[28:54] 结果2026年开始就断崖式的下滑
[28:56] 这段时间上证也还在涨
[28:58] 国家队的退场
[28:59] 你像一些核心ETF
[29:01] 沪森300上证50
[29:03] 中央汇金几乎都是最大持有人
[29:05] 结果现在几乎全面都在撤出
[29:08] 大家也尝试的要让股票市场
[29:10] 或者让中国市场尝试的进行降温
[29:13] 可是问题在于
[29:14] 中国现在还保持在内通缩格局
[29:17] 过去30年
[29:18] 整体食品CPI成长幅度是3.3
[29:20] 现在是负1%
[29:22] 那跟日本完全走不同方向
[29:24] 而且我们看到上游端有没有压力
[29:26] 其实PPI压力还是很大
[29:28] 可是不管上游端通膨涨多高
[29:31] 就是没有企业转移到下游端
[29:33] 因为你一转到下游端
[29:34] 物价一上涨
[29:36] 那民间就不买了
[29:37] 所以在这样的一个市场就变成
[29:39] 中国企业的压力是大的
[29:41] 因为上游端的通膨不断的加成
[29:43] 可是他没有能力转嫁给下游
[29:46] 因为下游端没有能力接收你的物价涨幅
[29:49] 房价也是如此
[29:50] 我们看中国这一轮的房市调整
[29:52] 从历史经验来看
[29:54] 不管是美国日本西班牙
[29:56] 以前也曾经出现过房价的下跌
[29:58] 然后出现长时间的修正
[30:00] 目前中国房价的泡沫破灭
[30:02] 整体跌幅平均是42%
[30:05] 万科在昨天公布了今年一季度业绩
[30:08] 净亏59亿
[30:09] 营收下一退了24%
[30:12] 你更不用讲它市值了
[30:13] 它市值萎缩9成
[30:15] 所以有时候必须这样讲
[30:17] 人会本能的去相信
[30:19] 最不合理的东西
[30:20] 但是有时候最合理
[30:21] 最舒服的地方
[30:22] 往往是风险最大的
[30:24] 中国房市就是一个
[30:25] 很典型的案例
[30:26] 有土思有财
[30:27] 这种深植华人文化的信仰
[30:30] 房地产长期被视为
[30:32] 最安全最稳定的资产配置
[30:34] 但结果呢
[30:35] 现在上证其实
[30:36] 还在一个创高过程
[30:37] 房价已经跌了40%
[30:39] 谁都没想到
[30:41] 那个最合理最舒服的地方
[30:43] 想不到是蝶服最重的
[30:45] 之前有个故事
[30:46] 讲一个男的
[30:48] 躺在床上准备要死了
[30:50] 他妻子在旁边一直哭
[30:51] 四个孩子围坐在床边
[30:53] 三个孩子都长得很漂亮
[30:55] 都高个子
[30:56] 身材也是属于运动型的
[30:57] 但最小的那个
[30:59] 就有点矮
[31:00] 而且长得蛮丑的
[31:02] 后来那丈夫
[31:02] 在临终前就想
[31:05] 亲爱的请告诉我
[31:07] 这四个孩子是我的
[31:08] 死前
[31:09] 我一直很想了解真相
[31:12] 尤其是那第四个孩子
[31:14] 他的长相
[31:16] 请你告诉我
[31:18] 他到底是不是我的孩子
[31:19] 那妻子一听
[31:21] 是是是绝对是
[31:22] 第四个孩子绝对是你的
[31:23] 那丈夫就死了
[31:26] 一死妻子就松了一口气
[31:28] 好险他没有问
[31:29] 另外三个孩子的事
[31:31] 人他会本能的去怀疑
[31:34] 最不合理的东西
[31:35] 但是市场真正的风险
[31:36] 真的都藏在这些最合理
[31:38] 最舒服的地方
[31:39] 所以有时候我们针对台湾市场
[31:40] 也有更进一步的想法
[31:42] 就是如此
[31:43] 我们在判断不同的资产价格的过程当中
[31:46] 都要了解说
[31:47] 它的安心
[31:48] 它的合理性
[31:48] 来不来自于它的基本面
[31:50] 还有供需的稳定所达成的
[31:52] 而并不是单纯大家的心理共识而已
[31:54] 这也可说投资品有做些思考了
[31:56] 来不及聊欧洲央行了
[31:57] 我们最后看一下苹果财报
[31:59] 苹果这一轮的财报
[32:01] 有点杂音
[32:02] 上季营收年增幅17%
[32:04] 获利优于预期
[32:05] 但是iPhone的销售
[32:06] 现在淡季又再度低于市场预期
[32:08] 已经连续三季第二次失望了
[32:11] 这也显示整个智慧型手机产业压力很大
[32:14] 反而是服务营收在不断的扩增
[32:16] 我们看得出来
[32:17] 这几年服务营收已经扩张到28%
[32:20] 手机销售大概是占51%左右
[32:23] 今天刚好我们要导读的这本书
[32:26] 叫做《苹果之道》
[32:28] 不是我知不知道的知道
[32:30] 而是苹果经营的道理
[32:32] 我们其实可以观察到
[32:34] AI对于苹果的应对时代
[32:37] 可以从本书当中了解它的脉络
[32:39] 苹果一直以来都是一个成熟的技术组装者
[32:43] 苹果过去我们讲说AI有两种跑法
[32:45] 一种是云端AI
[32:46] 另外一种是边缘AI
[32:48] 苹果基本是压第二种
[32:50] 第一个是什么原因
[32:51] 第二个就是隐私
[32:52] 苹果是在AI时代当中
[32:54] 看得出来是最注重
[32:56] 最了解隐私重要性的
[32:59] 边缘AI是你的对话
[33:01] 是你的照片健康数据
[33:03] 它根本就离不开你的装置
[33:05] 这是很重要
[33:05] 第二个是速度
[33:06] 云端AI要靠网速
[33:08] 但是边缘AI可以在几毫秒内反应
[33:11] 第三个是可靠性
[33:13] 边缘AI不需要靠网路
[33:14] 但是在飞机上或网路讯号不好的地方
[33:17] 还是可以来做使用
[33:18] 最后就是成本
[33:19] 云端AI
[33:20] 每一次你问去GPT使用者的发问
[33:23] 他说要烧一点钱
[33:24] 包括电费
[33:25] 包括平宽
[33:26] 包括伺服器的折旧
[33:27] OpenAI到现在还没赚钱
[33:29] 边缘AI是什么
[33:30] 晶片的设计好
[33:31] 中进装置里
[33:32] 所以这个就是苹果
[33:33] 接下来在手机市场
[33:35] 往AI突破的重要关键
[33:36] 本书当中
[33:38] 他就是去回顾过去50年
[33:40] 这位作者大卫波格
[33:42] 他采访了150名各个时代的核心人物
[33:46] 从共同创办人沃兹尼克
[33:49] 到跟贾伯斯最后决裂的施考力
[33:51] 到主导苹果设计的强尼艾福
[33:54] 半个世纪苹果只做一件事情
[33:56] 如何让每个人亲身体验科技的魅力
[33:59] 里头其实有蛮多的彩蛋故事
[34:01] 比如说大家都觉得苹果好像从车库诞生的
[34:04] 但其实沃兹尼克
[34:06] 他是在惠普的办公室
[34:08] 设计出第一台苹果电脑的
[34:11] 那其他呢
[34:12] 像是苹果有第三位创办人
[34:14] 但是大家都不记得
[34:15] 因为他在成立的第十间
[34:16] 他就用800块卖掉自己的股份了
[34:18] 那份股份800块到现在是3500亿美元
[34:21] 所以我们看到在本书当中
[34:23] 就是去了解苹果过去50年
[34:25] 是如何一步一步走到现在
[34:27] 我们看似他好像在AI之大层面
[34:30] 落后了一些
[34:31] 可是苹果从来都不是资料中心业者
[34:34] 苹果从来都不是CSP业者
[34:36] 苹果只是把现有技术
[34:38] 组装成最好使用的消费终端产品
[34:42] 而现在它要如何顺应着AI趋势呢
[34:45] 我觉得以股建金
[34:46] 用本书可以更好地了解苹果的未来
[34:50] 所以如果大家有兴趣
[34:51] 也欢迎大家可以在我们节目底下留言
[34:53] 留下你对于本书
[34:54] 留下你对于本节目的想法
[34:56] 刚好今天人稍微没这么多
[34:57] 我们抽两本书送给我们投资朋友
[35:00] 抽中几率大增
[35:02] 不要告诉好朋友
[35:03] 今天筹几率应该是
[35:05] 过去几周的好几倍
[35:07] 我们今天聊的范围比较广
[35:08] 我们从中东战事
[35:10] 联准会的压力
[35:11] 到日本央行的压力
[35:13] 到台湾央行的压力
[35:14] 到中央人行的压力
[35:16] 这些数据都看得出来
[35:18] 在高通棚的侵蚀底下
[35:20] 各大央行都采取了不同的策略
[35:22] 那我们必须承认
[35:23] 台湾央行不能说是最好
[35:25] 但是至少从数据体面来看
[35:28] 台湾正处于历史极端值的经济成长
[35:32] 但是却以极低的通膨
[35:34] 维持住这种经济成长
[35:35] 背后的补贴
[35:36] 背后的因素
[35:38] 还有不管是薪资涨幅的弱化
[35:41] 或者贫富差距的恶化
[35:42] 它当然都是一种副作用
[35:44] 可是你可以发现
[35:45] 价格涨到这么高是有原因的
[35:48] 因为基本面
[35:48] 它一个季度一个季度走出来
[35:51] 告诉你
[35:52] 为什么我们的股价
[35:53] 可以涨到这么高的位阶
[35:54] 这一个投资朋友都会思考
[35:56] 如果喜欢我们节目
[35:57] 记得帮我们订阅按赞加分享
[35:58] 对啊今天劳动节
[35:59] 我们小编不在
[36:00] 所以今天是
[36:01] 搞不好他在旁边偷听
[36:03] 但是今天他不用上班
[36:04] 所以我们也祝福小编
[36:06] 劳动节快乐
[36:08] 大家如果想要打赏
[36:09] 今天简报其实还是他做
[36:11] 只不过做完他就下班了
[36:13] 还是很感谢他一路陪伴着我们
[36:16] 那也祝大家劳动节快乐
[36:18] 资产价格的上涨
[36:19] 就是所有劳工们最好的礼物
[36:22] 当然前提是
[36:23] 你要想办法在车上
[36:25] 给投资朋友做一些思考
[36:26] 如果喜欢我们节目
[36:27] 记得帮我们订阅按赞加分享
[36:28] 我们就下周一
[36:30] 早上八点半
[36:30] 早晨财经速解读
[36:32] 再相见
[36:32] 拜拜
