[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 母子海峡封锁行动的船只
[25:01] 今年又创高了
[25:02] 9.3万人
[25:03] 那台湾的失联移工
[25:05] 因为总人口是90万
[25:06] 那等同于失联比率是10%
[25:09] 每10个移工
[25:10] 就有一个是找不到人的
[25:11] 那的确大多数离开
[25:13] 并不是他就急着要去犯罪怎么样
[25:16] 而是薪资结构和制度设计
[25:18] 逼出了套利空间
[25:20] 合法体制下
[25:21] 工种是绑死的
[25:22] 加班送现
[25:23] 那中介费又很高
[25:24] 一旦逃逸之后
[25:25] 收入可能就直接涨了50%更多
[25:27] 半年他就能够还清债务了
[25:30] 但是也引发更多的社会问题
[25:31] 举一个比较直观的
[25:33] 我们根据国际别来做区分
[25:34] 哪些国家的移工最会跑
[25:36] 印尼有30万人
[25:38] 行踪不明人数有2.8万
[25:40] 失联率是9.4%
[25:41] 越南就很离谱了
[25:43] 有28万名越南人
[25:45] 有5.7万人失踪了
[25:47] 失联比率是20%
[25:48] 每五个就有一个失踪
[25:50] 这很明显
[25:51] 他应该是早就已经打算要跑了
[25:54] 應該不是來到台灣才決定
[25:56] 好像勞資不公平不正義
[25:58] 所以才決定離開他應該坐飛機的時候就已經在想要如何脫逃了菲律賓泰國反而不高只有1.7%和2.5%那为什么讲说这些问题很严重呢因为这个就是真正大家不愿意开放的理由
[26:09] 而并不是认为
[26:11] 移工一定会抢我们的工作
[26:13] 本身就是因为缺工
[26:15] 才需要招募
[26:15] 我们从失联移工
[26:17] 这次来到9万人以后
[26:18] 基本上
[26:19] 我们当然不能
[26:20] 直接做相关性分析
[26:21] 这张图表示
[26:22] 在台湾的外籍的嫌犯
[26:24] 嫌疑犯人数
[26:25] 36.3%是去做诈欺
[26:28] 总体外籍嫌疑犯人数是8000多人
[26:30] 在去年一整年就有8000多人
[26:32] 那整体外籍嫌疑犯的国籍别
[26:35] 越南占比48.12
[26:37] 当然后续还要做一些相关性分析
[26:39] 可是你大概也猜得出来
[26:41] 这跟当前失联的移工
[26:44] 看起来有莫大关联
[26:45] 很多当然是旅游签证进来的
[26:47] 可是这样子持续下去以后
[26:50] 难免会形成一些治安的黑洞
[26:52] 包括外籍人士
[26:53] 在台湾的交通史上
[26:54] 每年大概受伤人数也有1.1万人
[26:57] 其中死亡人数是40人
[26:59] 那我们要知道
[27:00] 那很多人难免在路上
[27:02] 有一些擦撞什么的
[27:03] 真正压力大的是什么
[27:05] 怕他跑掉
[27:06] 如果我是失联义工
[27:08] 我本身就已经有一些形式的压力了
[27:11] 那我当然会选择离开
[27:12] 这个才是我们看到
[27:13] 为什么这么多民间上
[27:16] 相对反应压力来得大的原因
[27:18] 所以我觉得第一个很简单
[27:19] 你说印度要引进1000人
[27:22] 现在失联有9万人
[27:24] 你只要抓1000人
[27:25] 你就刚好可以补回来了
[27:27] 你可以引进90次
[27:29] 那你说那抓回来又跑掉
[27:31] 那就是制度有问题
[27:32] 所以重点并不是
[27:33] 我认为不是印度籍
[27:34] 很多印度籍其实都很优秀
[27:36] 重点是要
[27:37] 这套制度要让人愿意留下来
[27:39] 要有合理的报酬
[27:40] 所以终究制度要改善
[27:41] 要培养成技术人才的
[27:44] 就该培养
[27:45] 你不要人家来读书的
[27:46] 你也要求人家一定要工作
[27:47] 没必要借由读书的名义
[27:50] 给仲介抽成
[27:51] 又把他们当工具
[27:52] 第二
[27:52] 不要歧视印度人
[27:54] 但越南人可以
[27:56] 不是十年那么多也不好了
[27:57] 但是应该要减少
[27:59] 从原理来看
[28:00] 就应该要进行国家别来进行整理
[28:03] 应该要适度的降低越南比例
[28:05] 你像看菲律宾1.7%
[28:08] 泰国2.5%
[28:09] 这个比例就很低
[28:11] 重点要让大家知道
[28:13] 你人在哪里
[28:14] 我是可以locate你的
[28:15] 当一切都结束以后
[28:17] 我们难免就是要往移民社会来做迈进
[28:19] 你总要让太太知道
[28:21] 你喝醉了在哪里
[28:22] 如果你这充满着不确定性
[28:24] 压力很大
[28:25] 当然要改革制度
[28:26] 分一点蛋糕是有必要的
[28:28] 甚至让人家觉得
[28:29] 有长期留下来移民的可能性
[28:32] 只要他在这边有希望
[28:33] 才会愿意为这块土地来做贡献
[28:36] 让他有结婚
[28:37] 生小孩的自由
[28:38] 前提是对这个社会
[28:40] 要尽他的义务
[28:41] 我们当然也知道
[28:42] 台湾两性平权
[28:43] 现在亚洲第一
[28:44] 平权的象征就是
[28:45] 女性不太需要依赖男性
[28:48] 因为有更多经济自主权
[28:50] 很多男生光靠经济能力
[28:52] 来吸引人不太够
[28:53] 至少对大部分台湾女生都没什么用
[28:56] 台湾女生现在
[28:56] 比较偏好帅的
[28:58] 那丑的怎么办
[28:59] 丑的只能靠经济实力
[29:01] 我们以前也知道
[29:02] 在东亚社会当中
[29:03] 以前有一种共识
[29:05] 很多人结婚
[29:06] 本质上是一种阶级的跃升
[29:08] 藉由结婚来达到财富的跃升
[29:12] 台湾女生你没有机会
[29:14] 因为台湾女生现在都很有钱
[29:16] 其他国家有机会
[29:18] 我们也知道
[29:19] 过去很多外籍新娘
[29:20] 当然也有爱情
[29:22] 但本质也是为了
[29:23] 让家人的物质生活变得更好
[29:25] 所以很多
[29:27] 尤其像越南的女孩子
[29:28] 有很多真的也很温柔漂亮
[29:30] 最后其实外配也非常多
[29:32] 之前看着爸爸跟儿子在聊天
[29:35] 儿子跟爸爸说
[29:37] 爸爸我想娶越南人
[29:39] 爸爸大发雷霆
[29:41] 辛苦养你这么大
[29:43] 你要去娶越南人
[29:45] 不是是越南人
[29:47] 不是男人
[29:48] 所以第一件事情
[29:49] 就是观察整个种介制度的改善
[29:52] 那第二个制度就是纳管
[29:54] 纳管是很重要
[29:55] 以前我在台东打工换树
[29:58] 大概一个月的时间
[30:00] 暑假的时候
[30:00] 旁边就有很多移工
[30:02] 那我就问他说
[30:03] 你怎么会来这边
[30:04] 我以前在桃园在做制造业
[30:07] 我说怎么会来台东
[30:08] 这里天气好空气不错
[30:10] 我说天气好是好
[30:12] 可是我们每天在山上
[30:13] 因为要套袋
[30:14] 做那个套琵琶火龙果
[30:16] 每天都大雾
[30:17] 我说天气哪里好了
[30:19] 他说这边钱比较多
[30:21] 所以我们要了解说
[30:22] 有时候纳管是很重要的
[30:24] 大概也可以猜得到
[30:25] 有时候我们仔细去做观察
[30:28] 会发现纳管本身
[30:30] 并不是要去消除
[30:32] 一系列的工作权限
[30:33] 而是让我们更好地
[30:35] 去掌握社会的副作用
[30:36] 进行管制
[30:37] 不要这样讲
[30:38] 我们看移工
[30:39] 本身内部也在骗来骗去
[30:41] 这是我们看到
[30:42] 之前公司做的报道
[30:43] 移工受诈骗金额
[30:45] 平均大概是8000块
[30:47] 什么意思
[30:47] 就是自己也在骗自己
[30:49] 因为很多移工来台湾之后
[30:50] 他要把钱汇回母国
[30:51] 可能平均诈骗金额居然高达8000块
[30:55] 每年的跨境汇款总额也是上千亿元
[30:58] 很多诈骗集团就把移工视为肥羊
[31:01] 说我可以利用非法管道
[31:02] 然后跨境汇款漏洞
[31:04] 假冒金融机构手法来下手
[31:06] 结果赚到的钱全部又被骗走了
[31:09] 这些都应该要纳管
[31:10] 做更一系列的管制
[31:11] 这给投资朋友做些思考的
[31:13] 当然我们知道全台各地
[31:15] 现在都有失联移工非法移工
[31:17] 大家稍微去不同场所都可以观察到
[31:20] 之前联合报就做了一个专题
[31:22] 来了解单一机房
[31:24] 东南亚楼奉的人数占比规模
[31:27] 泰国占比是最高36%
[31:29] 越南比例也不低26%
[31:31] 马来西亚33%
[31:33] 印尼是4.4%
[31:35] 无法陪他白头到老
[31:37] 但能陪他家中泡脚
[31:40] 之前我也是做了一些社会研究
[31:43] 黑眼圈当时也是越来越重
[31:45] 很多时候我们看到
[31:47] 这种资产价格的创高以后
[31:49] 这种黑色经济
[31:51] 灰色经济
[31:51] 它也越来越膨胀
[31:53] 所以它就造成了一种现象
[31:54] 这件事情
[31:55] 像我本人对于这项产业
[31:57] 是蛮开放的
[31:59] 但是应该怎么样
[31:59] 应该要纳管
[32:01] 包括卫生的问题
[32:02] 包括安全性的问题
[32:04] 举一个比较直观的
[32:05] 我们像各国性工作者
[32:07] 当时所进行的统计
[32:08] 单次性交易的价格
[32:10] 像日本的部分
[32:11] 平均大概是13000块
[32:13] 到68000块台币左右
[32:14] 越南是1700到3800
[32:16] 泰国是1700到3800
[32:18] 马来西亚是1700到3900
[32:20] 印尼是1500到3000块
[32:22] 可是台湾
[32:23] 从1700到11万都有
[32:26] 这说明台湾的环境
[32:28] 不只是单纯价格的问题
[32:30] 是市场结构非常扭曲
[32:32] 价差非常非常远
[32:34] 这说明一件事情
[32:35] 11万那肯定的价格
[32:37] 这说明一件事情
[32:38] 就这个工作场域
[32:41] 这个市场
[32:42] 它是非常非常的不自由
[32:44] 非常非常的扭曲
[32:46] 对于消费者而言
[32:47] 会有重大伤害
[32:48] 该不该纳管
[32:49] 这种东西就该纳管了
[32:51] 所以其实我们一路从
[32:53] 失联移工到非法移民
[32:55] 到犯罪率
[32:56] 其实都可以了解说
[32:57] 其实大家并不反对移工
[32:58] 大家只是需要这个制度
[33:00] 更进一步的改善
[33:01] 有时候基本上很多移工
[33:04] 其实服务态度都非常好
[33:06] 所以在这样的一个效果底下
[33:08] 我们反而可以更进一步的去做
[33:10] 更深入的交流
[33:12] 或者说把整套制度做得更为完善
[33:15] 把社会安全网做得更为简单一点
[33:17] 对不对
[33:18] 所以有时候给投资朋友做一些思考
[33:20] 讲太多了
[33:21] 就零四分了
[33:21] 不想讲太嗨了
[33:22] 我们刚才讲的很多了
[33:23] 就是台湾的移民之路
[33:25] 陆续的开放之后
[33:26] 基本上要采取一定性的弹性的宽敞
[33:29] 从制度面来做改革以后
[33:31] 也许一系列的问题都能够陆续解决
[33:34] 台北股市上涨610点
[33:35] 所在36062点
[33:38] 管什么印度移工
[33:39] 赶快看股票了
[33:41] 太开心了
[33:42] 烦恼都抛诸脑后了
[33:45] 总结来看
[33:45] 今天我们聊的是三条线的同时拉扯
[33:48] 第一个是外部的战争
[33:49] 市场对于利空的顿化
[33:51] 资金正在往通膨和流动性
[33:53] 做新一波的展现
[33:55] 但是已经并不是反映单一战争本身了
[33:58] 内部的是台湾经济在AI的带动底下
[34:00] 我们出现了高所得
[34:02] 而且相对低通膨的成长动能
[34:05] 在这样的一个瓶颈底下
[34:07] 现在最卡的是什么
[34:08] 就是能力供给的部分
[34:10] 缺工已经变成了结构性问题
[34:12] 代表的事情是
[34:14] 未来我们一定会成为一个
[34:16] 移工或者移民社会
[34:17] 这个趋势是不可逆的
[34:19] 我们只能尽可能的
[34:20] 把这项制度给调节好
[34:21] 也给投资朋友多做一些思考
[34:23] 长成这样都不知道要讲什么了
[34:26] 好像一切的烦恼都消失了
[34:27] 这是投资人的惯性
[34:29] 这本来对于很多社会议题
[34:31] 都有一些研究和想法的
[34:33] 但是股市涨到这样的一个规模
[34:35] 烦恼瞬间就变成
[34:38] 接下来GP要定哪里呢
[34:40] 是吧
[34:40] 也祝各位投资朋友
[34:41] 看完顺利
[34:42] 操盘愉快
