[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[01:00] 最近学测放榜之后
[25:16] 开始适度的放松
[25:17] 原本要准备五成自备款
[25:19] 压力很大
[25:20] 现在降到四成
[25:21] 搞不好下一次就三成了
[25:22] 所以越降越低
[25:23] 那有没有可能市场上
[25:25] 就有开始一股资金的回流
[25:27] 毕竟钱从房市往股市流
[25:30] 已经很长一段时间了
[25:32] 那当然我们也来看一下
[25:33] 杨总裁的谈话
[25:34] 我们的台湾GD
[25:36] Gold Dragon
[25:37] 杨金龙先生
[25:38] 这次的谈话
[25:39] 某種程度代表的是一種貨幣政策
[25:42] 在房地產市場上的一個放鬆
[25:44] 順應著新青安2.0準備要上路了
[25:48] 這一段時間是否代表著
[25:50] 年底的選舉行情又開始有所出現
[25:52] 我們看一下他的說法
[25:54] 基本上我們所做這樣的一個微調
[25:56] 是要呼應曾經人
[25:59] 他對於第二戶的一個需求
[26:02] 第二戶貸款
[26:03] 我們不要說第二個房屋
[26:05] 是第二戶貸款
[26:06] 因為你想想看
[26:08] 就是說第一戶貸款
[26:09] 你要想想看第一戶貸款
[26:11] 他如果說是買給
[26:13] 他第一戶的貸款
[26:14] 如果說他是買給他的家人他的爸爸媽媽他說也許是他太太的名利或是說他的兒女那第二戶就受到我們限制了那這樣好像是
[26:26] 對他來講的話是有一點
[26:28] 當然就是說他如果說他有這個能力的話
[26:31] 應該要就是說我們要重視他的一個需求
[26:35] 這是他的需求
[26:37] 另外一個就是說
[26:38] 如果說他第一戶是他住的
[26:40] 他自己住的
[26:41] 然後第二戶他要買給他兒子的
[26:44] 第二戶也受到我們的限制
[26:46] 第二戶貸款 用個人貸款
[26:49] 這樣的話我們總覺得好像對他來講也是不太好
[26:53] 所以我們做一個微調
[26:55] 微調的時候 所以我們在這裡
[26:57] 我們的簡報裡面我們也有談到就是說
[27:03] 如果說
[27:09] 我們也就是說
[27:10] 你這樣的話
[27:12] 另外的就是說
[27:14] 我們要考量到目前的一個情況
[27:16] 靠岸目前的一個情況
[27:18] 基本上我們目前的情況
[27:19] 雖然我們已經有一些的成效
[27:21] 那我們要滿足他的一個需求
[27:23] 但是我們也還要考量到
[27:25] 就是說現在是不是
[27:26] 大無放寬的一個時機
[27:28] 楊總裁平時講話比較慢
[27:30] 剛才調了1.25倍數
[27:32] 稍微講得快一點
[27:33] 總而言之就是
[27:35] 不太好啦
[27:36] 你說現在其實
[27:38] 你說價格有跌嗎
[27:40] 其實我們從過去一年來看
[27:42] 整体六都的预售屋平均房价
[27:44] 从20年到25年
[27:46] 台北市还是涨了1.9
[27:47] 新北市14.5%
[27:49] 桃园市涨了8.6%
[27:50] 台中市12
[27:52] 台南14
[27:53] 高雄8%
[27:54] 所以从预售市场来看
[27:55] 其实房价还在涨
[27:57] 只是量缩的有点明显
[27:58] 所以大家其实房仲代销赚的钱已经不多了
[28:01] 但并没有改变整个房地产价格的显著波动向下
[28:05] 那你说其实房价并没有跌
[28:07] 为什么不趁这一次一举歼灭呢
[28:10] 不太好
[28:11] 不太好
[28:12] 所以我们从央行的讯号来看
[28:13] 现在最不希望看到的
[28:15] 当然是房价不希望重新失控上涨
[28:19] 但是又不希望受到进一步的抑制
[28:21] 产生的系统性担忧
[28:23] 所以整体基调就变成
[28:24] 央行现在也边走边看
[28:26] 未来的政策可能会采取滚动式调整
[28:28] 我觉得我个人的看法是
[28:29] 因为新青安2.0随时会出来
[28:31] 不如我们先试出一点氛围
[28:34] 试出一些甜头
[28:35] 与此同时来顺应着新青安2.0
[28:38] 看市场上是否有新一轮的轮动
[28:41] 也许新一轮的买盘就归来了
[28:43] 但是我要抑制住房价
[28:44] 有这样的一个感觉
[28:45] 所以总结来说
[28:47] 房地产市场现在也不是说
[28:48] 重回到百分之百的多头
[28:50] 但有点半开放的状态了
[28:52] 量能可能逐步的回温
[28:54] 价格会不会走高看情况了
[28:56] 但这种环境底下
[28:57] 最受惠的
[28:58] 也许不一定是百分之百刚性需求
[29:00] 最受惠的是资金最敏感的
[29:02] 就卡那一层的人
[29:03] 终于可以考虑回来了
[29:05] 不过大家要小心
[29:06] 会不会下个季度又改回来
[29:07] 也就是说
[29:08] 现在当然最受惠的
[29:10] 肯定是建商和营建体系
[29:11] 反正9点开盘
[29:12] 我们来看一下
[29:13] 营建股的表现吧
[29:14] 好那不管怎么说
[29:15] 我们今天主要跟投资朋友
[29:17] 稍微分享
[29:18] 不管是在日央
[29:19] 还是在欧洲央行
[29:21] 英国央行
[29:22] 联准会
[29:23] 当前针对中东战事
[29:24] 所产生的担忧
[29:26] 那台湾央行
[29:26] 大家可能关注的更多
[29:28] 是房地产市场政策的管制
[29:29] 可是不管怎么说
[29:30] 全球都受到了
[29:32] 这一次中东局势的影响
[29:33] 油价在涨
[29:34] 市场下跌
[29:36] 可是没有到崩盘的地步
[29:37] 市场上第一直觉的反应
[29:39] 感觉就是通膨要回来了
[29:40] 但是央行看的也不是价格本身
[29:42] 而是这个冲击是否会扩散成长期的趋势
[29:46] 如果只是一次性的能源波动
[29:48] 没有传导到薪资
[29:49] 没有传导到需求
[29:50] 没有传导到核心通膨
[29:51] 那政策路径的确就没有必要跟着剧烈转变
[29:54] 所以才会出现一个看似矛盾的市场景象
[29:57] 油价在涨
[29:58] 股市也受沉压了
[30:00] 可是就是没崩盘
[30:01] 通膨预期在动
[30:02] 但央行也没有百分之百的急转弯
[30:05] 市场上就在寻找一个
[30:06] 到底最终会怎么样的答案
[30:08] 但是央行其实在回忆另外一件事情
[30:10] 就是现在的冲击
[30:11] 看起来还不足以去定义未来
[30:13] 没有到停滞性通膨的地步
[30:15] 但是肯定也不到经济大好的地步
[30:18] 所以最后那个到底会怎么样的结果
[30:20] 其实还不存在
[30:22] 所以很多时候我们都以为自己在追求真相
[30:25] 但有时候问题本身定义已经模糊
[30:27] 我们到底在追求什么
[30:28] 我们到底看的是通膨
[30:30] 还是看的是联总会的态度
[30:31] 甚至有时候被情绪带偏
[30:33] 最后得到的自然的答案也很容易失焦
[30:36] 所以看起来好像是在逼近核心
[30:38] 但是其实
[30:39] 大家是在不同的叙事和语境当中
[30:42] 跳来跳去
[30:43] 之前是一部剧
[30:46] 有抓到一个俄罗斯的女间谍
[30:49] 那个审判员
[30:51] 因为她是属于逃射间谍
[30:55] 审判员就审问她的时候
[30:58] 拍桌
[30:58] 你一天接多少个客人
[31:02] 那小姐异性阑珊
[31:03] 一两百个吧
[31:05] 那审讯人员拍桌怒骂
[31:08] 到底有几个
[31:10] 小姐一沉思
[31:12] 那到底的那真的没有
[31:15] 就很多人他会觉得自己在追求
[31:19] 不管是这个通膨的真相
[31:20] 还是央行货币政策的真相
[31:22] 但有时候我们现在针对这个问题本身的定义
[31:25] 有点模糊
[31:26] 甚至被情绪带偏
[31:27] 最后得到的答案自然也有可能失焦
[31:30] 所以换句话说
[31:31] 有时候问题问的不够精准
[31:33] 你好像从那个叙事链衍生出的问题
[31:36] 可能就会严重的偏离
[31:38] 所以这个时候就变成压力很大
[31:40] 我们到底是在看油价本身
[31:42] 还是我们在看通膨
[31:43] 还是我们在看的是央行的态度
[31:45] 还是我们在看这个油价通膨
[31:47] 对于央行态度的时间差
[31:49] 足不足以影响到
[31:51] 接下来的利率政策变化
[31:52] 这就是不同的解读
[31:53] 但最终你会发现
[31:55] 那股价的高高低低
[31:56] 就是来自于这种乖离的情绪高低
[31:58] 每隔一两个月
[31:59] 总会有这样的事件发生
[32:01] 给投资朋友多点思考
[32:02] 所以大家更有兴趣的话
[32:03] 欢迎可以来参加我们下个礼拜
[32:04] 3月28号的听友会
[32:06] 每个季度
[32:07] 我们都会针对当前行情来做一些推演
[32:09] 也会针对过去一个季度的资产操作
[32:11] 来做行情判断检讨
[32:12] 直播主要是分享市场动态
[32:14] 到时候再来跟各位投资朋友
[32:16] 分享我的实际观点
[32:17] 9点04分了
[32:18] 每个礼拜五
[32:19] 我们都要跟投资朋友导读一本书
[32:20] 今天导读的这本书
[32:22] 叫做刷新你的金钱脑
[32:25] 财富自由的五阶梯的实战秘籍
[32:29] 金钱脑
[32:30] 我们小编
[32:31] 我们小编就比较类似金鱼脑
[32:34] 因为常常我跟他讲一个话题
[32:37] 他过两秒就话了
[32:38] 你刚刚讲什么
[32:39] 那浩哥就是金虫脑
[32:42] 因为满脑子都是黄金
[32:44] 要如何让自己的资产增值
[32:46] 好本书作者杰米利苏福兰
[32:49] 他是著名的节目主持人
[32:52] 他这档节目也曾经获得奖项提名
[32:54] 累积了数百万次的下载
[32:56] 而且得到纽约时报的报道
[32:58] 那这本书其实写的有点类似
[33:00] 纯科普书
[33:01] 很有趣
[33:01] 他是三个孩子的母亲
[33:03] 以及来自
[33:04] 牙买加的第一代的移民
[33:06] 那他里头
[33:07] 其实就特别聊到了
[33:08] 针对享受当下
[33:09] 和未来存钱之间的挣扎
[33:11] 有一点之前
[33:12] 有一本书叫
[33:12] 不要把你的钱留到死
[33:13] 其实就是在讲说
[33:15] 我们要如何在生活的平衡
[33:17] 日常的开销
[33:18] 和我们的投资依赖
[33:19] 投资规划当中
[33:21] 取得重要平衡
[33:22] 里头其实提了很多的
[33:23] 标准的财务独立的公式
[33:25] 这个观念很重要
[33:26] 一本书如果他跟你讲
[33:28] 是财务独立
[33:29] 而不是财富自由
[33:30] 那就有一点意涵了
[33:31] 因为财富其实很难自由的
[33:34] 财务独立
[33:35] 只是让你的财富拥有到一定规模以后
[33:38] 让你不用去做你不想做的工作
[33:40] 但是你还是可以继续工作
[33:42] 你还是可以做其他的事情
[33:43] 还是可以继续过生活
[33:45] 财务独立的公式里头
[33:46] 它里面就讲到了
[33:47] 心态加习惯
[33:49] 乘上收入减掉必要支出
[33:52] 等于你的理财的余裕
[33:53] 而这个观念理财重点
[33:55] 我觉得特别重要
[33:56] 它里面会有分不同的财富阶梯
[33:59] 从探索者到训练生
[34:01] 你开始应付自己的日常开销
[34:02] 到飞行员
[34:03] 你除了房贷和地利率学贷
[34:05] 没有其他债务
[34:06] 到指挥官
[34:06] 你有足够的金融资产
[34:08] 到变成建长
[34:09] 财务独立
[34:10] 不工作也能够靠资产
[34:11] 带来足够的生活花费
[34:13] 财务独立
[34:14] 不等同于财富自由
[34:15] 你的薪水每个月是五万块
[34:18] 你退休之后
[34:19] 所得替代率百分之百
[34:20] 每个月还是可以领到五万块
[34:22] 肯定不到财富自由
[34:23] 可是呢
[34:24] 你基本上已经可以达到不工作
[34:27] 也能够拿到资产
[34:28] 所带来的足够生活费用
[34:30] 这件事情
[34:30] 其实就特别重要了
[34:32] 那本书我也推荐给投资朋友
[34:33] 蛮有趣的一个
[34:35] 这种投资的理财规划
[34:37] 里头的很多观念
[34:38] 其实都是帮助我们
[34:39] 当然往财富自由更进一步
[34:41] 可是先有财富独立的概念
[34:43] 往下延伸以后
[34:44] 你会发现
[34:45] 很多事情就已经陆续想通了
[34:47] 让我们一起慢慢变富
[34:49] 就您的分
[34:50] 台北股市上涨141点
[34:51] 收在33,830点
[34:53] 如果喜欢我们节目
[34:54] 记得帮我们订阅按赞加分享
[34:55] 我们也抽两本书
[34:56] 送给投资朋友
[34:57] 欢迎大家在底下留言
[34:58] 留下你对本书的想法
[35:00] 留下你对于本节目的想法
[35:01] 那我们就礼拜一早上八点半
[35:03] 早晨财经速写图
[35:04] 再相见
[35:05] 祝各位投资朋友
[35:05] 看不顺利
[35:06] 参谋一块
