[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 在這方面AI的熱度不減
[25:57] 川普所造成的利空因子
[25:59] 當成了資本市場上的極佳買點
[26:01] 投資人越來越有越越遇事的感覺
[26:04] 只要問題沒有比關稅佔來的大
[26:06] 那是不是所有的下跌都是買點呢
[26:09] 道瓊指數上漲86點
[26:10] 0.17%
[26:11] 收在49,590點
[26:13] 標普上漲10點
[26:14] 0.16%
[26:15] 收在6,977點
[26:17] 納指上漲62點
[26:18] 0.26%
[26:19] 收在23,733點
[26:21] 非半上漲36點
[26:22] 0.47%
[26:23] 收在7,674點
[26:25] 這個有時候股票市場就是這樣子
[26:28] 你該反應的沒反應
[26:30] 不該反應的有反應
[26:32] 有時候我們才講說
[26:33] 你聊那麼多外部性衝擊
[26:34] 為什麼我們最後迴歸景氣本質來做投資
[26:37] 訊息好亂
[26:38] 有的是利多
[26:39] 有的是利空
[26:40] 到底該怎麼投資
[26:41] 所以那個只有在短期交易
[26:43] 有投資的空間
[26:43] 但是真正的投資
[26:45] 尤其是長期投資
[26:46] 其實用這些訊息來判斷
[26:48] 就如巴菲特講的
[26:50] 挑戰還是很大
[26:51] 所以投資真正該反應的
[26:52] 其實是景氣本身
[26:54] 像是企業的獲利迴圈
[26:55] 訂單的能見度
[26:57] 資本之數的轉折
[26:58] 這些會慢慢的改變趨勢
[27:00] 而且一旦成型之後就很難逆轉
[27:02] 反過來很多市場的劇烈波動
[27:04] 往往來自於外部性衝擊
[27:06] 川普的一句話
[27:07] 一則政治表態或者一條推文
[27:10] 情緒當下很大
[27:11] 但未必能夠改變經濟的結構
[27:13] 問題在於多數人對於噪音
[27:16] 可能過度反應了
[27:17] 卻沒有真正影響到資產價格的景氣轉折
[27:20] 所以在這樣效果底下
[27:22] 最終反而被短期波動牽著走
[27:24] 卻錯過了長期應該調整部會的時間點
[27:28] 所以這就變成在投資的過程當中
[27:30] 你該有反應的沒反應
[27:32] 你不該有反應的反而反應了
[27:34] 之前網路上的段子
[27:36] 講說男生一個小民去看泌尿科
[27:41] 醫生要求他脫褲子
[27:43] 醫生看他有點拘謹
[27:45] 跟他講不用緊張
[27:46] 看泌尿科有生理反應是正常的
[27:50] 小民說我沒有生理反應
[27:51] 醫生說我說的是我
[27:53] 就該有反應的沒反應
[27:55] 不該有反應的你反應了
[27:57] 反而投資市場上最常見的錯誤
[28:00] 就是反應的時間點完全傾倒
[28:03] 真正該有反應的
[28:04] 你是基本面的結構改變
[28:06] 產業的趨勢改變
[28:07] 資金的長期移動方向改變
[28:09] 那這些改變很多人反而忽略了
[28:12] 因為那通常不熱鬧不刺激
[28:14] 反而是不該有反應的
[28:16] 因為一條新聞一天的漲跌
[28:18] 川普講了一句話
[28:19] 你就急著進進出出
[28:20] 頻繁調整
[28:21] 結果就是關鍵風險出現時的麻木
[28:24] 雜訊來了
[28:25] 卻高度敏感
[28:26] 長期下來
[28:27] 不論是輸在判斷能力
[28:29] 還是輸在情緒或者注意力
[28:31] 你都放錯了方向
[28:33] 這給投資朋友多多一些觀察和理解了
[28:35] 今天我們主要範圍聊的是
[28:37] 從這一次川普針對各大部門所產生的施壓
[28:41] 他其實對於資本市場的條件和影響
[28:44] 都有相對應的代價
[28:46] 但都是短線上的反應
[28:47] 而真正我們觀察到的是一個長線的河流圖
[28:50] 事實上川普似乎已經證明了
[28:53] 只要科技生產力週期仍然存在
[28:56] 景氣迴圈仍然是市場的主流
[28:58] 那它當然可以延長或者縮短
[29:00] 它也可以刺激或者選擇收縮
[29:02] 可是總體而言
[29:03] 其實整個美國三代牛
[29:06] 它就是一個科技生產力的週期史
[29:09] 從工業革命以來就是如此
[29:12] 臺北股市大漲366點
[29:13] 收在30934點
[29:15] 準備要挑戰3萬億了
[29:16] 所以一去不復返
[29:17] 那我們後續再來跟投資朋友觀察
[29:19] 在海外市場的概況
[29:21] 會如何反映這一次
[29:23] 在後關稅時代
[29:24] 所產生的通膨預期效果
[29:26] 畢竟它不是沒通膨
[29:28] 而是課真的商品
[29:30] 看起來品相併不夠多
[29:31] 但是有沒有可能影響到
[29:33] 各國的貿易條件的環境
[29:35] 李家徒的比較利益法則
[29:37] 重新歸來的呢
[29:39] 因為如果你所有產品都要做
[29:41] 都要做貿易壁壘的話
[29:43] 那你肯定會被美國給盯上
[29:45] 而現在各國都開始
[29:46] 把自己的強項給拿出來了
[29:48] 臺灣傳產這段時間辛苦了
[29:50] 稅率終於可以降到跟日韓一樣
[29:52] 可是臺灣現在的出口
[29:54] 主要其實還是半導體或直通訊產品
[29:56] 日韓過去什麼都要做
[29:59] 你像尤其是韓國
[30:00] 重電也要做
[30:01] 造船或者汽車
[30:03] 它的確在各大產業都清洗了一輪
[30:06] 它會不會成功的開始轉型在部分產業
[30:08] 我們後續再跟投資朋友做更進一步的留意
[30:11] 如果喜歡我們節目
[30:12] 記得幫我們訂閱按贊加分享
[30:14] 我們就明天早上半點半
[30:15] 早晨財經速寫圖再相見
[30:16] 祝各位投資朋友看盤順利
[30:18] 超盤愉快
