[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 有進一步的揚升
[24:39] 祭祀的時候要戴乖乖
[24:42] 要拜拜
[24:43] 專屬的媒體
[24:44] 它有電子時報
[24:45] 有科技新報
[24:46] 有傳承的體系
[24:48] 有清大交大
[24:49] 來自科技業的學長們
[24:51] 甚至前陣子
[24:52] 還有來自科技業的經濟部長
[24:54] 現在還有專屬的房地產結構
[24:56] 有臺積房
[24:57] 讓學長買到的時候
[24:58] 馬上可以想
[24:59] 什麼時候可以賣給學弟
[25:00] 只要公司獲利
[25:02] 蒸蒸日上
[25:03] 學弟總有買房的需求
[25:04] 所以這個社會
[25:05] 它是具備自我的繁衍機制
[25:07] 它對於其他島內的領域
[25:09] 就開始展現這種
[25:10] 類殖民性
[25:12] 包括教育資源
[25:13] 理工科系更加吸引人了
[25:17] 能力政策
[25:18] 半導體學院的產生
[25:20] 基礎建設
[25:21] 現在叫做AI十大建設
[25:22] 電力和水資源的分配
[25:24] 接日益網這個產業來逐步的傾斜
[25:27] 賴總統也稱自己為AI總統
[25:29] 所以我們知道
[25:30] 整個國家政策的轉變以後
[25:31] 整個半導體產業已經成為了臺灣經濟的根本當然最後就變成了臺灣各大產業當中它會形成一種這種以工程師主導的文化前陣子我們不是看到因為不是每次地震
[25:43] 都會傳出這張圖嗎
[25:45] 就講說
[25:45] 網路上
[25:47] 那個之前臺積電
[25:48] 人力資源副總
[25:49] 和副總的一個談話
[25:52] 他裡面其實就有提到說
[25:53] 這個就是我們想
[25:55] 所有工程師都知道
[25:56] 如果發生地震的話
[25:57] 他們必須盡快回到公司
[25:59] 當時幾點不重要
[26:00] 就算是半夜
[26:01] 他們也得回來
[26:02] 那這些話無疑就是臺積電能夠成功的關鍵
[26:05] 也是臺灣工程師
[26:07] 他的優秀基因
[26:08] 但是也是臺灣企業面臨的一個角度
[26:10] 你也知道年輕世代
[26:12] 也不像上個世代
[26:13] 完全的放縱自我
[26:15] 臺積電的核心文化
[26:16] 到目前為止
[26:17] 仍然是要有效率
[26:18] 要快速
[26:19] 要精準
[26:20] 要SOP
[26:21] 要所有的員工快速的服從
[26:23] 這種美式文化跟日式文化的不同
[26:25] 在未來美國廠的持續興建
[26:27] 遲早會遇到新一輪的挑戰
[26:29] 你說大家都是朝九晚五
[26:32] 可是科技也朝九晚五
[26:33] 可以賺得特別多
[26:34] 對我們也是朝九晚五
[26:36] 但是人家是真的很辛苦
[26:37] 穿著無成衣
[26:38] 我們朝九晚五
[26:40] 我們講的主要是
[26:41] 早上喝酒晚上跳舞
[26:43] 但是人家是真的朝九晚五
[26:45] 才塑造成整個半導體的龍井
[26:47] 一路到現在
[26:48] 你如果用這樣的一個角度
[26:50] 來看待當前資產價格
[26:52] 你就會有進一步的理解
[26:53] 首先你要參與的方式
[26:55] 你知道臺灣畢竟還是有股市兩極化
[26:58] 房市失衡
[26:58] 產業差異
[27:00] 薪資不均
[27:00] 勞資對立
[27:01] 消費落差
[27:02] 觀光差距
[27:03] 財富不均等的問題
[27:05] 這個景氣好不好
[27:06] 當然從不同角度看都是如此
[27:08] 你會有不同的解讀
[27:09] 但是你要參與的話
[27:11] 跟上本波的生產力週期
[27:13] 第一個就直接參與AI行情
[27:15] 半導體其實就是新黃金
[27:18] 想辦法參與它
[27:19] 這麼多年
[27:20] 我們一直貫徹一個概念
[27:21] 買股要買臺積電
[27:23] 買房要買科學園區
[27:25] 找男女朋友要找工程師
[27:27] 你買股票不買科技股
[27:29] 你可能只是原地踏步
[27:30] 買房子不買科學園區
[27:31] 未來的升值潛力也跟你無緣
[27:33] 在個人選擇上
[27:35] 也許交男女朋友找個工程師
[27:37] 他是一個很好的選擇
[27:39] 甚至連魏董之前都說了
[27:41] 加入臺積電
[27:42] 其實特別容易交到女朋友
[27:43] 生育率還特別高
[27:44] 跟男生講說
[27:45] 加入比較容易交到女朋友
[27:47] 然後跟女生講說
[27:50] 你看臺積電的生產
[27:52] 不是規劃生產
[27:54] 是生育率
[27:56] 是整個國家品紀的
[27:58] 我必須承認
[27:59] 我們這一屆畢業以後
[28:02] 好像比較早生小孩的
[28:04] 真的都是工程師
[28:06] 大部分像我們念文組
[28:08] 好像念文組的生的小孩
[28:10] 就不是特別多
[28:11] 所以工程師已經成為了
[28:12] 臺灣少子化解決的主要來源
[28:16] 就靠他們了
[28:17] 所以我們講說
[28:18] 為什麼會養孩子
[28:20] 就是以前我們常問
[28:22] 比較有錢的一些資產階級
[28:24] 有些生到三個四個
[28:26] 在這年代很少見
[28:27] 常問前輩
[28:28] 怎麼會生這麼多
[28:30] 在他們眼中
[28:31] 聽他們的說法是這樣
[28:33] 每養一個孩子
[28:34] 等同於幫他們拓展了一個新的人生
[28:37] 他們又可以把握
[28:39] 或者佔用一個新領域的優質資源
[28:41] 畢竟自己錢雖然多
[28:42] 時間有限
[28:43] 養了孩子
[28:44] 時間就得到延展
[28:46] 你就透過觀看
[28:47] 和適度參與孩子的一生
[28:49] 自己的人生和認識
[28:51] 和人生體驗隨之豐富
[28:53] 所以有錢了
[28:54] 為什麼養孩子
[28:55] 因為養孩子
[28:56] 覺得自己的人生變得更多了
[28:57] 有的事情是讀書要重來
[28:59] 人生要重來
[29:00] 另外一方面是
[29:01] 它可以幫助你的人生體驗
[29:03] 擴充套件得更多
[29:04] 所以我發現
[29:05] 這個就是一個新的社會的誕生
[29:07] 所以要解決少子化
[29:08] 我們就要培養更多的工程師
[29:10] 因為工程師特別喜歡生小孩
[29:12] 那另外一方面
[29:13] 就是外溢效果的部分
[29:14] 我們講說貧富差距的來源
[29:16] 一直都是生產力的分佈問題
[29:18] 沒有生產力的普通人
[29:19] 想要分享到高生產力圈子的外溢財富
[29:22] 最好的一個方式
[29:23] 就是儘量靠著他們稱
[29:25] 不管是買他們的股票
[29:27] 當他們的股東
[29:28] 買他們的房
[29:29] 當他們的房東
[29:30] 還是說
[29:31] 我都不會
[29:32] 可是我會炒飯炒麵
[29:33] 我最好去竹科炒
[29:35] 我是補教業
[29:35] 新竹市是少數出生率節節攀升的
[29:38] 我當然希望到那邊教小孩
[29:40] 能夠獲得進一步的超額財富
[29:42] 這給投資朋友做一些思考
[29:44] 因為時間原因
[29:45] 我們今天
[29:45] 主要稍微跟投資朋友分享
[29:47] 大家比較關注的幾項議題
[29:49] 因為投資過程當中
[29:52] 大家對於個股的
[29:53] 每一個階段的評價
[29:54] 本益比的高階都不太一樣
[29:56] 但是你瞭解它的根本的競爭原因
[29:58] 加上它跟對手所拉長的競爭實現
[30:01] 最後就變成了
[30:02] 你已經有了一個
[30:03] 本益比合流圖的預估
[30:04] 那你只是在判斷
[30:06] 股價什麼時候
[30:07] 讓大家心理情緒恐慌的時候
[30:09] 你有機會
[30:10] 可以稍微做一些部件
[30:11] 稍微做一些抄底
[30:12] 好 9點03分
[30:13] 臺北股市大漲498點
[30:15] 刷31268點
[30:17] 金金漲
[30:18] 臺積電站上1730塊
[30:20] 每個禮拜
[30:21] 我們都會跟投資朋友
[30:22] 導讀兩本書
[30:23] 今天導讀的第一本書
[30:24] 叫做《2050科技商業藍圖》
[30:28] 這是凱文凱利寫的
[30:29] 凱文凱利大家應該很熟了
[30:30] 他算是賽博文化的發言人
[30:34] 也算是科學預言家
[30:36] 曾經影響賈博士等人
[30:38] 也是連線雜誌的創始主編
[30:40] 這本書叫做《一萬天之後的世界》
[30:44] 一萬天
[30:44] 那就是30年
[30:46] 現在2025 30年
[30:48] 就是2050
[30:50] 上面就有寫
[30:51] 就是2050年
[30:52] 比如說
[30:53] 寫越近的東西越看不清楚
[30:55] 這本書很明顯
[30:56] 它就是針對未來的想象
[30:58] 不管是AI
[30:59] 映象世界
[31:00] 腦機介面等技術的趨勢
[31:02] 當作素材
[31:03] 我們來預估一下
[31:04] 2050年會發生什麼事情
[31:05] 它的判斷
[31:06] 比如說智慧眼鏡
[31:07] 它會逐步的取代手機
[31:09] 人人都有AI助理
[31:10] 變成生活管家
[31:11] 教育會因為AI的助教
[31:13] 變得更加客製化
[31:14] 工廠會全面自動化
[31:16] 而且裡面不用開燈
[31:17] 自駕車
[31:18] 把車子變成移動的辦公室
[31:20] 精準醫療和基因資料庫
[31:22] 讓治療更為量身定做
[31:24] 甚至延伸到太空探索和登陸火星
[31:26] 書裡面分為三大塊
[31:28] 他先用五個核心概念來建立框架
[31:31] 再用十大進展來看
[31:32] 技術是如何一步一步改進的
[31:34] 其實裡頭
[31:35] 他也寫了給臺灣讀者的序
[31:38] 他談說自己年輕時
[31:39] 第一次踏上臺灣
[31:41] 一路見證臺灣從一個農業社會
[31:43] 到現在高科技的現代化
[31:45] 這個段經驗
[31:47] 也重現了他對於未來保持樂觀的原因
[31:49] 臺灣都可以在短短幾十年
[31:51] 從一個農業社會
[31:52] 進入到發達經濟體
[31:54] 人均GDP居然超過日韓
[31:56] 那隻要我們把這個想象空間的投射
[31:58] 反映在未來的科技的領先上
[32:01] 基本上會有非常顯著的更迭
[32:03] 那第二本書
[32:04] 是我們看到叫做臺灣科技島
[32:07] 臺灣科技島這本書
[32:08] 是由吳金榮老師所寫
[32:09] 他是用40年的角度來看待
[32:11] 產業第一線臺灣高科技的通識
[32:14] 那他不是單純把那個事件
[32:16] 單純時間表而已
[32:18] 它是把臺灣從半導體
[32:20] 電腦顯示器
[32:21] 每一個產業
[32:22] 一路走到AI
[32:23] 每一次上升的轉折
[32:24] 或者踩坑
[32:25] 一路用更大的歷史脈絡
[32:27] 來串起來
[32:28] 第一個是臺灣
[32:29] 是怎麼從代工起家的
[32:30] 怎麼抓到全球浪潮
[32:31] 又怎麼在競爭和變局當中
[32:33] 把自己推到世界核心
[32:35] 現在全球科技鏈
[32:36] 正在重組
[32:37] AI需求
[32:38] 半導體
[32:38] 地緣政治
[32:39] 供應鏈的重新分配
[32:40] 這本書
[32:41] 它提供的就是一個
[32:42] 新的思考框架
[32:43] 臺灣人過去
[32:44] 是怎麼抓出去
[32:45] 抓到IBM的個人電腦訂單
[32:48] 怎麼抓到智慧手機的浪潮
[32:49] 他其實也透露著
[32:51] 臺灣人從來都不把自己的思想
[32:53] 侷限在臺灣島內
[32:55] 臺灣大部分的經濟
[32:56] 都是去海外拼搏來的
[32:58] 不管有時候是西進
[33:00] 有時候是南進
[33:01] 現在有時候現在北進到日本
[33:03] 現在或者到東進到美國去
[33:06] 但是臺灣永遠都在海外尋找機會
[33:09] 並且把接到的訂單
[33:11] 重新傳回到臺灣
[33:12] 以前都是靠臺灣的勞動力
[33:14] 來支撐住這個訂單
[33:16] 現在不一樣了
[33:16] 臺灣是少數在200公里以內
[33:18] 所有電子領主件
[33:19] 都找得到的一個小島
[33:21] 而這個小島
[33:22] 一些海外人士在外拼搏以後
[33:24] 他有機會
[33:25] 可能終有一天會回來
[33:26] 帶了一個美國太太
[33:27] 帶了一個日本太太回來
[33:29] 也有可能帶了
[33:30] 一家美國公司的員工回來
[33:32] 也許來臺灣設立分公司
[33:33] 這就是臺灣的新機會
[33:35] 所以我們今天聊的範圍很廣
[33:36] 從臺積電 財報
[33:37] 一路聊到
[33:38] 現在臺美關稅談判的
[33:40] 一個心理成碑
[33:41] 臺美環稅談判的協議
[33:43] 已經正式敲定
[33:44] 不過距離美國的目標
[33:45] 看起來還有一段時間要走
[33:47] 最後一方面
[33:48] 是我們看到這兩本書
[33:49] 也分享給投資朋友
[33:51] 如果大家有興趣
[33:51] 可以把這兩本書給買回家
[33:53] 或者有更多興趣
[33:54] 也可以抽本書
[33:55] 送給你自己心愛的人
[33:57] 這兩本書我認為
[33:58] 都對於本世紀
[33:59] 有著重要的影響
[34:00] 給投資朋友作為一些參考
[34:02] 如果喜歡我們節目
[34:02] 記得幫我們訂閱按贊加分享
[34:04] 我們就下禮拜一早上八點半
[34:05] 早晨財經速解讀
[34:07] 再相見
[34:07] 祝各位投資朋友開盤順利
[34:09] 操盤愉快
