[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过肺瓣不强
[25:58] 这代表在背后
[25:59] 领股其实很委屈
[26:01] 第一个价格都是有点贵
[26:02] 第二有交易不公平
[26:04] 小资足到等市场先跑一段
[26:07] 才能够进场
[26:07] 它都无法让价格
[26:09] 更贴近于整股市场
[26:10] 所以整体而言
[26:11] 这是金管会重要的细节改革方向
[26:14] 另外一个就是下半年
[26:15] 下半年虚拟资产管理条例
[26:18] 准备要上场了
[26:19] 什么意思
[26:20] 我们开始要针对第一批合格的产品
[26:24] 针对台版的稳定币来做架构
[26:26] 整个制度过去都是要拼重申报的反洗钱框架
[26:30] 现在你像泰达或者Circle这一类的国际业者
[26:34] 你想要进台湾
[26:35] 你要拿牌
[26:36] 拿牌以后你就可以受监管的在台湾设立分点
[26:41] 你知道台湾金融法国
[26:42] 其实对于海外保单或者对于加密货币业者
[26:45] 其实并不是特别友善的
[26:46] 那现在监管上做了几条红线以后
[26:50] 开始逐步的开放
[26:51] 整体设计它也不是鼓励你去炒币
[26:54] 但它更导向实体的经济应用
[26:57] 像跨境支付
[26:58] 企业供应链的金融
[27:00] 强调的是效率
[27:01] 说如果企业有这个需求
[27:02] 那我们就即将开始陆续进行推升
[27:05] 所以在种种效果底下
[27:06] 我们看台湾的经济自由度
[27:08] 我们根据美国传统基金会的公布数据
[27:12] 2026年台湾的经济自由度数据
[27:15] 在184个经济体当中
[27:17] 台湾现在排名全球第五了
[27:19] 79.8
[27:21] 台湾我们过去印象就是
[27:23] 那是一个金融环境非常保守的
[27:25] 对于海外的保单
[27:26] 对于海外的资产管理
[27:28] 一直都是很排斥的
[27:29] 台湾金融业就是一个特区产业
[27:31] 结果居然现在
[27:33] 已经来到全球第五名的水准
[27:35] 前面几名是新加坡
[27:37] 瑞士
[27:37] 爱尔兰和澳洲
[27:38] 所以从细节角度来看
[27:40] 台湾主要迎载的方向是什么
[27:42] 是政府财政
[27:43] 政府支出
[27:45] 贸易自由财产权
[27:46] 还有货币自由等指标
[27:48] 被列为高度自由等级
[27:50] 越来越开放了
[27:51] 加上前阵子我们提到的
[27:53] 新鲜市场现在台湾的权重
[27:55] 已经正式超过了中国
[27:56] 这代表着对于主权基金来说
[27:59] 未来如果想要回补新鲜市场
[28:00] 第一支买的股票
[28:02] 很有可能就是台积电
[28:03] 彭主委在昨天
[28:06] 应该讲前天
[28:07] 当时才召开记者会
[28:09] 然后发表了
[28:11] 2026台湾受险业的前瞻高峰会
[28:14] 基本上在保险业也在进行转型
[28:16] 因为彭卓有提到
[28:18] 过去几百年保险都是出事才赔钱
[28:20] 但未来这套模式可能不够用了
[28:23] 所以政策方向开始改变
[28:24] 金管会希望保险
[28:26] 从事后补偿变成事前防御
[28:29] 还有全程陪伴
[28:30] 也就是他要求保险公司
[28:32] 不要给你钱
[28:34] 等你出事以后给你钱就好
[28:36] 或者你有时候不想给你钱
[28:37] 而是要求保险公司
[28:39] 提前介入你的医疗管理
[28:41] 保险公司你应该去照顾这个人
[28:43] 让他更健康
[28:44] 否则你最后又要赔钱
[28:46] 包括他的医疗服务
[28:47] 长照生活
[28:48] 要买一整套的人生服务平台
[28:50] 你可以收贵一点
[28:51] 可是这才是保险业应该要做的
[28:53] 对于国人健康的方式
[28:55] 所以我们看了这么多
[28:56] 其实必须承认这两年
[28:58] 彭主委的确做了一系列的改革
[29:00] 制成了一个部门专门负责松绑
[29:03] 他们的部门KPI指标
[29:04] 就是你松绑多少法规
[29:05] 根本台湾右派的典范
[29:08] 这几年的确成果还不错
[29:10] 我们知道改革就会等同于
[29:12] 改变旧有的体系
[29:14] 一边就是传统的保险业
[29:16] 传统银行会受冲击
[29:17] 但他还是一路的走到现在
[29:19] 所以我觉得
[29:20] 还是可以给他不错的评价
[29:23] 大家也知道我们节目聊财经的
[29:25] 我肯定有个人政治立场了
[29:27] 但是我比较少在节目当中去强调
[29:29] 可是事到如今
[29:31] 我可能真的要被迫表态了
[29:34] 我游廷浩本人
[29:37] 支持金管会彭金龙主委
[29:40] 竞选2028年
[29:42] 总统提名候选人
[29:44] 那中央银行的杨总裁
[29:46] 就当副总统候选人
[29:48] 两位都是金融
[29:50] 一个彭金龙先生
[29:52] 一个是杨金龙先生
[29:53] 两位都是台湾GD
[29:55] Gold Dragon
[29:56] 一个负责放松监管
[29:58] 一个负责系统性监管
[30:00] 金融带路
[30:02] 金流起飞
[30:03] 以后强制每个人
[30:06] 从小就要买台积电
[30:07] 一起走向未来
[30:08] 好不好
[30:09] 蓬稳金融
[30:10] 阳定台湾
[30:12] 蓬阳配
[30:13] 拼到位
[30:14] 蓬阳出手
[30:16] 稳稳到手
[30:17] 蓬阳出手
[30:18] 台湾不倒
[30:19] 大家说好不好
[30:20] 9点9点
[30:23] 台股小跌6点
[30:24] 说在39610点
[30:27] 时间不够往下延伸了
[30:28] 不过我们今天聊的范围比较广一点
[30:31] 今天跟大家主要去分享
[30:33] 我们看到台股这一波
[30:35] 它也不能够算是一个传统的稳健牛市
[30:38] 它是全持股ETF资金政策松绑的三股力量
[30:42] 交叠出来的结构性行情
[30:44] 台积电一档撑起了指数
[30:46] 把台股推向4万点
[30:47] 那相反台积电稍微休息的时候
[30:49] 也许中小型股贵买就有轮动的空间了
[30:52] 那主动式ETF把资金高度集中
[30:55] 市场从选股变成了选产品
[30:57] 那反而开始决定谁会上涨
[31:00] 那金管会最近又在不断的松绑
[31:02] 打开持股的上线
[31:03] 资金的流动财管的制度
[31:05] 等于在制度层面
[31:06] 也开始替资金开始加速了
[31:09] 三者的共振
[31:10] 全职股的带动
[31:11] ETF的资金
[31:13] 政策的松绑
[31:14] 指数可以唱高
[31:16] 但是创高的过程
[31:18] 代价就是市场的广度
[31:19] 有时候会恶化
[31:20] 筹码越来越集中
[31:21] 交易越来越拥挤
[31:22] 这一类的行情
[31:23] 就有一点脆弱
[31:25] 当然台积电
[31:26] 接下来就是稳盘的重点
[31:28] ETF出现赎回潮
[31:31] 才是本轮系统性的压力开始
[31:33] 但是如果你就是让每个月
[31:35] 薪资不断的扣款
[31:36] 那事实就证明了
[31:38] 没有外资台股也会创高
[31:40] 外资回来了
[31:41] 台股创高更快而已
[31:42] 所以原本支撑市场的三根柱子
[31:44] 只要松动一根
[31:46] 市场都会产生压力
[31:47] 但问题是
[31:48] 这三根都很难做大幅改变
[31:50] 全职股有这么快
[31:52] EPS能够顺势的下调吗
[31:54] 很难
[31:55] ETF资金
[31:56] 你说下个月就不扣款了
[31:57] 有可能不太可能
[31:58] 政策松绑都到这边了
[32:00] 它有可能突然紧缩吗
[32:02] 这也给投资朋友
[32:03] 对于台股的信心
[32:04] 有了进一步的加成
[32:05] 当然不可能每个月都上涨1万点
[32:07] 年底就变12万
[32:09] 可是你要了解
[32:10] 台股背后的内生逻辑
[32:12] 到底在哪里
[32:13] 你看透了这个逻辑
[32:14] 你至少从保守性的角度而言
[32:17] 你不会对于台股
[32:19] 有过度的看空说法
[32:20] 看空想法
[32:21] 因为它有这么高的基期
[32:22] 背后的三股力量
[32:24] 它推不动
[32:25] 它推不倒
[32:26] 这给投资朋友多多去思考
[32:28] 如果喜欢我们节目
[32:28] 记得帮我们订阅按赞加分享
[32:30] 我们就明天早上8点半
[32:31] 早晨财经速解读
[32:32] 再相见
[32:33] 祝各位投资朋友
[32:34] 看盘顺利
[32:34] 操盘愉快
