[00:00] 投资变化
[25:01] 到飞弹导航系统
[25:02] 嵌入式电脑
[25:03] 什么都有
[25:04] 你像高德红外
[25:05] 长银铜光电
[25:07] 加石电池等等
[25:08] 这些军工订单的显著暴增
[25:10] 基本都意味着
[25:11] 中方正在大量的补充飞弹存量
[25:15] 其中当然最为重要的
[25:16] 属于无人机的部分
[25:18] 尤其我们看到
[25:19] 在战斗机部分
[25:21] 整个25年的数据
[25:22] 中国现在大概有1500架的
[25:24] 现代先进战斗机
[25:25] 美国大概是2000架
[25:26] 差距已经缩小很多了
[25:27] 中国的驱逐舰大概突破40艘
[25:30] 美国维持在90艘
[25:32] 那中国在过去10年所新建的舰艇数量
[25:35] 是美国大概两倍左右
[25:36] 潜舰方面中国是70艘
[25:38] 美国大概维持在65艘上下
[25:40] 两栖登陆舰
[25:41] 那就是比较两栖了
[25:43] 中国高达380艘
[25:45] 那美国大概就一半而已
[25:47] 不过很明显
[25:48] 因为中国有应付台湾的需要所以量比较多很正常美国现在并没有大规模登陆的计划本来两栖登陆件需求就没这么多所以与此来说整个中国无人机产业在这几年的崛起
[26:00] 已经建立了完整供应链和庞大的产能
[26:03] 我们从单纯从民用市场来看
[26:06] 中国现在其实已经算是占了市占率
[26:08] 有高达50%以上
[26:09] 大疆已经长期主导全球市场
[26:11] 所以当美国禁用大疆以后
[26:14] 基本上剩下的市场
[26:16] 能够做的企业也不是特别多
[26:18] 背后的核心模式
[26:19] 就来自于中国拥有
[26:20] 完整的电子制造能力
[26:21] 在军用领域
[26:22] 现在的彩虹
[26:23] 翼龙
[26:24] 飞虹
[26:25] 利剑
[26:25] 这种各类型的军用机种
[26:28] 而且我们讲的还是大型的
[26:29] 目前已经产生十足的进展
[26:31] 这也让中国现在成为
[26:33] 全球军用无人机出口大国
[26:35] 其实乌俄双方
[26:36] 目前都在向中国来下单
[26:38] 取得对于无人机的领主建
[26:41] 那中国出口的意愿
[26:43] 也会大幅影响到
[26:44] 未来的地缘政治
[26:45] 那个强到什么问题
[26:47] 强到北京
[26:48] 最近已经开始进行无人机的管控了
[26:50] 因为从乌克兰战士
[26:51] 伊朗战士以后
[26:52] 那北京大概也意识到了
[26:53] 这个无人机对于恐攻的攻击力度非常大
[26:57] 所以目前全面禁止在北京市区使用无人机
[27:00] 不只是飞行受限
[27:02] 现在你的生产的销售
[27:03] 你的运输都会纳入到管制范围
[27:06] 那相对虽然纽约伦敦台北也有规定
[27:08] 但多半都是特定地区
[27:10] 那北京这是进行全面性的控管
[27:13] 全链条的监管
[27:14] 就是害怕那个民用市场
[27:16] 应该讲了
[27:17] 以后大陆的民用市场一定会受到影响
[27:20] 因为监管越来越严了
[27:22] 可是也说明着
[27:23] 大家意识到这个无人机的攻击伤害会有多大
[27:26] 我们看这次乌俄战事就是如此
[27:28] 乌俄战事我们看到在先前
[27:30] 这个俄罗斯本来要准备二战胜利日的阅兵前期
[27:34] 当时遭受到一系列的乌军轰炸攻击以后
[27:38] 整个阅兵规模瞬间就小很多
[27:40] 原因是什么
[27:41] 原因就是乌克兰当时发动了大规模的无人机攻击
[27:44] 这一次打到了俄罗斯的南部
[27:46] 也是最重要的空中交通管制中心
[27:49] 最后导致13座机场被迫暂时暂停起降
[27:52] 那俄罗斯土地面积也很大
[27:54] 所以就造成了这种无人机
[27:56] 随时可能采取的动作
[27:58] 会形成市场上进一步压力
[28:00] 事实上我们看到在最近
[28:01] 乌克兰跟美国已经正式签署一项历史性的协议
[28:05] 允许乌克兰制造的无人机出口
[28:08] 到美国进行军事测试
[28:09] 那根据文件内容
[28:10] 这些无人机会涵盖陆地海上和空中的作战用途
[28:14] 供美国国防部来进行测试和评估
[28:16] 甚至未来会成为美军正式采购的一个部分
[28:20] 所以这些讯息都足以让我们了解
[28:22] 整个美中接下来的地缘争霸本身而言
[28:26] 其实就是在科技力的展现
[28:28] 对于无人机的投入
[28:29] 对于资本的投入
[28:31] 你说中国现在成长这么多
[28:33] 美国难道资金量没有成长吗
[28:35] 美国成长的资金量应该是史上之最
[28:38] 这一次川普所通过
[28:40] 在去年的总体国防军事预算法案
[28:43] 规模非常非常庞大
[28:45] 我们举例来说
[28:45] 这次川普2027年的总预算是2.2兆
[28:48] 军事支出是多少
[28:49] 1.5兆
[28:51] 年征服43.7
[28:53] 这是二战以来的最大扩张
[28:55] 甚至包含额外的战争预算
[28:56] 反映在伊朗战争背景底下
[28:58] 现在美国已经把国防当成最重要的优先项目了
[29:01] 反而是非国防支出砍了10%
[29:03] 全部拿来填国防
[29:05] 如果从比例来做观察
[29:07] 更有趣了
[29:08] 现在美国在国防支出的
[29:12] 总体预算之中的占比
[29:13] 已经创下40年以来的新高
[29:16] 过去不论是雷根冷战的高峰
[29:19] 还是小布希的反恐战争期间
[29:21] 大概是维持在50%左右附近震荡
[29:24] 之后科林顿欧巴马时期
[29:25] 就一路的下滑
[29:26] 现在川普直接突破了过去
[29:29] 六任总统的占比
[29:32] 不只是创下历史新高
[29:33] 占比也创下历史新高了
[29:35] 这些事情都说明
[29:36] 这个川普的投入意愿也非常强
[29:39] 双方在科技业的展现
[29:40] 陆续的涌现
[29:41] 这给投资朋友做些思考了
[29:43] 当然了我们聊这么多
[29:44] 范围比较广
[29:45] 台北股市上涨616点
[29:47] 收在42368点
[29:49] 我们今天主要是从川习会的角度
[29:51] 来看待市场的利多讯息
[29:54] 如何感染到股票市场身上
[29:55] 当然要断定股市这种常态
[29:57] 到底是不是一个正常的情况
[29:59] 4月份5月份的涨幅
[30:01] 可以借金在每个月吗
[30:03] 那第二个角度
[30:04] 是在川习会之后
[30:05] 双方的争霸仍然在持续
[30:07] 可是已经跳脱了过去
[30:09] 某种地缘政治
[30:10] 必有地面战的那种
[30:12] 休息体的陷阱
[30:14] 其实更类似的是
[30:15] 科技力的体现
[30:16] 第三个角度就是
[30:17] 讲这些
[30:18] 其实对于股市
[30:19] 也没有一定的操作接近意义
[30:21] 而是让大家吸收更多资讯
[30:23] 了解这个世界
[30:24] 正在发生大变局
[30:26] 一个新的地缘政治的对峙期
[30:28] 已经逐步到来
[30:29] 吸收资讯是很重要的
[30:31] 你想想看
[30:31] 我们几个朋友
[30:32] 科技业的同学
[30:33] 一直赚钱
[30:34] 奖金很多
[30:35] 每天讲
[30:36] 我跟你讲半导体
[30:37] 现在出货潮怎么样
[30:38] 有买股票的同学
[30:40] 台股破4万了
[30:42] 准备要换车了
[30:43] 你不知道
[30:44] 金管会最近的政策
[30:45] 你想不做多都很难
[30:47] 你如果没有了解
[30:48] 这些事情的经过
[30:49] 没有了解财经讯息
[30:51] 对不对
[30:52] 你可能就
[30:52] 你没有玩皮克敏吗
[30:54] 就是那个长长寿寿的
[30:56] 你要不上来
[30:56] 所以当这些讯息
[30:58] 串起来之后
[30:59] 你就可以了解
[30:59] 台湾在本场战争当中
[31:02] 在本场对弈当中
[31:03] 我们看到
[31:04] 市场的体现有多大
[31:06] 为什么我们讲说美中关税战打月胸
[31:08] 反而又有利于台湾转单效应
[31:10] 无人机也是如此
[31:11] 大疆占了一半的市场
[31:13] 那剩下的市场
[31:14] 那不就是台湾韩国日本土耳其陆续拿走了吗
[31:18] 无人机市场其实也是如此
[31:19] 所以我们看那么多新闻
[31:21] 其实就希望大家也可以跟着一起国际化
[31:23] 了解这个市场的变动为何
[31:25] 我也很国际化
[31:26] 对吧
[31:27] 我国际化
[31:27] 我是美国作息
[31:29] 台湾皮肤
[31:31] 俄罗斯脾气
[31:32] 非洲经济
[31:34] 杜拜开销
[31:35] 就如何顺应着全球局势
[31:38] 形成自己的大局观
[31:40] 还有形成自己的投资观
[31:42] 我认为是非常重要
[31:43] 台北股市
[31:43] 刚才讲到了
[31:45] 上涨500点到600点
[31:46] 今天导读两本书
[31:47] 导读第一本书叫
[31:48] 无线机器
[31:49] Gymnite推手
[31:50] 哈萨比斯的超级智慧长征
[31:53] 这本书我认为写得非常好
[31:55] 本身就是哈萨比斯的传记
[31:57] 哈萨比斯大家都知道
[31:58] AI时代的科学家
[32:00] 从当时神经科学博士
[32:02] 一路走到Google人工智慧核心决策权
[32:05] 到后来AlphaGo
[32:06] 击败了世界奇王AlphaFloor的
[32:09] 破解了蛋白质折叠的难题
[32:11] 到现在Gemini和OpenAI的竞争
[32:13] 他算是AI教父
[32:14] 但这本书
[32:15] 他不是在聊他的创业的成功故事
[32:17] 他其实聊的是矛盾
[32:19] 就是他有科学理想
[32:21] 但他有商业压力
[32:22] 他有安全风险
[32:23] 他有Google内部的权力的角力
[32:25] 还有跟OpenAI之间的军备竞赛
[32:28] 哈萨比是一直想打造的
[32:30] 是可以帮人类解决
[32:31] 所有问题的无限机器
[32:33] 可是现在问题来了
[32:35] 这个能力
[32:36] 被科技巨波给掌握了
[32:38] 那问题
[32:38] 他很多在聊这个事情
[32:40] 就是谁能够控制智慧
[32:41] 这本书不是在聊成功赚机
[32:43] 他在讲说
[32:44] 那谁应该有控制的权利
[32:46] 谁能够设定这个边界
[32:47] 谁要负责承担后果呢
[32:50] 本书当中有非常多的形式
[32:52] 值得大家多做一些观察
[32:53] 那第二本书
[32:54] 叫做AI First
[32:55] 自我升级革命
[32:57] 工作者的终极进化指南
[33:00] 这本书的作者
[33:01] 陶云志先生
[33:02] 他是前LINE的台湾总经理
[33:04] LINE Pay的董事记总经理
[33:06] 本身也在台大创意创业学分学程
[33:09] 来兼任教授
[33:10] 基本上如何把那种复杂的商业问题
[33:14] 划盘为简
[33:15] 这本书就是有点类似于工作书了
[33:18] 过去一年
[33:19] 他透过AI完成超过100个网站和APP
[33:22] 打造了公司获利的新引擎
[33:23] 从执行者变成AI老板
[33:26] 他的实战范例
[33:27] 里头有非常多具体的技巧
[33:29] 所以这两本书
[33:30] 一个是在AI层面的矛盾心态解决
[33:34] 一个是AI的具体使用
[33:36] 两本书都推荐给投资朋友
[33:37] 如果大家有兴趣的话
[33:38] 可以把这两本书给买回家
[33:39] 也可以在我们频道结束
[33:41] 直播结束以后在底下留言
[33:44] 留下你对于两本书的一些看法
[33:46] 我们到时候各抽两本书
[33:48] 送给我们的投资朋友
[33:49] 当然欢迎你先买回家
[33:50] 给投资朋友做一些思考
[33:52] 两本书我觉得都写得非常好
[33:53] 一本书很适合在捷运上看
[33:58] 显得你知识很厚
[33:59] 一本书
[34:00] 这本书我必须承认
[34:02] 这个AI First
[34:03] 自我升级革命
[34:04] 它是翻到哪一页
[34:05] 都可以重新看的
[34:06] 所以有时候
[34:07] 不然是上厕所
[34:09] 早餐看两眼
[34:10] 有时候我们需要的书
[34:11] 就是那种随时翻可以看的
[34:13] 可以从后面看回来
[34:14] 也不会有问题的书
[34:16] 这本书工具书
[34:17] 我觉得蛮实用的
[34:18] 至于AI自我矛盾的省思
[34:20] 大家一定要稍微观察一下
[34:22] 我们要如何处理
[34:23] 这个AI的道德问题
[34:24] 给投资朋友出去思考
[34:25] 如果喜欢我们节目
[34:26] 记得帮我们订阅按赞加分享
[34:27] 我们就礼拜一早上半点半
[34:29] 早晨财经世界读再相见
[34:30] 祝各位投资朋友看完顺利
[34:32] 早晚愉快
