[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 5704点连续两个交易日的显著走深
[24:58] 所以人类的大脑
[24:59] 就会把灾难的归因归咎于受害者的某种情绪这样才能够维持一种虚假的安全感只要我做这些事情就不会发生这种事情这个叫做公正世界信念
[25:11] 人们相信世界是有秩序
[25:13] 讲道理
[25:13] 善有善报
[25:14] 恶有恶报的地方
[25:15] 所以无辜者遭遇不幸的时候
[25:17] 大脑就会下意识地去反映
[25:20] 我做错了什么
[25:21] 你做错了什么
[25:22] 比如说一个人长期被劈腿
[25:24] 常常就反过来怀疑自己
[25:26] 是不是因为我不够善良
[25:28] 是不是因为我不够体贴
[25:30] 然后开始检讨每个细节
[25:31] 检讨自己
[25:32] 被霸凌的人
[25:33] 有时候会这样子
[25:34] 是不是我太奇怪了
[25:36] 是不是我太安静了
[25:37] 我太胖了
[25:38] 有时候这是几率问题
[25:40] 他谁不霸凌
[25:41] 就刚好霸凌到你而已
[25:42] 本质上心理机制
[25:44] 在帮助你对抗恐惧
[25:46] 我做错了
[25:46] 所以才会发生坏事
[25:48] 因为我不读书
[25:49] 所以我投资才会失败
[25:50] 也许他就是一种周期性
[25:52] 有牛市当中
[25:53] 你以为你能力很强
[25:55] 他就是一种周期性
[25:56] 其实就是势头来了
[25:58] 那一样你赔钱
[25:59] 你也不一定要怪给自己的选股能力
[26:01] 也许就是势头不好而已
[26:03] 所以投资市场
[26:04] 就是充满这样的一个公正世界信念
[26:06] 很多人会下意识的相信
[26:08] 赚钱就代表能力强
[26:10] 赔钱就一定代表犯错
[26:11] 并不是如此
[26:12] 我们还是要尊重
[26:13] 像现在有这样的报酬
[26:14] 我完全不认为是自己的选择
[26:17] 有极大的成功
[26:18] 我们当然低级企业
[26:19] 都是按照的买进逻辑
[26:22] 左侧投资
[26:23] 可是涨到这个位置
[26:24] 我也不认为我有多厉害
[26:26] 就是势头来了而已
[26:27] 你说心理学家都怪怪的
[26:29] 好像是这样子
[26:30] 但是套用到投资市场就是如此
[26:33] 你要有那种专属的投资思维
[26:36] 很多人现在可能大跌之后
[26:38] 嘴巴说我完全不怕
[26:39] 我长期投资
[26:41] 结果每天还是不停看盘
[26:42] 那一样上涨之后
[26:44] 你的投资逻辑也没有变
[26:45] 现在看盘的频率变高了
[26:47] 每天在关注市场
[26:49] 生活睡眠节奏完全都被打乱了
[26:52] 这个时候是好事吗
[26:54] 所以你也不要更加去强调
[26:56] 自己有多冷静
[26:57] 你越需要高调
[26:59] 说自己没事
[27:00] 这个行情我撑得住
[27:01] 感觉内心越不安
[27:03] 当你问
[27:04] 人家问你说
[27:06] 你还记得你的前女友吗
[27:08] 你微笑说
[27:09] 早忘了
[27:11] 那你就不是真的忘了吗
[27:12] 人家问你说
[27:14] 你还记得你的前女友吗
[27:15] 你说谁啊
[27:16] 他
[27:17] 那你就是真的忘了
[27:19] 所以还是要分清楚
[27:21] 这个心态的变迁
[27:22] 8点59分了
[27:23] 好我们要继续往下看了
[27:24] 刚才跟投资朋友聊到
[27:26] 整个美中之间的整体竞争
[27:28] 陆续上演之后
[27:29] 市场上当然会更进一步关注
[27:31] 在各种科技精力底下
[27:34] 双方在AI加成的速度会有多快
[27:37] 我们举例来说
[27:38] 现在整个AI时代的新霸权
[27:40] 就是谁能够掌握资料中心
[27:42] 谁就能够掌握未来
[27:44] 那现在非常有趣的事情是
[27:45] 全球的资料中心基础设备的竞争
[27:48] 是接下来在川习会之后
[27:50] 主要竞争的要点
[27:51] 全球大概有一万座的资料中心
[27:53] 美国一个国家就有3960座
[27:56] 占全球37%
[27:57] 排名第二的是英国498座
[28:00] 德国470座
[28:01] 中国是365座
[28:03] 这是现有的
[28:04] 不过是以在建数量来看的话
[28:07] 第一名是美国
[28:08] 第二名就变成中国了
[28:09] 所以美中双方在AI的竞争
[28:12] 也渴望在本次川习会之后
[28:14] 做某种奠定上的科技管制
[28:16] 来作为定锚
[28:17] 举例来说
[28:18] 中国正在打造全国的算力网络
[28:20] 包括北京上海
[28:22] 东部大城市
[28:23] 是现在中国数据产生最快
[28:25] AI需求最强的地方
[28:27] 但这些区域
[28:27] 同步也面临着土地昂贵
[28:29] 电力不足的问题
[28:30] 所以北京就开始
[28:31] 把大量的资料处理和AI运算
[28:33] 往内蒙古
[28:35] 往甘肃
[28:35] 往宁夏
[28:36] 往贵州等西部能源基地
[28:38] 来进行显著产业
[28:40] 这叫做东数西算
[28:42] 把AI的算力
[28:43] 搬往西部的能源区
[28:45] 所以中国现在
[28:46] 主要还是靠便宜的AI
[28:48] 把token成本进一步的下滑
[28:50] 像OpenAI
[28:51] 像GBT 5.2
[28:53] 每百万token大概收费是14美元
[28:56] DeepStick大概是0.42
[28:57] 你用一下就知道双方差距还是有
[29:00] 可是它价格是它的三十分之一
[29:02] 所以你可以理解
[29:04] 就是这种价格上的一个差距
[29:06] 的确会导致某种分层算法
[29:09] 就是如果我是真的做非常初阶的
[29:12] 那种简单问答的
[29:13] 迁入在网站式的回答
[29:15] 这个用中国的开源系统
[29:17] 不用用专门使用DeepStick
[29:19] 你用开源系统构建自己的步调
[29:23] 构建自己的系统
[29:24] 也许是一个更为划算的做法
[29:26] 我们看到美国矽谷
[29:27] 很多企业都是这样子做的
[29:29] 那当然了
[29:29] 欧洲虽然一直被排除在外
[29:31] 但是呢
[29:32] 当美中狂盖资料中心的过程当中
[29:34] 欧洲呢
[29:35] 现在准备要进行法规的讨论
[29:37] 法规讨论完之后
[29:38] 就会加速目前的资料中心
[29:40] 不过可能连法规讨论都要一阵子了
[29:43] 目前根据ING的报告
[29:44] 在2030年
[29:45] 美国资料中心的容量会翻倍
[29:47] 中国的部分会增加2.5倍
[29:49] 欧洲大概成长75%
[29:51] 现在美国的资料中心
[29:53] 大概是欧洲的三倍
[29:54] 中国大概也有1.5倍左右
[29:56] 所以即便爱斯摩尔
[29:58] 这些企业不断的呼吁
[29:59] 不过欧盟首先要进行
[30:02] AI监管法规的放松之后
[30:04] 才有可能进一步让资金到位
[30:06] 让未来的能源和资本能够跟上
[30:09] 台湾的部会其实也在做努力
[30:11] 台湾政府其实从去年正式启动
[30:14] AI新十大建设以后
[30:16] 这代表着AI已经上升到
[30:18] 国家战略层面的问题
[30:19] 台湾政府开始用促餐的方式
[30:22] 扩大GPU规模
[30:23] 本来有40张的H100
[30:24] 今年到万张等级了
[30:27] 预估在2028年以前
[30:28] 培育45万名AI人才
[30:31] 打造上万家新创企业
[30:33] 你看2028年目标是45万
[30:36] 2040年就变50万了
[30:38] 12年才增加5万人
[30:39] 这说明着
[30:40] 这个计划好像规划层面
[30:43] 好像成长幅度也没有很大
[30:44] 但是至少大家都在做事情
[30:46] 从新政院到国发会
[30:47] 到国科会经济部
[30:48] 目前都释出了新一波的AI专案
[30:50] 甚至为了朝量子强国迈进
[30:53] 我们看台湾政府
[30:54] 最近提出了新一轮的量子科技战略
[30:56] 过去蔡政府其实就已经推出
[30:58] 第一期的量子科技研究计划了
[31:01] 那赖政府是把它推进到第二阶段
[31:03] 把量子技术从实验室带往产业的发展
[31:06] 这个量子不是量子纠缠
[31:09] 不是之前宠物沟通室那个
[31:11] 它主要的目的
[31:12] 是藉由量子科技的挹注
[31:14] 来打造国际合作
[31:16] 在低温元件
[31:17] 关键领土件
[31:18] 以及系统整合的发挥能力
[31:20] 那当然回过头看
[31:21] AI的竞争
[31:22] 就很像当年的铁路
[31:24] 网络
[31:25] 往期网络或者电力革命
[31:26] 过程当中会有泡沫
[31:28] 但是呢
[31:28] 这个泡沫的过程当中
[31:30] 跟当年打抗网络泡沫
[31:31] 有一个非常不一样的地方
[31:33] 在于哪里呢
[31:34] 在于国家的介入
[31:35] 美国动用了国家队
[31:37] 中国动用了国家队
[31:39] 更不用讲韩国
[31:40] 讲台湾
[31:41] 大家的补贴
[31:42] 一个比一个还要来得多
[31:44] 这么高强度的补贴
[31:45] 它所塑造的效果就是
[31:47] 本轮的泡沫有政府的参与
[31:49] 2000年的打抗泡沫
[31:51] 基本就是美国一家独大
[31:53] 所引发的外溢效果
[31:55] 那现在它已经变成了一个
[31:56] 国家战略等级的AI资金补助链
[31:59] 那这个泡沫可以随意的让它破灭吗
[32:03] 就算它快要破了
[32:04] 那政府不会在后面撑一把吗
[32:06] 这是一个重要观察本轮AI
[32:09] 可以推升到什么样泡沫周期的一环
[32:11] 我们回过头来说
[32:12] 今天我们聊的范围比较广
[32:13] 从一开始的美中冲突
[32:15] 来聊全世界都陆续进入了
[32:17] 战时的经济模式
[32:19] 现在各国做的事情
[32:20] 越来越像冷战时代
[32:21] 囤晶片 囤稀土 囤能源
[32:23] 抢AI人才 抢算力中心
[32:25] 抢机器人的供应链
[32:27] 过去全球化比的是效率
[32:28] 现在比的是谁比较不怕断链
[32:30] 那川习会
[32:32] 当然就是一种外交舞台上的展现
[32:34] 可是真正的战争
[32:35] 陆续在持续
[32:37] 从资料中心到半导体产能
[32:39] 到电网 到卫星
[32:40] 到工业机器人
[32:41] 到矿产的控制权
[32:43] 未来十年
[32:44] 我们不一定看到全面脱钩
[32:45] 但是一定会越来越阵营化
[32:47] 而AI时代最为竞争的
[32:50] 不是过去单纯软体或者硬体
[32:53] 而是把能源
[32:54] 把算力
[32:55] 把制造业
[32:56] 绑成同一套的国家机器
[32:58] 谁能够让这套国家机器
[33:00] 运转得越厉害
[33:01] 谁就能够在本轮的AI竞赛当中
[33:04] 全面获胜
[33:05] 而当所有国家都在做这件事情的时候
[33:07] 似乎AI泡沫
[33:09] 也没有那么容易破掉了
[33:11] 这给投资朋友做一个思考
[33:12] 好就你五分
[33:13] 台股上涨250点
[33:14] 站上42,000点了
[33:16] 台积电也回到2245块
[33:18] 如果喜欢我们节目
[33:19] 记得帮我们订阅按赞加分享
[33:21] 我们就明天早上半点半
[33:22] 早晨财经速解读
[33:23] 再相见
[33:23] 祝各位投资朋友看盘顺利
[33:25] 操盘愉快
