[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 一方面川普再度启动了301的关税战
[25:21] 它要的是更大尺寸更高层数更高的散热PCB和纸材板对于良率对于材料对于制成的要求都远高于过去这也是为什么现在各家公司很多不只是在扩产
[25:34] 他是说快扩产的过程当中
[25:36] 要去先奠定一下
[25:37] 未来10到20年的技术平台
[25:39] 所以这股龙井
[25:40] 到底是吃这3到5年
[25:42] 还是吃3到50年呢
[25:44] 跟这几个老板聊完之后
[25:45] 我看起来
[25:46] 我信心就越来越强了
[25:47] 很多消费型的机器人
[25:49] 看起来也逐步成熟
[25:50] 昨天我跟永元的执行长
[25:52] 也稍微聊了一下
[25:53] 反而他们是用订阅制的方式
[25:56] 来帮助公司协助餐饮业
[25:57] 不是百货公司有那种机械手臂吗
[26:00] 来帮你调咖啡
[26:01] 做拉花
[26:01] 每种调料的使用
[26:03] 未来软体的更新
[26:04] 其实已经开始有所雏形了
[26:05] 当然他们问了一下
[26:07] 我说对于AIPC的看法
[26:08] 没有做到极度乐观
[26:10] 不过有总比没有好
[26:12] 毕竟PC和手机市场
[26:14] 今年的确不算特别好了
[26:16] 更重要的还是伺服器的部分
[26:18] 我看了整场
[26:20] 我觉得印象最深的
[26:21] 应该还是二馆四楼
[26:24] GQ和华航的贵宾室
[26:27] 里面有那个调酒可以喝
[26:29] 还可以看一下华航新款的豪金舱
[26:32] 空姐也很有气质
[26:35] 很漂亮
[26:36] 不是是机柜
[26:37] 一整排机柜
[26:38] 好壮观
[26:39] 好壮观
[26:39] 好那这一次Computex
[26:41] 其实就是奠定了国际都市的水位
[26:44] 你看这些人
[26:46] 很多国际旅客
[26:47] 白天参展
[26:49] 下午逛个夜市
[26:51] 晚上辅导师学少女作业
[26:54] 我举个例子
[26:55] 这是网友传给我的
[26:57] 我们看一下
[26:58] 这个是公关的公司画面
[27:00] 你就知道
[27:01] 为什么南港七八点
[27:03] 你发现饭店里面好像也没什么人
[27:05] 因为大家都出去party了
[27:07] 稍微应酬一下
[27:08] 看一下公司画面
[27:10] 应到46人
[27:11] 时到46人
[27:13] 大家上课都没这么认真
[27:15] 好不容易可以赚比大的
[27:17] 对不对
[27:17] 泱泱也来了
[27:18] 还有娜娜
[27:19] 还有Kimi
[27:20] 拜拜
[27:21] 那我个人比较偏好Coco
[27:23] 所以台北正式出现了一个非常有趣的现象
[27:26] 就过去大家总觉得
[27:27] 国际都会代表的是金融中心
[27:30] 是跨国企业总部
[27:31] 但是没有
[27:32] 真正的国际化
[27:33] 是全球在一个AI荣景爆发的过程当中
[27:37] 大量的科技业的高管
[27:39] 工程师
[27:40] 采购主管
[27:40] 晚上就重新的回流到东区
[27:43] 新一区
[27:44] 各大商圈
[27:45] 消费娱乐
[27:46] 很多的案子
[27:48] 都是在夜夜声歌当中
[27:50] 有所谈成的
[27:51] 外国人很多白天在展场
[27:53] 谈AI
[27:54] 一脸震惊
[27:55] 晚上就到台北的街头去吃美食
[27:58] 喝喝啤酒
[27:58] 逛逛夜市
[27:59] 台北不只是科技供应链的一环
[28:02] 它已经变成
[28:03] 开始承接全球商务人流
[28:05] 和消费力的国际市场
[28:07] 这是非常重要的关键
[28:09] 当然这就意味着
[28:11] 整个国内的政治经济环境
[28:12] 也引来了极大的变动
[28:14] 第一个变动
[28:15] 就是台湾的经济
[28:16] 正在以非常惊人的速度上行
[28:18] 今年预估经济成长率
[28:19] 应该突破10%
[28:21] 没有太大问题
[28:21] 今年一季度已经来到14.5%了
[28:23] 对于成熟经济体而言
[28:25] 对内政府的作用是什么
[28:27] 科技其实已经与我无关
[28:30] 我根本就没有必要
[28:32] 我甚至是否要去
[28:33] 抑制过热的经济都是问题
[28:34] 我根本就不用担心
[28:35] 我们台湾的企业
[28:36] 我要担心的是
[28:37] 内部的通膨拉抬速度会有多快
[28:40] 如果经济成长率
[28:41] 是以双汇数字成长
[28:42] 不太可能内部完全没有通膨
[28:44] 所以今年消费者物价指数
[28:46] 预估还在1.9
[28:47] 当然各家的体感温度不一样
[28:49] 如果你以前觉得
[28:50] 以前2022年
[28:52] 一年物价涨幅是三成
[28:55] 那现在涨幅就是19%
[28:56] 这是从体感来做观察的
[28:58] 但你可以观察到
[28:59] 政府唯一能够做的
[29:00] 就是进行通膨物价的抑制
[29:02] 所以进行高强度的补贴
[29:04] 让过热的经济
[29:06] 不要反映在实体民间的物资身上
[29:09] 但是也说明着
[29:10] 整个政府的财政
[29:11] 也来得更加宽裕
[29:13] 宽裕的结果就导致了
[29:14] 中央税客收入的预算额
[29:17] 目前创高了
[29:18] 今年税收应该会突破三兆元
[29:20] 这一波AI行情
[29:21] 不只是让投资人赚到钱
[29:23] 也让政府成了最大赢家
[29:25] 其中一个关键就来自于
[29:26] 立院的财委会
[29:27] 今年决议把中央政府的预算收入
[29:30] 一口气增加6000亿
[29:32] 今年一定突破三兆
[29:34] 那全年的税收时增
[29:36] 前四月来看的话
[29:38] 8450亿
[29:39] 年增幅1370亿
[29:41] 增幅已经20%了
[29:43] 最大的变数是什么
[29:44] 就财政部原本预估
[29:45] 全年的日均成交值
[29:47] 今年一年每日成交
[29:50] 大概4000到5000亿
[29:51] 结果现在前四个月
[29:53] 成交量是9800亿
[29:54] 5月都是兆元起跳
[29:57] 这么高强度的
[29:58] 证交税的收入快速攀升
[30:00] 对于未来福利政策
[30:02] 就开始变得越来越加阔绰
[30:04] 所以现在几乎确定了
[30:05] 明年最低薪资
[30:06] 是一定会突破3万块台币
[30:08] 那我们看能不能调更高
[30:10] 可不可以有
[30:11] 4到5%的年增幅的成长
[30:13] 毕竟我们知道
[30:15] 台湾现在每小时时薪
[30:16] 也不过190块
[30:17] 所以你说外国人
[30:19] 为什么喜欢来台湾花钱
[30:20] 那的确物价
[30:21] 对他们来讲不算特别高
[30:23] 你看南韩的每小时时薪
[30:26] 是238块
[30:27] 日本是216块
[30:28] 所以台湾既然人均GDP
[30:30] 已经逐步跟日韩拉开了
[30:31] 那基本薪资是一定要上涨的
[30:34] 所以这给投资朋友
[30:35] 做的一系列思考
[30:36] 所得的再生配
[30:38] 一样会成为
[30:39] 接下来的主流汉趋势
[30:41] 当然了
[30:42] 另外一大方向
[30:43] 就是要了解说
[30:44] 行情在变化的过程当中
[30:46] 我们要如何去理解
[30:47] 市场上有更进一步的
[30:50] 财富分配思维
[30:51] 因为现在很多人
[30:53] 可能想说
[30:54] 那国家这么有钱
[30:55] 以后我就靠政交税
[30:57] 以后我就靠政府的补贴
[30:58] 现在有生育补贴
[30:59] 然后有财政补贴
[31:01] 有家庭主妇补贴
[31:02] 以后我就靠政府养就好了
[31:04] 那我们最后就变成
[31:05] 欧洲类社会主义国家
[31:08] 也不能这样讲
[31:09] 其实原因很简单
[31:10] 因为台湾本身
[31:11] 虽然拥有一定程度的社会网
[31:15] 安全网
[31:15] 但是也没有多到
[31:18] 可以让你觉得财富无余
[31:19] 而且现在台湾处处是机会
[31:21] 勇敢的拥抱自己人生
[31:23] 才是很重要的
[31:24] 现在很多人怎么样
[31:25] 还摆烂
[31:26] 每天我就等下一波补贴
[31:28] 我等下一个振兴方案
[31:30] 现在政府这么有钱
[31:31] 我等下一波的政策红利
[31:33] 但你要知道
[31:34] 真正能够改变人生的
[31:36] 都不是政府发下来的资源
[31:38] 是你愿意投资在自己身上
[31:40] 多少时间
[31:41] AI时代最大的红利
[31:43] 不是说谁拿到补助
[31:45] 是谁能够学会运用这些新的工具
[31:48] 提升自己的生产力
[31:50] 这件事情其实很重要的
[31:52] 累积无法被取代的能力
[31:54] 我觉得大家也不要对于
[31:56] 财政政策有这么高的一个期待
[31:58] 好我们看一下台北股市
[32:00] 上涨的一个表现
[32:02] 下跌393点
[32:04] 所以简单来讲
[32:05] 我觉得虽然我们知道
[32:07] 大家变有钱了
[32:08] 但你也不要对于政府有太多期待
[32:09] 还是要多花点时间
[32:11] 要靠自己了
[32:12] 好不好
[32:13] 之前讲进修部上课
[32:15] 大家异性蓝衫
[32:17] 女老师就问同学
[32:19] 前面第一排
[32:22] 第一个同学
[32:22] 你知道英国的首相是谁吗
[32:26] 学生说我不知道
[32:27] 老师说那你应该多花点时间
[32:30] 在课业上
[32:31] 同学说
[32:33] 老师你知道Coco是谁吗
[32:35] 老师说不知道
[32:36] 怎么了
[32:37] 学生说
[32:38] 那你应该多花一点时间
[32:40] 在你老公身上
[32:41] 你说什么
[32:43] 所以我们不管怎么讲
[32:44] 其实行情在变
[32:46] 世界在变
[32:47] 我们当然知道国家变有钱了
[32:49] 整个社会的物质水准
[32:50] 变得越来越高了
[32:51] 可是我们始终要多花一点时间
[32:53] 在自己身上
[32:54] 因为现在机会处处都有
[32:56] 也不用怪大环境
[32:57] 贫富差距一定会持续拉开
[32:59] 也不要靠政府能够救你
[33:01] 我们这个时候
[33:02] 应该要选择在贫富差距
[33:03] K型分化的过程当中
[33:06] 好好的抓住AI的大棒
[33:08] 给投资朋友做一些思考了
[33:09] 我们今天主要是跟投资朋友稍微梳理
[33:11] 在美国内部层面
[33:13] 有终极选举的压力
[33:14] 有通膨的意志
[33:15] 有内政政策的延续
[33:16] 还有对外的关税战开启
[33:18] 在台湾的部分也是如此
[33:20] 随着computing展的爆发
[33:22] 我们知道台湾已经被世界所看见
[33:24] 大量的资金快速的涌入台湾
[33:26] 影响到内生经济的变化
[33:28] 可是与此同时
[33:29] 即便社会越来越有钱了
[33:31] 你也不要期待
[33:32] 它能够为你铺垫所有的一切
[33:34] 因为这都是台湾人
[33:35] 实打实自己拼出来了
[33:37] 你要勇敢的自己
[33:38] 让自己搭上这条AI列车
[33:40] 给投资朋友做些思考
[33:41] 如果大家有兴趣
[33:42] 可以参加我们礼拜六
[33:43] 财经号角第三届经理会
[33:45] 我们到时候再针对行情
[33:46] 来做更进一步的推升推演
[33:48] 如果喜欢我们节目
[33:49] 就帮我们订阅按赞加分享
[33:50] 我们就明天早上八点半
[33:52] 早晨财经速解读
[33:53] 再相见
[33:53] 祝各位投资朋友
[33:54] 看盘顺利
[33:55] 操盘愉快
