[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 也没有传说中的第三支脚
[25:52] 现在有去GPT稍微理解好一点
[25:54] 但是他也是对于本节目有极大贡献
[25:57] 所以欢迎大家给我们小编一些回馈
[26:00] 或者祝他生日快乐
[26:01] 给投资朋友多一些思考
[26:02] 我们小编学英文
[26:03] 也是那种很初阶开始的
[26:05] 然后大量的资料学习以后
[26:07] 整个人这几年成长越来越快
[26:09] 他比我还厉害
[26:10] 他以前也是那种
[26:12] 那种人山人海
[26:13] 那种英文学习方式
[26:15] People mountain people seed
[26:16] 一开始程度也没有说到
[26:19] 很快的进入状态
[26:21] 可是我跟他每天这样练习
[26:22] 他现在每天都跟我讲英文
[26:24] 你知道吗
[26:25] 练到他现在口语可以讲英文
[26:27] 有时候拿个资料给他
[26:29] Let me see see
[26:30] 让我看看
[26:31] 他就是很喜欢用英文跟你交流
[26:34] 很有学习意愿的一个人
[26:35] 生日快乐
[26:36] 生日快乐
[26:37] 我们往下看
[26:37] 这个标普牌指数
[26:40] 纳斯达克指数
[26:41] 准备创下历史新高
[26:43] 费办已经创下历史新高的情况底下
[26:46] 市场上更进一步聚焦的
[26:48] 那就是当前消费者物价指数
[26:50] 虽然因为能源飙升而偏高
[26:52] 但是企业财报的显示
[26:54] 看得出来
[26:55] 整体而言
[26:56] 一季度财报
[26:57] 市场仍然抱持着极高的评价
[26:59] 我们如果细看把今年的三月份行情
[27:02] 拿来跟去年来做一些对照
[27:04] 你会发现有趣的迹象
[27:06] 都是三四月差不多进行大修正
[27:08] 那有趣的事情是
[27:09] 去年一路跌了接近有15%关税占
[27:12] 可是这一次只跌到7.1%
[27:15] 股价就开始上弯了
[27:16] 好跌幅不重是真的
[27:18] 可是你看一下
[27:19] 我们过去不断所提到的
[27:21] 科技股当前的估值压缩情况
[27:24] 整个标普的资讯科技板块的本益比
[27:26] 已经回到2022年低点附近了
[27:29] 远远低于去年关税战
[27:30] 你就是知道为什么三月份
[27:32] 那股价也没有跌多重
[27:33] 那我们为什么
[27:34] 还是愿意担任这种死多头的角色
[27:37] 因为从基期指标
[27:38] 从估值指标
[27:39] 目前整个市场给予的溢价
[27:42] 正在快速的收敛
[27:43] 不只是从本益比指标
[27:45] 不只是从周期指标
[27:46] 不只是从乖离或者情绪指标
[27:48] 三月份刚好一次性的全部都到位了
[27:51] 所以即便现在反弹
[27:52] 你觉得现在有很离谱的贵吗
[27:54] 所以我才讲说
[27:55] 现在的买盘到底是追高买盘
[27:57] 还是逢低买盘呢
[27:59] 逢低买的是估值啊
[28:01] 追高追的是股价
[28:02] 那我们个人看法很简单嘛
[28:04] 我们当然是希望
[28:05] 刚好右侧左侧都在下跌的时候
[28:08] 本益比还有股价都在下跌的时候
[28:10] 这个时候是最开心的
[28:12] 那现在呢
[28:13] 如果你已经有一定的仓位
[28:14] 那当然就没有必要
[28:15] 在乖离飙高的时候参与行情了
[28:17] 这个时候反而可以静待
[28:19] 自己的获利奔跑
[28:20] 这几天行情波动的确很大
[28:22] 从三月份以来
[28:23] 你看账面一天暴涨一边重挫
[28:25] 心情起起伏伏
[28:27] 就好像在参加一场
[28:28] 没有终点的比赛
[28:30] 比谁赚得快
[28:31] 比谁跑得早
[28:32] 逃得掉
[28:33] 那今天有人高歌猛进
[28:35] 明天就有人割肉停损
[28:36] 所以很多人
[28:37] 这一次嘴巴
[28:38] 说要长期投资
[28:40] 你会发现
[28:40] 每天在看你的绩效
[28:42] 每天的变动
[28:43] 所以最终
[28:44] 我们所
[28:45] 还是要坚定
[28:47] 不要乱下单
[28:48] 你要了解
[28:49] 自己的投资中心思维
[28:50] 很多人怎么样
[28:50] 手一抖就下错单
[28:52] 昨天台新当机
[28:54] 很多人就是
[28:54] 一次没成交
[28:56] 二次没成交
[28:56] 急了
[28:57] 本来要买十万
[28:59] 便买一百万
[28:59] 这种极端行情的
[29:01] 叫谨慎
[29:01] 反而你说在左侧
[29:03] 多买一两张没差
[29:05] 那乖离
[29:06] 现在已经拉这么高了
[29:07] 我反而觉得
[29:08] 虽然机器指标部分
[29:10] 还在抵挡
[29:10] 但是随便买
[29:11] 这个时候压力就很高了
[29:13] 那句话怎么说的
[29:15] 眼睛可以乱瞄
[29:17] 手不能乱摸
[29:18] 乱瞄顶多被白眼
[29:20] 乱摸就要进看守所了
[29:23] 所以这种行情
[29:23] 手脚不要乱抖
[29:25] 不要乱抖
[29:26] 乱抖就按错单
[29:27] 中世纪的时候
[29:29] 太太有妇女病
[29:31] 想要去镇上的妇产科
[29:33] 大部分都很冷清
[29:35] 有一家生意特别好
[29:36] 先生就陪太太进去
[29:38] 偷偷往里面瞧了一眼
[29:41] 发现是一位年纪少说
[29:43] 也有七十好几的老医生
[29:45] 觉得很纳闷
[29:47] 太太
[29:48] 为什么你们都喜欢千里迢迢
[29:51] 来这家妇产科看诊
[29:53] 我刚看了一下
[29:55] 医生也不帅
[29:55] 年纪又大
[29:57] 难道是医术特别高明吗
[29:59] 太太说
[30:01] 因为医生的手会抖
[30:03] 所以关门
[30:04] 手不要乱下单
[30:06] 手一抖就乱下单
[30:07] 下错单压力就很大了
[30:09] 那一样
[30:09] 这种行情上的一个转变
[30:11] 你只要有中心逻辑
[30:13] 你会发现
[30:14] 我们直播这么多年了
[30:15] 从头到尾不都是采取
[30:16] 同一套的投资策略方式吗
[30:18] 时间不够了
[30:19] 我们今天主要是跟投资朋友分享
[30:21] 从源头
[30:22] 这一次能源危机外溢之后
[30:24] 市场的心性的淡然面对
[30:27] 它的根本原因来自于哪里
[30:29] 第二件事情
[30:30] 是我们看到
[30:31] 不管是美国政府
[30:32] 还是台湾政府
[30:33] 都基本上有了进一步的
[30:35] 中东战事的压力
[30:36] 川普的压力
[30:37] 是内部的通膨升温
[30:39] 他虽然为页岩油
[30:40] 赚取了庞大的获利
[30:41] 让全亚洲重新的仰赖美国能源
[30:44] 可是这有利于他的中期选举行情吗
[30:46] 其实并不有利
[30:47] 所以也就代表着
[30:49] 市场的共识来自于
[30:50] 因为我看到你的民调变了
[30:52] 所以我对赌
[30:53] 你被迫一定要采取更加和缓的态度
[30:56] 打是为了谈
[30:57] 谈是为了打
[30:58] 第二部分是台湾是这几年
[31:00] 在全球经济体当中
[31:02] 少数畸形繁荣的经济体
[31:04] 因为AI的带动
[31:05] 所以造成的是GDP
[31:07] 以7%到8%的速度成长
[31:09] 通膨率1.2% 1.3%
[31:11] 就高成长低通膨经济体
[31:14] 出现了极端的画面
[31:15] 这是什么
[31:16] 就是属于政府的介入以后
[31:18] 进行强制补贴
[31:19] 最终让油价或者电价
[31:22] 无法快速的传导到终端价格
[31:24] 要不然
[31:25] 你当然可以这样讲
[31:26] 说1.3骗人
[31:27] 你把1.3当成13%
[31:29] 那美国的4%
[31:30] 就是40%
[31:31] 可以理解吗
[31:32] 体感温度大不一样
[31:34] 可是从比值来看
[31:36] 你觉得你的体感是1
[31:39] 美国大概就是3到4
[31:41] 用这样的一个角度
[31:42] 你就可以理解说
[31:43] 各国政府为什么这样做
[31:44] 因为年底
[31:45] 不管是台湾还是美国
[31:47] 都迎来了选举行情
[31:49] 这是被迫一定要采取的方向
[31:51] 而对于投资而言
[31:52] 这个是我们就要回过头来看
[31:54] 你的投资中心逻辑有没有改变
[31:56] 如果没有改变
[31:57] 那当然对于左侧投资者而言
[31:59] 长期估值现在还并没有特别高
[32:01] 等待下一轮回交
[32:03] 那右侧交易者
[32:04] 当然就要根据当前的行情来做一些推演了
[32:07] 而且每个年龄段都有自己的比较
[32:09] 年轻时你可能对于行情的绩效
[32:13] 相对报酬有一定的追求
[32:14] 但是年纪稍微大一点的
[32:16] 面对这种资产波动
[32:18] 你有没有发现
[32:18] 这本来这几年
[32:20] 64股在比的
[32:21] 现在搞不好变91了
[32:22] 这是一个蛮大的挑战
[32:24] 所以对于绝对报酬来看的话
[32:26] 可能有新一轮资产调配的空间
[32:28] 给投资朋友做一些参考
[32:30] 台股上涨373点
[32:31] 收在36,669点
[32:33] 台积电收在2070块
[32:35] 给投资朋友做一些参考
[32:37] 那我们要继续我们的烦恼了
[32:39] 到底接下来出国要去哪里玩呢
[32:42] 也祝各位投资朋友看盘顺利
[32:44] 操盘愉快
[32:45] 每天都开开心心
[32:47] 一起离开公园吧
[32:48] 拜拜
[32:48] 拜拜
