[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 这次马斯克旗下的SpaceX
[25:27] 反而可能会引起
[25:29] 进一步的市场波动
[25:30] 韩国经纪管当局
[25:33] 还没有完善的配套措施
[25:36] 来应对说
[25:37] 如果未来发生了系统性的踩踏
[25:40] 我们是否有在法规上层面
[25:41] 必须要强行介入
[25:42] 目前都不知道
[25:43] 韩国股市单日波动量5%
[25:45] 都很正常了
[25:46] 相关的避险或者再平衡的资金
[25:48] 可能一天就要来流近是7亿美元
[25:51] 相当于平日单日成交量的八分之一
[25:54] 这就使得韩国当局压力非常大因为知道有非常多的散户在其中那未来出事了一定会追究韩国金管会当局你同意上市而且你主推的那另外一方面
[26:06] ETF资金和衍生性部位调整的放大影响
[26:09] 韩国当局都很难做一个比较精准的预判
[26:12] 所以我们讲说市场下跌并不可怕
[26:14] 可怕的是下跌碰上了过度杠杆
[26:17] 台湾现在四代通常现在变六代了
[26:19] 六代就是房屋抵押贷款或增贷
[26:23] 然后再来就是保单持借
[26:25] 再来就是个人信贷
[26:27] 再来就是券商不信用途贷款
[26:30] 就股票质押
[26:31] 再来就是券商的股票融资
[26:33] 然后最后把这些资金拿出来
[26:36] 可能做期货选择选交易
[26:37] 六代同堂
[26:38] 那当然很多人这样想
[26:40] 小赌怡情
[26:41] 大赌郭台铭
[26:42] 赢了会所嫩磨
[26:44] 输了下海干活
[26:45] 哪有小孩天天哭
[26:47] 哪有赌鬼天天输
[26:49] 赌场一分钟
[26:50] 少打十年工
[26:51] 打工十年还是工
[26:53] 说他一夜住皇宫
[26:54] 想要付
[26:55] 下重座
[26:56] 反正就很多这类似的言论
[26:58] 那我个人的看法是
[27:00] 我们一样讲
[27:01] 钢杆是拿来超车用
[27:03] 而不是飙车用的
[27:04] 你要让他翻身
[27:05] 我就认为风险是很大的
[27:07] 你要让他来超车用
[27:09] 那资产几千万的人
[27:11] 他一样会去房贷
[27:14] 他一样会去贷款
[27:15] 就算资产
[27:16] 你有一两亿的人
[27:17] 信贷一百万两百万
[27:19] 不无小补
[27:20] 这个没问题
[27:21] 超车用
[27:22] 那你投期款你也用信贷的
[27:25] 你房贷你也去征贷
[27:27] 然后你股票质押贷款
[27:29] 然后又去融资
[27:30] 那压力就很大了
[27:31] 所以杠杆是拿来超车用
[27:33] 不是拿来飙车用
[27:34] 我觉得主要原因还是来自于
[27:36] 年轻人
[27:37] 现在的确因为所处于的资讯环境
[27:40] 让攀比变得无所不在
[27:42] 最近才听到几个老朋友分享
[27:44] 过去的人也会比较
[27:46] 只是比较的范围很小
[27:47] 可能是邻居同学同事
[27:50] 顶多几十个人
[27:51] 但现在有时候我们打开IG
[27:52] 打开thread
[27:54] 你全部都是台湾
[27:55] 现在最赚钱的人
[27:57] 最会享受生活
[27:58] 最成功的人
[27:59] 以前都跟隔壁王太太比
[28:01] 现在跟全球前1%的人比
[28:04] 问题在于
[28:04] 别人展示的是高光时刻
[28:06] 你看到的是自己
[28:08] 每天的日常生活
[28:09] 久而久之
[28:09] 就很容易产生一种错觉
[28:11] 好像所有人都比自己有钱
[28:13] 比自己成功
[28:14] 这种环境就改变了心态
[28:15] 过去投资人
[28:16] 每年10%到15%
[28:18] 你觉得不多吗
[28:19] 在疫情以前
[28:20] 我最图的就是这些报酬
[28:22] 能够到18%就追上巴菲特了吗
[28:24] 现在很多年轻人进入股市以后
[28:26] 那不是一年要翻三倍
[28:29] 加密货币财富自由
[28:31] 靠AI概念股
[28:33] 一年赚进一辈子
[28:34] 一年赚进一栋房子
[28:36] 标普一年涨12%
[28:38] 那是什么报酬
[28:39] 赚三成都算赔
[28:42] 从历史上来看
[28:43] 它就形成了这种
[28:44] 愿意上杠杆的迹象
[28:46] 加上处于资讯的比较环境
[28:48] 这是我经常可以感觉到的一个现象
[28:50] 并不是因为很多人说
[28:52] 因为年轻人现在更懂得使用金融产品
[28:54] 这是的确
[28:55] 因为金融资讯更流通
[28:57] 我看到的大多数都是想要翻身
[29:00] 不是想要超车
[29:01] 我常常不是看IG短片吗
[29:04] 什么金融业的一天
[29:06] 一早那iPhone闹钟响起
[29:09] 准时起床
[29:10] 买上一口自己做的抹茶拿铁
[29:15] 然后开始做瑜伽
[29:17] 然后去社区的健身房
[29:19] 回来煮一顿早餐奶洗
[29:20] 接着上班
[29:21] 上班精神又特别好
[29:24] 奇怪早上运动
[29:25] 早上上班
[29:27] 心情都不受影响
[29:28] 中午吃两根香蕉
[29:30] 晚上跟同事喝一杯
[29:31] 睡前再泡个澡
[29:32] 谁会睡觉还自己录影
[29:35] 但是就这种影片
[29:38] 会让你觉得
[29:38] 我就说过好这种充实的人生
[29:41] 然后我要扩大自己的资产报酬
[29:43] 最后就造成这种心理情绪
[29:45] 所以我觉得
[29:46] 我们就稳稳地参与市场的涨幅就好了
[29:48] 其实光是投资科技指数
[29:50] 都会有不错报酬
[29:51] 至于你想要这两年翻身
[29:54] 这个外劳帮你翻身比较快
[29:57] 好我们回过头看
[29:58] 美国婴儿潮时代
[30:00] 主要还是来自于背后的生存原因
[30:02] 刚才我们讲的
[30:03] 当然是比较批判的角度
[30:04] 但我们要了解说
[30:05] 真正的真实原因
[30:07] 从这些年轻人的角度来看
[30:09] 背后原因是什么呢
[30:10] 一个当然就是心理的不公平
[30:11] 我们看美国的婴儿潮时代
[30:13] 大概掌握了接近有90兆美元的财富
[30:16] 远远超过X世代和清洗世代
[30:18] 那年轻的Z世代
[30:20] 现在连20兆都不到
[30:22] 所以跟人口占比完全不成比例
[30:24] 婴儿潮世代吃到的是房价起飞
[30:27] 股市的长牛
[30:28] 利率长期的下行
[30:29] 那后面时代进场的时候
[30:31] 资产价格已经垫高了
[30:32] 那后来竟然发现
[30:34] 你买的也是标普白指数
[30:35] 那反正我买的资产
[30:36] 买的指数也跟你一模一样
[30:39] 我就放大两倍杠杆
[30:41] 三倍杠杆
[30:42] 这个就是现在主流的投资思维
[30:44] 所以我们才讲说
[30:45] 行情走到这个地步
[30:47] 才会发现市场上
[30:48] 有更进一步的吹捧意愿
[30:50] 它也有它的道理存在
[30:51] 你好像觉得它在放大杠杆
[30:53] 可是它买的标的
[30:54] 也没有可能差太多
[30:55] 尤其这一次
[30:57] 台湾房地产市场沉寂以后
[30:59] 很多房贷族房东进场
[31:00] 房东族进场他做什么事情
[31:02] 他买股跟买房一模一样
[31:04] 买股买龙头股
[31:06] 买房买蛋黄区出租
[31:07] 买房一定要贷款
[31:09] 买股一定要融资
[31:11] 一定要直接
[31:12] 这个就是同一套逻辑
[31:13] 他买的也都是大型股票
[31:15] 他也不容易被洗掉
[31:16] 都是长报
[31:17] 都是等个五年到十年
[31:18] 所以我觉得回过头来看
[31:20] 其实正面反面都有其道理
[31:21] 但是一定要控制好
[31:23] 自己的曝显程度
[31:24] 很多人会被表面的名词骗了
[31:26] 以为换个包装风险消失
[31:28] 这个扩大杠杆来做资产配置
[31:32] 跟投资个股高杠杆投入
[31:34] 它其实不太一样的概念
[31:36] 你把高杠杆投机
[31:37] 称之为资产配置
[31:39] 那就不一样
[31:39] 追热门题材
[31:40] 变成长期投资
[31:41] 那也不是同一个意思
[31:42] 接盘高估值股票
[31:44] 说自己在价值投资
[31:45] 也不太一样
[31:46] 所以你要了解说
[31:47] 市场看的最后不是
[31:48] 你怎么把它命名
[31:49] 是你的资金流向哪里
[31:51] 你承担了什么样的一个风险
[31:53] 那之前我们不经常讲
[31:54] 就是说捐钱不犯法
[31:57] 捐金也不犯法
[31:58] 为什么捐钱和捐金就犯法呢
[32:00] 后来有网友就跟我分享
[32:02] 他说因为拍色情片是合法的
[32:05] 但是因为买银卖银是犯法的
[32:07] 那你只要在付钱的时候
[32:10] 你前面摆一台摄影机
[32:12] 就变成拍片可以了
[32:15] 那真做违法那种微妙现象
[32:16] 后来我问了一下
[32:18] 经过亲身的经验
[32:20] 拍摄影机合法拍片还是不一样
[32:23] 第一个目的不同
[32:24] 就色情片它是表演创作
[32:27] 卖淫是性交易
[32:28] 法律看的是有没有金钱对价的性服务
[32:30] 而不是有没有录影
[32:32] 第二个是行业规范
[32:33] 合法拍片你要公司登记
[32:34] 你要演员的同意书
[32:36] 你要有见解
[32:36] 你要有劳保
[32:37] 还有私底下
[32:38] 如果有驾摄影机
[32:40] 你还是有触犯
[32:41] 这个社会秩序维护法第八十条
[32:43] 所以不管怎么说
[32:45] 都变成了
[32:46] 两者还是无法进行
[32:47] 直接性的一个比较
[32:49] 那我们回过头来看
[32:50] 很多人就会用同一套名词
[32:52] 觉得我做资产配置
[32:54] 跟高杠杆投资
[32:55] 好像没有什么区别
[32:56] 我只是买大盘的正额
[32:58] 的确
[32:59] 但是我们讲的是曝显程度
[33:00] 容不容易把你给洗掉
[33:02] 一样你投资那些
[33:04] 现在市场上最热门的股票
[33:05] 他们看起来都是基本面很好
[33:07] 你说这叫堂期投资
[33:08] 我怎么感觉你在追股票呢
[33:10] 不一样的一个逻辑
[33:11] 这给投资朋友做
[33:12] 不是我本人
[33:13] 我去问了一下
[33:14] 对对对
[33:15] 回过头说
[33:16] 市场最终都会回归本质
[33:18] 就是企业有没有获利
[33:19] 现金流有没有成长
[33:20] 估值是否合理
[33:21] 这些才是实质
[33:23] 我们观察的重点
[33:24] 那至于故事讲的多漂亮
[33:26] 概念多热门
[33:27] 名字取得多高级
[33:28] 都只是形式而已
[33:29] 给投资朋友做些思考
[33:31] 台股上涨463点
[33:32] 收在48202点
[33:34] 我们今天主要是跟投资朋友
[33:36] 稍微了解一下社会秩序
[33:38] 稍微了解一下行情走到这边
[33:41] 大家的不同见解
[33:42] 一个见解是资本支出其实还在投
[33:45] 大家都还在扩敞
[33:46] 可是不同人做同样的事情
[33:49] 市场看起来是两种完全不同的评价
[33:51] 开支票的人
[33:53] 如果你还在花钱
[33:54] 市场是很谨慎的
[33:56] 股价可能会跌
[33:57] 但是收支票的人
[33:58] 你做资本支出扩敞
[34:00] 那你会受到市场上的显著认可
[34:03] 那同样的
[34:04] 市场同一套的资金
[34:05] 大量的从巨头流出
[34:07] 不只是传统巨头
[34:08] 连新的巨头SpaceX
[34:10] 也开始流出以后
[34:10] 他就为这些中大型股票
[34:12] 奠定了适度的基础和市场买盘
[34:15] 那回过头说
[34:16] 这一轮的行情
[34:17] 也让很多人
[34:18] 年轻人
[34:19] 想要靠着这一波能够翻身
[34:21] 但是到底是超车还是飙车
[34:23] 大家还是要有一个
[34:24] 比较公允的认识
[34:26] 来了解说
[34:27] 各地的市场概况
[34:28] 其实都出现了这种急化的现象
[34:30] 那记住一定不要受伤
[34:32] 活着才是胜利
[34:33] 给投资朋友多多思考
[34:34] 如果喜欢我们的节目
[34:35] 记得帮我们订阅按赞加分享
[34:36] 我们就明天早上半半
[34:37] 早晨财经速解读再相见
[34:38] 祝各位投资朋友看板顺利
[34:40] 财盘愉快
