[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那主要也来自于半导体类股目前的市场沉压
[26:02] 因为如果你是从台股的绝对卖潮
[26:05] 今年外资卖了一兆
[26:06] 对这样子来看一兆好像有点多
[26:09] 是没错
[26:10] 几乎跟2022年一整年的卖照差不多了
[26:14] 可是你跟韩国股市
[26:15] 韩国股市市值比我们还小
[26:17] 它卖了三兆
[26:18] 那显得台股外资也没有卖很多
[26:21] 有没有机会做先行回补
[26:23] 这是第一个观察的重点
[26:25] 第二个当然是美股整个大盘要稳住
[26:27] 现在是韩股在杀
[26:29] 其实美股股市就算是废办
[26:31] 也不过算是一个正常的乖离修正
[26:33] 目前的股价修正跟基本面的脱钩
[26:36] 其实跟前几个月也没有什么太大区别
[26:39] 前几个月我们看超大型云端业者
[26:42] 整体来看
[26:43] 他的企业获利仍然维持在高档
[26:46] 甚至我们看到
[26:47] 整体来说
[26:49] 只是由于自由现金也都急速下滑
[26:51] 让市场透支了一些反应而已
[26:53] 如果我们仔细观察
[26:55] 像是辉达
[26:55] 美光
[26:56] 博通
[26:57] 印财
[26:57] 这五大半导体企业
[26:59] 未来12个月的自由现金
[27:00] 有44300亿
[27:01] 比两年间还增加了三倍
[27:03] 他们手上钱真的非常多
[27:05] 所以废办的确也没有什么
[27:06] 大幅看坏的一个条件存在
[27:08] 你顶多就认为他涨幅有点大
[27:10] 要做乖离休症
[27:10] 而且现在回过头看
[27:13] 这样的一个规模
[27:14] 相对于超大型云端业者来说
[27:16] 他不可能无限脱钩
[27:18] 就有一天超大型资料中心都没钱了
[27:21] 然后废办手上都是钱
[27:23] 那这是什么终局
[27:24] 那如果AI又没有造成生产力突破
[27:26] 那这是一场泡沫
[27:27] 如果最后结局是这样的话
[27:29] 所以要么就是五大巨头
[27:31] 六大云端巨头
[27:33] 最后能够赚钱
[27:34] 把自由现金留给收回来
[27:36] 要么那就是
[27:37] 废办它不能够一直玩
[27:39] 接下来的超级循环
[27:40] 它始终攻击要能够跟上
[27:43] 让接下来的报价行情
[27:44] 能够趋于平稳
[27:45] 这是最好的态势了
[27:47] 但我们必须承认
[27:48] 市场的疯狂肯定是有的
[27:50] 我们按照金融时报的统计
[27:51] 的确现在就开始
[27:53] 越来越多人开始蹭了
[27:54] 金融时报的统计表示
[27:55] 美国现在在过去一年当中
[27:57] 至少有28家公司
[27:59] 已经更名或者宣称
[28:01] 全面转向AI业务
[28:03] 比如说原本是贩售羊毛鞋的公司
[28:06] 叫Obert
[28:07] 已经改名叫Smartbird
[28:09] 宣布转型AI伺服器
[28:11] 那这些公司改名之后
[28:12] 市值都开始大幅的提升
[28:14] 你说有没有跟2000年
[28:16] 打抗泡沫有点像
[28:17] 是有一点
[28:17] 不过现在距离当时的改名加速
[28:21] 现在大概只占四分之一左右
[28:23] 其他公司也是一样
[28:24] 有一家是做癌症药的
[28:26] 改名之后宣布要专攻半导体
[28:28] 和太空经济
[28:29] 之前那个Total
[28:30] 本来做马桶的
[28:31] 说要改成做半导体陶瓷
[28:33] 我还有点半信半疑
[28:35] 后来已经被说服了
[28:36] 不过它是真的
[28:37] 其他有些公司
[28:38] 都开始把AI加入到公司的名称当中
[28:42] 让市场上SEC
[28:43] 其实在本月份
[28:45] 已经开始正式进行调查
[28:47] 叫做AI Washington行为
[28:49] 就是有没有人想要趁着AI来漂白
[28:52] 借由企业AI名义来误导投资人
[28:55] 可能会面临监管的实质调查
[28:58] 所以这件事情
[28:59] 当然也是受到监管部门的实质参与
[29:01] 但是走到这个地步
[29:02] 其实已经看到
[29:03] 行情走到这个地步
[29:06] 已经有非常显著市场共识的脱钩
[29:09] 到底接下来怎么走呢
[29:11] 我们知道有一半人是揣了一胆
[29:13] 可是对于另外一半人
[29:15] 我们不选择在股市爆大量
[29:17] 在高位的时候
[29:18] 直接性的放大杠杆
[29:20] 我们只是观察乖离回调的区间
[29:22] 那现在呢
[29:23] 就是左侧投资者可以观察重点了
[29:26] 可能台股的部分空间不大了
[29:28] 可是美股现在遍地是钻石
[29:31] 韩国股市你在自己斟酌
[29:32] 但是其实有非常多累货
[29:34] 已经开始出现了显出的轮动
[29:36] 这个时候就是摩拳擦掌的时机
[29:39] 台股跌幅也不重
[29:40] 跌191点
[29:41] 说在45,155
[29:42] 连公园都不用回去
[29:45] 出去吃个铜锣烧
[29:49] 在公园闲逛而已
[29:51] 根本就没有必要回公园睡觉
[29:52] 这种点位
[29:53] 所以不同逻辑
[29:55] 很多人认为台股这种高位级
[29:57] 势必得有补跌空间
[29:59] 我们过去几天已经跟投资朋友分享过
[30:02] 台股有比较特殊的因子还关进
[30:04] 那外资针对台股的卖超
[30:06] 绝对体量看起来是重的
[30:08] 但是针对韩国股市
[30:09] 看起来也还好
[30:11] 这给投资朋友做些思考
[30:12] 我们今天聊的范围很广
[30:14] 从一开始在这一次
[30:16] 美伊之间的冲突重新爆发
[30:18] 让市场的担忧重新的加剧
[30:20] 形成市场上第一轮的估值卖压
[30:22] 那我们就要看一下华旭的表态
[30:24] 那第二大方面
[30:26] 来自于南韩市场
[30:27] 这一次所引发的杠杆洗盘
[30:29] 的确有数十万人
[30:31] 在这一场政变当中
[30:34] 或者说这场大战当中
[30:36] 他可能被迫要离开市场了
[30:38] 可是你要清楚知道
[30:39] 这些人的看法
[30:40] 可能跟我们这些
[30:41] 留在市场人的看法
[30:42] 本质上并没有任何的区别
[30:44] 我们对于未来的共识
[30:45] 搞不好几乎是一致的
[30:47] 他只是被迫先离场的
[30:49] 给予我们最大的启示
[30:50] 那就是
[30:51] 有时候我们看对了趋势
[30:53] 但会实在波动
[30:54] 所以活着就是胜利
[30:56] 每一次的股灾
[30:57] 每一次的下修
[30:58] 大家都一定要活下来
[30:59] 好不好
[30:59] 祝各位投资朋友
[31:01] 长命百岁
[31:02] 那我们今天早上半点半
[31:03] 早晨财经缩解图再相见
[31:04] 祝各位投资朋友
[31:05] 开盘顺利
[31:06] 超快愉快
