[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 半导体型的ETF
[25:24] 下一个支撑
[25:25] 就要看一下季线能否守稳了
[25:28] 不过从怪力层面下滑幅度很快
[25:30] 凯霞的部分
[25:32] 这股价是一夜之间动能直线向下
[25:35] 正式跌破上升趋势线
[25:36] 和20日移动平均线
[25:38] 这个移动平均线
[25:40] 这种跳空式卖压
[25:42] 很明显是有高强度的获利了结
[25:45] 美光的部分
[25:46] 一样几乎是月线全线跌破
[25:48] 那接下来就要看一下
[25:50] 它是否会出现那种
[25:52] 因为美光先前并没有像
[25:54] 那个Sendex或者凯夏
[25:55] 出现那种很疯狂的飙涨
[25:57] 至少在过去两周
[25:58] 那这一次技术面的转落
[26:00] 就显得具有警示的意义
[26:01] 可是从高位这样子都是
[26:03] 一两天给你
[26:05] 把过去一个月的涨幅给吃掉
[26:07] 那如果是过去一个月才进场的
[26:08] 压力就很大
[26:10] 人家常开玩笑
[26:11] 质疑美光
[26:12] 了解美光
[26:14] 加入美光
[26:15] 成为美光
[26:16] 相信美光
[26:18] 坚守美光
[26:19] 一次培光
[26:20] 这有点压力
[26:21] 现在记忆体行情
[26:22] 真的就是有点腰鼓
[26:24] 波动很大
[26:25] SK海内士的部分
[26:26] 作为亚洲AI热潮
[26:28] 最具代表性的公司
[26:29] 股价这样子跌下来
[26:30] 也跌破了月线
[26:31] 目前下一个比较具有代表性的支撑
[26:34] 就看一下未来季线
[26:36] 是否有非常显著的买盘来做推程
[26:38] 还看一下韩国股市散明的意愿
[26:40] 但是从高点降跌下来
[26:42] 大量股票包括三星
[26:44] 都陆续快要进入到熊市规模
[26:46] 这也说明着记忆体行情
[26:48] 它是属于第一
[26:49] 从高位阶乖离之后的集体性回调
[26:52] 那么记忆体行情的破灭到底合不合理
[26:55] 我们大概可以分为几点
[26:56] 第一个谣言是来自于Meta的侃单传言
[27:00] 就是说市场会传出说
[27:02] Meta最近有意愿想要削减记忆体的订单
[27:05] 原因就是因为
[27:05] 它现在把自己的AI伺服器的闲置
[27:07] 产能算力向外来做出租
[27:10] 所以大家会担心
[27:11] 那你以后是不是就不下单了
[27:12] 可是目前美银走访晶片厂商之后
[27:16] 已经得出了完全相反的结论
[27:18] Meta目前在HBM
[27:19] 在ESSD
[27:21] 长期的订单还在持续增长
[27:23] 根本原因来自于
[27:25] 目前Meta开放数据中心
[27:27] 作为云端服务
[27:27] 不代表它是产能过剩
[27:30] 某种程度意味着
[27:31] 是第一把既有的产能做一些轮替
[27:34] 第二向市场做一些交代
[27:36] 因为从股东利益来做观察
[27:38] 现在看起来
[27:39] 你随时释放你要扩产的讯息
[27:42] 对于资料中心巨头来看的话
[27:44] 都是股价沉压的来源
[27:46] 就是四大GCP的说要花钱
[27:49] 大家会紧张
[27:50] 可是如果是记忆体厂商
[27:52] 如果是费办说要扩厂
[27:53] 大家比较安心
[27:54] 所以这个时候
[27:55] 藉由一些算力的出租
[27:57] 学习过去SpaceX的模式
[27:59] 能够对于股价有点提升效果
[28:01] 那第二个是
[28:02] 中国长兴这次打入了iPhone公营链
[28:05] 会让大家担心
[28:06] 会不会三星SK海内士受到影响
[28:08] 但目前看起来
[28:09] 实际购买量会非常非常的低
[28:11] 三大门槛
[28:12] 第一个是美国对于中国的半导体出口管制
[28:15] 还是有非常鲜明的政策壁垒
[28:17] 第二就是长兴现有的低润规模
[28:19] 其实还达不到苹果的要求
[28:21] 第三是韩国和美国
[28:23] 三大低润厂的智慧财产权
[28:25] 它的护城河还是非常深厚的
[28:27] 难以跨越
[28:28] 所以预估苹果可能更类似于
[28:31] 把长兴作为谈判筹码
[28:33] 目的要回去压三星
[28:35] 和SK海力士的集体价格
[28:37] 看起来是有这样的一个政治动作
[28:39] 那第三个利空就是
[28:41] 上上礼拜我们看到
[28:42] 韩国800兆的投资计划
[28:44] 那很多人说
[28:44] 哇韩国要大扩产
[28:46] 泡沫破灭
[28:47] 库存可能会瞬间增高
[28:49] 不过现在看起来
[28:51] 这个库存它要缺到2028年
[28:53] 那就算能够藉由大规模的新建
[28:56] 稍微往前
[28:56] 那基本上在本年度到明年度
[28:59] 都不会出现周期见顶的迹象
[29:01] 所以换句话说
[29:02] 你可以把它简单理解成
[29:04] 高乖离的获利了结
[29:06] 就这么简单
[29:07] 讲了老半天
[29:08] 也跟真实利空没有任何关系
[29:10] 三个利空本身都不是什么大利空
[29:12] 我们过去讲过
[29:13] 真正的利空只有一个
[29:14] 就是AI资料中心决定不投钱了
[29:18] 就这么简单
[29:19] 算力过剩或者不投钱了
[29:21] 不投钱对于废办是一个灾难
[29:23] 但对于股市也不一定
[29:24] 这代表的是估值开始有削弱的空间
[29:27] 可是AI仍然是长期趋势
[29:28] 但是如果是算力过剩
[29:30] 那当然就是泡沫破灭
[29:32] 郁金香太多就是郁金香泡沫
[29:34] NFT太多那就是NFT泡沫破灭
[29:36] 算力过多就是AI泡沫破灭
[29:39] 那目前第一算力很明显是不够的
[29:42] 即便它的成本在下滑
[29:43] 那第二件事情
[29:44] 现在我们看到的记忆体的利空
[29:46] 本质都是短期供需市场预期的博弈而已
[29:50] 所以市场现在每天都在猜下一步
[29:52] 觉得记忆体景气是不是见顶
[29:54] AI需求会不会放缓
[29:56] 企业该不该继续扩张
[29:57] 但是站在企业的角度
[29:59] 其实很多事情
[30:00] 没有外界想象的这么自由
[30:02] 一座晶圆厂
[30:03] 一条生产线
[30:04] 从规划到建设到量产
[30:06] 它往往需要数年的时间
[30:08] 投入的是上百亿
[30:09] 甚至上千亿美元
[30:10] 所以当需求强劲的时候
[30:11] 企业也没办法
[30:13] 因为景气反转就停止投资
[30:15] 投入的是数百亿金额
[30:18] 反过来说
[30:19] 市场降温
[30:20] 也不可能今天就决定
[30:22] 明天就把工厂给拆掉
[30:23] 所以时间线
[30:25] 还是有很多
[30:26] 不得已的扩产计划
[30:28] 就是说他这样子做
[30:29] 他也
[30:30] 你当然最好是永远不要扩产
[30:32] 他永远都赚那么多
[30:33] 但是他就是有市场的需求预期
[30:35] 所以我们要以一个
[30:36] 长时间的规划
[30:38] 也不要觉得好像
[30:39] 好像三星SKLS故意抬价
[30:41] 那就是前几年
[30:42] 大家都被苹果压得很辛苦
[30:45] 没什么人敢扩产
[30:46] 不然这几年
[30:47] 为什么大家突然都要扩产
[30:49] 就是因为被苹果伤了好几次
[30:50] 每一次消费性电子循环
[30:52] 都被苹果压低供应链的价格
[30:53] 那这一次
[30:54] 好不容易走出自己的路了
[30:56] 要扩产
[30:57] 但是要稳健的扩产
[30:58] 所以这些厂商
[30:59] 其实韩国厂商跟台湾一样
[31:00] 都有很多的不得已
[31:02] 这也是真实的现象
[31:04] 之前网上看到
[31:06] 儿子问妈妈
[31:08] 我到底是不是你领养的
[31:10] 妈妈看了你一眼
[31:12] 如果你是领养的
[31:15] 我还会选你吗
[31:16] 豁然开了
[31:17] 所以很多事情
[31:18] 它都是不得已产生的结果
[31:20] 那半导体厂商
[31:22] 你也不要觉得好像是在哄抬价格
[31:24] 那苹果压低供应链价格
[31:26] 他也有他的不得已嘛
[31:27] 所以每家厂商
[31:28] 都是在自由竞争市场当中活下来的
[31:31] 给投资品有作业思考了
[31:32] 好 台股上涨521点
[31:34] 收在47301点
[31:35] 完全不受影响嘛
[31:36] 记忆体费半点那么重
[31:38] 对于台股的沉压
[31:39] 看起来一点都没有发生
[31:41] 好 那我们今天聊的范围很广
[31:42] 从一开始
[31:43] 目前石油通膨的降低
[31:45] 来看一下外溢性的这些僵固性通膨
[31:48] 包括工资
[31:49] 包括能源
[31:50] 包括电价
[31:51] 是否有机会做进一步的回跌
[31:53] 达到川普希望在中期选举之前
[31:56] 看到的景象
[31:57] 那另外一方面
[31:58] 其实Token的AI成本也在下滑
[32:00] 所以不要觉得资本这出傻了很多
[32:02] 现在的确了
[32:03] 很多报价都在上涨
[32:04] 可是至少从使用者的角度而言
[32:06] 我们现在每生成一段文字
[32:08] 我们每生成一段影片
[32:10] 所需要的成本
[32:12] 其实正在降低
[32:13] 那这对于生产力
[32:14] 是不是一件好事呢
[32:15] 也许是
[32:16] 所以对于硬体的需求端
[32:17] 的确还有报价的上涨
[32:19] 可是对于我们使用者而言
[32:20] 我们已经在帮助自己的生产力
[32:22] 做更进一步有效的提升了
[32:24] 这也是未来通膨能够下滑的
[32:26] 一个关键助力
[32:27] 至于最后记忆体泡沫
[32:29] 是不是真的破灭了
[32:30] 科技第一没有破灭的问题
[32:32] 第二即便从股价层面来做观察
[32:35] 本身而言
[32:36] 这三大利空也不是一个多大利空
[32:38] 你把它当成一个比较大的乖离
[32:41] 获利了结的卖压
[32:42] 可能更为妥当
[32:43] 因为毕竟真正的利空只有一个
[32:46] 就是算力过剩的那一天出现
[32:48] 给投资朋友做一些思考
[32:49] 如果喜欢我们节目
[32:49] 记得帮我们订阅按赞加分享
[32:50] 我们就明天早上半半
[32:51] 早晨财经数学读再相见
[32:53] 祝各位投资朋友
[32:53] 看完顺利
[32:54] 操盘愉快
