[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 兩週的漲幅給吞掉
[24:35] 我們看到這些大多數資產都在飆了
[24:38] 像股市利率匯率大宗資產
[24:40] 其實波動幅度都很大
[24:42] 那現在從各大板塊的漲跌幅來看
[24:45] 漲最多的是能源板塊
[24:47] 漲幅有13.2%
[24:48] 原物料板塊漲幅有10.6%
[24:51] 工業板塊6.9%
[24:52] 必需消費類品6.06%
[24:54] 好像都是能源板塊
[24:56] 原物料傳產這一類的
[24:58] 反而我們看到
[24:59] 資訊通訊板塊跌幅0.36%
[25:03] 醫療保健0.7%
[25:04] 跌了0.75%
[25:05] 金融板塊跌了2.3%
[25:07] 最慘的其實是金融板塊
[25:10] 次要慘的基本上就是醫療和資訊科技
[25:13] 所以的確市場的似曾相識
[25:16] 是否會重新出現呢
[25:17] 標普500其實現在還在創高格局
[25:19] 但的確漲幅在過去一兩個月
[25:23] 其實已經稍微有點緩慢了
[25:24] 主要原因就來自於納指的拖累
[25:26] 納指的七巨頭到目前為止
[25:28] 其實並沒有出現那種顯著的短期賣壓放大
[25:32] 可是已經盤整接近有兩到三個月時間了
[25:36] 而且上一次的上漲並沒有突破在去年年底的高點
[25:41] 這也就意味著納斯達克指數這次的科技股的財報季並沒有做顯著突破
[25:45] 我們要看一下本週亞馬遜的財報
[25:47] 有沒有進一步上攻的機會存在
[25:49] 那好處是現在VIC指數波動率終於開始重新放大
[25:54] 那是否代表著整體美國股市開始有新一輪左側部件的空間
[25:59] 要不然你漲太久了市場上已經很久沒有人在做避險瞭如果從對沖工具來看的話VIC指數其實已經平盤震盪非常久了這給投資朋友做更進一步的投資思維
[26:10] 來了解說
[26:11] 當前行情
[26:12] 我們從硬體股軟體股
[26:14] 第一個邏輯就最簡單的
[26:16] 如果多頭不止
[26:17] 最好的方式就是
[26:18] 現在我們看得很清楚
[26:20] 軟體股從2025年到2026年的資金
[26:24] 開始快速流失物
[26:25] 硬體股則是快速流落
[26:26] 第一個就是看有沒有機會開始輪動
[26:29] 就軟體股開始上漲
[26:30] 硬體股開始下跌
[26:31] 那第二種就是大家一起殺
[26:33] 那殺完了之後
[26:34] 就變成優質的股票
[26:35] 它最後重新帶動股市估值的提升
[26:38] 其實從目前來看的話
[26:40] 市場上整體估值
[26:42] 還是由期劇投來作為一個穩盤作用
[26:44] 那硬體股也不可能無條件的一路上漲
[26:47] 這個投資朋友做的另外一層思維
[26:48] 再來我們聊的就是
[26:50] 聯總會主席沃許的問題了
[26:52] 這個8點56分了
[26:54] 稍微時間有點趕
[26:55] 沃許現在第一道的現實考驗
[26:57] 就是當時承諾要變革的聯總會主席
[27:00] 是否能夠成功地說服市場
[27:02] 或許他是以制度變革為號召
[27:05] 來主張縮減聯總會的資產負債表
[27:08] 並且壓住AI所帶來的生產力革命
[27:10] 可是在上一次的投票行為
[27:12] 以及市場認知當中
[27:14] 他是偏好與聯總會開啟降息迴圈的
[27:17] 所以大概從他個人角度而言
[27:19] 是偏向於進行縮表
[27:21] 但是持續降息
[27:23] 交易員現在預估
[27:25] 最快要到6月份
[27:26] 才有啟動降息的可能性
[27:28] 那沃許所面臨的挑戰為何呢
[27:30] 第一個就是剛才聊到的
[27:32] 縮表的理念
[27:33] 他是非常清楚的
[27:34] 但市場風險相對比較大
[27:36] 沃許一直批評量化寬鬆
[27:37] 讓聯準會的資產負債表暴增
[27:39] 從2008年前不到1兆美元的規模
[27:43] 一路擴張到最高接近9兆美元
[27:45] 現在還有6兆多
[27:47] 他認為現在
[27:48] 聯準會在經濟體系裡面的腳印
[27:50] 實在太大了
[27:51] 應該要繼續的明顯縮小
[27:53] 在這樣效果底下
[27:54] 聯準會未來的縮錶行為
[27:56] 可能會遇到一定程度的流動性收縮
[27:58] 不過是否會到收縮這個地步
[28:01] 還是他認為銀行體系
[28:03] 現在已經準備已經很充裕了
[28:05] 所以資產負債表
[28:06] 如果你沒事我就繼續說
[28:08] 你有事我就說的稍微慢一點
[28:10] 這可能是第一個路徑
[28:12] 第二個是抗通膨路徑
[28:13] 它並不走主流模型
[28:15] 一般就是要高於2%
[28:17] 我們就要繼續緊縮
[28:18] 那Borch的看法是
[28:20] 必須要提出一套市場性的
[28:21] 過委員會也買單的抗通膨
[28:24] 策略也就是說他是相信
[28:26] 民意的反應很重要
[28:27] 民間的體感溫度
[28:29] 從失業缺口產出缺口
[28:31] 不能用直接模型來進行對照
[28:33] 所以他對於通膨的解釋比較多元
[28:35] 也許讓大家有更進一步的降息空間
[28:38] 就是我不一定要回到2%以下
[28:39] 才要進行大規模降息
[28:41] 也許只要民間的體感溫度
[28:43] 稍微不好股價下跌
[28:45] 貨幣供給或者生產力衰退
[28:47] 我們都有進一步寬鬆的條件
[28:49] 可惜現在的問題在於
[28:50] 12月份的通膨已經開始有點爆衝了
[28:54] 服務成本和利潤率
[28:55] 現在推高了通膨壓力
[28:57] 由於大家都在賺錢
[28:58] 生產者物價指數又上漲
[29:00] 全球又迎來新一波的漲價潮
[29:03] 我們以DDR5 64GB
[29:05] 現在記憶體的套裝
[29:06] 在去年年底
[29:07] 價格大概是150美元左右
[29:11] 現在790
[29:13] 記憶體長成這樣
[29:15] 一定會有一些通膨的物價傳到
[29:17] 所以生產者的壓力
[29:18] 也是稍微來得比較大
[29:20] 所以如果用一句話來總結
[29:22] 我個人的看法是
[29:24] 還是屬於鷹皮帥哥
[29:26] 就是外面是老鷹
[29:27] 但是內部其實是有點偏哥
[29:30] 願意跟選民做一些溝通的
[29:31] 他對於量化寬鬆當然比較警惕
[29:33] 可是過去一整年的政策主張
[29:35] 他比較偏向於較快的降息
[29:38] 然後順便進行聯準會內部的制度改革
[29:41] 整體立場被解讀為原本偏鷹
[29:44] 可是現在政策上更貼近於川普的路線
[29:47] 他在08年當時
[29:49] 的確也有蠻多的批評
[29:51] 認為過快的QE
[29:52] 造成很多快速擴表之後的扭曲價格
[29:56] 當時是屬於制度型的鷹派
[29:58] 不過它一方面這幾年認為
[30:00] AI可以帶來生產力
[30:01] 所以會通縮
[30:02] 通縮之後
[30:03] 我們就可以有更多的降息空間
[30:05] 一方面它也認為
[30:06] 我們雖然公開認為更快速的降息
[30:10] 可是我們也同時要縮減聯準會的權力範圍
[30:13] 我們不要去管我們那些不懂的事情
[30:15] 比如說聯準會之前就管氣候變遷
[30:17] 現在就不要管了
[30:18] 所以曾經很贏
[30:20] 但可能被川普被社會毒打過
[30:23] 所以現在又稍微回來的
[30:24] 當然我看到網路上有另外一種分析
[30:27] 這就是類相關心分析
[30:30] 他的做法就是
[30:32] 聯準會當前的利率
[30:34] 跟聯準會主席的身高
[30:36] 其實呈現高度的正向相關
[30:39] 你像之前Paul Walker
[30:40] 他的身高是200公分大巨人
[30:42] 以強硬的手段
[30:44] 當時就擊敗了二信同盟
[30:46] 1979年到1987年
[30:48] 那他的確利率很高
[30:49] 升高也很高
[30:50] 那葛林斯潘的部分
[30:52] 升高沒那麼高
[30:53] 不過呢
[30:53] 還是偏高
[30:54] 大概180公分
[30:56] 執掌聯準會
[30:57] 很長一段時間
[30:58] 從87年到06年
[31:00] 這段時間呢
[31:01] 他是一個緩降息的態勢
[31:02] 但是利率在美國長期
[31:04] 過去30年週期當中
[31:05] 還是偏高
[31:06] 伯南克就稍微矮一點了
[31:08] 所以08年你看到
[31:09] 開始降息
[31:10] 那葉倫最低嘛
[31:11] 葉倫因為從11年12年
[31:13] 持續採取降息週期
[31:14] 升高稍微矮一點
[31:16] 但是在金融界
[31:17] 有著這種我們講說
[31:18] 從極度QE轉往逐步縮表態勢的
[31:22] 一個指標性的聯總會主席
[31:24] Bauer的部分升高稍微高一點
[31:26] 所以利率稍微升回來
[31:28] 那Wash大概比Bauer高個一公分到兩公分
[31:32] 所以會不會出現變數呢
[31:33] 我認為會出現變數
[31:34] 因為Wash沒有像Bauer表現的這麼陰
[31:38] 這給投資朋友做另外一層思維
[31:40] 其實主席還是有用處的
[31:42] 我們雖然這樣講
[31:43] 主席沒辦法獨斷聯總會的內部決策權
[31:47] 因為聯準會仍然採取的是利率集體共識
[31:50] 而並不是主席拍板
[31:52] 那只是說呢
[31:53] 在聯準會主席的這種要件當中
[31:57] 他有幾個條件和優勢存在
[32:00] 就是他可以藉由規則來賭注人
[32:02] 他有這個意識的這種開會權
[32:04] 那聯準會主席呢
[32:06] 不只有意識設定權
[32:07] 還有共識的塑造者
[32:09] 不管是今天我們要討論模型
[32:11] 我們討論什麼模型
[32:12] 我們風險權重怎麼分配
[32:14] 這是由主席和幕僚主導的
[32:16] 所以我無法逼你要投降息票
[32:18] 可是呢
[32:19] 我可以逼你來討論這個模型
[32:21] 那你可能在這個模型底下
[32:22] 被迫就會影響成
[32:24] 內部的集體共識啊
[32:25] 所以呢
[32:26] 其實主席還是有用處的
[32:28] 只不過呢
[32:28] 他的用處不是強迫你投票
[32:31] 只是呢
[32:32] 他用規則來
[32:33] 讓你選擇你能討論的範圍
[32:36] 這是我的看法
[32:37] 所以我相信主席
[32:38] 還是有一定程度的作用的啦
[32:40] 給投資朋友做一些思考啦
[32:42] 其實你要觀察
[32:43] 這個很多人啊
[32:45] 想要上那個談判桌
[32:46] 他都會受到這種主席的譴責
[32:48] 就好像這兩天
[32:50] 我看那個愛波斯坦檔案
[32:51] 那裡面不是有很多重量級人士
[32:53] 什麼從王室到富豪
[32:56] 那有沒有發現很有趣
[32:58] 裡面因為我稍微看了一下
[33:00] 整個檔案裡面
[33:03] 沒有任何一個亞裔
[33:05] 沒有東亞
[33:07] 也沒有東南亞的人加入在裡面
[33:09] 就裡面全從頭到尾都是
[33:11] 安格魯薩克遜集團
[33:13] 這個犯罪集團
[33:15] 就是每天號稱保護兒童的國家
[33:17] 然後做這樣的事情
[33:18] 裡面沒有一個亞裔人
[33:19] 沒有納德拉
[33:21] 沒有皮查伊
[33:22] 沒有黃仁勳
[33:22] 沒有孫正義
[33:23] 為什麼
[33:24] 沒有資格
[33:25] 對不對
[33:26] 安格魯薩克遜人
[33:27] 就種族歧視
[33:29] 所以某種程度這是好的
[33:32] 但是我們講的
[33:33] 聯總會主席
[33:34] 他就是有這種規劃資格的能力
[33:37] 設定資格的能力
[33:38] 把部分人排除在外
[33:40] 或者他可以設定一個意識規則的能力
[33:42] 對
[33:43] 連比爾蓋茨都在裡頭
[33:44] 這群白人真的是
[33:46] 哪個女人沒過去
[33:48] 哪個男人沒去過
[33:50] 我已經準備好
[33:51] 我要抵制小畫家了
[33:53] 本來要抵制Paul Point
[33:55] 但是斟酌一下
[33:57] 還是抵制小畫家就好
[33:58] 等我用不到Paul Point再說
[34:00] 所以我們看
[34:01] 今天講的範圍很多
[34:03] 就零五分了
[34:03] 今天我們講的是
[34:04] 從一開始經營價格的下跌
[34:06] 一路到聯總會主席的產生
[34:09] 以及最後股票市場和風險資產
[34:12] 它是否會進一步
[34:13] 反映經營價格的變動
[34:14] 那從目前臺股來看
[34:16] 下跌446點
[34:17] 31617點
[34:19] 其實還好了
[34:20] 現在500點都正常波動
[34:21] 那重點在於
[34:22] 股市的情緒傳導
[34:24] 會不會像金銀放大的這麼快
[34:26] 金銀最大的教訓
[34:27] 其實就是槓桿部位過度放大
[34:29] 對於自身資產的傷害
[34:31] 可是從中長期角度而言
[34:32] 我認為不要過度悲觀
[34:34] 當然這只是我個人看法
[34:36] 大家有不同的想法來做借鏡
[34:37] 也給投資朋友做一些思考
[34:39] 如果喜歡我們節目
[34:39] 記得幫我們訂閱按贊加分享
[34:41] 我們就明天早上半半
[34:42] 早晨財經速解讀
[34:43] 再相見
[34:43] 祝各位投資朋友看盤順利
[34:45] 炒盤愉快
