[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 我们过去提过
[26:01] 第四那当然就是
[26:03] 我们讲说全球在去美元化
[26:05] 或者在风险对冲底下
[26:06] 它配置的这种长期的买盘的推力
[26:09] 所以我个人的看法是
[26:10] 黄金价格的下跌
[26:12] 我也不认为是避险效果突然失败了
[26:14] 或者连总会
[26:15] 现在从降息转升起了
[26:17] 没有这么严重
[26:18] 就是涨多了
[26:19] 黄金已经是连续两年全球最亮丽的资产了
[26:23] 它的波动稍微大一点也是可以理解的
[26:26] 所以现在真正观察的几大重点
[26:28] 并不是说股票市场好像涨不动了
[26:32] 云油价格是不是见顶了
[26:34] 黄金价格是不是不避险了
[26:36] 其实各大资产
[26:37] 你还是必须用更长远的格局来做更进一步的留意
[26:41] 因为这个世界的确某种程度而言
[26:44] 它在打破我们熟悉的金融定律
[26:46] 那你只能用稍微更长的时间来做观察
[26:48] 用资产配置嘛
[26:50] 有涨有跌
[26:50] 互相冲销
[26:51] 你以为战争来了
[26:52] 资金一定会进黄金
[26:54] 结果黄金有时候波动率大
[26:56] 一天跌个3% 5%
[26:58] 很正常啊
[26:59] 你以为美债是终极的避风港
[27:01] 结果通膨升温
[27:02] 殖利率上行
[27:03] 美债价格反而下跌了
[27:04] 你以为比特币是去中心化
[27:06] 不受主权风险的影响
[27:08] 结果呢
[27:08] 它跟风险资产一起被抛售
[27:10] 甚至呢
[27:11] 抛售程度来得更剧烈
[27:13] 美元因为利率逾期而转强
[27:15] 两年期国债值利率逼近高点
[27:17] 市场它真正恐惧的
[27:19] 就是通膨汗利率
[27:20] 是否会停在高涨更久
[27:22] 所以有时候我们讲说
[27:23] 整个后疫情时代
[27:24] 很多资产价格的联动性
[27:27] 包括IGV
[27:28] 软体股跟硬体股的脱钩
[27:30] 或者大型股跟小型股的脱钩
[27:33] 都在陆续上演当中
[27:35] 那也不是说战争没有用了
[27:37] 过去历史没有用了
[27:38] 而是疫情以后的世界
[27:40] 它的确换了一大方向
[27:42] 这个世界的确慢慢的在打破
[27:45] 我们过去熟悉的金融定律
[27:48] 你以为要避险的是黄金
[27:50] 实质上大家避险的
[27:52] 好像是避流动性
[27:53] 先给我一些现金
[27:54] 你以为要对冲风险
[27:55] 结果大家想要的是保留子弹
[27:58] 那儿子怎么念书都念不好
[28:01] 异性蓝三
[28:02] 每天浑浑噩噩
[28:03] 结果成绩出来
[28:04] 考试的确考很烂
[28:06] 妈妈半黑脸
[28:07] 直接揍了他一顿
[28:08] 爸爸就改白脸去安慰他
[28:11] 儿子你要好好学习
[28:13] 长大了一定要比爸爸混得更好
[28:16] 你要多读书
[28:17] 那儿子咬着牙
[28:19] 别的我不敢保证
[28:20] 但我找的老婆
[28:21] 一定要比你老婆更温柔
[28:23] 比你老婆来得更好
[28:24] 你以为你会让他多读书
[28:27] 他只是换一个方向去
[28:29] 找温柔的老婆
[28:30] 你以为你要的避险是黄金
[28:32] 他要避险的
[28:33] 避的是什么
[28:34] 其实避的是他的流动性
[28:35] 避的是未来还有重返市场的空间
[28:38] 这个就是后疫情时代的
[28:40] 投资观念的转折
[28:41] 这一刻市场给出的讯号就很明显了
[28:44] 乱世
[28:45] 黄金是不是必涨
[28:47] 去中心化
[28:48] 是不是百分之百保值
[28:49] 国债是不是一定安全
[28:51] 这个都是我们后续可以探讨的话题
[28:53] 但这就是后疫情时代的观察方向
[28:56] 那我们今天聊的范围稍微比较广一点
[28:59] 来跟投资朋友做一些梳理
[29:01] 基本上就是市场上现在在交易的
[29:05] 并不是单纯交易战争本身
[29:08] 他是在交易说
[29:09] 战争会不会改变长期的利率路径
[29:12] 时间性就特别重要
[29:13] 油价如果没有长时间时空
[29:15] 我是这么认为的
[29:16] 没有把通膨预期重新推高到
[29:18] 连总会要到转阴的程度
[29:20] 我认为股票市场的下跌
[29:22] 更像是风险一筹的重新定价
[29:24] 他从头到尾都是在反映AI
[29:26] 而并不是在反映战争的风险
[29:28] 黄金的震荡
[29:30] 它反映的是殖利率的压力
[29:32] 并不是避险的全面失效
[29:34] 但是重点还是来自于
[29:36] 黄金价格这几年涨幅
[29:37] 稍微大了一些
[29:38] 真正的分水岭
[29:40] 还是来自于时间
[29:41] 你拖得越久
[29:42] 能源成本就会渗透到
[29:43] 企业利润和消费信心
[29:45] 但你看得出来
[29:46] 有一只无形的手
[29:48] 已经伸进去你的裤裆
[29:49] 不是伸进去现在的市场
[29:52] 这个是无形的手是谁呢
[29:54] 就是川普本人
[29:55] 他已经敦促美国海军
[29:57] 陆续抵达赫姆兹海峡
[30:00] 他已经敦促美国的保险公司
[30:02] 陆续来帮这些邮轮来进行承保
[30:04] 对于投资人来说
[30:05] 现在比方向更重要的就是节奏了
[30:08] 比立场更重要的就是现金流
[30:10] 和部位的弹性
[30:11] 也给投资朋友做一些参考
[30:12] 台股下跌767点
[30:14] 那每天这样子震荡
[30:16] 这每天的点位振幅都是1000点左右
[30:21] 现在台股还在33000点
[30:23] 其实你可以回过头来看
[30:25] 这台股津津涨到现在
[30:27] 它到底反映的是战争风险
[30:28] 还是反映的是
[30:30] 我们到底每个月的AI外销订单会有多少呢
[30:33] 这就是从不同的时间思维
[30:35] 来做更进一步的留意
[30:36] 如果喜欢我们节目
[30:37] 记得帮我们订阅按赞加分享
[30:39] 我们就明天早上半半
[30:40] 早晨财经数点图再相见
[30:41] 祝各位投资朋友看完顺利
[30:43] 操盘愉快
