[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是在上方盘旋一阵子
[25:45] 如何抢下这些订单就特别重要
[25:47] 这又是台湾传产比较擅长的东西
[25:50] 以前传产比较集中在台中一带
[25:52] 但现在南科和台积电
[25:53] 由于AI供应链向外延伸
[25:55] 接下来需要的是马达
[25:57] 减速器
[25:58] 控制器
[25:59] 感应测器
[26:00] 机构整合
[26:01] 所以目前台南政府在做的就是希望
[26:04] 能够成立一个机器人园区
[26:06] 为接下来的市产量产来做准备
[26:09] 当然现在交通更为重要
[26:11] 除了高铁在盖以外
[26:13] 南台湾目前高雄和屏东之间
[26:16] 第二条东西向的快速道路
[26:18] 高屏二快正在快速的推进
[26:20] 这条路会是南台湾AI重要的基础建设
[26:23] 未来会从高铁左营
[26:25] 一路连接到屏东的九炉
[26:27] 串联国道高雄的亚湾
[26:29] 到高屏S廊带的科技园区
[26:31] 因为2033年全线完工以后
[26:34] 其实缩短幅度还好
[26:35] 50分钟变30分钟
[26:37] 但是至少可以大幅改善
[26:38] 目前高频
[26:39] 现在比较依赖台88
[26:41] 或者国道10号
[26:42] 永筛的问题
[26:43] 那不管怎么说
[26:44] 一系列的动作
[26:46] 都是看到国家的总动员
[26:48] 已经准备开始
[26:49] 我们过去讲说
[26:50] 这个AI行情走到现在
[26:53] 它当然有运气的成分存在
[26:55] 但是更有国家力量的干预
[26:57] 但是国家力量过度介入
[26:58] 它也不见得是一件好事
[27:00] 我们过去讲说
[27:01] 是我教授讲的
[27:03] 我们到大学教授
[27:06] 那个时候有个西方经济思想史
[27:09] 他其实就有聊到
[27:10] 到近代台湾最为典型的一个历史
[27:13] 就是1980年代的产业升级条例
[27:15] 在产业升级条例的时候发生时
[27:18] 市场上总会有不同的解读
[27:20] 可是从历史的评价来看
[27:21] 你会发现大概有几个因子所组成
[27:25] 哪几个因子呢
[27:26] 第一个是风水
[27:28] 第二个是八字
[27:29] 第三是运气
[27:30] 什么是风水
[27:32] 就是1980年代
[27:33] 台湾推出产业升级条例时
[27:36] 如果没有刚好遇到
[27:37] 美日半导体贸易战
[27:39] 没有美方技术的授权
[27:41] 整个国际产线的挪移
[27:43] 台湾最需要的技术
[27:44] 怎么会这么顺势的
[27:46] 就拿到一些专利技术
[27:47] 来做生产呢
[27:48] 第二是八字
[27:50] 命要够硬
[27:51] 经过地缘政治的纷纷扰扰
[27:53] 你又有便宜耐操的员工
[27:55] 你发现怎么样都急不倒你
[27:57] 第三是运气
[27:59] 张忠谋先生也是一样
[28:00] 本来在德州一气
[28:01] 怎么会刚刚好就回台湾了呢
[28:03] 怎么会这么幸运
[28:04] 获得这样的一位伟人呢
[28:06] 这要有点运气的
[28:07] 97年的金融风暴
[28:09] 把韩国市场打到进地狱
[28:11] 但是台湾市场却安稳的活下来
[28:15] 所以你既要有风水
[28:17] 又有八字
[28:17] 又有运气
[28:18] 这不是一套
[28:20] 我们想要做就能够成的
[28:21] 所以有时候我们讲说古人
[28:23] 古人不是常讲成功的十大要素吗
[28:27] 成功十大要素是什么
[28:29] 一命二运三风水
[28:31] 四积英德五读书
[28:33] 六名七相八进神
[28:35] 九交贵人十养生
[28:37] 一命二运三风水
[28:39] 前面三项跟个人努力好像没什么关系
[28:41] 第一个是命运
[28:43] 第二个是运气
[28:44] 第三个是风水
[28:45] 四积英德扶老太太过马路
[28:47] 第五你要多读书
[28:49] 第六
[28:50] 六名七相
[28:52] 你要有足够的名声
[28:53] 好的名声
[28:54] 然后长相要好看
[28:57] 平时要拜乖乖
[28:58] 久交贵人
[28:59] 你要认识一些贵人
[29:01] 像我们小编
[29:02] 第十你要懂得养神
[29:03] 适时的排毒
[29:04] 所以成功十大要素
[29:07] 前面几名一命二运三风吹
[29:09] 他是一连串机缘巧合底下
[29:11] 形成台湾如此的爆发
[29:13] 那现在我们好不容易掌握了这个契机
[29:16] 一定要有国家队的参与
[29:17] 这是必定要存在
[29:18] 所以国家队当然现在有点贬义词
[29:20] 开玩笑
[29:21] 但国家队是一定要存在的
[29:23] 为什么
[29:23] 因为我们看到各大国家力量
[29:25] 它对于整体市场产生了两大指标
[29:28] 第一个指标是
[29:29] 这场泡沫跟1999年最大的区别在于
[29:32] 99年没有国家队的参与
[29:34] 所以泡沫的破灭
[29:35] 它是一个民间自然反应市场
[29:38] 过度固执投射之后的现象
[29:39] 可是现在泡沫破灭
[29:42] 等同于政府所信任的政策自我破灭
[29:45] 这对政府而言
[29:47] 可能是很难接受的事情
[29:48] 第二件事情要了解
[29:50] 移民厄运三风水
[29:51] 一言之言巧合底下
[29:53] 塑造了台湾目前的一个繁荣
[29:54] 不代表我们不要努力了
[29:56] 努力是为了让我们有更好的运气
[29:59] 更好的命运
[30:00] 更好的风水
[30:01] 更好的巴士
[30:02] 这给投资朋友多做一些思考了
[30:04] 行情走到这个地步
[30:06] 你可以了解
[30:07] 13年前
[30:08] 当时我们看到三星要灭台
[30:12] 后来事实已经证明了
[30:13] 没有成功
[30:14] 13年之后
[30:15] 全球的竞争已经重新洗牌
[30:18] 当时三星的市值是高达6兆新台币
[30:21] 年营收是5.5兆新台币
[30:23] 这个规模是怎么样
[30:25] 是当时台积电市值的两倍
[30:27] 现在台积电市值
[30:29] 是远远高于三星
[30:30] 所以在这样效果底下
[30:32] 等同于风水轮流转
[30:34] 没有一个国家可以确保
[30:36] 短期内几年的国家战略
[30:38] 就可以确保
[30:39] 十年以上的长期领先
[30:40] 十年就足以扭转
[30:42] 当时的灭台计划
[30:43] 这也是我们值得省思的
[30:45] 但是也说明着
[30:46] 整个AEI时代
[30:47] 国家队的重要性
[30:48] 台股上涨1170点
[30:50] 涨太多了
[30:51] 根本就是在反映
[30:54] 我今天的提行情
[30:56] 如果刚刚讲完了
[30:57] 我抬鼓大碟
[30:58] 好像就有点尴尬
[30:59] 好险好险
[30:59] 你看涨了1086点
[31:01] 刷了46086点
[31:03] 我们今天主要就跟投资朋友稍微分享
[31:05] 从当前的行情的变动
[31:07] 市场上进一步信心的提振效果
[31:10] 它背后反映的估值
[31:12] 不单单是单纯对于AI
[31:14] 算力生产力提高的预期
[31:16] 不只是这些企业主动带头
[31:19] 自己投钱给予的信心
[31:21] 不只是国家队给予你更高的估值
[31:24] 还包含着我们如何在这个时代当中
[31:26] 认清时代的变迁
[31:28] 是如何一步一步的降临在我们身上
[31:30] 要掌握这个来之不易的机会
[31:33] 给投资朋友多多热烈思考
[31:34] 如果喜欢我们的节目
[31:34] 记得帮我们订阅按赞加分享
[31:36] 我们就明天早上半半
[31:37] 找成财经缩写图再相见
[31:38] 祝各位投资朋友看完顺利
[31:40] 操盘愉快
