[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 谈判已经出现了曙光
[25:08] 看起来已经开始逐步爆发了
[25:10] 但是到底谁拿走了生产力呢
[25:12] 看起来是没有人知道的
[25:14] 所以很多人进入AI时代之后
[25:15] 就开始出现一种焦虑
[25:17] 好像别人都已经看懂未来
[25:19] 掌握技术
[25:20] 准备起飞
[25:21] 可是其实大多数人
[25:23] 尤其是传统劳工
[25:24] 现在都还留在原地
[25:25] 冷静看就会发现
[25:27] 其实现在大家都在摸索
[25:28] 其实你也不要讲说
[25:30] 顶头的上司
[25:32] 就连是那些最顶尖的公司
[25:34] 他们也在喊AI转型
[25:36] 但内部一样混乱
[25:37] 很多人讲的AGI好像快要降临了
[25:39] 可是连基本商业模式还没有搞清楚
[25:41] 最后呈现的效果就是
[25:43] 你会发现大多数人
[25:45] 其实都在迷茫当中持续前进
[25:47] 我们能够唯一做的
[25:48] 就是尽可能去吸收薪资
[25:50] 其实大部分人
[25:52] 大家都在同样的噪音里头
[25:54] 慢慢的往前行
[25:55] 多数人是迷茫的
[25:56] 也不用特别害怕
[25:57] 这就是这个时代所遇到的问题
[26:00] 前阵子看到
[26:02] 丈夫被太太逼着去听音乐会
[26:05] 演奏到一半
[26:07] 太太就用手肘顶了一下丈夫
[26:09] 你看真不像话
[26:11] 前面那个人居然听到睡着了
[26:14] 丈夫就抱怨了
[26:16] 你把我弄醒
[26:17] 就为了告诉我这句话
[26:18] 大家都差不多
[26:20] 所以你会发现
[26:21] 这个时代大部分人都差不多
[26:22] 嘴巴上讲的有方向
[26:24] 感觉好像很懂趋势
[26:25] 但内心其实大多数人
[26:27] 现在都一样迷茫
[26:28] 有的人害怕错过AI
[26:29] 有的人怕失业
[26:30] 有的人怕资产缩水
[26:31] 有人怕到底AI是玩真的玩假的
[26:33] 真的看懂未来的人
[26:35] 其实也不多了
[26:36] 我们只能边走边猜
[26:37] 一边参与着大盘
[26:38] 好当然回过头来说
[26:40] 那也就意味着
[26:41] 在这样的效果底下
[26:43] 整个AI的竞争已经全面打开
[26:45] 代表的是国家队的进驻
[26:47] 引发了第三个新时代
[26:48] 我们看到这一次日韩
[26:50] 这一次高速早苗
[26:51] 跟李在明这次的会面最重要的共识是什么最重要的共识就是加强深化能源和供应链的合作这次不只是我们看到日韩美国的部分也开始采取了
[27:02] 进一步产业国家资本主义的发扬
[27:04] 美国政府在昨天正式宣布
[27:06] 国家量子电脑计划
[27:08] 这一次政府会宣布
[27:09] 投入20亿美元
[27:10] 直接入股9家量子电脑公司
[27:13] 把量子科技拉进到国家战略层面
[27:16] 这是昨天格罗方德大涨的原因
[27:18] 这次受惠企业
[27:19] 包括IBM
[27:20] 格罗方德
[27:20] 那一系列量子公司
[27:22] IBM会获得10亿
[27:23] Growth Founder会获得3亿
[27:25] 这也就意味着
[27:26] 美国国家队的扶持
[27:28] 已经完全正式展开
[27:29] 那不只是美国
[27:31] 刚才讲到的日韩也是如此
[27:32] 日本高市早苗
[27:33] 在本月份正式成立
[27:35] 日本全面产业国家队
[27:38] 全球都开始往同一个方向走
[27:40] 日本提出的战略计划
[27:41] 是把AI半导体
[27:42] 量子科技
[27:43] 航太
[27:43] 升级能源
[27:44] 防卫
[27:45] 网际网路
[27:45] 通讯
[27:46] 还有先进材料
[27:47] 全部扶持
[27:48] 那能够采取进一步的补贴
[27:50] 所以我看日在可能真的要爆了
[27:52] 尤其日本现在大力的推行人形机器人
[27:55] 从本田当时所推出的ASMO
[27:58] 第一代机器人
[27:59] 到后来原子小金刚
[28:00] 还有哆啦A梦
[28:01] 现在日本还是全球第三大的机器人市场
[28:03] 大概占比23.7%
[28:05] 那高市政府还没有放弃希望
[28:07] 开始强调国产AI和国产大脑
[28:10] 日本企业在打一场时间战
[28:12] 希望趁实体AI全面爆发之前
[28:14] 赶快调整产能
[28:16] 先把美国给追过去
[28:18] 跟中国一决死战
[28:19] 这是日本短期内的计划
[28:21] 那当然对于韩国而言
[28:24] 我们看到内部的政策
[28:25] 昨天我们提告
[28:26] 不管是之前的
[28:28] AI鱿鱼游戏计划
[28:30] 包括韩国政府提拨大量预算
[28:32] 来打造自我的主权AI
[28:34] 台湾也是如此
[28:35] 台湾目前在昨天行政院
[28:37] 正式成立了
[28:38] 国家AI战略特别委员会
[28:40] 由行政院长周中泰亲自召集
[28:43] 同时由国科会来主导
[28:44] 制定第一部国家AI发展纲领
[28:47] 这代表台湾的AI政策
[28:48] 过去是分散式推动
[28:50] 现在进入到国家统筹型阶段
[28:53] 那这一次人工智慧基本法
[28:55] 也会接轨欧盟高风险的AI规范
[28:58] 如果AI可能会涉及到安全公共利益
[29:00] 或者高风险的应用
[29:01] 会受到更高程度的监管
[29:03] 这也说明着
[29:04] 台湾已经正式进入到战略国家化时代
[29:07] 其实我们看过去两年的确是蛮多国家队的
[29:10] 比如说像AI国家队
[29:11] 无人机国家队
[29:12] 资安国家队
[29:14] 太空国家队
[29:15] 生技国家队
[29:16] 少子化国家队
[29:17] 任性国家队
[29:18] 智慧机器人国家队
[29:19] 你说只会成立
[29:21] 不会做
[29:22] 这是一种说法
[29:23] 但他敢成立
[29:24] 那我们就有地方可以监督了
[29:28] 那就拭目以待
[29:29] 该骂就骂
[29:30] 该赞美就赞美
[29:31] 这是民主社会
[29:32] 所以一系列这种AI的爆发
[29:34] 它基本上就引得
[29:35] 国家资本主义的强势介入
[29:37] 举几个例子来说
[29:39] 台湾的电信产业
[29:40] 或者我们看到通信产业
[29:42] 目前已经受到进一步的改革
[29:44] 台湾正是在本周启动6G布局
[29:47] 速发部已经正式规划
[29:49] 2028年会启动
[29:50] 频谱的清理和视照准备
[29:52] 预估6年会投入270亿
[29:54] 把6G的关键设施的自主率
[29:57] 拉到8成
[29:57] 避免
[29:58] 因为其实我们5G设备
[30:00] 很大程度是依赖外国设备
[30:01] 那你更不要讲欧盟了
[30:03] 欧盟搞不好50%以上
[30:04] 都用华为的系统
[30:05] 现在目标就是台湾
[30:06] 在2030年前要完成准备
[30:08] 另外一个就是低轨卫星
[30:09] 正式开打
[30:10] 亚马逊旗下的低轨卫星服务
[30:13] Amazon Leo
[30:14] 正式进入台湾了
[30:15] 远传已经正式取得授权的经销资格
[30:18] 这代表台湾通讯产业
[30:20] 也正式进入到太空网络时代
[30:22] 过去大家觉得低轨卫星
[30:23] 那就偏向上网
[30:25] 但现在我们要知道
[30:26] 如果有一天真的打仗了
[30:28] 真的有灾害
[30:29] 地缘政治下风险的通讯受到干扰
[30:32] 我们还是要靠低轨卫星
[30:33] 光靠马斯克也不太安全
[30:36] 马斯克跟中国关系很好
[30:37] Amazon开始介入进来了
[30:40] 所以全球都在进入一个国家化的模式
[30:42] 从美国的AI到晶片
[30:44] 到量子电脑
[30:45] 到中国的稀土
[30:46] 到电动池
[30:47] 到供应链
[30:48] 再到日本
[30:48] 到韩国
[30:49] 到台湾
[30:50] 现在全面启动了战略产业
[30:52] 本质上
[30:52] 大家在做一件事情
[30:54] 拼命的向前冲
[30:55] 因为大家知道
[30:56] 这已经不是那种
[30:57] 慢慢追赶的时代了
[30:58] 现在是一场赢家通知的
[31:00] 科技和产业淘汰赛
[31:01] 从AI半导体
[31:03] 能源通讯到军工
[31:04] 任何一个产业
[31:05] 慢一拍
[31:07] 后面可能落后的
[31:08] 就不是五年
[31:09] 而是永远做不上了
[31:10] 所以很多国家
[31:10] 现在最害怕的
[31:11] 其实不是说做错方向
[31:13] 是来不及做
[31:15] 你还在犹豫的时候
[31:17] 你还在放不下过去舒适圈的时候
[31:19] 别人已经放进去了
[31:21] 那句话是怎么讲的
[31:22] 你放不下的时候
[31:25] 别人已经放进去了
[31:27] 你快撑不住的时候
[31:29] 他也快撑不住了
[31:30] 当你泪流满面的时候
[31:32] 他已经汗流浃背了
[31:34] 当你哭到没声音的时候
[31:36] 他已经喊到没声音了
[31:39] 你含泪思念的人
[31:41] 已经含住别人了
[31:43] 你走不出来
[31:44] 别人都已经出来了
[31:46] 你还在想到底为什么会这样子
[31:48] 人家已经到底了
[31:50] 所以现在很多国家最害怕的
[31:52] 其实就是
[31:53] 不是做错没关系
[31:54] 是来不及做
[31:56] 因为AI这一波
[31:56] 它不是科技革命
[31:58] 它是一次性的全球财富
[32:00] 产业权利的重新分配
[32:01] 谁能够在短短几年
[32:04] 建立好你的算力
[32:05] 建立好你的资料
[32:06] 建立好的能源
[32:07] 你的供应链用事
[32:08] 接下来十年光吃红利都够了
[32:11] 所以现在如果还在内部斗争
[32:12] 还在政策摇摆
[32:13] 还在彼此消耗
[32:14] 还在怀疑
[32:15] AI到底这不重要
[32:16] AI会不会是泡沫
[32:17] 那你很有可能就看着
[32:19] 别人就把市场
[32:20] 把人才
[32:20] 把资本
[32:21] 把技术全部给吸走了
[32:22] 成立国家队
[32:23] 这是一个必然的趋势
[32:25] 那当然该监督的
[32:26] 还是要好好监督
[32:27] 可是全球已经正式进入到
[32:29] 国家产业资本主义模式
[32:32] 9月04分
[32:32] 台北股市上涨502点
[32:34] 41870点了
[32:36] 这股价是真的
[32:37] 我们今天跟投资朋友
[32:38] 导读一本书叫做财富阶梯
[32:40] 每个礼拜
[32:41] 我们都会跟投资朋友分享
[32:42] 主要是希望大家
[32:44] 除了从我们原本的新闻
[32:45] 最终当中获取一些资讯
[32:47] 一些观点以外
[32:48] 也能够从不同的书籍
[32:49] 来获得更进一步的思维
[32:51] 本书财富阶梯的作者
[32:53] 尼克·马朱利
[32:54] 他是过去财富管理公司的
[32:57] 资料科学家
[32:58] 负责统筹营运
[33:00] 而且他有很多文章
[33:01] 《代化街日报》
[33:02] 或者《日三纪时报》
[33:04] 都有彰显
[33:05] 上一本书很有名
[33:07] 大家知道叫《持续买进》
[33:09] 所以有看过的都知道
[33:10] 这本书财富阶梯
[33:12] 很明显
[33:12] 它是在持续买进的过程当中
[33:14] 进一步不同阶级
[33:18] 在存钱当中的规划
[33:19] 财富阶梯的概念很简单
[33:21] 因为不同
[33:22] 这本书也很薄
[33:23] 其实看了很好懂
[33:24] 就是不同财富等级的人
[33:26] 资产不到1万美元的人
[33:28] 他所需要的不是投资技巧
[33:30] 他看债都财经好脚没有用
[33:31] 要提高收入
[33:32] 建立储蓄能力
[33:33] 到中产阶级
[33:34] 才开始进入到持续买进
[33:36] 和长期投资
[33:36] 再往上走
[33:38] 走的就是如何靠资本
[33:39] 靠品牌
[33:40] 靠团队影响力
[33:42] 创造杠杆效应
[33:43] 所以作者也不是天生赢家
[33:44] 他里面讲了蛮多他自己的故事
[33:46] 包括从很普通的家庭
[33:48] 偏辛苦的家庭
[33:49] 一路的往上
[33:50] 一开始靠的是长时间的工作
[33:51] 再后来靠持续投资
[33:53] 最后发现可以塑造自己的品牌力
[33:56] 每跨上一层
[33:57] 你看待世界的方式就不太一样
[34:00] 其实我觉得本书当中
[34:02] 其实他慢慢的还是透露出
[34:04] 财务自信的目标
[34:05] 财务独立是每个人都要追求的
[34:07] 但是很多人把财务独立
[34:09] 当成终极目标
[34:11] 赚够3000万退休
[34:12] 赚够3亿就退休
[34:14] 但是其实比财务独立更重要的
[34:16] 其实是财务自信
[34:17] 也就是自己对于创造现金流
[34:19] 和价值能力的信任
[34:21] 你要有一种信任感
[34:24] 我们2019年就开始直播
[34:26] 当然我本人也累积了一些资产
[34:28] 做好了一些退休规划
[34:30] 但是真正能够让你的心态
[34:32] 完全放松的
[34:33] 我觉得不是那个绝对金额有多少
[34:36] 就算绝对金额
[34:37] 你可以成功突破1亿
[34:39] 突破2亿
[34:40] 突破3亿
[34:40] 到10亿
[34:41] 100亿
[34:42] 你以为人生就突然改观了
[34:44] 然后就再也不会有那种财富上的
[34:46] 不是说我的身价有10亿
[34:48] 我只是从他的书中获得的灵感
[34:50] 就是一个人
[34:52] 钱财到达一定程度之后
[34:54] 他只是追求的方向不一样
[34:56] 但是你真正可以让自己心安的是什么呢
[34:59] 是财务自信
[35:00] 是告诉你
[35:01] 有一天可能会发生战争
[35:03] 有一天可能会有黑天鹅事件
[35:05] 有一天你的资产会被夺走
[35:07] 有一天你的太太会离开你
[35:09] 有一天你的公司会开除你
[35:10] 有一天你辛辛苦苦存的退休金
[35:13] 都会被诈骗给骗光
[35:14] 但是最后你知道自己还有能力
[35:17] 你的本业收入会回来
[35:18] 因为你有财务自信
[35:20] 把所有我的一切都给夺走
[35:22] 我一样能够东山再起
[35:24] 这种财务自信
[35:25] 它是你永远心理健康
[35:28] 真的有底气的来源
[35:29] 所以大家不只要有财务独立的目标
[35:31] 更要有自己的财务自信
[35:33] 培养自己的关键能力
[35:34] 如果把你的职位给拿掉
[35:36] 你是不是就没有能力
[35:37] 把你钱拿掉
[35:38] 你是不是缺乏能力了呢
[35:40] 这是非常重要的观念
[35:41] 一定要培养好
[35:42] 自己的财务自信
[35:43] 提供给投资朋友
[35:44] 就07分
[35:45] 如果喜欢我们节目
[35:45] 就帮我们订阅按赞加分享
[35:46] 我们就明天早上
[35:48] 今天礼拜五了
[35:48] 周末愉快
[35:50] 我们就下礼拜一
[35:51] 早上八点半
[35:52] 早晨财经4点多再相见
[35:53] 祝各位投资朋友
[35:54] 看完顺利
[35:54] 超买愉快
