[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 昨天期货价格大涨了5.2%
[24:56] 频率最重要
[24:58] 当然你频率要对
[24:59] 你也不能太久来一次
[25:01] 一年定级定额一次
[25:02] 那你就失去效果了
[25:03] 你说我一年只买一张
[25:05] 那你真的还不如买贵一点
[25:07] 去买零股掌握周期好好的参与市场更了解重要的事情是市场的变化过于极端都不好了你说你天天交易那肯定也不好你买了再也不管
[25:18] 那也不好了
[25:20] 间隔一定的频率
[25:21] 来审视自己的部位
[25:23] 买入一定的部位
[25:24] 持续参与市场行情
[25:26] 其实是非常重要的
[25:27] 要了解说
[25:28] 第一你自己的频率是多高
[25:31] 第二你要了解市场的频率
[25:33] 如果你想要加大扣款力度
[25:34] 每隔几个月
[25:36] 你看现在就是
[25:36] 都会有乖离回调的时候
[25:38] 那重点是你要了解
[25:39] 这个市场的频率
[25:40] 大概是多久发生一次
[25:42] 比较系统性的
[25:43] 或者周线等级的回调
[25:45] 大家都知道世界杯
[25:46] 每四年才一次
[25:47] 那每次有人看世界杯
[25:49] 你有看吗
[25:50] 有啊有啊
[25:50] 我每年都看
[25:51] 你是不是支持兄弟项
[25:53] 所以你可以观察到
[25:55] 很多时候
[25:56] 对于市场没有足够的认知
[25:58] 就会形成这样的一个副作用
[25:59] 也给投资朋友多做一些参考
[26:01] 好当然了
[26:02] 我们回过头来看
[26:03] 现在市场上更进一步聚焦的
[26:05] 是那如何我们看到
[26:07] 台湾市场的金融环境
[26:09] 变得更加宽松以后
[26:10] 能够引得市场的买盘
[26:12] 有进一步刺激出现呢
[26:14] 毕竟我们知道
[26:15] 现在台湾正在用力的推亚资中心
[26:17] 那虽然我们知道
[26:19] 在全亚洲市场当中
[26:21] 台湾的市值已经仅次于东京股市了
[26:24] 仅次于东京和香港股市
[26:26] 不过我们还是可以清楚观察到
[26:28] 从金融中心的竞争力来看
[26:32] 台湾是靠半导体的
[26:33] 大规模的资金行情回流所造成的
[26:35] 而并不是我们单纯的竞争力
[26:38] 那现在台湾在这几年
[26:40] 我们也看到金管会
[26:41] 做了比较积极的改善
[26:43] 包括雅致中心
[26:44] 包括以实业为基础
[26:46] 来让台商回流
[26:47] 家庭财富的继承特色
[26:49] 走出跟新加坡和香港
[26:51] 不同的发展路线
[26:52] 我们知道新加坡
[26:53] 一直都是主打低税富
[26:55] 政治中立
[26:56] 还有全球的财富管理
[26:57] 那香港主要是扮演国际资金
[26:59] 进入到中国的重要枢纽
[27:01] 那金管会这一次
[27:02] 台湾是希望以科技产业链
[27:05] 作为资本市场优势建立起竞争
[27:07] 第一台湾自己就有庞大的超额储蓄
[27:09] 钱是很多的
[27:11] 第二参考新加坡或者香港的建立制度
[27:14] 来建立财富来源查和汉反洗钱机制
[27:17] 来提升高资产客户的管理标准
[27:20] 所以25年我们看到台日的ETF
[27:23] 跨境挂牌就已经开始做陆续推升
[27:25] 第二点就是开放外币的债券双挂
[27:28] 以及放宽海外子公司的发债资格
[27:31] 那另外一方面我们看到
[27:33] 新港那种一站式的跨境金融服务
[27:35] 在雅致中心已经陆续上路了
[27:37] 最近金管会我们看到各部会
[27:39] 推行速度越来越快了
[27:41] 前阵子我们才看到
[27:42] 虚拟资产服务法已经三读通过以后
[27:45] 现在银行已经纷纷抢进到
[27:47] 稳定币和虚拟资产的新战场
[27:49] 最近等同于加密货币
[27:52] 现在已经从灰色地带
[27:53] 变成了受监管市场
[27:54] 传统金融机构也终于可以合法进场了
[27:57] 我们看商桌的资讯
[27:58] 其实富邦集团早就已经
[28:00] 透过台湾大来布局虚拟资产的交易所
[28:03] 联邦银中信银国泰世华
[28:05] 还有凯基台新远东
[28:07] 大家都开始主动研究
[28:09] 那专法上路以后
[28:11] 第一个爆发的场景就是跨境收入
[28:13] 报告指出有42%的企业
[28:15] 已经开始使用稳定币做跨境支付
[28:17] 那去年3900亿美元的稳定币支付当中
[28:21] 企业的交易就大概占了接近有六成
[28:23] 台湾大概有一成已经有意愿
[28:25] 在使用相关稳定币
[28:28] 那前阵子我们也提到
[28:29] 清管会其实也陆续开放上市柜公司
[28:32] 以美元来进行股利的发放
[28:33] 希望至少拖缓外资的卖超
[28:37] 以后你来台湾投资
[28:39] 你直接拿走美元股利
[28:40] 直接领台信件股利
[28:41] 用美元的方式来做领走
[28:43] 那本土投资人领新台币
[28:45] 切割成两个体系
[28:47] 对于汇率风险而言会加大
[28:49] 可是让市场的流动性来得更好
[28:51] 包括雅兹中心的部分
[28:52] 从商品的多元化
[28:54] 最近ETF各类型的越来越多
[28:56] 壮大投信计划
[28:58] 放宽全权委托
[28:59] 还有雷权为保单的交易限制
[29:01] TISA大家应该有感受到
[29:03] 政府也推得很用力
[29:05] 其他我们看到像创投
[29:07] 家族办公室私人银行
[29:08] 前阵子天下和商周都有做专题
[29:11] 可以发现台湾有庞大的继承潮
[29:13] 陆续的出现
[29:14] 现在如果是从高雄专区的五大受险
[29:18] 高资产业务的成果
[29:19] 表现其实都相当不错
[29:21] 高资产保险大概这两年
[29:23] 已经吸收接近有60亿左右
[29:25] 很多人说你设一个专区目的是什么
[29:28] 其实就是试行
[29:29] 就是看看我设一个专区以后
[29:31] 可以吸到多少资金
[29:32] OK以后就进行全台湾的
[29:34] 持续监管法规的全面收榜
[29:37] 其实根本原因就来自于
[29:38] 台湾最大的优势就是
[29:40] 来自于内部财富太多
[29:42] 所以有底值可以这样子玩
[29:44] 慢慢调整也没关系
[29:45] 外资临时不回来也没关系
[29:48] 因为台湾就突然多出了这么多的钱
[29:50] 我们根据KPNG最新的调查
[29:53] 台湾资产现在一亿以上的高净值客户
[29:56] 我们讲的高净值客户
[29:58] 讲的是把负债全部给清除掉之后
[30:00] 留下来的资产有多少
[30:02] 23年是23兆
[30:03] 26年来到46兆
[30:05] 所以现在已经正式进入到
[30:07] 财富的交棒期了
[30:08] 现在家族办公室
[30:10] 在短短一年增加了161家
[30:12] 大量的外商或者私人办公室
[30:15] 在台北进行进驻
[30:17] 那现在在雅致中心
[30:18] 所以这笔财富
[30:19] 它就会透过私募基金
[30:21] 或者家族办公室
[30:22] 为台湾的ETF注入适度的买盘
[30:26] 所以我们回过头来看
[30:27] 我们要讲的概念就是
[30:28] 很多人看到台股在守月线
[30:31] 觉得位阶很高
[30:33] 风险最大
[30:34] 看到韩国股市
[30:35] 日本股市废办
[30:36] 都是寄线保卫战
[30:37] 觉得他们比较安全
[30:39] 可能有反弹空间
[30:40] 生命线
[30:41] 但市场它从来不是比较技术线性
[30:44] 它是反映不同国家的基本面
[30:46] 它的资金结构
[30:48] 产业地位
[30:48] 如果看一条均线
[30:50] 接着下结论
[30:50] 有时候就变成看图说股市
[30:52] 虽然我们也是看图
[30:53] 但是我们要讲述背后的逻辑
[30:55] 以台湾来看
[30:56] AI的出口持续创高
[30:57] 加上本轮涨幅也不是很夸张
[31:00] 那记忆体行情跟台股
[31:02] 也没有指数上的直接性的联动
[31:04] ETF的快速扩张
[31:06] 那反观韩国股市
[31:07] 现在是外资的卖超
[31:09] 杠杆资金的衰退
[31:10] 日本是受到公债殖利率的攀升
[31:12] 和财政一律的影响
[31:14] 表面我们都是亚洲股市
[31:16] 但背后的驱动力量
[31:17] 其实并不太一样
[31:18] 有时候成熟的投资
[31:20] 不是看到谁跌得多
[31:22] 谁就便宜
[31:22] 是说谁涨得高
[31:24] 好像一定危险
[31:25] 也不一定
[31:25] 就理解市场为什么会站在现在这个位置
[31:28] 在决定资金会往哪里走
[31:30] 那投资也是一样
[31:31] 很多人只看对自己有利的证据
[31:34] 一旦找到了一个
[31:35] 能够支持自己观点的讯号
[31:37] 好像就觉得答案很明显
[31:39] 但市场它不是由单一数据决定的
[31:41] 它是无数个因素共同影响
[31:43] 你要至少用一个比较公允的角度
[31:45] 尽可能的去观看
[31:47] 如果只看见自己想看见的
[31:49] 那你就很容易做出错误的判断
[31:52] 那我之前不是讲了很有名的故事
[31:55] 讲说夫妻
[31:56] 丈夫在行房的时候
[31:58] 总是要求关灯
[31:59] 这样有感觉
[32:00] 几十年过去了
[32:02] 后来有一天妻子受不了
[32:03] 突然起床开灯
[32:05] 结果发现
[32:06] 丈夫手里拿着一根小黄瓜
[32:09] 妻子大骂
[32:10] 好啊你
[32:11] 你居然拿黄瓜捅了我20年
[32:13] 丈夫也起身怒骂
[32:16] 我都没问你孩子是哪里来的
[32:18] 所以很多人的习惯
[32:20] 只看到对自己有利的证据
[32:22] 但是一旦找到一个
[32:23] 能支持自己观点的讯号
[32:26] 就认定答案就是这么明确
[32:28] 那我们讲过
[32:29] 市场它不是由单一数据来决定的
[32:32] 它是无数个共同因子
[32:33] 互相影响的
[32:34] 你只想看你自己想看见的
[32:36] 就很容易做出错误的判断
[32:38] 投资也是如此
[32:39] 很多人看到低级企业
[32:41] 就认为未来一定有更大的上涨空间
[32:43] 看到高级企业
[32:44] 就认为股价一定太贵
[32:46] 涨不动了
[32:46] 这是比相对值
[32:48] 不代表这样的判断没有意义
[32:50] 但是市场反映的是未来
[32:51] 而不是现在
[32:52] 现在很多我们看到低基企的像辉达
[32:55] 像微软
[32:56] 前两年都是高基企
[32:58] 但是它股价也并不会因为高基企而停止上涨
[33:01] 因为获利成长的速度来得越来越快
[33:03] 所以不同的角度会有不同的思维
[33:05] 给大家做一些参考
[33:07] 台股小节105点
[33:08] 苏莱斯汇报5628点
[33:10] 那么后续就来观察
[33:12] 整体市况
[33:13] 韩国股市的卖压
[33:14] 能不能向外进行扩散
[33:16] 引起全球系统性的回调
[33:18] 要不然台股
[33:19] 的确跌得算有点轻
[33:21] 从买盘角度
[33:22] 希望有更大的回调
[33:23] 可是从公营角度来看
[33:24] 台股似乎守在这样的一个位阶
[33:26] 也有它特殊的原因
[33:28] 给投资朋友多多去思考
[33:29] 如果喜欢我们的节目
[33:30] 记得帮我们订阅按赞加分享
[33:31] 我们就明天早上8点半
[33:32] 早晨财经速写图再相见
[33:34] 祝各位投资朋友
[33:35] 看盘顺利
[33:36] 上盘愉快
