[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不管是避险资产还是风险资产
[25:15] 每天成交量一两千亿
[25:17] 现在这样的一个量
[25:18] 八九千亿会不会已经有点太过头了
[25:21] 那我的看法是
[25:22] 因为我们在看成交量的时候
[25:24] 其实在看金额
[25:25] 而不是在看实际交易热度
[25:27] 有时候台股从1万多点
[25:29] 涨到2万多点
[25:30] 3万多点
[25:31] 同样是两三千亿的成交量
[25:33] 它背后的是交易张数
[25:35] 和市场的参与程度
[25:36] 其实表现的完全不同
[25:38] 指数上升
[25:38] 市值膨胀
[25:39] 本来就会推高它的高成交金额
[25:41] 这是一个结构性的变化
[25:43] 不完全是情绪升温
[25:44] 反过头来看
[25:45] 台股指数现在已经明显高于
[25:48] 2021年的当时的牛市高点
[25:50] 2021年那个时候是六七千亿
[25:52] 航海王
[25:53] 但是那个时候是1万8
[25:54] 现在量能大概只多一两千亿
[25:57] 可是现在是34000
[25:58] 所以从这个角度来看
[25:59] 我觉得市场距离那种
[26:01] 我们讲的非理性繁荣
[26:03] 可能又有一段距离了
[26:05] 反而现在市场上
[26:06] 其实在降温
[26:06] 从美股台股结构来看
[26:08] 因为你本益比正在回调
[26:10] 你EPS还在走高
[26:12] 但是你股价
[26:12] 已经稍微在高位震荡了
[26:14] 所以其实本益比是在下滑的
[26:16] 所以重点并不在于数字本身
[26:18] 其实来自于单位的意义
[26:21] 3000亿的成交量在不同指数
[26:23] 它可能代表极度乐观
[26:24] 也有可能相对冷静
[26:25] 所以七八千亿到八九千亿
[26:28] 2021年的确有点过度乐观
[26:32] 可是如果是放在2026年
[26:34] 现在是三万四千点的位置
[26:36] 我倒是觉得还好啦
[26:38] 所以我个人的看法是
[26:40] 你还是要了解这个数字背后
[26:41] 所对应的市场结构和资金行为
[26:44] 了解这个单位的意义
[26:46] 那以前跟大家分享过
[26:48] 我们当兵
[26:48] 阿兵哥不是很喜欢比较吗
[26:50] 上厕所比谁尿得远
[26:53] 丢手榴弹
[26:54] 比谁丢得远
[26:56] 比打饭
[26:58] 看谁吃饭的快
[27:00] 喝水看谁喝的多
[27:01] 有一次就跟几个班长
[27:04] 一起聊到各自的爱情观
[27:07] 班长就问
[27:08] 你们几岁第一次
[27:11] 一个回答
[27:12] 22
[27:14] 大四那一年
[27:16] 那你呢
[27:16] 我19岁
[27:18] 又问另外一个
[27:19] 那你呢
[27:20] 我18
[27:21] 就去问我
[27:22] 那挺好
[27:23] 那你呢
[27:24] 我很害羞
[27:26] 我说我是26
[27:29] 全部人嗤之以鼻
[27:31] 我说我是15岁就26次了
[27:35] 关键并不在于成交量这个数字
[27:40] 有时候它所处于的市场位阶
[27:42] 和它的背后结构
[27:43] 同样是3000亿
[27:45] 放在不同的指数水准
[27:47] 代表的市场状态结构
[27:49] 其实就完全不同
[27:50] 它可能是过热
[27:51] 也可能只是一个正常水位
[27:52] 所以如果你只看表面数字
[27:54] 你当然就觉得
[27:55] 很容易被误判市场情绪
[27:57] 那三万四
[27:58] 怎么想都感觉有点贵
[28:00] 那美股也是一样
[28:01] 可是你用基期指标
[28:02] 你用周期指标
[28:03] 你从本益比或者本益成长比
[28:05] 来做不同的比对
[28:06] 你会发现
[28:07] 我觉得其实美国股市台股
[28:09] 价值投资点都慢慢开始浮现
[28:12] 因为真的基期都在下滑
[28:14] 这也给投资朋友做一些思考了
[28:16] 那当然了
[28:17] 刚才我跟投资朋友提到
[28:18] 现在美国股市
[28:19] 财报因为后财报纪了
[28:21] 陆续召开以后公开以后
[28:23] 其实它就是一种标准的本益比的下修
[28:26] 或者至少是获利的放大
[28:27] 我们看美光在昨天公布的最新财报
[28:29] 已经印证一件事
[28:31] AI不是算力战
[28:32] 它是记忆体战
[28:33] HBM的需求爆炸了
[28:36] 公司单击营收238.6亿美元
[28:39] 这规模是怎样
[28:40] 这规模是去年三倍
[28:42] 一年成长300%
[28:44] EPS也大幅超于预期
[28:45] 毛利率一路拉到74%
[28:47] 这个产业已经出现了完全的质变
[28:50] 过去我们讲低毛利率的商品记忆体
[28:52] 现在变成高附加价值的AI关键零组件
[28:56] 每一颗像辉达这种高阶GPU
[28:58] 吃的记忆体量越来越大
[28:59] 直接把DRAM和HBM
[29:01] 变成算力基础设施的一部分
[29:03] 这已经不是短期行情的缺货变化了
[29:06] 长期来看
[29:07] 已经高达三年到四年
[29:09] 供给跟不上需求的结构性循环
[29:11] 现在不只是AI支付器
[29:12] 传统资料中心PC手机
[29:14] 全部都在强记忆体
[29:16] 导致产能持续吃紧
[29:17] 像美光三星SK海力士全面扩产
[29:20] 预估到明年年底都追不上需求
[29:23] 这代表着股价不一定
[29:25] 但是明年年底的基本面
[29:27] 你都已经确认了
[29:28] 所以从周期来看
[29:30] AI对于实质影响的带动效果
[29:34] 非常之显著
[29:35] 这有两种角度
[29:36] 第一种是完了
[29:37] 这什么都在涨
[29:39] 但是另外一种角度
[29:40] 那你就看
[29:41] 到底这么高强度的
[29:43] AI资料中心的介入
[29:45] 能不能带动生产力提升
[29:47] 生产力提升本身就是同时
[29:48] 我们过去提过这个概念
[29:49] 你看油用料价格通常是CPI的领先指标
[29:53] 那现在CRB指数在往上冲
[29:55] 所以全球CPI照来讲
[29:56] 未来几个月可能要被迫往上流了
[29:58] 商品资金大家都在买油市
[30:00] 或者贵金属相关的ETF
[30:02] 美国的CPI过往来看
[30:04] 也是属于高度联动的
[30:05] 可是我们提过
[30:06] 如果有幸能够发生1996年
[30:09] 葛林斯潘时期
[30:10] 也就是当时的网络泡沫革命开始起飞
[30:14] 当时也是葛林斯潘被迫
[30:15] 维持在高利率一段时间
[30:17] 大概在5.3%到5.5%
[30:19] 可是这段时间97年开始
[30:21] 美国在股市金金涨的情况底下
[30:24] 出现了大规模的通膨降温
[30:26] 第一是没有出现
[30:28] 更进一步的地缘政治冲突
[30:30] 第二
[30:30] 当时的网络革命爆发了
[30:33] 如果AI的爆发
[30:35] 可以让生产力提升
[30:36] 你只要花一块钱
[30:38] 可以做两样产品
[30:39] 而不只是做一样产品的时候
[30:41] 翻倍的产能
[30:42] 本身就是一种通缩效果
[30:44] 我们就看这个现象
[30:45] 是否能够浮现
[30:47] 来冲销掉当前所有资产价格
[30:50] 都在上涨的一个过程
[30:51] 所以我们今天聊的范围稍微比较广
[30:53] 台股又跌回来
[30:54] 又跌了461点
[30:55] 所以33800点
[30:56] 不过就这样子
[30:57] 已经盘整一阵子了
[30:58] 整个今天我们看到的
[31:00] FOMC立地决策会议当中
[31:02] 其实你也不能说它极度的鹰派
[31:04] 或者极度的鸽派
[31:05] 而是联准会选择跟大家一样
[31:07] 我们再看看
[31:08] 看这件事情到底会怎么样
[31:10] 我们在年底的预测
[31:12] 去年年底的预测
[31:13] 基本没有改变
[31:14] 只是受到中东战士的侵扰
[31:16] 但是你把中东战士给拿掉
[31:18] 我们该做什么事情
[31:19] 就跟去年12月份的FOMC
[31:22] 几乎就一模一样了
[31:23] 在这样的一个角度底下
[31:25] 等同于把球重新丢回来给川普政府
[31:28] 那就要看川普政府
[31:29] 要如何因应本次的危机
[31:31] 如果中东局势真的能够
[31:33] 在下一次FOMC召开会议之前
[31:36] 能够有效缓解
[31:37] 3月4月CPI并没有因此爆表的话
[31:40] 那可能降息预期马上就会归来的
[31:42] 那同时间如果还在持续
[31:44] 那就要被迫开始
[31:46] 讨论未来几个月
[31:47] 看起来就业市场
[31:48] 是在逐步的软化
[31:49] 那你就要看
[31:50] 中东战事对于通膨的拉伸
[31:53] 跟就业市场软化
[31:55] 对于通膨的抑制
[31:57] 哪一个影响比较大了
[31:58] 这就是最终我们看到的结果
[32:00] 好就零三分
[32:00] 如果喜欢我们节目
[32:01] 记得帮我们订阅按赞加分享
[32:03] 我们就明天早上半点半
[32:04] 早晨财经速解图
[32:05] 再相见
[32:06] 祝各位投资朋友
[32:06] 看完顺利
[32:07] 早半愉快
