[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 請判斷做檢討
[24:38] 那還是有多的失業的人
[24:40] 所以勞動市場已經並不是充滿極端繁榮了
[24:43] 現在的效果就在於
[24:45] 今天晚上即將公佈的非農資料
[24:47] 因為前天公佈的ADP
[24:50] 私人就業資料
[24:51] 也是大減了2.9萬人它也是2023年以來的最差如果同時告訴你職位空缺數減少小飛農不好飛農也不好那這些都是領先指標失業率是最後反應的嗎
[25:03] 因為你通常
[25:04] 你要裁員
[25:05] 一定要先減少開支
[25:07] 降低資本支出
[25:09] 然後呢
[25:10] 你要減少自己的職缺
[25:12] 所以職位空缺數要下滑
[25:14] 然後職缺減少以後
[25:15] 你就發現當月貢獻的就業人數也減少了
[25:18] 飛農也減少了
[25:18] 小飛農也減少了
[25:19] 最後失業率開始上升
[25:21] 你要先減少職缺
[25:23] 才會裁員嘛
[25:24] 那現在開始已經減少職缺了
[25:25] 所以為什麼才講說
[25:27] 美國在今年
[25:28] 連準會有必要降息的空間呢
[25:30] 因為撇開通膨不談
[25:31] 那個勞動力市場
[25:33] 它的擴張已經到即時
[25:34] 開始在軟化的過程
[25:36] 那我們就要細節觀察
[25:37] 川普政府會不會採取一些行政介入
[25:39] 這個行政介入
[25:40] 也不一定是蓋更多AI廠
[25:42] 因為你看起來蓋那麼多AI工廠
[25:44] 對於就業人數的幫助是有限的嘛
[25:46] 那你要怎麼做呢
[25:47] 那就驅除非法移民
[25:49] 驅除更用力一點嘛
[25:50] 來創造更多美國本土的就業崗位
[25:53] 它就會造成實質就業的貢獻不高
[25:56] 但是平均在美國本土人
[25:59] 能夠獲得工作的機率上升
[26:01] 這就要體感溫度的上升
[26:03] 我們後續再來跟投資朋友
[26:04] 做更細節的觀察
[26:05] 因為畢竟從最標準的資料
[26:08] 因為這幾個資料
[26:09] 很多人都說會不會造假
[26:10] 不能說造假
[26:11] 會不會有誤差
[26:12] 因為過去幾個月
[26:13] 常常做校正迴歸
[26:14] 對
[26:14] 這幾個資料都有可能會做校正迴歸
[26:17] 但有一個資料是不用做校正迴歸的
[26:19] 它是最為準確的
[26:20] 就是初領申請失業救濟金
[26:22] 這次沒念錯了
[26:24] 以前都念成申請初業救濟金
[26:26] 是申請
[26:27] 不是是初領申請失業救濟金人數
[26:30] 最新一週的初領申請失業救濟金人數
[26:33] 這一次雖然小無回聲
[26:34] 但是目前保持的是非常非常穩定
[26:38] 並沒有完全失控
[26:39] 大概其實就是保持在20萬人左右
[26:42] 這件事情其實也就彰顯了
[26:44] 領失業救濟金的人就是沒這麼多
[26:46] 那就說明著
[26:48] 其實還沒有完全傳導到
[26:49] 真實的勞動力市場的弱化
[26:51] 那隻要這個資料沒有失控
[26:53] 那你前面資料
[26:54] 你還可以勉強推給說是
[26:56] 因為可能有一些資料統計失證的問題
[26:58] 因為這幾個月的確
[26:59] 那個非農資料的變動值是有一點大
[27:02] 這也給投資朋友多多一些思考和留意了
[27:04] 好我們今天聊的範圍
[27:05] 主要是把整個美國的股票市場的分化
[27:08] 在七巨頭和非七巨頭當中的資金輪替
[27:11] 終於開始出現了
[27:12] 這是好事啊
[27:14] 七巨頭都已經漲那麼久了
[27:15] 剩下的股票
[27:16] 看能不能做一些落後撲張反應了
[27:18] 當然如果七巨頭穩不住
[27:20] 那就算輪動也沒意思了
[27:22] 因為指數主要是反映七巨頭
[27:24] 而七巨頭只剩下Google還在勉強撐盤
[27:27] 其他股價都已經開始回落了
[27:29] 這可能是新一輪估值回撥的開始
[27:32] 也值得我們多做一些觀察
[27:33] 那最後幾分鐘
[27:34] 今天每個禮拜五
[27:35] 我們都會跟投資朋友導讀一本書
[27:37] 也希望大家可以從不同的角度來獲取更多
[27:40] 如果大家有興趣
[27:41] 那當然來參加我們聽友會
[27:42] 明天晚上就會舉辦
[27:44] 那我們會把我們的宏觀的總經思維
[27:47] 和景氣投資的操作過程
[27:49] 來跟投資朋友來做一些敘述
[27:51] 也來檢討一下
[27:52] 過去幾個季度遇到的挑戰
[27:54] 和已經確定得到的獲利
[27:56] 應該要有多少
[27:57] 如果大家有不同的思維
[27:58] 當然我們每個禮拜五導讀書
[28:00] 就是希望大家有不同的想法
[28:02] 今天導讀這本書
[28:03] 叫做雪球巴菲特傳
[28:05] 巴菲特現在已經退休9天了
[28:08] 不知道他會不會覺得有點無聊
[28:10] 這本書跟上禮拜我們介紹的
[28:14] 巴菲特和查理蒙格書籍
[28:17] 稍微不同的事情
[28:18] 這本書雪球
[28:19] 它算是標準的巴菲特傳
[28:21] 作者是愛麗絲施洛德
[28:24] 他曾經是華爾街分析師
[28:25] 和摩根士坦利的常務董事
[28:28] 由於常年撰寫
[28:29] 伯克夏海瑟威的研究報告
[28:31] 所以已經跟巴菲特解釋了
[28:33] 這本書它是有點類故事書
[28:36] 還不太像是一本標準的投資書
[28:39] 並不像是一本什麼投資經歷的書籍
[28:42] 而更類似於
[28:43] 巴菲特的一生是怎麼過的
[28:45] 裡頭很有趣
[28:46] 你會發現那有錢人的煩惱
[28:48] 原來跟我們差不多
[28:49] 那外界談巴菲特
[28:51] 總是聚焦他32歲就成為百萬富翁
[28:53] 靠紀律和耐心累積出驚人的財富
[28:57] 感覺這就是一條
[28:58] 可以理性可以複製的成功公式
[29:00] 但這條路上
[29:01] 他復甦的不只有時間
[29:02] 他還有情感和生活重心
[29:04] 他都讓位給投資和事業了
[29:07] 對他來講
[29:07] 金錢不只是用來提升生活質感的工具
[29:10] 而且必須要持續投入
[29:12] 持續放大的資本
[29:13] 你看他的妻子蘇珊
[29:15] 就是一個熱愛生活
[29:17] 情感豐富的人
[29:18] 願意傾聽和付出的人
[29:20] 但他面對的是誰
[29:21] 是一個長期把工作視為使命
[29:24] 對於家庭事務
[29:25] 缺乏耐心的伴侶
[29:27] 我跟你講
[29:27] 巴菲特這本書裡面也經常聊
[29:30] 他經常跟蘇珊去討
[29:31] 炒那什麼裝潢費的爭執
[29:33] 生活品位的落差
[29:35] 到陪伴到情感交流的缺席
[29:37] 裡面聊很多這些小事
[29:39] 突然覺得
[29:40] 我也不一定完全羨慕巴菲特
[29:43] 蘇珊不是不理解巴菲特
[29:44] 而是終於明白
[29:45] 他能夠給的就這麼多
[29:47] 無論他再怎麼體諒
[29:48] 也許換來的感情
[29:50] 其實就是一個生活
[29:52] 模態不同的親密關係
[29:54] 一直到蘇珊離世以後
[29:55] 巴菲特才真正意識到
[29:57] 失去的重量
[29:58] 所以也不是講說
[29:59] 一個人的情感世界的崩塌怎麼樣
[30:01] 而是說本書當中會聊說
[30:03] 那一個投資人
[30:04] 每個人都只看到他光鮮亮麗的一面
[30:07] 而沒有去看他
[30:08] 平常的生活是怎麼樣的
[30:10] 像我們平時光鮮亮麗生活的一面
[30:13] 私底下也許浩哥斯生活很混亂
[30:16] 也不一定
[30:17] 每個人都有他的好的一面
[30:19] 也有壞的一面
[30:20] 市面上很多巴菲特書沒有寫的精華
[30:23] 在裡頭其實都聊出來了
[30:25] 而且裡頭也講到很多巴菲特
[30:27] 在使用不同的槓桿的切入
[30:29] 都導致他能夠在短短的一代人的時間
[30:32] 你看洛克斐勒
[30:33] 你看羅斯柴爾的家族
[30:36] 他們都是花多少個世代
[30:38] 才累積出龐大的財富
[30:40] 巴菲特才一個世代
[30:42] 就已經幾乎達成了
[30:43] 那真正被低估的關鍵在於
[30:46] 巴菲特重點並不在於
[30:48] 標準的二級市場
[30:49] 而是在龐大的未上市資產
[30:51] 巴菲特在年報當中
[30:53] 經常最得意自己的主將
[30:55] 都是那些親一世還沒有上市
[30:57] 但是卻創造出
[30:59] 遠高於市場常態的ROE的這些報酬
[31:02] 這不單只是靠財務操作
[31:04] 就能夠解釋的
[31:05] 很多人會說
[31:06] 巴菲特不就把保護的錢
[31:09] 拿來壓優質資產
[31:10] 但歷史證明
[31:11] 一堆受險公司
[31:13] 照樣拿到扶存金
[31:14] 一堆資金
[31:15] 重點就是
[31:16] 他的投資績效
[31:18] 還是跟大盤差不多
[31:19] 甚至輸給大盤
[31:20] 所以巴菲特認為
[31:21] 最難複製的能力
[31:22] 不是看財報
[31:23] 是看人
[31:24] 這本書以為
[31:25] 我們在聊一個投資的金率
[31:28] 投資要按照哪些規則
[31:29] 沒有
[31:29] 這本書就是在聊
[31:31] 巴菲特他的主觀的為人態度
[31:34] 如何影響到他的工作觀
[31:35] 如何影響到他的感情觀
[31:37] 如何影響到他的用人端
[31:39] 所以用這些角度
[31:41] 來做巴菲特更進一步透徹的理解
[31:44] 我相信大家會有不同的收穫
[31:46] 跟我們平時看到的投資書籍
[31:48] 那種比較知識化的投資工具書
[31:51] 不太一樣
[31:51] 把這本書聽了投資朋友
[31:53] 像我平時很喜歡送人家書
[31:55] 第一個是因為
[31:56] 如果你要送禮給人家
[31:59] 通常你要買瓶酒什麼的
[32:01] 那個有點貴
[32:01] 那我又很摳
[32:02] 所以我最喜歡送書
[32:04] 為什麼呢
[32:04] 因為書不貴
[32:05] 幾百塊就有
[32:06] 第二
[32:07] 書不貴也可以很重
[32:09] 像這本書就很重
[32:10] 這個
[32:11] 情重禮也重
[32:13] 大家就覺得有分量
[32:14] 重點是
[32:15] 你只要送金裝版
[32:17] 所以我建議大家
[32:17] 可以買這本書
[32:18] 送給自己的好朋友
[32:19] 你買金裝版
[32:20] 人家就不會拿去蓋泡麵
[32:22] 因為覺得捨不得
[32:23] 他就會一直襬在那邊
[32:24] 有一天就忍不住
[32:26] 就開啟來
[32:26] 發現原來這是一本好書
[32:28] 最喜歡給人家那種
[32:29] surprise的感覺
[32:31] 多年來都不看
[32:32] 有一年不小心翻
[32:33] 原來郵廷號送我的書這麼好看
[32:36] 我最喜歡這種surprise
[32:37] 雖然也沒有人跟我講過這件事
[32:40] 不過我猜應該是這樣的
[32:41] 不管怎麼說
[32:42] 今天我們聊的範圍很廣
[32:43] 從一開始的七巨頭分化
[32:45] 也就到美國總監的表現
[32:46] 來判斷巴菲特其實也自己承認
[32:49] 他就是享受在美國股市的三代牛當中
[32:52] 所以投資美國股市
[32:54] 本身就是在對賭美國國運
[32:56] 我們投資臺北股市
[32:58] 不就是在對賭臺灣國運嗎
[33:00] 所以難免有點運氣成分
[33:02] 裡頭其實都做了非常詳盡的解說
[33:04] 也聽用給投資朋友
[33:05] 如果喜歡我們節目的話
[33:06] 歡迎大家可以參加
[33:07] 我們明天舉辦的聽友會
[33:09] 後續參加也可以
[33:10] 來做回放也可以
[33:11] 那我們就禮拜一早上八點半
[33:13] 早晨財經數學圖再相見
[33:14] 祝各位投資朋友
[33:15] 開門順利
[33:16] 操盤愉快
