[00:00] 投資朋友歡迎收聽早晨財經速解讀
[24:24] 黃金ETF的佔比只有0.17%
[24:27] 遠遠低於2012年的高峰
[24:29] 所以高盛的看法是
[24:30] 它的成長空間還在
[24:32] 如果按照週期論角度而言
[24:34] 這個黃金比白銀現在實在是太有吸引力了當然這種說法是有道理和邏輯的不過有時候我們要這樣講很多人會把金銀比當成一個必然會迴歸的數學答案
[24:46] 很少先問前提在不在
[24:48] 市場的推論都是金銀比偏高
[24:50] 白銀被低估
[24:52] 所以遲早會不漲
[24:53] 但是這個邏輯有一個隱含的前提
[24:55] 就黃金跟白銀還是處在相同功能的結構
[24:58] 和需求當中
[24:59] 現在問題在於黃金其實更像是
[25:01] 貨幣和避險資產
[25:03] 白銀則是高度的繫結
[25:04] 工業迴圈
[25:05] 科技需求和庫存波動
[25:07] 兩個人
[25:08] 他並不是完全的這種反向關係
[25:11] 如果結構分叉的話
[25:13] 那麼單純從歷史均值來推論
[25:15] 誰會漲
[25:16] 好像就有點挑戰了
[25:18] 所以這個時候我們就要細談
[25:20] 到底現在的黃金跟銀
[25:22] 是不是在同一套邏輯的資產
[25:24] 我認為是不一定的
[25:25] 我認為白銀有白銀的章法
[25:27] 黃金我們其實還是看地緣政治紛爭
[25:29] 加上利率逾期的看法為何
[25:32] 而並不是單純的
[25:33] 從悄悄版邏輯來看
[25:35] 之前那個愛因斯坦
[25:36] 你給學生問他
[25:37] 什麼是邏輯
[25:38] 愛因斯坦就說
[25:39] 我用一個問題來回答你
[25:41] 假設有兩個工人
[25:43] 一起進入到煙囪來清理
[25:45] 出來之後
[25:45] 一個人臉很髒
[25:46] 另外一個很乾淨
[25:48] 那誰會去洗臉
[25:49] 那學生立刻就說
[25:50] 當然是臉髒的那個
[25:51] 愛因斯坦說你的答案不對
[25:53] 會去洗臉的
[25:54] 是臉乾淨的那個人
[25:55] 因為他看到同伴臉很髒
[25:57] 就會推論自己的臉也很髒
[25:59] 所以這個時候他就去洗臉
[26:01] 反而臉很髒的
[26:02] 看到同伴的臉很乾淨
[26:04] 他就不會想要去洗臉了
[26:05] 那學生說
[26:06] 這樣講好像也蠻合理的
[26:08] 蠻符合邏輯
[26:08] 那愛因斯坦說
[26:09] 還是不對
[26:10] 因為這個問題本身就不合邏輯
[26:12] 兩個人一起進入煙囪
[26:14] 出來時不太可能
[26:16] 一個人乾淨
[26:16] 一個人骯髒
[26:17] 簡而言之
[26:18] 邏輯本身也可能
[26:20] 在前提的錯誤時間失效
[26:22] 有時候問題並不在於答案
[26:25] 而是一開始就已經存在
[26:27] 缺陷的提問上
[26:28] 所以我們看到的金銀筆
[26:29] 很多人拿這個來問我
[26:31] 你好像從週期角度來看是合理的
[26:33] 可是又感覺好像哪裡怪怪的
[26:35] 因為邏輯永遠都依賴前提是否成立
[26:39] 而現在這個時代
[26:40] 從M2貨幣的增量
[26:42] 很多過去100%
[26:44] 可以拿來做週期指標的這些指標
[26:47] 比如8V的指標
[26:48] 它都開始陸續失效的可能性
[26:50] 這也給投資品做些觀察
[26:51] 好我們先回過頭看
[26:53] 金銀同價格的反應是很明顯的
[26:56] 不過股票市場反應
[26:57] 看起來就不是特別大
[26:58] 大家是被嚇大了
[27:00] 道瓊下跌83.0.17%
[27:02] 收在49359點
[27:03] 標普下跌4.4點
[27:05] 0.06%
[27:06] 收在6940點
[27:07] 納指下跌14點
[27:08] 0.06%
[27:09] 收在23515點
[27:11] 反而是費辦還在漲
[27:12] 漲了90點
[27:13] 1.15%
[27:14] 收在7927點
[27:16] 那如果我們細看
[27:17] 其實整個標普白指數
[27:19] 現在有一點在
[27:20] 本輪2020年以來的
[27:22] 上行軌道的上緣
[27:24] 那有兩種角度
[27:25] 第一種就是
[27:26] 來到上緣
[27:27] 適度的修正
[27:27] 或者卡在這樣的一個水位盤整
[27:29] 是較為健康的
[27:31] 另外一種邏輯就是突破
[27:32] 假設科技AI生產力週期
[27:35] 真的想象中帶來的獲利這麼大
[27:38] 就應該來一個新的指數邏輯成長
[27:41] 也就代表著整條通道
[27:43] 也許在2024年到2025年以後
[27:46] 會形成新一輪的上攻
[27:48] 現在真正的問題在於
[27:49] 就是市場不害怕而已
[27:51] 就是你找不到太多回撥的理由
[27:53] 我們舉例來說
[27:54] 你像是在最近
[27:56] 不管是VIC指數
[27:57] 或者我們看到市場的避險部位
[27:59] 本身而言交易量都不是特別的大
[28:02] 低指數波動當然不代表低風險
[28:05] 而是說隱含波動率的持續下行
[28:08] 讓市場上總是出現的一股意外驚人的瓶頸
[28:12] 怎麼會股票市場的金金場
[28:14] 市場上一點避險情緒都沒有呢
[28:17] 這個就是我們看到
[28:18] 因為大家被嚇大了
[28:19] 或者有其他的資產來沖銷掉
[28:22] 當前市場可能造成的風險
[28:25] 事實上如果我們仔細觀察
[28:26] 現在美國股市資金
[28:28] 還是以非常驚人的速度
[28:29] 透過ETF流入到美國股市
[28:31] 過去三個月
[28:32] 美國股票型的ETF的滾動資金
[28:34] 流入金額一口氣衝高到4000億美元
[28:37] 不只是創新高
[28:39] 而且這是
[28:40] 這應該是歷史上斷層式的
[28:43] 超過所有周期
[28:44] 就整個25年到26年
[28:45] 這個創高
[28:46] 你再把它拿來跟2006年到2024年
[28:49] 比較起來
[28:50] 你會覺得去年到底哪來這麼多錢
[28:53] 其實我們看這種反應
[28:55] 很反直覺
[28:56] 就是地緣政治新聞滿天飛
[28:58] 但市場的恐慌感沒跟上
[29:01] 我們舉例來說
[29:02] 這幾張圖表就是我們衡量現在市場情緒
[29:04] 一個是VIX
[29:05] 股票市場恐慌情緒
[29:07] 另外一個是在市的恐慌指標MOOF指數
[29:10] 再來是一個高波動版本的VIX HY
[29:13] 整體都還在歷史平均值的下緣
[29:16] 這世界上第二次關稅大戰都要開打了
[29:20] 美歐關稅戰都要開打了
[29:22] 居然市場上一點避險都沒有
[29:24] 這就非常特別
[29:25] 事實上如果我們仔細觀察
[29:27] 甚至現代市場
[29:29] 目前的火熱程度
[29:30] 幾乎回到了2007年
[29:32] 目前企業債的利差
[29:33] 已經收斂到103個基點
[29:36] 回到2007年年中的水準
[29:38] 你就可以知道
[29:39] 市場上到底有多不擔心
[29:41] 目前地緣政治所造成的紛爭
[29:43] 當然同一件事情
[29:45] 有些人看到的是風險和代價
[29:47] 有些人可能看到的是機會
[29:49] 最後造成了
[29:50] 沒人要買BIX
[29:51] 可是我一邊做多AI股
[29:53] 一邊買我的黃金
[29:55] 有些人腦中浮現的
[29:57] 並不是會不會失控
[29:58] 是不是太快了
[29:59] 萬一出事該怎麼辦
[30:01] 但有些人看到空間和可能
[30:03] 想到的是結構正在改變
[30:05] 所以差別也不在於
[30:07] 誰比較理性
[30:08] 而是站的位置不同
[30:10] 承擔的角色也不太一樣
[30:12] 大家對於時間的理解
[30:14] 我們看得出來
[30:15] 經過2025年以後
[30:16] 大家的那個心性
[30:18] 可承受的波動能力
[30:20] 其實都開始陸續放大了
[30:22] 所以一件事情
[30:23] 即便看起來很緊張
[30:24] 現在看起來更多人看到的是風險和代價
[30:28] 每個人看的角度都不一樣
[30:30] 小男女一對小情侶
[30:32] 女的跟男的說
[30:35] 今後我們兩個在一起
[30:37] 你會家暴我嗎
[30:39] 男的說
[30:40] 只要你喜歡
[30:41] 我可以學
[30:43] 一件事情
[30:45] 有人看到的好像是擔憂
[30:47] 但有些人看到的則是樂觀
[30:49] 一種為你付出的美好
[30:52] 這本來我們現在看到的股票市場行情
[30:55] 就這種兩種極化
[30:56] 我看到的悲觀
[30:57] 我不一定要在股票市場上展現
[30:59] 我可以反映在我的黃金買盤
[31:02] 白銀買盤
[31:03] 我看到的樂觀
[31:04] 我也不一定會要去做空
[31:07] 風險避險資產
[31:08] 我要看到的樂觀
[31:10] 我可以反映在對於AI股的持續擁有
[31:13] 甚至我看到的樂觀
[31:15] 我都不一定要在CSP的終端業者
[31:17] 我去買硬體股就好了
[31:18] 反正他們賣鏟子的
[31:20] 馬上就收到錢了
[31:21] 賣軟體的
[31:22] 還能不能從AI當中的投資
[31:24] 予以回饋都很難說
[31:25] 這個就是當前
[31:27] 我們看到2026年的真實心態
[31:29] 我們今天聊的範圍
[31:30] 稍微比較廣一點
[31:31] 我們主要把三條線
[31:33] 收斂成一個結論
[31:34] 就會變得相當清楚
[31:36] 格林蘭不是單純的主角
[31:38] 他是一個川普去測試同盟
[31:40] 測試製度
[31:41] 測試市場耐力的一顆棋
[31:44] 貴金屬價格
[31:45] 它也不是單純漲賊的問題
[31:47] 它反映的是
[31:48] 高度不確定性的社會里頭
[31:50] 資金一邊想要避險
[31:51] 一邊又忍不住想要追逐波動的矛盾心理
[31:55] 那川普的真正意圖
[31:56] 當然並不是單純的想要把問題給解決好
[31:59] 而是能夠把局勢推到一個
[32:01] 對自己有利的混亂區間
[32:03] 在那個區間裡頭
[32:04] 規則是可以談的
[32:05] 立場是可以換的
[32:07] 承諾是可以反悔的
[32:08] 但籌碼必須永遠在他手上
[32:10] 那理解這一點之後
[32:12] 你就會發現
[32:12] 你不會再把他的動作當成情緒化的失控
[32:16] 他做什麼動作
[32:17] 市場都不是特別怕
[32:18] 大家看到的只剩下機會
[32:20] 世界越不穩定
[32:22] 他的談判空間就越大
[32:24] 而投資人的
[32:25] 做多誘因
[32:27] 或者投機的誘因
[32:29] 就反而開始增長
[32:30] 以前是川普發動關稅戰
[32:32] 我什麼都不敢做
[32:33] 現在是川普又採取新動作
[32:35] 有哪項資產
[32:36] 值得我去留意呢
[32:37] 這就是一個新的時代
[32:39] 臺北股市小跌60點
[32:40] 刷31348點
[32:41] 果然不怕吧
[32:42] 最終都形成在黃金的買盤了
[32:45] 就零三分
[32:46] 如果喜歡我們節目
[32:46] 記得幫我們訂閱按贊加分享
[32:47] 我們將明天早上八點半
[32:49] 早晨財經速點圖
[32:50] 再相見
[32:50] 祝各位投資朋友
[32:51] 開盤順利
[32:52] 超快愉快
