[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 买盘开始出现
[25:53] 当然一次跌到位
[25:55] 买盘也可能很大
[25:57] 最好是怎么样
[25:58] 那是盘跌缓跌
[25:59] 这种最痛苦
[26:00] 才真正能够让筹码清洗干净
[26:02] 好8点58分
[26:03] 我们再往下聊
[26:04] 最后第三层的利空
[26:06] 其实前面两层我们就聊到
[26:08] 基本面并没有出现
[26:10] 任何实质利空的变化
[26:11] 情绪面已经出现了
[26:13] 比较明显的杠杆清洗
[26:15] 但是清洗幅度大不大
[26:16] 还要看视况
[26:17] 第三就是这一次
[26:19] 我们特别去观察到的
[26:20] 美国股市上礼拜收黑
[26:21] 其中一个原因
[26:22] 当然是中国新创
[26:24] Moonshot AI
[26:25] 推出的Kimi K3模型
[26:27] 大家会担心
[26:28] 是否重演新一波的Deep Seek时刻
[26:30] 引发AI概念股的回荡
[26:33] 当然市场上也不是因为这样的看坏AI
[26:36] 是说Kimi K3属于大型模型
[26:38] 它反而需要更多的运算资源
[26:40] 所以需求还是很强的
[26:41] 但是对于美国的这些云端巨头而言
[26:44] 是会产生压力的
[26:46] 因为人家的AI来得这么便宜
[26:48] 事实上我们看到
[26:49] 这一次短短几个小时
[26:51] 它就已经登上了
[26:53] 前端城市设计排行榜的第一名
[26:55] 以1679分
[26:57] 反超Enthropy的Clouded Faber-V
[27:00] 还有OpenAI的ChadGBT 5.6
[27:02] 那K3是有2.8兆个参数
[27:05] 100万Token上下文
[27:07] 可以处理文字图片影片
[27:09] 大型城市马库
[27:11] 其实我觉得用了那么多中国的AI
[27:13] 我觉得中国AI也没有到很好用
[27:15] 但是生成那个影像
[27:16] 我觉得是还蛮不错的
[27:18] 有时候我们看很多那种中国的AI短剧
[27:21] 会在脸书上开始出现
[27:22] 其实我觉得做得算不错
[27:24] 然后我自己也生成了一下
[27:25] 生成速度是比较快一点的确
[27:27] 那反而是有时候ChadGBT
[27:29] 有时候光是生成几只图片
[27:33] 时间性还等了蛮久的
[27:35] 那更冲击力的其实就价格了
[27:36] 因为K3它每百万输入Token
[27:39] 收费是3美元
[27:40] 输出是15美元
[27:42] Entropy输入是10美元
[27:45] 输出是50美元
[27:46] 这大概已经低了
[27:48] 接近有70%的成本了
[27:50] 当然K3并不是所有的工作上
[27:52] 都最便宜了
[27:53] 尤其它的推论过程当中
[27:55] 有可能会消耗更多的Token
[27:56] 所以我们未来还是要持续观察
[27:59] 可是至少从这件事情就说明了出
[28:01] 现在的AI竞争
[28:02] 大家会担心在品牌端是否会受到影响
[28:05] 因为我们举例来说
[28:07] 很多新兴市场国家
[28:08] 其实已经开始陆续采用中国AI
[28:10] 像印度企业的部分
[28:12] 最近开始大量使用DeepSeq
[28:15] 阿里千问
[28:16] 还有Kimi
[28:18] 以降低AI的使用成本
[28:19] 由于中国多数的模型
[28:21] 它采用的是开放权重架构
[28:24] 可以自行的下载来部署
[28:26] 而且并且依据需求来做回调
[28:29] 所以企业不需要持续支付高额的API费用
[28:32] 以每100万Token来做计算
[28:34] DeepSick现在输入成本大概是0.19块
[28:37] 输出是0.51块
[28:39] Kimi的部分输入是0.9块
[28:41] 输出大概是4块
[28:42] 相对之下
[28:43] 这种GBD 5.5
[28:45] 它输入成本是5到12
[28:47] 但是输出来到30到54块
[28:49] 所以价格大概还是差了接近10倍
[28:52] 你说差个一倍两倍
[28:54] 那可能还能够来对比
[28:57] 可是差到十倍
[28:58] 你就很明显会拉开距离了
[29:00] 所以不少的印度新创
[29:01] 甚至连很多美国的模型
[29:03] 你像特斯拉
[29:04] 特斯拉现在也有采用
[29:05] 部分美国AI模型
[29:06] Amazon也采用中国的AI模型
[29:09] Uber
[29:09] 沃尔玛
[29:10] 还有最近我们看到
[29:11] ABMB
[29:11] Doordash
[29:12] 其实都有采用大量的
[29:14] 中国的AI模型
[29:15] 以降低Token的支出
[29:17] 所以成本优势的背后
[29:19] 当然大家会担心
[29:19] 那背后可能会伴随着
[29:21] 地缘政治和AI主权的风险
[29:22] 所以各国还是会扶植
[29:24] 各家内部各自的主权AI
[29:26] 可是呢
[29:27] 中国这种价格战的影响
[29:30] 会不会进一步影响到
[29:31] 市场针对这些云端巨头的估值冲击呢
[29:34] 它对于总需求影响并不会特别大
[29:36] 因为大家都在膨胀
[29:37] 可是对于个体而言
[29:39] 就会担心被你给拖下去
[29:41] 这是市场上压力比较大的
[29:43] 我们举例来说
[29:44] 中国这一次其实
[29:45] 因为世界杯刚结束
[29:47] 刚才那场不知道是在踢球还踢人
[29:50] 但这一次在世界杯当中
[29:52] 大家特别关注的就是
[29:54] 很多中国相关的AI技术
[29:57] 其实也陆续采用在
[29:58] 我们讲的实体运动比赛当中
[30:00] 这边是近周看的报道
[30:02] 最近看到的
[30:02] 因为这是48个球队
[30:04] 104场比赛
[30:06] 从比赛开始
[30:07] AI就已经全面参与本轮的赛事
[30:10] 包括内建感测晶片的联网足球
[30:13] 现在的足球它是有联网的
[30:14] 所以球不能够拿走
[30:16] 每次观众拿到就要被要求拿回来
[30:18] 因为里面也联网
[30:19] 还有半自动的越位判定系统
[30:22] 它是用AI来做辅助
[30:23] 影像辅助判决VAR
[30:25] 还有球员的3D建模
[30:27] 我们看到底有没有越位等等
[30:28] 很多都是靠AI来做即时追踪
[30:31] 搭配着球体的感测器
[30:33] 和多镜头摄影
[30:34] 让AI能够快速的完成
[30:36] 越位的判定
[30:37] 手球分析
[30:38] 还有比赛数据的统计
[30:39] 它不仅能够提升判决的准确度
[30:42] 而且大幅减少比赛中断的时间
[30:44] 有没有发现
[30:45] 现在裁判判的速度
[30:46] 其实越来越快了
[30:47] 很大程度就是来自于AI的应用
[30:49] 包括主办国
[30:50] 你像美国墨西哥
[30:52] 这次部署了生物的识别
[30:54] 人流分析
[30:55] 数位软身
[30:56] 不是还看到机器狗走在附近吗
[30:57] 来提升大家的安全意识
[30:59] FIFA也导入了AI社群监测工具
[31:02] 几秒钟以内
[31:04] 你会发现这次对于那个入骂留言很严格
[31:06] 不管是球员的入骂
[31:08] 还是那个观众在网络上的入骂
[31:10] 你一留言
[31:11] 马上就被压制
[31:12] 所以网络霸凌的扩散幅度也没有特别快
[31:15] 除非你是故意要踢人
[31:17] 但球员的3D虚拟分身
[31:19] 未来可以用于转播游戏模拟训练
[31:22] 这一次就是真实第一波AI大量套用在FIFA
[31:26] 这件事情我们也看到
[31:27] 中国有相当多的技术都参与其中
[31:30] 你像是联想等等这些公司
[31:32] 所以回过头来看
[31:34] 我们今天主要跟投资朋友分享的方向是
[31:36] 这一波修正
[31:37] 第一它更像是一场估值和筹码的重新定价
[31:41] 基本并没有松动
[31:43] 但是估值回调肯定是出现的
[31:45] 无论是台积电
[31:46] 艾斯摩尔
[31:47] 或者我们看到低润的实体报价
[31:49] 最新预测都显示着
[31:51] 基本面看不到任何松动的条件
[31:54] 但市场的修正核心
[31:56] 在于过高的期待被重新的校正
[31:58] 需求并没有衰退
[31:59] 第二是杠杆的退烧和放大跌幅
[32:02] 过去一年大量资金涌入到
[32:04] AI和半导体的杠杆ETF
[32:06] 所以融资和动能交易
[32:08] 在股价转入之后
[32:09] 很容易就触发它的卖压情绪
[32:11] 就变成跌越多卖越多
[32:13] 跌幅会大于基本面的变化
[32:15] 第三就是中国的KeyMill
[32:17] 这一次的确会让大家担心
[32:18] 社会掀起新一波的价格战
[32:20] 我个人看法是
[32:21] 总需求是不会因此而衰退的
[32:23] 因为Keyne也需要更多的算力
[32:25] 但重点来自于
[32:26] 他能够大幅降低Token的成本
[32:28] 让市场会开始重新评估
[32:31] AI模型的商业模式
[32:32] 和它的获利能力
[32:34] 短期他压抑AI股的评价
[32:36] 但长期价格下滑
[32:38] 反而有利于加速AI普及
[32:40] 最终受惠的还是我们
[32:41] 还是整个AI的应用市场
[32:43] 而非只有模型的供应商
[32:45] 今天就聊这些
[32:46] 给投资朋友做一些思考
[32:47] 当然了
[32:48] 本周大家最关注的
[32:49] 一个就是
[32:50] Google母公司
[32:51] Alphabet的财报
[32:52] 再来呢
[32:54] Intel德意财报
[32:55] 因为面临相对性的考验
[32:57] 最后就是联总会
[32:59] 和中东局势
[33:00] 我们知道
[33:01] 现在谈判几乎已经破裂
[33:03] 我们在未来几天
[33:04] 就来跟投资朋友
[33:05] 做更进一步的追踪
[33:06] 结果零五分
[33:07] 今天聊的范围真的非常广
[33:08] 但是呢
[33:09] 主要是跟投资朋友分享
[33:10] 我们看到的情绪跟基本面
[33:13] 还有你的原则
[33:14] 是否有把握好
[33:15] 如果有把握本人的跌幅
[33:17] 根本不必害怕
[33:18] 因为你早就已经知道
[33:20] 自己该做什么事情了
[33:21] 给投资朋友多些思考
[33:22] 如果喜欢我们的节目
[33:23] 记得帮我们订阅按赞加分享
[33:24] 我们就明天早上八点半
[33:25] 早晨财经速写读再相见
[33:27] 祝各位投资朋友
[33:28] 看完顺利
[33:29] 操盘愉快
