[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 其实本来早盘还有尝试的V转拉动
[25:45] 可能仍然维持在高档
[25:46] 他认为是稍微比较担心的当然卢比尼每次市井股价通常见底几率就越来越高所以大家参考就好再来是我们看到的波斯头股这一次伊朗国会议长卡利巴夫
[26:00] 他在昨天发了一条贴文
[26:02] 他说投资人开始把川普的发言
[26:04] 当成反向指标
[26:06] 原因很简单
[26:06] 川普的政策实在太反复了
[26:09] 导致市场短期剧烈波动
[26:11] 所以他建议投资人不要追消息
[26:14] 要跟川普反着做
[26:16] 他是伊朗的国会议长
[26:18] 他也在发布消息
[26:22] 鼓励大家投资
[26:23] 你都知道股价炒到这边
[26:25] 现在投股对决
[26:27] 一个看多一个看空
[26:29] 川普是看多的
[26:30] 伊朗国会议长是看空
[26:33] 如果美国要炸我油田
[26:36] 我就会炸回海湾
[26:37] 所以记得要空
[26:38] 这是2026最大的炒股实况节目
[26:42] 所以我们讲说
[26:43] 这年头卖什么石油
[26:44] 炒股好赚多了
[26:46] 他甚至在贴文当中直接表态
[26:48] 市场已经出现了讯号套利的结构
[26:51] 部分资金现在提前布局
[26:53] 在重大发言之前就会进场
[26:54] 所以不要跟白宫玩这一套
[26:56] 他认为现在只是川普白宫派出货的一段时间
[27:01] 股价只会持续的破低
[27:03] 应该算是全球最大空头了
[27:06] 看起来是如此
[27:07] 好我们参考一下就好了
[27:08] 再来是新在皇刚拉克
[27:11] 刚拉克最近所提出的风险认为
[27:13] 现在最大的问题是错误定价
[27:16] 他认为现在有三个黑天鹅
[27:17] 第一是美国长达40年的利率下行周期已经结束
[27:21] 接下来要准备升息了
[27:23] 所以利率必须进行重新的定价
[27:25] 第二私人信贷规模已经重演了2006年的次贷泡沫
[27:30] 存在着严重的流动性错配
[27:32] 第三美国债务逼近40兆美元
[27:34] 在利率上升的情况底下
[27:37] 倾向软尾约或者债务重组的可能性非常高
[27:40] 所以他对赌
[27:41] 接下来几年本质上是股债双杀
[27:44] 信用市场全面失序
[27:46] 美国国力的大幅衰退
[27:48] 信凭机构会进行高强度的调降
[27:51] 那当然了
[27:51] 他的说法从数字上来看都是合理的
[27:54] 不过呢
[27:55] 我们也知道
[27:55] 那美国这几年债务也不断的膨胀
[27:58] 但是也并没有造成
[27:59] 因为信用违约评级的下调
[28:02] 或者说信用平等的下调
[28:04] 而造成这种市场上针对美国国力的质疑
[28:07] 我们从结构性来看
[28:09] 美国财政的确进入了一个很难回头的阶段
[28:12] 债务占GDP比值长期维持在120
[28:15] 现在来到140
[28:16] 那这种结构性赤字的确有点压力
[28:19] 可是拿来跟日本
[28:20] 拿来跟欧洲几个国家来做比较
[28:23] 其实作为一个全球最大的霸权
[28:25] 我们似乎都可以容忍
[28:26] 它有更高的政府债务占GDP的比值
[28:30] 所以从这样的一个角度而言
[28:32] 每个人的想法其实都不太一样
[28:34] 这也给投资朋友多做一些参考
[28:36] 有时候我们就看到自己的经验来解读市场
[28:40] 看到股价在涨
[28:41] 觉得基本面很好
[28:42] 大家喊多就以为趋势稳了
[28:44] 看到专家分析就把它当成真相
[28:46] 但实质上我们提供数据
[28:48] 提供看法
[28:49] 你看到的只是一种表象
[28:51] 真正驱动的因素可能不同
[28:53] 有时候可能就是流动性的问题
[28:54] 有时候是情绪的问题
[28:56] 有时候只是资金杠杆的问题
[28:58] 现在大家的杠杆比较高
[28:59] 股价杀上杀下压力比较大
[29:02] 政策风向
[29:03] 这些才是我们看到房间里真实发生的事情
[29:06] 所以从这些数据来看
[29:08] 我们提供给大家一个不同人的看法和解读
[29:11] 那常听我们节目
[29:13] 大概也知道我们大概偏向哪一类人
[29:15] 当然比较偏向艾克曼
[29:16] 当然这是我们个人的看法
[29:18] 可是我们就要了解说
[29:20] 每个人都在用自己的经验去解读市场
[29:22] 你一定要找到自己的核心原则为何
[29:25] 我们的核心原则就是周期
[29:27] 这给投资朋友多做一些思考
[29:29] 之前看到一个故事
[29:31] 他讲说三个小朋友
[29:33] 第一个小朋友说
[29:35] 我爸妈是很有耐心的人
[29:37] 每天晚上都会讲故事哄我睡觉
[29:40] 第二个小朋友说
[29:42] 我爸妈是很认真的人
[29:44] 每天晚上都会协助我写完作业
[29:48] 第三个小朋友说
[29:50] 我爸妈是非常信教的人
[29:53] 每天晚上我都会听到他们在房间祷告
[29:57] 就很多人
[30:00] 其实就像小朋友一样
[30:02] 用自己的经验去解读市场
[30:04] 有时候真的看到股价在涨
[30:06] 觉得就是基本面很好
[30:07] 但是有时候是流动性的问题
[30:09] 有时候是资金杠杆的问题
[30:11] 有时候是政策风向的问题
[30:12] 市场最残酷的地方就是
[30:14] 它也不会告诉你
[30:15] 你的理解错了
[30:16] 只是用价格让你付出代价
[30:18] 所以每个人的理解层次都不太一样
[30:21] 很多时候我们不是判断错
[30:22] 是理解层次的角度不太一样
[30:25] 有些人层次稍微高一点
[30:27] 他的时间是用三到四年来看待
[30:29] 现在的回谍吸不吸引你
[30:30] 有些人用三到四天
[30:32] 有些人用三到四分钟
[30:34] 对啊祷告
[30:34] My God
[30:36] I'm begging you
[30:39] Call me daddy
[30:40] 是father不是daddy
[30:42] 神父
[30:43] 所以我们看
[30:44] 其实不同的行情
[30:45] 不同的角度
[30:46] 大家会有不同思维
[30:47] 那当然
[30:48] 如果是从中期尺度
[30:50] 来从一些指标来做观察
[30:51] 我们最后做一个结论
[30:53] 当前恐慌情绪之后的反弹
[30:55] 的确出现了不少的减便宜之金
[30:58] 可是这波量能并没有因此而全面爆发
[31:01] 就说明了
[31:02] 大家的接盘意愿
[31:03] 看起来已经不像过去来的这么强烈了
[31:06] 那台股我们就要更进一步关注
[31:07] 可是从一些恐惧贪婪指数
[31:10] 来到酒
[31:10] 乖离指标的部分
[31:12] 我们都可以看到
[31:13] 市场的抛货意愿的确正在加强
[31:16] 我们最担心
[31:17] 之前网友提到
[31:19] 我们最害怕什么
[31:20] 最害怕是市场不怕
[31:21] 市场不怕就代表着乖离下不来
[31:24] 代表的就是每一次回跌都有买盘之城
[31:26] 股价永远回不到合理价
[31:28] 可是我们现在从不同指标来看
[31:30] 从本益比指标
[31:31] 从乖离指标
[31:32] 从情绪指标
[31:34] 就差流动性风险而已
[31:36] 现在还没有流动性风险
[31:37] 但从不同指标来看
[31:39] 陆续看起来逐步到位
[31:41] 事实上就连避险基金
[31:43] 最近都开始投降了
[31:44] 我们根据高盛在昨天所发布的报告
[31:46] 最近避险基金是持续的大幅做空
[31:49] 应该是迎来了过去半年来
[31:51] 最大规模的股票减码
[31:53] 连续六周降低全球股市部位
[31:56] 这是全面性抛售
[31:57] 那空头部位甚至已经来到了
[31:59] 十年来的高点
[32:00] 当然很正常
[32:01] 因为现在体量变大了
[32:03] 科技股代表的纳斯达克100指数
[32:05] 已经跌超过10%
[32:07] 标普500也逐步跟进
[32:08] 欧洲股市甚至出现了
[32:10] 六年来最差的三月份单月表现
[32:13] 这也足以彰显的
[32:14] 整个结构正在反转
[32:16] 我们看CTA
[32:17] 就是趋势交易基金
[32:18] 动能交易的部分
[32:19] 一个月已经卖出了1900亿美元
[32:22] 转为净空单
[32:23] 同时也代表着
[32:24] 它其实能够抛的现货
[32:27] 也抛的差不多了
[32:28] 这是第一个观察重点
[32:29] 那第二个就是
[32:30] 那被动资金会不会出现踩踏
[32:33] 我们知道这几年
[32:34] 美股台股跌不太下去
[32:35] 就是ETF买盘一直进来
[32:37] 那过去曾经在18年
[32:39] 在2020年的时候
[32:40] 曾经出现过这种
[32:42] 被动资金的踩踏现象
[32:43] 就是第一次看到ETF人踩人
[32:46] 大家急着要把钱给输回来
[32:47] 那疫情以后就再也没有发生过了
[32:49] 那这个趋势会不会反转呢
[32:51] 我们后续再跟投资朋友
[32:52] 做一些留意
[32:52] 我们今天主要从几个方向
[32:54] 来跟投资朋友观察
[32:55] 首先呢
[32:56] 这一波从回挡或者情绪修正的角度而言
[32:59] 看起来已经逐步转往重新定价
[33:02] 把通膨定价
[33:03] 把利率定价
[33:04] 把央行货币政策定价
[33:06] 第二大方面
[33:07] 是过去撑盘的AI和半导体开始松动
[33:10] 美光这种基本面
[33:11] 看起来没什么问题的公司
[33:12] 出现补叠了
[33:13] 代表的事情是
[33:15] 市场正在找那些价格本益比未接高的
[33:18] 砍股票降风险了
[33:20] 第三是现在市场面对的并不是单一变数
[33:24] 它有战争
[33:25] 有油价
[33:25] 由政府
[33:26] 重点是川普政策讯号的反复以后
[33:29] 引领着不同市场投资人的看法
[33:32] 现在并不是一面倒的看空或者看多
[33:35] 投资市场现在看起来
[33:37] 还是有一点怀疑的态势
[33:38] 双方仍然在对赌
[33:39] 那你只要寻找
[33:41] 你的原本的投资的初衷和逻辑
[33:43] 如果到位了
[33:44] 那就投吧
[33:45] 如果是动能投资
[33:46] 那当然你要根据当下的情势
[33:48] 来做更进一步的判断
[33:49] 也给投资朋友做一些参考了
[33:51] 台股跌65点
[33:53] 台股到底发生什么事情呢
[33:55] 裤子都脱了
[33:57] 不是钱都准备好了
[33:58] 对不对
[33:59] 所以我们讲说
[34:00] 看起来台股的ETF资金
[34:02] 是非常庞大的
[34:03] 相对于美股而言
[34:05] 那我们后续再跟投资朋友观察
[34:07] 台股为何跌不动
[34:09] 到底台股有什么样的一个魔力
[34:11] 过去七年以来的买盘
[34:13] 到底它的背后的根基为何
[34:15] 是最近的景气信号灯
[34:17] 重返红灯的原因吗
[34:18] 是因为外销出口订单的持续拉升吗
[34:21] 给投资朋友多多去思考
[34:23] 如果喜欢我们的节目
[34:23] 记得帮我们订阅按赞加分享
[34:25] 我们明天早上半半
[34:25] 早晨财经速解读
[34:27] 再相见
[34:27] 祝各位投资朋友
[34:28] 看板顺利
[34:29] 炒板愉快
