[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 乖离休政
[25:18] 为什么认为债券价格会继续跌
[25:20] 因为预估你要多发债
[25:21] 为什么预估你要多发债
[25:22] 因为你自由现金流转付了
[25:25] 那Google自由现金流转付了
[25:27] 特扎自由现金流转付了
[25:29] 大家手上都没有现金
[25:31] 现在手上只有一种人
[25:35] 现金最多
[25:35] 空手的人
[25:37] 不过空手的人
[25:38] 搞不好也跟巴菲特一样
[25:39] 也好几年没有买股票了
[25:40] 可是可以看得出来
[25:41] 现在七巨头八巨头
[25:44] 由于CDS价格的持续创高
[25:46] 就代表着市场认为
[25:48] 违约的保证价值快速提升
[25:51] 认为你有可能债务
[25:53] 再这样子发行下去
[25:54] 一定还不出来
[25:54] 要么你就明年不要发那么多债了
[25:57] 债券市场价格趋稳
[25:58] 要么就是你继续发这么多债
[26:00] 可是我的保险成本
[26:02] 必须快速的提高
[26:03] 所以现在有人说七巨头
[26:04] 有人说八巨头
[26:05] 因为除了苹果以外
[26:06] 现在巨头的CDS价格都在飙升
[26:09] 如果你把SpaceX加进来的话
[26:12] 现在就改成八巨头了
[26:14] 所以我也不确定
[26:14] 像有些人称几巨头
[26:16] 有些人称八巨头
[26:17] 苹果 辉达 Google
[26:19] 微软 Meta 特斯拉
[26:22] 那加上八巨头
[26:24] 加我就九巨头
[26:26] 但是这些巨头们
[26:28] 目前除了苹果以外
[26:29] 的确CDS价格都在疯狂的飙升
[26:32] 那这种飙升速度
[26:33] 肯定会有人先遭殃
[26:35] 你看甲骨文的部分
[26:37] 假股文现在的信用利差
[26:39] 或者我们讲说CDS
[26:40] 五年期价格
[26:42] 大概已经上涨到200个基点了
[26:45] 它会形成什么效果
[26:46] 就1000万的五年期的投资等级战
[26:50] 你可能要付20万的保险费
[26:53] 以前只要多少
[26:54] 以前在今年年初才14万
[26:56] 所以上升幅度来得这么快
[26:58] 它形成了最后就变成股价的反压
[27:01] 或者是假股文也算是
[27:02] 30年来最长的连跌记录
[27:05] AI豪赌进入到市场验证的区间
[27:07] 这就是市场给予的失职压力
[27:10] 当然我们回过头说
[27:12] 市场给予的卖压
[27:13] 行情
[27:14] 大家总会担心
[27:16] 可能风险控管
[27:18] 一旦失效
[27:18] 后果会往往比想象中更大
[27:20] 它也是一个合逻辑的这种概念
[27:24] 或者操作
[27:24] 也不能怪这些投行
[27:26] 因为AI投资的确
[27:27] 它是越来越竞争
[27:29] 市场过去总是在关注
[27:31] 谁盖了资料中心
[27:32] 谁买了更多的GPU
[27:34] 谁宣布更大的资本支出
[27:36] 不过现在投资银行
[27:37] 信凭机构和债券市场的目光
[27:40] 它都转向另外一个问题
[27:41] 就是他们最后到底要怎么继续投
[27:44] 我现在相信你会继续投
[27:45] 那你要怎么拿钱来继续投
[27:48] 那我们相信债务成本的持续拉升
[27:50] 那信用市场就持续紧缩情况底下
[27:53] 就可能形成这样的后果
[27:55] 所以我要提前买保险
[27:57] 我要确保我的融资结构是安全的
[27:59] 我要确保有部分企业
[28:01] 可能甲骨文
[28:02] 可能SpaceX
[28:03] 优先被调降到
[28:04] 垃圾及债券的时候
[28:05] 那我要优先
[28:07] 可能有足够的风险铁水
[28:09] 跟降落伞一样
[28:11] 平时没有人会在意它
[28:12] 遇到真正风暴的时候
[28:13] 你就希望它可以达到
[28:15] 一定的安全效果
[28:16] 昨天我才讲了
[28:17] 内裤跟钉织裤的差别
[28:19] 后来底下就有网友问
[28:21] 浩哥
[28:21] 那你知道降落伞跟保险套
[28:24] 最大的差别是什么吗
[28:26] 我说是什么
[28:27] 他说降落伞
[28:28] 是破了之后
[28:30] 世界就少了一个人
[28:31] 那保险套呢
[28:33] 这破了之后
[28:34] 世界就多了一个人
[28:35] 所以我们要清楚知道
[28:37] 有时候大家选择
[28:39] 在最容易被忽略的时候
[28:42] 往往并不是单纯的风险控管
[28:44] 景气好的时候
[28:45] 没有人会在乎降落伞是否牢靠
[28:47] AI热潮高涨的时候
[28:49] 也很少人会去检查
[28:51] 融资结构是否承受逆风
[28:53] 那我好处想就是
[28:54] 我们在AI还没有迎来
[28:56] 真实的算力泡沫破灭之前
[28:57] 大家就已经意识到这件事情
[28:59] 你好像不能够这样子
[29:01] 一直玩下去
[29:01] 我会紧张
[29:02] 所以大家像投行信用市场
[29:05] 开始提前检查这张降落伞
[29:07] 有没有破洞
[29:08] 有没有问题
[29:09] 到底会帮我们增加一个新的生命
[29:12] 还是会丧失一个新的生命
[29:14] 整个融资体系能否安全的落地
[29:17] 市场是很谨慎的
[29:18] 所以你从本益比的角度来看
[29:20] 你从市场的情绪来看
[29:22] 你再从当前单纯肋骨轮动的角度来看
[29:26] 市场上感觉更像是
[29:28] 你要起飞了
[29:29] 可是起飞之前
[29:30] 先让我们检查一下
[29:32] 你经不经得起如此高的杠杆
[29:34] 估尺呢
[29:35] 有这样的一个味道在里头
[29:36] 所以我们还是把它视为一个
[29:38] 比较大的一个中期回调
[29:39] 最好喜到大家没有耐心
[29:41] 是长期投资者最希望发生的事情
[29:43] 好台股平盘上涨44点
[29:46] 收在41647点
[29:48] 我们今天主要跟投资朋友
[29:49] 聊两个方向
[29:50] 一个方向就是
[29:52] 我们从当前的财报基本面
[29:54] 来做多重的确认
[29:55] 其实会发现
[29:56] 本益比真实在下滑
[29:57] 价值投资者的吸引程度越来越高
[30:00] 这个吸引程度应该会让
[30:01] 巴菲特他会持续进行Google的回补
[30:04] 但是回过头说
[30:05] 那市场真的在担心你的估值过高吗
[30:07] 市场真的在担心你的基本面有恶化吗
[30:10] 其实都不是
[30:11] 市场只是担心
[30:12] 那你借了这么多钱
[30:14] 你明年是不是还要借这么多
[30:15] 你以前借的就算了
[30:17] 因为以前自由现金融还没有翻覆
[30:18] 那你未来要借的
[30:20] 那就要动用到我们的钱了
[30:22] 可是第一
[30:22] 我们的钱有点不够了
[30:24] 流动性过度透支
[30:26] 太多人质押抵押贷款
[30:28] 银行能够借你的钱都借了
[30:30] 私募信贷能够借给你的钱也都借了
[30:33] 那没办法
[30:33] 那现在大家都没钱了
[30:35] 所以必须要持续性的做校正回归
[30:37] 那第二件事情
[30:38] 那就来自于市场上正在买保险
[30:41] 我当然知道你现在的基本面获利还是不错的
[30:44] 我也持有你们家股票
[30:46] 可是问题在于你还想跟我借钱
[30:49] 那保险费要收高一点
[30:51] 以防有部分企业可能有倒债的风险
[30:54] 然后这是我们看到的实体迹象
[30:55] 一个投资朋友做一些参考
[30:57] 如果喜欢我们节目
[30:57] 记得帮我们订阅按赞加分享
[30:59] 我们就明天早上8点半
[31:00] 早晨财经速写图再相见
[31:02] 祝各位投资朋友
[31:03] 开盘顺利
[31:04] 操盘愉快
