[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 已經想上去了
[25:14] 好像只要買到它
[25:16] 過去所有的錯
[25:17] 都能夠一次的補回
[25:19] 但人性就是如此
[25:20] 瞭解自己的人性
[25:21] 瞭解自己的投資報酬極限
[25:23] 就可以了
[25:23] 得不到的最想要
[25:25] 有時候我們不是
[25:25] 平時在網路上
[25:27] 或者在電視臺
[25:29] 看到電視劇或者新聞
[25:30] 男生外遇
[25:31] 結果都發現
[25:33] 其實正宮本人
[25:34] 好像比小三還要好看很多
[25:36] 這年頭好看的小三也不多
[25:38] 但是男人
[25:40] 就是喜歡那種
[25:41] 得不到最想要
[25:42] 投資人也是如此
[25:44] 欺不如竊
[25:46] 竊不如偷
[25:48] 偷不如偷不著
[25:49] 得不到的最想要
[25:51] 這就是我們看到的
[25:52] 真實美股邏輯
[25:54] 那當然我們回過頭說
[25:56] 它其實也奠定的
[25:57] 從整個AI時代
[25:58] 24年25年
[25:59] 行情全面啟動以後
[26:01] 當代經濟的一個重要的關鍵變化
[26:04] 就是產出成長帶來的好處
[26:06] 越來越多的流向資本
[26:08] 而並不是單純的勞動
[26:10] 我們用大型科技公司來做對比
[26:12] 就可以發現出一些端倪
[26:13] 現在的頂級科技巨頭
[26:16] 市值獲利遠遠勝於過去的產業龍頭
[26:19] 但員工資料少得非常多
[26:21] 所以如果我們細看
[26:22] 華爾街日報做的專題
[26:23] 現在每一個單位的利潤
[26:25] 背後所需的能力很明顯下滑
[26:28] 從整體資料來看
[26:29] 過去40多年
[26:30] 勞動在國民所得中的佔比持續下滑
[26:33] 企業利潤佔比則明顯攀升
[26:35] 原因很簡單
[26:36] 工會的示威
[26:38] 外包全球化
[26:40] 軟體智慧財產取代重資產裝置
[26:44] 還有自動化的長期取代能力
[26:45] 現在AI又把這個趨勢
[26:48] 再往前推了一整段
[26:49] 新一代的科技公司
[26:51] 它的商業模式
[26:52] 他以演演算法
[26:53] 以平臺
[26:54] 以資料為核心
[26:55] 可以用更少的員工
[26:57] 來創造更高的產值
[26:58] 很多現在的高階人才
[27:00] 用股票報酬來繫結
[27:02] 他算是介在
[27:03] 勞動和資本之間
[27:04] 但是真正的大頭是誰
[27:05] 是我們
[27:06] 我們作為股東
[27:08] 以及資產持有者
[27:09] 拿走了真實的獲利
[27:10] 家庭財富佔
[27:12] 可支配所得的比重
[27:13] 已經高於疫情前
[27:15] 使得資產波動
[27:16] 對於消費的影響越大
[27:18] 這個就
[27:18] 某種程度就意涵了
[27:20] 其實現在消費市場
[27:22] 是一個財富效果
[27:23] 股市漲
[27:24] 我沒賣股票
[27:25] 我也先訂好明年機票了
[27:27] 跌了再說
[27:28] 股市跌
[27:29] 雖然我本業收入也沒有下滑
[27:32] 可是我稍微花的錢
[27:34] 就比較保守一點了
[27:35] 現在的消費模式就是如此
[27:37] 這是一個幾股傳花的遊戲
[27:39] 完全停不下來
[27:40] 但是資本和勞動之間
[27:42] 往股東方向來做傾斜的跡象
[27:45] 似乎已經完全無法改變了
[27:47] 我們再做更細節觀察
[27:48] 如果你把市值拿來跟員工數
[27:50] 放在同一個座標來看
[27:52] 26年
[27:53] 你想回答蘋果
[27:54] Google Microsoft
[27:56] 市值大概是3.5到4.5兆
[27:58] 員工人數大概就是5萬到25萬
[28:00] 對比過去龍頭
[28:02] 1985年的IBM
[28:03] 2005年的通用電器
[28:05] 10年的XMF
[28:07] 那個員工動輒都是30萬到40萬人
[28:10] 就代表著
[28:11] 現在的頂級企業
[28:13] 僱傭的人數是越來越少了
[28:15] 所以你的貧富落差感才會越來越大
[28:17] 因為這些企業
[28:19] 它的市值要擴增
[28:20] 不用依靠員工人數的成長
[28:23] 它基本上只要能夠匯入AI
[28:25] 就能夠創造更多的獲利
[28:27] 所以從實質成長來看就更明顯了
[28:29] 張圖表說我們把通膨扣除之後
[28:33] 企業的利潤從19年以來的累積成長
[28:35] 已經接近四成
[28:36] 中間雖然在疫情初期有短暫下滑
[28:39] 但是很快就一路墊高
[28:41] 相對之下整體薪資的福利
[28:43] 成長只有5到7%
[28:45] 時薪幾乎是零成長
[28:46] 長時間就被通膨給吃掉了
[28:49] 等同於同一段時間景氣的復甦
[28:51] AI的投資浪潮
[28:52] 公司端的獲利槓桿被大幅的放大
[28:55] 但勞動端的實質購買力提升是非常有限的
[28:58] 就變成了明明現在資料就很好
[29:00] 股市也創高
[29:01] GDP也不錯
[29:02] 但是多數人對於景氣的體感仍然顯著偏冷
[29:06] 這不只是美國股市
[29:08] 臺股各國股市市場看起來都是如此
[29:11] 這也給投資朋友做一些思考
[29:13] 我們今天聊的範圍稍微比較廣
[29:15] 我們從一開始在各大資產價格的漲幅
[29:18] 來回過頭看26年到現在為止
[29:20] 黃金價格的漲幅低
[29:22] 它的根本原因是什麼
[29:23] 而在今年
[29:24] 非美市場又大幅的跑贏了美國股市
[29:26] 而美國股市
[29:27] 似乎科技巨頭
[29:29] 已經產生適度的估值修正
[29:30] 大家正在賭一個肋骨的輪動
[29:33] 可是即便資產價格的風風雨雨
[29:36] 你會觀察到
[29:37] 真正能夠在本輪景氣當中
[29:39] 感受到樂觀的人
[29:41] 毫無疑問
[29:41] 一定是財富擁有者
[29:43] 所以財富效應
[29:44] 本身跟消費經濟已經綁在一塊了
[29:47] 也祝大家新年快樂
[29:49] 因為9點了
[29:50] 臺北股市上漲83點
[29:51] 刷33186點
[29:53] 看看今天有沒有機會
[29:55] 現貨市場占上1900塊的臺積電了
[29:58] 也祝大家新年快樂
[30:00] 這幾年其實我已經很少做那種新年計劃了
[30:03] 那剛出社會都會把那個目標切得很細
[30:06] 每年每個月要完成什麼樣的清單
[30:10] 後來你已經慢慢體會到了
[30:11] 與其把時間表給排滿
[30:13] 不如跟投資一樣
[30:15] 先抓住長期方向
[30:17] 比如說要維持健康
[30:19] 把專業能力給打磨好
[30:21] 方向要清楚
[30:22] 比密密麻麻的代辦事項有用得多
[30:25] 所以如果計劃你猜得太碎
[30:26] 就會變壓力
[30:27] 一旦沒達成就自我否定
[30:29] 每年新年願望就是不要熬夜
[30:31] 就新年就去跨年
[30:33] 馬上就熬夜
[30:34] 現在的標準反而很單純
[30:36] 就每天你能夠在睡前回過頭看
[30:39] 如果覺得今天有認真投入
[30:41] 沒有敷衍自己
[30:43] 那就算交代的過去
[30:44] 成就感反而並不是每天去打那個勾勾
[30:47] 有時候去看
[30:49] 你有沒有真心參與每一天的過程
[30:51] 那很榮幸
[30:52] 每一天我都很真心的參與大家的直播
[30:55] 不認真的話
[30:57] 有時候腦袋沒辦法專注
[30:59] 但現在你看待目標
[31:00] 就好像我們在航行一樣
[31:02] 重點不要去鎖住哪一個固定的終點
[31:06] 我們要確認大方向
[31:07] 確認美國股市會三帶牛走高
[31:10] 然後依照著每天的風浪去微調航道
[31:12] 所以順便宣傳一下
[31:13] 如果大家有興趣
[31:14] 也可以來
[31:15] 不管是我們的YouTube的會員頻道
[31:16] 還是我們的訂閱網站會員制
[31:18] 裡頭都有相關的宏觀報告
[31:20] 我對於財經世界的進一步的理解
[31:22] 如果大家有興趣的話
[31:23] 歡迎也可以參加
[31:24] 環境一直在變
[31:25] 人也在變
[31:26] 我們只要持續修正
[31:27] 持續前進
[31:28] 路線就會越來越貼向自己
[31:30] 真正想要走去的地方
[31:32] 當然彈性不等同於隨性
[31:34] 這是一套需要可以操作的方法
[31:36] 像我們很常拿來提醒自己的
[31:38] 就是刻意練習那套邏輯
[31:41] 你要先focus的
[31:43] 然後fix it
[31:44] 然後feedback
[31:45] 你要先認真在單一重點
[31:47] 然後持續回饋修正
[31:49] 最後呢
[31:49] 給自己一些更進一步的瞭解
[31:52] 在這一場問題當中
[31:53] 這樣子既不會無聊
[31:55] 也不會挫敗
[31:56] 更容易進入到高度專注的狀態
[31:58] 那不管如何
[31:59] 就祝大家新的一年
[32:00] 馬到成功
[32:01] 新年快樂
[32:02] 那我們就年後
[32:04] 找成財經資料圖再相見
[32:06] 祝各位投資朋友今天看盤順利
[32:08] 操盤愉快
