[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是创下了历史性高价
[25:22] 本季度的新兴市场超过90%的获利
[25:25] 其实都来自于台湾和韩国了
[25:26] 中国反而成为拖累对象
[25:28] 这也说明了
[25:29] 我们现在讲的新兴市场指数
[25:30] 其实就是跟AI指数一模一样了
[25:33] 从数据上来看
[25:34] 台股的企业获利成长预估是45%
[25:37] 带动整体的评价持续上行
[25:39] 台积电在台股的权重已经飙升到44%
[25:42] 几乎等同于市场本体
[25:44] 即便整体新兴市场
[25:46] 现在还有一些地方
[25:47] 是因为地缘政治开始转落
[25:49] 可是北亚
[25:50] 就是台韩之间的强度
[25:51] 实在太高了
[25:52] 那当然新兴市场
[25:53] 现在不包含日本
[25:54] 包含日本的更强了
[25:55] 一边是AI带动的获利爆发
[25:58] 加上台韩的整体而言
[26:00] 外资系统单回补的可能性
[26:02] 另外一方面是
[26:03] 其他新兴市场还是很疲惫
[26:05] 尤其是一些原物料市场
[26:06] 它基本上都只是短期的带动
[26:08] 所以基本上
[26:09] 整个新兴市场
[26:10] 它还是一个
[26:11] 比较两极化的发展
[26:12] 至少我们当前看到
[26:14] 整体台积电在这一次
[26:16] 法收会之后
[26:18] 整体目标价的调高
[26:20] 已经看得出来
[26:21] 外资的动作频频拉升
[26:23] 那当然了
[26:24] 以前外资说调高归调高
[26:26] 它回不回补不一定
[26:27] 可是我们现在要观察到
[26:29] 一个新的迹象出现了
[26:31] 以前不回补
[26:32] 搞不好真的是什么
[26:33] 公司治理管理的问题
[26:34] 今天韩国股市进行一系列调整以后
[26:36] 真的外资做回补了
[26:38] 那台湾呢
[26:39] 美元鼓励的发放
[26:40] 然后头信的买卖潮比例全中的发放
[26:45] 再加上接下来雅兹中心
[26:47] 进行一系列内部的松绑
[26:49] 我们其实看得出来
[26:50] 彭主委这几年松绑的力度
[26:53] 远远大于监管的力度
[26:54] 监管的事情都交给杨总裁
[26:56] 现在监管会的全面放松
[26:58] 我们就看一下外资
[26:59] 到底他连续卖了六年
[27:02] 何时会做回补呢
[27:03] 值得大家来多做些留意
[27:05] 我们也可以了解
[27:06] 等同于整个台湾
[27:07] 在本轮的硬体行情当中的新时代
[27:10] 已经逐步发酵
[27:11] 当然
[27:11] 这个都是我们看到
[27:13] 从利多层面市场的疯狂所带动的
[27:15] 回过头我们要看
[27:17] 那到底现在市场上
[27:18] 还有人保持悲观吗
[27:19] 还有人
[27:20] 那反而奠定了上涨的基础
[27:22] 因为还有人悲观
[27:23] 而并不是全面乐观
[27:25] 我们看
[27:25] 首先看到的指标是
[27:27] 市值前十大公司市值的规模
[27:30] 已经超越了排除美国以外的
[27:32] G7的国家GDP的总和
[27:34] 当然GDP没办法跟市值
[27:36] 直接进行类比
[27:36] 可是巴菲特指标就这样比的
[27:38] 所以我们如果把台积电也当成美国公司
[27:41] 整体而言
[27:42] 七巨头基本上已经吸纳了
[27:45] 全球主要的资金未纳量
[27:46] 而Michael Burry正是看到这种
[27:48] 行情几乎失控
[27:50] 费办连续上涨18天
[27:51] 这一次Michael Burry在自己的订阅专栏当中
[27:54] 已经提到他以长天期
[27:56] 2027年1月份到期的
[27:58] SOXX费办的卖权压住下跌
[28:02] 履业价是330块
[28:03] 等于预估费办接下来
[28:05] 在明年年初以前
[28:07] 至少要下跌三成以上的跌幅空间
[28:10] 这是典型的等待泡沫破灭的结构性瞎做
[28:13] 他的说法也很清楚
[28:14] 他不否认AI的需求
[28:16] 但他认为现在一路的上涨
[28:18] 是由技术面资金面的推动
[28:19] 而并不是基本面所推升的价格
[28:22] 等同于他在赌一个本一笔回调的空间
[28:24] 那的确啦
[28:25] 我们看一下最近SMH和SOXX
[28:28] 最近ETF的流入量
[28:30] 你看那一根
[28:30] 四月份
[28:31] 太长太粗
[28:33] 不粗啦
[28:33] 太长了吧
[28:34] 几乎是过去往年的四倍到五倍
[28:37] 瞬间这么庞大的资金
[28:39] 他认为有风险
[28:40] 所以他现在的对冲结构
[28:42] 一方面是放空半导体和大盘
[28:44] 另外一方面是加码防御型资产
[28:47] 像是超市或者医疗保险
[28:48] 甚至他反而布局已经跌深的软体和微软
[28:51] 这等同于一件事情
[28:53] 其实他好像也不是全面性的对赌系统性崩溃
[28:57] 他认为有些股票实在涨得太夸张了
[29:00] 所以他决定针对涨最夸张的
[29:03] 赌一个本益比均值回调的空间
[29:06] 所以你要这样想
[29:07] 他虽然在放空废办
[29:09] 可是他正在买微软
[29:10] 那他为什么买微软呢
[29:12] 其实我们也看得出来
[29:13] 过去我们一直提过
[29:14] 微软过去因为已经几乎扬尾了
[29:17] 股价从高点跌幅来到四成
[29:19] 回到去年四月份的水准
[29:21] 整体而言
[29:22] 他的本益比从高点四十几倍
[29:24] 一路下滑到二十三倍
[29:26] 几乎等同于2022年的水准
[29:28] 所以股价虽然跟去年四月份差不多
[29:30] 可是本益比早就已经比去年四月份还来得低了
[29:33] 现在呢
[29:33] 重新回到二十七倍
[29:34] 也不过回到均值
[29:35] 所以它回补微软
[29:37] 看起来从周期角度而言
[29:39] 是有它的意义存在的
[29:40] 那它放空废办
[29:42] 看起来就是赌一个
[29:43] 高乖离修正的空间了
[29:45] 这件事情我们就拭目以待
[29:47] 当然我们今天聊的范围比较广
[29:49] 台股上涨1045点
[29:51] 说在39996点
[29:53] 那台积电已经碰到2300
[29:56] 那当然2330就是指日可待
[30:00] 指分可待了
[30:01] 随时都有可能做突破
[30:03] 当台积电逐步超越自己代号以后
[30:06] 那就说明着我们要下调
[30:08] 下一轮我们持有台积电的空间
[30:11] 下一轮要以整数关卡
[30:13] 所以现在都流行这样子
[30:15] 代号一定要取得好看
[30:16] 代号是越高越好
[30:18] 因为所有的股票都在追逐自己的代号
[30:22] 我们今天聊的范围很广
[30:23] 从一开始在中东战事的侵扰
[30:25] 以及AI爆发期当中
[30:27] 市场的讯息反应似乎透露出
[30:30] 大家对于伊朗战事长期停滞
[30:32] 或者长期僵持所造成的影响
[30:35] 那当然这种原油价格的外溢
[30:37] 农粮价格的外溢
[30:38] 它一样是一个风险
[30:39] 那为什么市场不理呢
[30:41] 因为市场的股价涨幅
[30:43] 已经超过了肥料涨幅
[30:44] 超过了原油涨幅
[30:46] 所以对于投资人来看
[30:48] 好像无关K型经济的分化
[30:50] 但是第二轮
[30:51] 针对整个美国股市的变化
[30:52] 我们必须承认
[30:53] 从废办角度而言
[30:54] 它难免真的有点高乖离
[30:56] 高档动画的空间
[30:57] 一定要休息一下的
[30:59] 可是回过头来说
[31:00] 正由于大家都这样想
[31:01] 也许预判的预判
[31:03] 就形成了行情的主流趋势
[31:05] 但至少在英特尔也暴涨的同时
[31:07] 我们至少看到
[31:08] 非半有些个股
[31:10] 涨幅的确是有点夸张了
[31:12] 有点脱离基本面的感觉
[31:13] 这些脱离基本面
[31:14] 不一定是对的或者是错的
[31:17] 可是可以承认的事情是
[31:18] 他们都加重了台积电更多的吸引力
[31:22] 凭什么台积电本益比这么低
[31:24] 他是不是受委屈了
[31:25] 这么优质的公司
[31:26] 几乎本益比
[31:27] 现在比英特尔还来的低了
[31:29] 这是值得大家观察的方向
[31:31] 而在种种金管会的推动底下
[31:33] 无疑都暗示着散户的力道吹捧
[31:36] 投信的买超放宽
[31:38] 还有外资的回补
[31:39] 何时回归成为台股
[31:41] 接下来挑战五万点的重要助力
[31:44] 给投资朋友做些思考
[31:45] 如果喜欢我们节目
[31:45] 记得帮我们订阅按赞加分享
[31:47] 我们就明天早上八点半
[31:48] 早晨财经数点读再相见
[31:50] 祝各位投资朋友看盘顺利
[31:51] 操盘愉快
