[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 美伊现在距离停战
[25:40] 真正问题是很多
[25:41] 佛里达州的古巴选民
[25:43] 他们无法接受这件事情
[25:45] 他们已经变美国人了
[25:46] 可是他们还是古巴裔的
[25:47] 对这些流亡社群来说
[25:49] 古巴问题
[25:50] 它是一个历史问题
[25:52] 一定要清除卡斯楚体系
[25:54] 所以现在美国内部就是这样
[25:56] 就是共和党的建制派
[25:57] 鹰派跟川普的MAGA派
[26:00] 正在取得适度的平衡
[26:01] 川普当然是希望
[26:03] 藉由交易的方式立即谈妥
[26:05] 在中期选举之前
[26:06] 谈到一个好的方案
[26:07] 让民调有所提升
[26:09] 不过对于建制派而言
[26:11] 看法就不太一样
[26:12] 另外一个就是习近平跟普丁
[26:14] 正在打造没有美国的世界秩序
[26:17] 这场川习会过后
[26:19] 其实并没有更进一步美中之间的深化
[26:21] 反而是习近平和普丁
[26:23] 在这次北京峰会
[26:24] 我们看到已经签署了40项合作
[26:27] 从能源AI科技铁路到矿业
[26:30] 这场会谈有很强烈的政治讯号
[26:32] 中俄似乎正在刻意向外表示
[26:35] 两国的关系并没有因为西方的制裁
[26:37] 而削减
[26:38] 那双方是否代表着
[26:40] 美中之间会引来新一波的竞争压力呢
[26:43] 其实川习会才刚结束没多久
[26:45] 上礼拜中国马上就宣布
[26:48] 对于部分战略矿产
[26:49] 实施新的财矿管制
[26:51] 未来不只是总量会被管制
[26:53] 连财矿的资格
[26:54] 外资的投资和国安审查会
[26:56] 会进行全面性的收紧
[26:58] 虽然北京并没有公开点名
[27:00] 但是很明显似乎在呼应
[27:02] 川普在近期所采取的动作和看法
[27:05] 当然美国的稀土国家队
[27:07] 现在也开始逐步的形成
[27:09] 那预估可能要到2030年
[27:11] 才会有接近一成左右的产能
[27:13] 不过美国的本土稀土的经验能力
[27:16] 目前过去几个季度
[27:18] 也在逐步的养成当中
[27:19] 那么美中之间的竞争
[27:21] 其实也是在川习会之后
[27:23] 告一段落以后
[27:24] 设定规则以后
[27:26] 持续性的竞争
[27:27] 我们举例来说
[27:28] 像美国智库ISW
[27:29] 在礼拜五所出的报告
[27:31] 就有聊到
[27:32] 说川习会之后
[27:33] 中国对于台湾的军事压力
[27:35] 也并没有因此而释怀
[27:37] 中国现在已经把大量老旧的歼6战机
[27:40] 改装成无人机
[27:41] 开始大量的部署到福建广东
[27:43] 未来被当成低成本的消耗武器
[27:46] 用来大量的消耗台湾的防空飞弹
[27:48] 与此同时
[27:49] 就在现在这段时间
[27:51] 中国的航母辽宁号
[27:52] 也在西太平洋进行远海的实弹演练
[27:55] 来模拟未来封锁台湾
[27:56] 和阻止美军的介入
[27:58] 双方的角力只是陆续在提升当中
[28:01] 这些事情都意味着
[28:02] 川普在春席会当中
[28:04] 如果没有取得极大的量力成果
[28:06] 那就势必要在中东问题
[28:08] 在古巴问题当中
[28:10] 获取进一步的拉伸
[28:11] 尤其是对于欧洲
[28:13] 欧洲的部分
[28:14] 这一次乌俄战事
[28:15] 进入到持续性的僵局
[28:17] 但是最近川普进行了军事的调动
[28:20] 撤离了德军
[28:21] 可是加大了波兰的部署
[28:23] 引发高度关注
[28:25] 等同于之前是撤5000人
[28:27] 现在5000人直接进到波兰
[28:28] 看起来就是重新的洗牌
[28:30] 美国看起来并没有真正的打算
[28:33] 全面离开欧洲
[28:34] 反而把军力更往俄罗斯的东欧前线来移动
[28:37] 这让大家开始好奇
[28:39] 是不是川普要采取一定性的做法
[28:41] 如果在中期选举之前
[28:44] 乌俄战是停战了呢
[28:46] 那跟川普现在的动作有没有关呢
[28:49] 我们就拭目以待
[28:50] 台北国势上涨1059点
[28:52] 收在43,320点
[28:54] 还有五天
[28:57] 看一下有没有机会
[28:58] 三月见三万
[29:00] 四月见四万
[29:01] 五月见五万
[29:02] 年底十二万
[29:03] 好像有点难度
[29:04] 但现在的川普
[29:05] 我们讲说已经进入一个
[29:07] 跟时间赛跑的状态
[29:08] 每一战事虽然接近尾声
[29:10] 但真正的问题才刚开始
[29:12] 因为战争所带来的能源
[29:13] 航运和供应链的冲击
[29:15] 已经歪移到整个美国的经济体系
[29:17] 从油价到保险到物流
[29:19] 到科技的硬体
[29:20] AI的基建到消费电子产品
[29:22] 大家都在变贵
[29:23] 那通膨跟汽油当然有关系
[29:27] 但更重要的事情是
[29:28] 那接下来的科技通膨
[29:30] 终端通膨如何解决
[29:31] 再来是要回过头来说
[29:33] 一边他推着美伊挺火
[29:35] 和荷姆资的降温
[29:36] 一边要加速对于党内的清洗
[29:39] 反对派的压制
[29:40] 强化边境
[29:41] 还有DEI问题
[29:42] 与此同时对外
[29:44] 要在中国谈贸易层面
[29:46] 川习会没有取得进一步成果
[29:48] 也不代表未来不会有
[29:49] 对于欧洲而言
[29:51] 因为接下来习近平要访美了
[29:52] 如果双方能够有新一波的协议
[29:54] 对中期选举也是加分
[29:56] 对于欧洲而言
[29:57] 谈能源谈关税
[29:58] 但本质上却加深了对于波兰的布局
[30:01] 如果真的能够达成乌俄协议
[30:03] 就在今年就在中期选举以前
[30:05] 那对于美国的民调提升肯定也是有帮助的
[30:08] 但不管怎么说
[30:10] 川普对抗高通棚和选民焦虑的政治保卫战
[30:14] 已经逐步展开了
[30:15] 我们就观察未来几个月收容战线的表现
[30:18] 给投资朋友做一些观察
[30:20] 如果喜欢我们的节目
[30:20] 记得帮我们订阅按赞加分享
[30:22] 我们就明天早上半半
[30:23] 找陈才经速解读
[30:24] 再相见
[30:25] 祝各位投资朋友开盘顺利
[30:26] 上文快
