[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 这个上周五台股没有开盘之后
[26:13] 那搞不好是泡沫破灭
[26:14] 不一定
[26:15] 资本支出放缓
[26:16] 会有非常多的副作用呈现
[26:20] 就是讲的是
[26:21] 我们要让它放缓
[26:22] 不一定是不看好AI了
[26:24] 而是它的能力有限
[26:26] 它不能够无条件扩散了
[26:28] 我们举例来说
[26:29] 过去我们跟投资朋友提过
[26:31] 由于现在
[26:31] 美国在资料中心的建制量
[26:34] 已经远远大于
[26:35] 在商业建筑的建制量
[26:37] 代表美国目前投入到资料中心的建设金额
[26:39] 远远大于上半
[26:41] 那从16年以来
[26:42] 资料中心的建设支出更是超过10倍
[26:44] 那就代表着资料中心会有更多的像噪音问题
[26:48] 用电的问题
[26:49] 水资源污染的问题
[26:51] 居民返台的问题
[26:52] 更大的挑战其实明显就是电力供应
[26:55] 如果美国的电网和发电能力扩建速度
[26:58] 明显跟不上AI需求
[27:00] 或者换句话说
[27:01] 建电厂的速度
[27:03] 远远低于GPU生产的速度
[27:07] 那么未来电力的瓶颈
[27:08] 就势必要让AI资料中心的建设速度放缓
[27:12] 我认为这是最有可能造成估值回调的理由
[27:14] 就是它资本支出放缓
[27:16] 是估值回调理由的根本
[27:18] 那放缓是因为不看好AI吗
[27:20] 没有
[27:21] 没有电
[27:22] 我生产了很多货没有电
[27:23] 所以我不能购件那么多的
[27:25] 那就进一步影响到
[27:26] 我不需要短期内不需要这么多GPU了
[27:29] 我需要变电器
[27:30] 我需要先建电厂
[27:32] 我认为这是让估值回调
[27:34] 最有可能形成的根本原因
[27:36] 也给大家多做一些参考了
[27:38] 毕竟现在资本支出的扩张
[27:40] 已经看得出来
[27:41] 这些巨头
[27:42] 不会只是玩一年两年
[27:44] 他们想要继续投
[27:44] 差别只在于
[27:45] 能不能同时协调
[27:47] 所有产品同步跟上
[27:49] 我们以Google
[27:50] 一年的资本支出来看
[27:51] 现在根据SIA
[27:53] 美国半导体协会给予的资料
[27:54] 16年当时
[27:56] 全球半导体产业全年销售
[27:58] 是3300亿
[27:59] 那Google呢
[28:00] Google明年的资本支出
[28:02] 是3500亿
[28:03] 这是相对于10年前
[28:05] 大概等同于Google一年的资本支出
[28:09] 等于十年前整个半导体市场的规模
[28:11] 所以这个产业到底成长有多快
[28:13] 大家都可以理解了
[28:14] 过十年再翻一倍
[28:16] 好像也不是多困难的事情
[28:18] 那股价翻个五成到七成
[28:22] 也不是多难的事情
[28:23] 这件事情其实就意味着
[28:24] 整个AI的成长速度
[28:26] 已经比想象中还要快得多
[28:28] 当然了
[28:29] 很多事情最困难的不是开小
[28:31] 是停不下来
[28:32] AI公司现在拼命的盖资料中心
[28:34] 借钱投资
[28:35] 只要需求持续在就没问题
[28:37] 但是如果前面没有控制好
[28:40] 生产太多GPU
[28:41] 没有足够的电
[28:43] 那有什么意义呢
[28:44] 那你还不是一样
[28:45] 可能会造成适度的产能过剩
[28:47] 所以这就是估值回调的理由
[28:49] 所以我们才讲说
[28:49] 今天最重要的重点就是
[28:51] 今天的成长可能是明天的包袱
[28:54] 所以才必须要全面性
[28:56] 广泛性的推升
[28:57] 要不然今天成长这么多
[28:59] 明天包袱就越来越多
[29:01] 那压力反而越来越大
[29:02] 年轻的时候
[29:04] 觉得自己好厉害
[29:05] 一夜七次
[29:07] 但是如果你不照顾身体
[29:09] 到老了
[29:10] 你可能还是一夜七次
[29:12] 但是我指的是贫尿
[29:13] 贫尿的次数
[29:15] 还分差
[29:16] 所以有时候我们讲说
[29:17] 今天的成长就是明天的包袱
[29:19] 如果无条件的不断的扩张资本支出
[29:22] 市场会担心的原因
[29:23] 不一定是AI泡沫破片马上要开始
[29:25] 没有电
[29:26] 你要生产这么多货干嘛呢
[29:28] 这就是估值回调的根本理由
[29:30] 901分
[29:31] 台股上涨735点
[29:32] 收在46,093点
[29:34] 我们今天跟投资朋友分享的框架
[29:36] 一方面是从华尔街之所以越来越少人去看空
[29:40] 并非风险全面消失
[29:42] 是市场上已经相信第一
[29:43] 美国经济不衰退
[29:45] AI资本支出还会持续扩张
[29:47] 那另外一方面
[29:48] 今年的牛市也不再只有七居头独强
[29:51] 资金开始轮动到小型股
[29:53] 全职股
[29:53] 重电股
[29:54] 新市场和国际股市
[29:55] 那扩散到更多产业的过程当中
[29:58] 它隐含的意义不一定代表全面性反农
[30:01] 它可能代表的意义是
[30:03] 他必须要让所有的基础建设同步跟上
[30:06] 否则只有一项产业生产太多货
[30:09] 走在前面的时候
[30:09] 后面跟不上
[30:10] 估值回调就被迫发生了
[30:12] 这也给投资朋友做更进一步的思考
[30:14] 如果喜欢我们的节目
[30:15] 记得帮我们订阅按赞加分享
[30:16] 我们就明天早上半半
[30:18] 找成财经速写图
[30:19] 再相见
[30:20] 祝各位投资朋友看盘顺利
[30:21] 炒盘愉快
