[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 台股是否能够追上废办的后路
[25:41] 如果薪资又不高
[25:42] 那我干脆去台积电当作业员算了
[25:45] 这经常会发生
[25:46] 像我平时有时候去脚底按摩
[25:49] 但按的发现总是同一个阿姨
[25:52] 早上去也是她
[25:53] 中午去也是她
[25:54] 晚上去也是她
[25:56] 我看她都没有在休假的
[25:58] 后来我有一天忍不住
[25:59] 我问小姐
[26:00] 你们这一行有休假吗
[26:02] 师傅说
[26:03] 不好意思
[26:03] 我们这边都是纯的
[26:05] 所以我们讲说服务业的这种极化现象它有分好坏有的比较轻松有的比较辛苦的是餐饮业餐饮业目前也处于高度两极化的局面目前少数少数是破百万的年薪
[26:20] 可是大多数
[26:20] 平均薪资每个月大概三万
[26:22] 我们以排行榜来看
[26:23] 餐饮业出现一种极端两极化现象
[26:26] 比如说你像是八方云集
[26:28] 平均薪资是98万
[26:30] 其他像是皇家美食
[26:32] 汉来美食
[26:32] 平均年薪大概60到90万
[26:34] 算是中上半端
[26:35] 可是整体17家的上市柜餐饮
[26:38] 平均年薪是多少
[26:39] 56万
[26:40] 而且呢
[26:41] 如果你向下来看
[26:43] 那有一些就不是特别高了
[26:45] 举例来说
[26:46] 像三商餐饮
[26:47] 大概平均年薪是29万
[26:49] 亚洲藏寿司是33万
[26:51] 豆腐是37万
[26:53] 瓦城是39万
[26:54] 王座是40万
[26:56] 那其中店底的
[26:58] 那是我们看到叫安心
[27:00] 安心是哪一家
[27:01] 摩斯汉堡
[27:02] 摩斯汉堡是以28.7万
[27:04] 连续四年以最低薪资垫底
[27:06] 那值得注意的事情是
[27:08] 摩斯这几年也尝试在做转型
[27:10] 可是压力很大
[27:12] 摩斯的确目前处于一个高度压力的竞争过程当中
[27:17] 这几年当然体验的问题是一个程度
[27:20] 另外一个是点餐的效率也是如此
[27:23] 所以我们知道这段时间的经营
[27:26] 其实压力算是蛮大的
[27:27] 以前我是这样子
[27:29] 我们买饮料或者买薯条
[27:34] 其实都会有各自的选择方向
[27:37] 以前我是这样子
[27:38] 麦当劳吃薯条
[27:40] 然后拿坡里吃炸鸡
[27:43] 肯德基吃蛋挞
[27:45] 摩斯专门喝红茶
[27:46] 什么时候我突然不去摩斯了
[27:49] 突然有一次我发现
[27:51] 实在等太久了你知道吗
[27:52] 那真的可能是现做
[27:54] 那出餐数做不上
[27:55] 那真的等到天荒地老
[27:57] 我没有等过这么久的
[27:58] 所以它都可能是
[28:00] 形成影响的主要原因
[28:01] 那这种餐饮业的影响
[28:03] 它就陆续的往下游端来做传导
[28:06] 那缺工的现象就很正常了
[28:08] 薪水不够高
[28:09] 那连大集团都遇到这种餐饮的挑战
[28:12] 店租成本的上涨
[28:13] 人力的缺工
[28:14] 那最后当然就变成大折很大
[28:17] 可是你也看到
[28:18] 就连上市柜的餐饮公司
[28:20] 目前经营还是充满着挑战
[28:22] 那你说有没有解方呢
[28:23] 有很多解方
[28:24] 第一种解方
[28:25] 那当然就进行人力的补贴
[28:27] 就是海外移工来做服务生
[28:31] 来做餐饮业
[28:32] 第二种很简单
[28:33] 出走
[28:34] 什么意思
[28:35] 台湾其实餐饮业是非常具有竞争力的
[28:38] 不管是在顶级品牌
[28:40] 还是在茶饮店
[28:41] 都有非常大的一个竞争力
[28:43] 我们举一个最直观的
[28:44] 在美国市场当中
[28:46] 美国营收最高的餐饮连锁品牌是谁呢
[28:49] 就是鼎泰峰
[28:51] 鼎泰峰在美国每家店的平均收入
[28:55] 是2740万美元
[28:57] 几乎是高端餐饮品牌的三倍以上
[29:00] 而且鼎泰丰几乎在美国不投广告的
[29:02] 他也没有进入什么TikTok
[29:04] 而且也没有做什么甜品小笼包
[29:07] 现在美国很流行
[29:08] 都没有做
[29:09] 很多人看到鼎泰丰一设立
[29:12] 马上就去吃了
[29:13] 这个就是那种品牌的吸引力
[29:15] 他在品质的控制
[29:16] 在用餐的体验
[29:17] 所以你像我在伦敦
[29:19] 在西雅图
[29:20] 在北海道
[29:21] 吃到的鼎泰丰几乎都味道一模一样
[29:23] 差别只在于
[29:25] 我在国外如果要加汤
[29:26] 服务生会认一下
[29:27] 但是你可以看得出来
[29:29] 鼎泰丰的单店的毛利率
[29:31] 成为全球最顶尖的企业
[29:33] 在欧美市场当中
[29:35] 另外一个就是台商这几年
[29:37] 很多餐饮业都选择出走了
[29:38] 八方就是少数在科技业出走的过程当中
[29:42] 大量投资美国的企业
[29:44] 八方现在在评估一件事情
[29:45] 因为美国店已经准备要转盈利了
[29:48] 它在持续的扩点
[29:49] 如果营业利率也在回升
[29:51] 它就有持续扩展的可能性
[29:53] 整体而言
[29:54] 其实八方资金也不少
[29:56] 大概有4亿台币
[29:57] 在美国各地
[29:58] 台湾服务算是趋于饱和
[30:00] 可是美国门市
[30:01] 正在高速的扩张
[30:03] 那这些效果都形成
[30:05] 台湾其实在全球餐饮业的
[30:07] 领先地位持续拉升
[30:09] 你说台湾餐饮业
[30:09] 真的有领先地位吗
[30:10] 我跟投资朋友分享
[30:11] 前阵子我才跟投资朋友聊说
[30:13] 美国的手摇饮食场
[30:15] 它其实有非常标准的时间差
[30:17] 就是你看手摇饮食场
[30:19] 大部分是美国自己的企业
[30:20] 可是少数能够
[30:22] 挤上全球排行榜的
[30:25] 第一名就是共茶
[30:27] 共茶后来卖掉了
[30:28] 不过它是台湾品牌创立的企业
[30:30] 它以奶盖和客制化的茶饮闻名
[30:33] 再来第四名
[30:35] 应该讲第六名是我们看到的T4
[30:37] T4是一之前
[30:38] 大家应该有听过
[30:39] 叫清茶达人
[30:41] 清茶大人
[30:42] 它是04年在台湾的丰源
[30:44] 妙东夜市
[30:45] 然后以国际代理的形式加盟
[30:47] 所以连中国的茶饮店
[30:50] 都还无法打入美国品牌
[30:52] 但是前十名就有两家是台湾的公司
[30:55] 然后再加上顶太风
[30:56] 这件事情其实也意味着
[30:58] 我觉得
[30:59] 因为大家会想
[31:01] 这些饮料在台湾
[31:03] 好像也不是很受欢迎
[31:04] 台湾有更多的品牌
[31:05] 的确
[31:06] 我觉得整体美国的手摇饮市场
[31:09] 它存在一个标准的时间差
[31:11] 整体口味
[31:12] 大概是20年前台湾的阶段
[31:15] 就美国现在最受欢迎的
[31:16] 还是Bubble Tea
[31:17] 还是全糖的奶精奶茶
[31:20] 芋头野果这一类的
[31:21] 或者那种粉圆
[31:22] 甜度比较高的
[31:24] 台式以前的风格
[31:25] 这一解释
[31:26] 为什么新一代的
[31:27] 中国的奶茶
[31:28] 那怎么好像
[31:29] 好像很难打入美国市场
[31:31] 因为中国这几年
[31:32] 第一个
[31:33] 这个喝的糖度
[31:34] 跟台湾一样
[31:34] 开始降低
[31:35] 那第二
[31:36] 就是消费习惯
[31:37] 你什么酸菜鱼
[31:39] 低糖
[31:39] 很难让美国人接受
[31:41] 美国现在对亚洲食物的认知
[31:42] 我的理解是
[31:43] 他们好像还是吃小笼包
[31:45] 左宗堂鸡
[31:46] 或者什么
[31:46] 那个orange chicken
[31:48] 喝的都是高糖蒸奶
[31:50] 那消费结果
[31:51] 还停留在这个阶段
[31:52] 台湾的贡茶就有优势
[31:54] 台湾的T4就有优势
[31:55] 所以我才讲说
[31:57] 现在这几年
[31:59] 我们看台湾的茶饮
[32:02] 或者台湾的餐饮业
[32:03] 其实在海外市场
[32:04] 是非常具有竞争力的
[32:05] 而且由于时间差的原因
[32:07] 台湾企业反而具有优势
[32:09] 像我们现在都流行喝无糖
[32:11] 但是我还记得我大学时
[32:13] 我其实都是喝半糖珍奶
[32:16] 高中都喝多多绿加保利达B
[32:18] 那是我爸
[32:19] 但是你会发现这种时代差
[32:21] 时间差
[32:22] 反而造就了台湾产业的零线
[32:24] 所以我觉得台湾做不下去了
[32:26] 出走吧
[32:26] 搞不好美国人的胃很对你的胃口
[32:29] 台北股市上涨720点
[32:31] 收贷38434点
[32:33] 又在创高
[32:35] 所以
[32:35] 昨天有人砍在阿呆股吗
[32:37] 让获利持续奔跑吧
[32:40] 这最后还是取决于你对于AI的信心
[32:42] 最后两分钟
[32:43] 我们跟投资朋友稍微分享两本书
[32:45] 其实没什么好导读的
[32:46] 因为这两本书是野人文化出版
[32:48] 野人文化出版非常多
[32:50] 这种精美的地图书
[32:52] 一本书叫做
[32:53] 强权俄罗斯地缘战略的终极图解
[32:56] 另外一本叫做
[32:57] 以巴战争地缘战略的终极图解
[33:00] 那当然里面都是一些图解书
[33:02] 你看看
[33:03] 如果你在捷运上
[33:04] 对人家都是拿那个手机在那边滑
[33:06] 你捷运拿这一本出来看
[33:08] 多有气势
[33:09] 了解地缘政治还是很重要的
[33:12] 像我们脚编前两天还问我
[33:14] 巴基斯坦不是在跟以色列打仗吗
[33:16] 为什么
[33:17] 美伊谈判还可以在巴基斯坦举办
[33:20] 不怕哈马斯杀出来
[33:22] 我说那是巴勒斯坦
[33:23] 所以有地理概念是很重要的
[33:25] 那本书
[33:26] 这是让大家有更多的地理概念
[33:29] 来了解
[33:29] 不管是海权政治
[33:31] 陆权政治
[33:32] 在过去几年
[33:33] 是如何一路推演到现在
[33:35] 我们看到的很多
[33:37] 难以解决的地缘政治纷争
[33:39] 也许在100年前
[33:40] 200年前就已经存在了
[33:42] 那一样
[33:43] 每个礼拜五我们导读的书籍
[33:44] 都会抽两本书
[33:46] 送给我们的投资朋友
[33:47] 我们就等礼拜一
[33:48] 在底下留言
[33:49] 留下你对于本书
[33:50] 留下你对于本节目的想法
[33:51] 我们抽两本书
[33:52] 送给我们的投资朋友
[33:53] 或者你就今天直接买回家
[33:55] 送给你心爱的人
[33:56] 给投资朋友做些思考
[33:57] 今天聊的范围比较广
[33:59] 从一开始
[34:00] 没有股市台股的创高
[34:01] 一直到金管会
[34:02] 在过去几年所采取的动作
[34:04] 我们都知道
[34:05] 台股已经迎向了一个新时代
[34:07] 这一些做法
[34:08] 都不是让内资有更多的信心
[34:11] 内资一直以来
[34:12] 过去五年都很有信心
[34:13] 而是金管会
[34:14] 想方设法
[34:17] 想要让外资
[34:18] 从原本的卖超变成买超
[34:20] 一步一步的放宽
[34:21] 外资会不会终有一天动不掉呢
[34:24] 8000点你也不买
[34:25] 9000点你也不买
[34:26] 12000你也不买
[34:27] 15000你也不买
[34:28] 2000你也不买
[34:29] 25000你也不买
[34:30] 现在38000了
[34:31] 外资什么时候要回补呢
[34:33] 但是不管怎么说
[34:34] 就算外资不回补
[34:35] 台股都会放下历史新高
[34:37] 因为外汇外销订单的收入
[34:39] 已经源源不绝的进来了
[34:41] 只要AI行情不断
[34:42] 台湾的出口订单
[34:44] 台湾的外销订单
[34:45] 似乎征服只会越来越快
[34:47] 也请用给我们的投资朋友
[34:48] 如果喜欢我们的节目
[34:49] 记得帮我们订阅按赞加分享
[34:50] 我们就下礼拜一
[34:51] 早上八点半
[34:51] 早晨财经速写图
[34:52] 再相见
[34:53] 祝各位投资朋友
[34:54] 看完顺利
[34:54] 早盘愉快
