[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 帶動已經跌升的輪替股開始回升呢
[26:09] 從歷史高點大概跌了36%
[26:11] CloudStrike從歷史高點跌了38%
[26:14] Parentier跌了38%
[26:16] Apple of Him主要業務是做行動應用廣告技術的
[26:20] 跌了五成
[26:21] Salesforce跌了52%
[26:23] 其他像是甲骨文Adobe
[26:25] 跌幅60% 65%都有了
[26:28] 所以總體而言這些軟鐵股
[26:30] 跌幅跟比特幣差不多
[26:31] 位元布今年大概也跌了26%
[26:34] 從高點跌下來也算是蠻重的
[26:37] 所以我們講說
[26:38] 最近好像發生一個現象
[26:40] 討論臺股的
[26:41] 每個都在講說要準備全職投資
[26:43] 老闆最近一直在收離職單
[26:46] 討論美股的
[26:48] 大家在想美股到底在跌什麼
[26:50] 跌夠了沒有
[26:51] 差不多了吧
[26:52] 討論加密貨幣
[26:54] 沒有人討論加密貨幣
[26:56] 之前馬吉大哥的新聞不是出來
[26:58] 大家都會討論
[26:59] 現在第二次第三次
[27:01] 沒人討論
[27:02] 所以這個就是一個很極端的
[27:04] 現在在資產價格的各大現象
[27:06] 大家都是風險資產
[27:07] 討論度就不太一樣
[27:08] 當然我們講說
[27:10] 你只要持有長期AI的生產力週期的ETF
[27:14] 受惠於技術進步
[27:16] 加上AI現在又可以持續的湧進
[27:21] 持續的進行技術迭代
[27:22] 你要了解說
[27:23] 我們的資產週期
[27:26] 可能會比想象中拉得更長
[27:27] 現在大家都是用30年40年
[27:29] 想象到退休之後
[27:31] 可以累積到多少資產
[27:32] 現在可能在AI的幫助底下
[27:34] 技術的進步底下
[27:36] 可能未來的預期壽命會來得更長
[27:38] 現在平均壽命是80歲
[27:40] 等於是現在的中年族群
[27:42] 以後搞不好可以拼個90 100歲
[27:45] 也許到我們這一代
[27:46] 那就是110 120歲了
[27:48] 等同於現在一種說法
[27:50] 我看到網路上說的
[27:51] 30歲之前的人生
[27:53] 現在可能只是第一季
[27:55] 看影集也知道
[27:57] 有些影集第一季
[27:59] 成本是比較低
[28:00] 所以製作可能不夠精良
[28:02] 但是也還蠻不錯的
[28:04] 編劇也還蠻精彩的
[28:05] 但都是過去式的
[28:06] 我們現在要期待第二季
[28:08] 接下來還有第三季
[28:09] 還有第四季
[28:11] 所以你要用更長的眼光
[28:12] 來看待當前的行情
[28:14] 當然有可能第二季的時候
[28:15] 突然就斷尾了
[28:17] 就可能第二季就爛尾了
[28:19] 或者第一季就燒完經費了
[28:21] 所以我們講說
[28:21] 你要做的就是什麼
[28:23] 參與AI
[28:23] 保持健康
[28:25] 你要預估自己的人均壽命很長
[28:27] 資產會自然增值
[28:29] 活著就是勝利
[28:30] 我們前兩天提到
[28:31] 你只要好好存錢
[28:33] 累積本業收入
[28:34] 你不要碰黃賭賭
[28:35] 資產增長始終會趕在你退休之前
[28:38] 至少達到財務獨立
[28:40] 能不能自由很難說
[28:41] 但是65歲以後
[28:43] 你想要過年輕時的基本生活
[28:45] 按照這種投資的規劃
[28:47] 基本上是有譜的
[28:48] 黃賭賭不要碰
[28:49] 沒什麼太大問題
[28:51] 賭欺離子善
[28:52] 獨家破人亡
[28:55] 皇人間天堂
[28:57] 國破家亡
[28:58] 當然我們剛才所做的回測
[29:01] 這個市場的慣性也不一定完全準確
[29:03] 它都是建立在一定的資料上
[29:05] 我們講說回測
[29:06] 本來就不一定能夠完全的反映未來的真實現象
[29:09] 市場的環境會變
[29:11] 參與者的行為
[29:11] 流動性的條件
[29:12] 甚至政策因素都可能因此而不同
[29:14] 但是回測的價值在於什麼
[29:16] 它至少是建立在實際上的歷史資料和統計結果之上
[29:21] 讓你能夠看到一種策略
[29:24] 在不同市場階段底下
[29:26] 會有什麼樣的一個表現
[29:27] 那當然最後所形成的效果
[29:30] 就是它有一個資料支撐的起點
[29:32] 讓我們策略評估可以更有依據
[29:34] 不代表完全正確
[29:36] 但你至少知道這一段歷史
[29:39] 我們看到的疫情後的世界
[29:41] 它是如何一步一步走到現在的
[29:43] 好這個9點01分
[29:45] 臺股繼續大漲434點
[29:47] 在35135點
[29:49] 臺積電也在現在
[29:50] 占上了2000塊
[29:51] 那下一波當然就是
[29:54] 直接來挑戰他的代號2330了
[29:57] 現在這股票有時候講說壓力很大
[30:01] 那有些股票
[30:02] 或者我們講說以前1000萬
[30:05] 不一定1000萬可以買一間房子
[30:07] 現在你1000萬還不一定
[30:10] 買得起一張股票了
[30:11] 高價股越來越多了
[30:13] 所以其實臺股的高價股
[30:15] 都有一個極大的優勢
[30:17] 潛在利多
[30:18] 是什麼呢
[30:19] 分割嘛
[30:20] 什麼時候它分割
[30:21] 就可以讓更多的小散戶進場了
[30:23] 所以對於臺股
[30:25] 對於美股而言
[30:25] 我們今天跟投資朋友
[30:27] 稍微聊的範圍比較廣一點
[30:29] 但是總體趨勢
[30:30] 還是跟投資朋友觀察
[30:32] 今天結論很簡單
[30:33] 臺股這一波
[30:34] 由資金情緒和基本面的上修
[30:37] 一起推著走
[30:37] 外資的連買
[30:38] 指數的創高
[30:39] 臺積電變成兩兆美元的
[30:41] 等級的旗艦
[30:42] 很多指數型基金
[30:43] 被迫一定要買入臺積電
[30:45] 市場講的是還來得及嗎
[30:47] 還有空間嗎
[30:48] 那美國股市
[30:49] 現在在做重新定價
[30:50] AR把軟體股已經打到懷疑人生以後
[30:54] 現在資金回補最有確定性的地方
[30:56] 還是來自於半導體和硬體股的資料敘事
[30:59] 那現在隨著納指廢辦的反彈
[31:02] 有沒有機會讓軟體股重新吹起號角
[31:05] 讓美國股市今年最大上臺股呢
[31:07] 那我們就拭目以待
[31:09] 但作為臺灣人
[31:10] 這幾年我們看到整個資產價格的繁榮
[31:13] 現在這兩年能夠與我們與之抗衡
[31:17] 只剩下韓國股市了
[31:19] 我們就看一下
[31:19] 後續在亞洲經濟體本塊當中
[31:22] 到底誰更具有基本面的支撐
[31:24] 持續引導著本輪的AI行情
[31:26] 也給投資朋友做一些思考
[31:28] 如果喜歡我們的節目
[31:29] 記得幫我們訂閱按贊加分享
[31:30] 我們明天早上半點半
[31:31] 早晨財經數學讀再相見
[31:32] 祝各位投資朋友開盤順利
[31:34] 超盤愉快
