[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 上涨0.7%
[26:00] 很明显就是特斯拉
[26:01] 马斯克现在AI的IPO计划正式上路了
[26:06] 两个好消息
[26:07] 一个是昨天NASA的阿提米斯计划正式全面启动
[26:11] 低轨卫星
[26:12] 接下来的太空探索持续发酵
[26:15] 第二大层面是这一次SPEX的IPO
[26:18] 我们都清楚知道
[26:19] SPEX的IPO是史上最大规模的资金融资
[26:23] 市值规模高达1.75兆
[26:25] 我们要知道
[26:27] 因为如果1.75兆
[26:28] 等同于它马上变成全球第七大企业
[26:31] 所有的ETF
[26:32] 我们都被迫要开始买入SPEX
[26:34] 这对于全球的资金吸收潮会有多强
[26:38] 当然了
[26:39] 是不是代表它一定会喷到外太空
[26:40] 很难说
[26:41] 可是这件事情其实也意味着
[26:43] 各大IPO都在抢钱
[26:46] 各大科技巨头也在抢钱
[26:48] 持续抢钱的效果底下
[26:50] 肯定有些企业
[26:52] 他无法撑到最后的AI竞赛完结篇
[26:55] 所以这是第一个观察重点
[26:56] 只有分散投资的方式
[26:58] 持续看好AI
[26:59] 可是内部我们看起来
[27:00] 已经出现一些松动了
[27:02] 事实上科技巨头
[27:03] 目前都有各自的烦恼
[27:04] 你像最近
[27:05] 大家最为观察的一条新闻
[27:06] 是Meta和Google
[27:07] 被判有责
[27:09] 洛杉矶的判决很关键
[27:11] 这一次是在
[27:12] 并不是单纯说它的内容责任
[27:14] 是直接打产品设计
[27:16] 把Meta和Google的YouTube
[27:18] Meta主要是IG的部分
[27:20] Google是YouTube的部分
[27:21] 直接指认这些科技巨头
[27:24] 在平台设计上有严重的缺失
[27:26] 导致使用者长期沉迷
[27:28] 引发焦虑和身心问题
[27:30] 要进行罚款
[27:31] 当然更大的风险在于
[27:34] 现在全美已经有3000起的类似诉讼
[27:36] 企业当然很快可能要被迫
[27:38] 进入到大规模的和解
[27:39] 数十亿美元的和解案
[27:41] 甚至被要求修改演算法
[27:43] 这一次就是一个重要的监管的拐点
[27:46] 代表数十年科技股的成长
[27:48] 来自于流量和数据变现
[27:50] 现在要开始被一些上瘾机制的法律
[27:53] 开始做限制了
[27:54] 当然我个人没有这么的悲观
[27:56] 我一样认为AI本身是让这些科技巨头
[28:00] 能够跳出它的枷锁
[28:01] 为什么这么说呢
[28:02] 我们举例来说
[28:03] 过去15年的环境当中
[28:05] 我们通常的逻辑都是觉得
[28:07] 社群媒体是被塑造的
[28:11] 你像TikTok这类平台
[28:13] 它本质上是用注意力去变现
[28:15] 所以更容易放大极端
[28:17] 情绪化和反体制的声音
[28:19] 会导致社会两极
[28:20] 所以我们看整个社交平台
[28:22] 大部分都处于两极化
[28:23] 然后双方会对立
[28:25] 甚至导致你更加成瘾
[28:26] 可是现在AI推出之后
[28:28] 它的逻辑刚好相反
[28:29] 它们的核心竞争
[28:30] 是提供正确有用的答案
[28:32] 而并不是单纯吸引点击
[28:34] 所以有时候我们去问AI
[28:35] 即便你问得有点极端
[28:37] 他还是更偏向用事实
[28:39] 共识和理性的方式来回应你
[28:42] 那现在的实证结果也是这样子
[28:43] 无论是确GPT还是Gemini
[28:46] 那的确你说Gork
[28:47] 他好像稍微极端一点
[28:48] 但是也没有到那么极端
[28:50] 基本回答你的幅度
[28:52] 还算是偏中性的
[28:53] 在这样的一个角度底下
[28:55] 他们都会把对话
[28:56] 从使用者的立场往中间拉
[28:58] 本来是反核的
[29:00] 开始了解支持核能的原因是什么
[29:02] 本来是支持核能的
[29:04] 也了解反核对于地震的担忧
[29:06] 是可以理解的
[29:07] 所以很多阴谋论或者反科学的观点
[29:09] 在AI当中现在都不会被认同
[29:11] 反而让你更加的回归到理性
[29:14] 可以验证可以讨论的范围
[29:16] 所以我觉得反而这一波有趣的是
[29:18] AI这一波的资讯革命
[29:20] 它对整个社会是好的
[29:21] 它走的方向跟过往那种
[29:23] 社群媒体的极化不太一样
[29:25] 反而正好相反
[29:27] 所以有时候我们讲说
[29:28] 那个AI跟A片一样
[29:30] 它其实都是让世界变得更加和平
[29:32] 那边有些群组在讨论一些有的没的
[29:35] 大家都变得很理性
[29:36] 为什么呢
[29:37] 因为某些机制会让人回到理性的状态
[29:41] 用更和平的角度来做观察
[29:43] 你想想看
[29:44] 有一个男的上班被老板干
[29:47] 烦了一整天
[29:48] 那回到家
[29:49] 太太瞧不起你
[29:51] 儿子也不想理你
[29:53] 回到家好郁闷
[29:55] 这个时候怎么做
[29:56] 打开电脑
[29:57] 点开AI
[30:00] 马上进行理性的对话
[30:03] 压力的释放
[30:05] 一下子烦恼都解除了
[30:06] 多好啊
[30:07] 所以我觉得
[30:08] 其实AI的发展
[30:09] 对于人类不只是有帮助的
[30:11] 也可以帮助过去
[30:12] 我们看到这些社群社交媒体
[30:14] 能够跳出过去的枷锁
[30:16] 以前你都一直指控我们
[30:18] 好像更为极端
[30:19] 让人成瘾
[30:20] 让人坚持自己的极端立场
[30:22] 有了AI的帮助以后
[30:24] 我们是不是在减少
[30:25] 这种极端现象呢
[30:27] 我觉得这是一个
[30:28] 值得观察的重点
[30:29] 但不管怎么说
[30:30] 整个AI竞争
[30:31] 现在不只是钱的问题
[30:33] 还有token战争
[30:34] Token我们过去讲过
[30:36] 每一次的AI处理的文字
[30:38] 程式或者任务都在消耗Token
[30:40] 企业也是按Token收费的
[30:42] 所以大家开始在乎的
[30:44] 不是你的技术是不是最顶尖的
[30:46] 我开始注意你的使用量
[30:48] 和你的收入了
[30:49] 我们知道中国模型
[30:50] 像DeepSick或者Minimax
[30:52] 它的Token使用量
[30:54] 其实已经超越美国的竞争对手了
[30:55] 最大的一个挑战
[30:57] 对于美国企业来说
[30:58] 就是中国的优势在能源和架构
[31:01] 一方面中国电力成本比较便宜
[31:04] 再生能源投资比例也比较大
[31:05] 算力成本因此能够下滑
[31:07] 另外一方面
[31:08] 很多专家透过混合模型
[31:11] 把高效率的设计
[31:12] 变成你问复杂问题的时候
[31:14] 他就用简单的方式来做运算
[31:16] 同时你问比较深入问题的时候
[31:18] 他收费就稍微贵一点
[31:19] 现在平均预估
[31:20] 中国每个模型
[31:22] 每百万Token
[31:23] 大概是两到三美元
[31:24] 那你像Enthopi的Cloud
[31:26] 那大概每个百万个Token
[31:29] 要15美元以上
[31:30] 那这些数据
[31:31] 似乎都暗示着你说
[31:33] 目前中国企业对于科技巨头的这种估值打压依旧存在
[31:38] 为什么
[31:38] 因为有一群人
[31:40] 有一批便宜的牛肉
[31:41] 那这些科技巨头
[31:43] 那美国企业一定是最顶尖的
[31:44] 现在要处理的问题
[31:46] 就不是技术要赢过你的问题
[31:47] 我要如何让我的CP值也提高
[31:50] 我的性价比如何持续上升
[31:52] 这也形成某种程度针对AI科技估值的打压
[31:55] 好
[31:55] 不管怎么说
[31:56] 川普演讲要开始了
[31:57] 我们后续来做一些中东战士的追踪
[32:00] 但是更重要的事情是
[32:01] 我们此时此刻终于撇开了三月份
[32:04] 三月就是一场空
[32:05] 我们开始要正式二月份
[32:07] 股价真正下跌的原因
[32:08] 不是什么AI取代工作
[32:10] 而是这种资金的稀缺潮
[32:12] 会如何影响到这些科技巨头的发展
[32:15] 这个才是本季度当中最好的挑战
[32:18] 一次涨回去也不太好了
[32:19] 最好多盘几个月
[32:21] 台北股市上涨284点
[32:22] 收在33,464点
[32:24] 最好连续两个季度
[32:27] 多向今年三月份
[32:28] 喜到大家没耐心
[32:30] 我相信这个筹码就彻底干净了
[32:32] 要不然三月份还一堆人在接盘呢
[32:34] 对不对
[32:34] 最好的做法
[32:35] 我还是比较喜欢那种22年的叠法
[32:38] 盘到你怀疑人生
[32:40] 当你觉得已经再也不看股市的时候
[32:43] 也许多头又重新启动了
[32:45] 这才是对于长期投资人
[32:47] 最希望能够看到的结果
[32:48] 不要太多人上车
[32:50] 喜到大家都不耐烦是最好的
[32:52] 可惜在川普行情底下
[32:54] 时间不等人
[32:55] 因为中期选举就近在眼前
[32:57] 给投资朋友多做一些观察
[32:58] 如果喜欢我们节目
[32:59] 就帮我们订阅按赞加分享
[33:01] 我们就廉价过后再相见了
[33:03] 祝各位投资朋友看完顺利
[33:04] 操盘愉快
[33:05] 也祝大家廉价快乐
[33:06] 拜拜
