[00:01] 投资变化收听早晨财经速解读
[25:53] 我们应该是要直接等衰退
[25:56] 等库存调整还是投一笔钱进去直接只要本益比到位价值投资浮现到位我会建议这样子不同人当然不同做法但如果是长期投资者也许投个一成投个两成
[26:08] 或者说你的持股如果没有经历过
[26:12] 史诗级的大跌
[26:14] 或者比较大的系统性的回调的时候
[26:17] 你想想看这几年投资以来
[26:19] 如果你没有经历过疫情恐慌
[26:21] 乌乌战事关税战
[26:23] 有一天当你面临资产
[26:25] 一天内又重新一天就跌10%
[26:28] 每股更多
[26:29] 那你的真实情绪才会真正的涌现
[26:32] 所以这个时候
[26:33] 你以前的高杠杆操作
[26:35] 你以为在多头市场当中
[26:37] 可以不断获取报酬的这样的一个思维
[26:39] 一刻被迫平仓的时候
[26:42] 你才可以了解
[26:42] 原来市场真实的波动是如此
[26:44] 这个时候你才会发现
[26:46] 如果你连10%一天蒸发的这种幅度都无法接受
[26:51] 那未来更没办法在长期的孤海当中一路待下去
[26:55] 我换句话说
[26:56] 当前的市场波动
[26:57] 其实并没有想象中还来得大
[27:00] 跟前几次比较起来算是小多了
[27:03] 如果这个时候心态还会受到蛮大冲击的
[27:06] 觉得我还是等衰退再说好了
[27:09] 我还是等下一次景气衰退
[27:11] 我再来做投入好了
[27:12] 这个时候其实你就失去了
[27:14] 长期投资原本应该要承受
[27:18] 相当简单波动的这种区间
[27:20] 本来这种波动
[27:21] 就是在历史周期当中算很常见的
[27:23] 现在都不算是跌幅特别重的时候
[27:25] 所以如果你会有这样的压力
[27:26] 可能还是要重新审视一下
[27:28] 自己投入的条件
[27:29] 很多人做投资都这样的
[27:31] 都以为自己可以先躲一下风险
[27:32] 等市场冷静之后再回来
[27:34] 但是问题是
[27:35] 你根本没有真正的离开风险
[27:37] 也许只是换一个地方承受而已
[27:39] 你要承受现金跑出给大盘的风险
[27:42] 短期逃避
[27:44] 频繁进出
[27:45] 找各种理由来合理化的决策
[27:47] 看起来是在控制局势
[27:49] 其实只是延后面对现实
[27:50] 所以我觉得市场上最残酷的地方在于
[27:52] 它不会因为你觉得安全
[27:54] 就真的安全
[27:54] 反而觉得你好像松了一口气
[27:56] 离开市场了
[27:57] 风险才真正的开始
[27:58] 这种外部性冲突
[28:00] 根本不用担心什么风险
[28:01] 你该怎么做就该怎么做
[28:03] 依据乖离的高低
[28:05] 本益比的高低
[28:06] 决定你自己的持仓大小就可以了
[28:08] 所以我觉得
[28:09] 很多人觉得自己
[28:10] 可以先躲一下风险
[28:11] 等市场冷静再回来
[28:13] 但是你可能没有真正离开风险
[28:15] 上礼拜我看到一个网友跟我分享
[28:17] 他说小时候调皮
[28:19] 男孩子常常被老爸揍
[28:22] 有一次又闯祸了
[28:23] 估计又要挨打了
[28:25] 留了一张纸条
[28:26] 我走了
[28:27] 不要来找我
[28:29] 在外面逛了老半天
[28:30] 发现无处可去
[28:31] 还是回家好了
[28:33] 回家爸妈不在
[28:34] 躲到衣柜里头
[28:36] 不知不觉睡着了
[28:38] 醒来的时候
[28:39] 听到妈妈在哭
[28:40] 让你别打
[28:41] 你不听
[28:42] 现在该怎么办
[28:44] 老爸也叹气
[28:45] 好了先找先找吧
[28:47] 以后再也不打了
[28:48] 小男孩如释重负
[28:51] 连忙从衣柜里出来
[28:52] 结果那一晚
[28:54] 爸妈轮流打他
[28:56] 就很多人做投资
[28:59] 以为自己真的可以先躲一下风险
[29:01] 等市场冷静再回来
[29:02] 但有时候
[29:03] 我们并没有真正的离开风险
[29:05] 离开市场本身也是一种风险
[29:07] 这是我自己的态度
[29:08] 好我们回过头来看
[29:10] 为什么讲说本轮回调幅度
[29:11] 也没有说多大
[29:12] 第一
[29:13] 今年总体资产平均跌幅
[29:15] 大概是在1%到2%左右
[29:18] 涨幅最多当然是大宗资产
[29:19] 这整体而言
[29:21] 大宗资产平均上涨30
[29:22] 被油价给拉上去
[29:23] 黄金涨4.6
[29:25] 其他像可转债
[29:26] 现金价值股
[29:29] 基本上还算首涨的
[29:30] 那稍微跌幅轻一点的
[29:32] 像短期股互劝TIPS
[29:34] 或者REIT
[29:35] 或者美国总体债券
[29:36] 美国小型股
[29:38] 那跌幅才1% 2%
[29:39] 那很多股票
[29:40] 其实到现在为止也没有跌
[29:41] 它就是沙纳七巨头
[29:43] 跌幅比较重的
[29:44] 是QQQ
[29:45] 跌幅大概有8%
[29:46] 成长股跌了12%
[29:48] 那跌最重的
[29:49] 永远都是你
[29:50] 又是你比特币跌幅有24%
[29:53] 所以我觉得这段时间
[29:55] 由于已经跌破年限
[29:57] 如果是从短期操作
[29:58] 那当然从生命线角度而言
[30:00] 季线就要紧张
[30:01] 台股现在就生命线
[30:02] 那对于长期投资而言
[30:04] 都已经到年限了
[30:05] 就不要考虑这些问题了
[30:07] 你应该去寻找机会了
[30:09] 而并不是在这个时间点
[30:10] 想说要不要大幅度的
[30:12] 把自己长期的持仓决定要离开
[30:15] 前两天网友才分享了一个报告给我
[30:17] 它是Worldwick Business School的2018年的研究报告
[30:22] 他当时去研究了2800名投资人
[30:25] 去追踪三年的时间
[30:26] 来观察男性和女性的投资报酬的变化
[30:30] 后来得出了一个相当清楚的结论
[30:32] 就是女性投资报酬率
[30:34] 通常比男生还要高1.8%
[30:36] 其中一个最大的原因来自于
[30:39] 女性的投资频率相当之低
[30:42] 买了通常不看的
[30:43] 可能是忘记看
[30:44] 可能是不愿意看
[30:45] 但是男生相对于女性的投资频率
[30:49] 大概是多了接近有4.8%左右
[30:52] 这说明什么
[30:53] 这说明其实长期河流图
[30:54] 你就抱着住才赚得到
[30:56] 多数人其实不是输在选股
[30:58] 输在抱不住
[30:59] 市场一震荡就怀疑
[31:01] 一下跌就砍仓
[31:02] 看到别人赚钱就追高
[31:04] 然后最后把自己原本正确的决策给做坏
[31:07] 所以回过头来看长期数据
[31:08] 有时候我们讲说女性投资人
[31:10] 之所以平均绩效的确更好
[31:12] 不是因为选股更准
[31:13] 他就是更少交易
[31:15] 更愿意等待
[31:16] 更能够承受波动
[31:18] 所以建议所有的男朋友先生们
[31:22] 把钱全部给女朋友太太
[31:24] 让她去买股票
[31:25] 是买股票
[31:26] 不是买爱马仕
[31:27] 爱马仕也会生子
[31:29] 但买股票可能更好
[31:31] 听到一种说法
[31:32] 是说就好像年轻男女对性的态度一样
[31:36] 女孩子是馋
[31:38] 一段时间不吃也没有关系
[31:41] 偶尔大吃一顿很满足
[31:43] 也OK
[31:43] 男生不一样
[31:45] 对于交易的热情
[31:46] 或者对于交配的热情
[31:48] 那是二
[31:49] 三天不迟就眼冒绿光
[31:52] 饥不择食
[31:54] 看起来好像是身不由己
[31:57] 但是这种操作
[31:59] 往往就局限在
[32:00] 你为了交易而交易
[32:01] 所以男生应该都要经常念书
[32:04] 多练一些葵花宝典
[32:06] 抑制住自己的心性
[32:08] 好不好
[32:08] 可以给投资朋友做一些思考
[32:10] 就零三分
[32:11] 我们不要再往下看
[32:12] 因为中游
[32:13] 我们知道这礼拜平均上涨3.7块
[32:16] 那中油现在已经吸收了
[32:18] 接近70亿的成本了
[32:20] 我们知道这礼拜照来讲
[32:21] 每公升要涨超过10块了
[32:23] 不过还是给你涨3.7块
[32:26] 最后是涨1.7
[32:27] 台湾油价现在从战争爆发
[32:30] 现在是3.7块
[32:32] 然后本周又上涨1.7
[32:34] 所以的确
[32:36] 我们从上涨10块角度来看
[32:37] 现在油价大概要45块左右
[32:40] 不过还压在32到35
[32:42] 92现在32
[32:43] 98现在35块
[32:44] 95现在33.9块
[32:46] 所以现在中油也是高强度的吸收
[32:49] 我们稍晚再来跟投资朋友梳理一下
[32:52] 亚洲经济体当中
[32:53] 台湾已经算是应该是油价最低
[32:56] 吸收幅度来得最大的
[32:58] 可是对于菲律宾来说
[32:59] 对于东南亚市场来说
[33:01] 对于日本来说
[33:02] 已经出现了集体缺油的现象
[33:05] 各国在原本供应链的调节
[33:07] 台湾在石油部分
[33:09] 好歹是过去有30%都来自于美国
[33:12] 是可以做产能调配的
[33:14] 但是对于很多东南亚或者南亚国家
[33:17] 它是接近80%都来自于中东
[33:19] 压力就很大了
[33:20] 开始逐步产生外溢效果之后
[33:22] 如何往下推演
[33:24] 我们稍晚再来跟投资朋友
[33:25] 做更进一步的追踪
[33:26] 我们今天台北股市下跌560点
[33:29] 出来32509点
[33:31] 台股世界第一强
[33:32] 台股No.1
[33:34] 感觉好像国际股市的卖压
[33:37] 跟台股一点关系都没有
[33:38] 那也真的很神奇
[33:39] 我们今天主要是跟投资品
[33:41] 稍微梳理几个方向
[33:43] 第一个方向是当前的股债双杀
[33:45] 的确造成了避风港的消失
[33:48] 似乎除了油价
[33:49] 大多数资产都在下跌
[33:51] 可是在下跌的过程当中
[33:52] 我们又没有看到那种市场上
[33:54] 极度恐慌的这种崩盘讯号
[33:57] 它只是稍微下跌
[33:59] 大盘做回挡
[34:00] 那真正跌幅比较重的
[34:01] 很明显是过去
[34:03] 由AI所推高的科技巨头
[34:05] 那至于这些科技巨头
[34:06] 有部分本益比指标
[34:08] 都已经陆续比那些油气股
[34:10] 还来得更为便宜
[34:11] 那以过去几轮的周期经验
[34:15] 你觉得未来十年
[34:16] 我们本益比
[34:17] 现在大家都一样了
[34:18] 回答本益比也来到二十几倍了
[34:19] 微软本益比回调幅度
[34:21] 也是史诗级最大的
[34:22] 国家跌幅有四成
[34:23] 那到底是这一些科技股的本益比
[34:26] 更吸引你在未来十年
[34:28] 还是艾克森美孚
[34:29] 还是喜事糖果
[34:30] 还是可口可乐呢
[34:31] 这个就见仁见智了
[34:33] 给投资朋友多做一些思考
[34:34] 如果喜欢我们节目
[34:35] 记得帮我们订阅按赞加分享
[34:36] 我们就明天早上半半
[34:38] 今天速解读在相见
[34:39] 祝各位投资朋友看完顺利
[34:40] 操盘愉快
