[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 运价在食品和能源成本的同步上升底下
[25:44] 尤其波兰
[25:45] 其实已经是美国在欧洲最听话了
[25:47] 他最听话你都还撤兵
[25:49] 常年波兰都是配合北约增加军费
[25:52] 强化对于俄罗斯的防线
[25:53] 但即便如此
[25:54] 华府仍然在陆续撤离欧洲
[25:57] 所以我们看到
[25:58] 美国和欧洲
[25:59] 正在出现那种文明级的裂痕
[26:01] 我们知道美国右翼和欧洲建制派之间
[26:04] 过去某种程度是有默契的
[26:07] 但是现在正在出现二战以来
[26:09] 最严重的价值观的分裂
[26:11] 过去美欧最大的共同敌人就是苏联
[26:14] 后来变成恐怖主义了
[26:16] 在一阵子我们看到虽然有摩擦
[26:18] 可是还是在同一个阵营
[26:20] 那有一阵子是对中国
[26:21] 可是现在川普派系
[26:23] 认为欧洲正在走向高税收
[26:25] 高移民高监管
[26:27] 还有绿色威权
[26:28] 那欧洲则是认为美国的右派
[26:30] 正在破坏全球秩序
[26:32] 双方都把彼此视为制度威胁以后
[26:35] 就开始分道扬镳了
[26:36] 我们看不只是针对波兰的部分
[26:39] 上礼拜美国已经正式宣布
[26:42] 5000人撤离德国
[26:44] 德国现在是整个北约
[26:46] 最大的美国盟友
[26:48] 一共有3.5万名的军队驻扎在德国
[26:51] 占整体欧洲兵力接近有一半
[26:53] 这一次至少撤出5000名的驻军
[26:57] 而且继续扩大规模
[26:58] 本身就是削减美国在欧洲
[27:01] 北非中东投射军力的重要枢纽
[27:03] 真正让欧洲担心的是什么
[27:05] 是美国现在不只是人走了
[27:07] 原本部署在德国的长程火力部队
[27:09] 包括战斧巡弋飞弹
[27:11] 还有暗音
[27:12] 极音速武器等系统
[27:14] 这些都会陆续的进行撤离
[27:16] 那大家会担心
[27:17] 这对于俄罗斯的阻吓力
[27:18] 肯定会出现实质性的下滑
[27:21] 当然川普的态度很明显
[27:23] 你要自己承担你自己的义务了
[27:25] 所以川普的撤军威胁
[27:26] 看起来就是在反映民意的反应
[27:28] 既然民调不希望我
[27:30] 尽可能的投注更多的精力和基金费在欧洲
[27:33] 那我就顺势的撤离
[27:35] 所以现在问题就在于
[27:36] 欧洲并没有完全独立取代这套体系的能力
[27:40] 过去几十年
[27:41] 欧洲长期就是建立在美国提供的核保护伞
[27:44] 长期的打击能力
[27:46] 还有情报网络和后勤的资源上
[27:48] 现在你要单靠欧洲
[27:50] 在短短一年
[27:51] 其实是有蛮大的挑战的
[27:53] 所以在这样效果底下
[27:54] 欧洲开始发现
[27:55] 过去因为当时提到
[27:57] 战斧巡弋飞弹撤离以后
[27:59] 欧洲现在缺乏能够直接打击
[28:02] 俄罗斯众生的深度精准打击能力
[28:04] 我们过去提过
[28:05] 这类的飞弹通常要到1000到3000公里左右
[28:08] 可以直接摧毁敌方的基地
[28:11] 或者飞弹港口
[28:12] 无人机工厂等关键设施
[28:14] 乌鲁战士已经表明了
[28:16] 你如果可以随时达到数千公里以外的
[28:19] 后勤和工业能力
[28:21] 对于双方的那种战局的僵局
[28:24] 是有蛮大的帮助的
[28:25] 至少大家都不敢乱动
[28:27] 因为随时可以达到后方
[28:28] 结果美军一撤离以后
[28:30] 大家都开始紧张了
[28:32] 这就是一个新的时代
[28:33] OK我们今天聊的范围很广
[28:35] 首先是美国已经开始进入了
[28:37] 高债务高利率
[28:39] 高利率又压低成长的循环
[28:41] 通膨没有真正解决
[28:42] 但市场因为已经沉迷在AI狂热了
[28:45] 如果股市也没涨多少
[28:46] 那再次压力很大
[28:48] 那就是股债双杀
[28:49] 但是基期都偏低
[28:50] 可是现在问题在于
[28:52] AI才从狂潮当中慢慢醒来
[28:54] 我们就要观察一下回调幅度有多大了
[28:56] 可是由于美中表面降温
[28:59] 实质进入了更深层的权力组合以后
[29:02] 美国现在也不会单方面的去定义规则
[29:04] 中国也不愿意再度退让
[29:06] 这是第二层的变化
[29:07] 第三层是美国过去靠军事
[29:09] 美元和全球盟友维持的世界
[29:11] 已经产生了重大裂痕
[29:13] 大家都先回去顾自己的选民
[29:15] 顾自己的终极选举了
[29:16] 在这样效果底下
[29:18] 这几个因素
[29:18] 都有可能是让股市开始有回调理由
[29:21] 可是我们的逻辑没有改变
[29:22] 由于资本支出循环仍然在向上
[29:25] 这些理由
[29:26] 就是未来能够让利空发酵
[29:29] 股价回调的重要理由
[29:30] 但是回调时
[29:31] 那个方向在右上角45度
[29:35] 我认为趋势仍然是确认的
[29:37] 因为目前看起来
[29:39] AI资本指数变化
[29:40] 没有遭受到任何影响
[29:41] 几乎可以确认了
[29:42] 二季度三季度财报出来
[29:44] 一定比一季度还要来得更为亮丽
[29:46] 台股下跌708点
[29:48] 打回到4万点了
[29:49] 那我们就回过头看
[29:51] 本轮行情从极度热情
[29:53] 一路推高到现在
[29:54] 台股在回调的过程当中
[29:56] 能不能顺势的洗掉质押呢
[29:59] 洗掉杠杆者
[30:00] 洗掉融资者呢
[30:01] 如果成功的洗掉
[30:03] 那就真的非常安全了
[30:04] 那其实就代表着
[30:06] 台股又进入到一个相对健康的格局
[30:08] 市场过度的热情
[30:10] 终于可以降温了
[30:11] 那我们左侧投资
[30:13] 已经有一两个月
[30:14] 没有进场的时机了
[30:15] 现在反而可以多做一些关注了
[30:17] 也提供给我们的投资朋友
[30:18] 如果喜欢我们节目
[30:19] 记得帮我们订阅按赞加分享
[30:20] 我们就明天早上八点半
[30:22] 早晨财经速决卓再相见
[30:24] 祝各位投资朋友看完顺利
[30:25] 操盘愉快
