[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 最长的连长记录
[25:19] 那你连在一起
[25:21] 根据野史记载
[25:24] 曹操当年最爱的宠妃就是周瑜
[25:26] 因为他知公谨
[25:28] 所以我们讲的不是每个人
[25:32] 他都追求巨额报仇
[25:34] 每个人追求的
[25:36] 不管是人生的理想
[25:37] 追求的投资方式
[25:39] 追求的财务独立
[25:40] 追求只是不被通膨吃掉
[25:42] 每个人追求的方式都不太一样
[25:44] 多数人其实真正的问题
[25:46] 是没有想清楚自己的目标
[25:47] 我们的目标是什么
[25:48] 我们的目标就是
[25:49] 藉由周期的变化
[25:50] 尝试的看看
[25:52] 是否有超越大盘的机会
[25:53] 在市场恐惧的时候扩大部位
[25:55] 在市场贪婪的时候
[25:57] 买入幅度稍微小一点
[25:58] 这个时候我们才可以了解说
[26:01] 为什么有时候会保守
[26:02] 有时候会激进
[26:03] 有时候进攻
[26:03] 有时候退缩
[26:04] 因为投资不是单一答案
[26:06] 它是一个目标策略风险的三者的匹配
[26:09] 好回过头来说
[26:10] 那现在整个半导体的竞争
[26:12] 刚刚讲到嘛
[26:13] 日本的问题
[26:14] 欧洲的问题啊
[26:15] 在为自己的利益捆绑
[26:16] 那美国也是如此啊
[26:18] 我们看到在最近啊
[26:19] 美国的晶片复兴的确遇到了一些卡关
[26:22] 可是呢
[26:23] 在当前位阶底下
[26:24] 美光正在大幅度的游说美国国会啊
[26:27] 持续推动新一轮的类晶片法案
[26:30] 这次叫做Match法案
[26:32] 强调对于中国半导体的出口管制
[26:34] 核心目标就是补上现行制度的漏洞
[26:37] 这次锁定目标很广
[26:39] 有长期存储
[26:41] 长江存储
[26:42] 中芯国际
[26:43] 一系列只要是陆细的半导体设备商
[26:47] 全面进行打压
[26:48] 要求硬材
[26:49] 要求颗粒研发
[26:50] 一致遵守规范
[26:52] 那背后逻辑很简单
[26:53] 美国现在要尝试的阻止中国复制太阳能产业
[26:56] 和电动车的崛起模式
[26:58] 要在记忆体市场形成垄断威胁
[27:00] 半导体
[27:01] 这些逻辑晶片是压下来了
[27:03] 现在中国就是成熟制程做得还不错
[27:05] 但是先进制程打不进来
[27:07] 记忆体美国开始紧张了
[27:08] 现在全球是由韩国厂主导
[27:10] 但中国的产能
[27:12] 尤其是长期存储扩张太快了
[27:14] 已经上升到国安威胁
[27:16] 所以美光已经直接很明显表态
[27:19] 游说美国政府立即采取MAC法案
[27:22] 来强调针对中国半导体
[27:24] 尤其是记忆体的出口限制
[27:27] 所以我们要知道
[27:28] 美光过去这十几年
[27:30] 技术没有到打遍天下了
[27:33] 但游说应该是全球最强的
[27:35] 美光上一次花这么大笔的资金
[27:38] 和团体来游说
[27:39] 美国政府是什么时候
[27:41] 1980年代
[27:42] 当时打击的对象叫做日本
[27:44] 最后搞了一个美日半导体协议
[27:47] 日本直接半导体掉下来30年
[27:49] 所以这件事情
[27:50] 使得大家多做些观察
[27:52] 是否会引发着川习会
[27:54] 新一轮的科技管制博弈呢
[27:56] 我们必须承认
[27:57] 美国在近期的确尝试着
[27:59] 要试图重振半导体制造
[28:01] 可是在川普的政策转向底下
[28:03] 进度还是有充满着不确定性
[28:05] 你像宾州
[28:06] 现在在哈伊股部分
[28:10] 诞生了全球第一批
[28:11] 电晶体的科技重症
[28:12] 那本来晶片法案
[28:14] 不住下有望可以复苏吗
[28:15] 但是第一
[28:15] 钱收回去了
[28:17] 第二
[28:17] AI所带动的晶片需求
[28:19] 在快速爆发底下
[28:20] 现在更需要的是
[28:22] 资料中心的高阶的光电晶片
[28:24] 那现在美国把制造能力
[28:26] 拉回到美国本土以后
[28:28] 政策方向仍然是摇摆的
[28:30] 补助机制还是没有特别稳定的
[28:32] 它凭借的是各大公司
[28:35] 是否有足够的游说能力
[28:37] 来影响到白宫政府
[28:38] 中国的半导体中心追赶得很快
[28:41] 所以当下之急
[28:43] 立即的做法
[28:43] 当然是采取一定程度的科技管制
[28:46] 我们看短短四年
[28:47] 中国半导体
[28:49] 其实是这几年才大幅度的扩产
[28:51] 前段的制程设备国产化率
[28:54] 2020年是7%
[28:56] 现在是21%
[28:58] 翻了快要三倍
[28:59] 在明显几个关键节点开始做突破
[29:03] 那你会发现
[29:03] 这个中方策略
[29:05] 这几年有比较大的转向
[29:06] 就是已经不再强调
[29:08] 去在先进制程上
[29:10] 做显著的突破
[29:12] 追上你的技术
[29:13] 他现在都是先拿下那些
[29:14] 可以掌控
[29:15] 可以放量
[29:15] 可以支撑产线的细节
[29:17] 比如来说
[29:18] 现在你很少看到中国政府强调
[29:21] 要去碰EUV
[29:22] 那种最困难的技术瓶颈
[29:23] 看起来已经有点半放弃
[29:25] 更深一层来看
[29:27] 它其实是一条完全不同的技术路线
[29:29] 现在先进制程的逻辑
[29:31] 它靠的不是EI-EUV
[29:33] 它用DUV多重曝光去接近高阶的节点
[29:36] 记忆体直接往3D NET或者DDR来扩展
[29:40] AI晶片先满足自己能用
[29:43] 能量产的需求
[29:44] 技术不够那算了
[29:46] 用量来填
[29:47] 所以设备上它有中维
[29:49] 有北方划创
[29:50] 晶圆制造有中心
[29:51] 记忆体有长江存储
[29:53] EDA有华大九天
[29:54] 封装有长电
[29:56] 材料有MSIG
[29:57] 逐步形成以后
[29:58] 很明显中方是在打造一个
[30:00] 可以运转的自主半导体系统
[30:02] 所以我们看说
[30:04] 这两年中方政策
[30:05] 似乎的确不再强调
[30:06] 什么时候追上最先进制程
[30:08] 它聚焦的是
[30:09] 我能不能打造自己的红色供应链
[30:12] 反正我要追上的技术
[30:13] 肯定要有一段时间
[30:14] 我先打造自己的供应链
[30:16] 从最上游到最下游
[30:18] 再说另外的
[30:20] 那我再慢慢思考
[30:21] 毕竟现在整个AI的大爆发
[30:24] 也不用担心
[30:25] 中国经济在短期内瞬间崩盘
[30:27] 灰犀牛讲很久了
[30:28] 我们现在说
[30:29] 现在的牛市叫什么
[30:30] 现在牛市叫做
[30:32] 供给受限牛市
[30:33] 在经济学上
[30:35] 它的概念就是
[30:35] 需求太强了
[30:37] 供给跟不上
[30:38] 所以永远无法泡沫破灭
[30:39] 因为现在大家都要AI的算力
[30:41] 那资料中心一定盖不够
[30:43] 到2028年以前都盖不完
[30:44] 所以永远不会泡沫破灭
[30:45] 因为泡沫破灭
[30:47] 永远都是算力过剩的时候
[30:48] 现在很难算力过剩
[30:50] 在这样的一个效果底下
[30:51] 我们看到中方的策略
[30:53] 形成了极大的转向
[30:54] 那是否会引发川习会
[30:56] 更进一步的留意呢
[30:58] 我们值得多多一些关注
[30:59] 好今天台北股市上了728点
[31:02] 38656
[31:05] 又39000了
[31:06] 所以行情就是这样
[31:08] 赚钱就是这么简单
[31:09] 不简单
[31:10] 你要先熬过今年的中东战事
[31:12] 你要熬过去年的关税战
[31:14] 你要熬过24年的日元套利平仓股灾
[31:18] 你要熬过2022年的乌二战事
[31:20] 你要熬过2020年的新冠疫情
[31:23] 每隔几个月就会发生这样的外部性
[31:26] 但你每一次都熬得过吗
[31:28] 我们直播那么长一段时间
[31:30] 每一次都陪你熬过了
[31:31] 那现在就享受获利奔跑的时机吧
[31:35] 什么中登问题
[31:36] 不在乎了
[31:37] 股市有涨
[31:37] 开心
[31:38] 全球经济开始从效率导向
[31:40] 转向安全导向
[31:42] 今天我们聊了欧洲各国和日本
[31:44] 同步加速军费和国防产业的投资
[31:47] 也象征着这个世界回到实力
[31:49] 和供应链来决定秩序的时代
[31:51] 那另外一方面
[31:52] 资本市场呈现不同的景象
[31:54] 美股台股在AI叙事底下
[31:56] 都创下历史新高了
[31:58] 大家都得了不会跌的病
[31:59] 其实并不是不会跌
[32:01] 是下跌有限的病
[32:03] 即便战争和通膨风险存在
[32:05] 市场依旧选择提前交易未来
[32:07] 看起来大家对于未来
[32:09] 是十分乐观的
[32:09] 在这样的一个背景底下
[32:11] 川习会很快就要登场了
[32:13] 科技的监管
[32:14] 供应链的脱钩
[32:16] 还有台湾议题
[32:17] 它其实一直以来
[32:18] 都是谈判桌上的临时议题
[32:19] 双方要开始提前布局了
[32:22] 你看最近开始出招了
[32:23] 一下美光说要限制中国
[32:25] 一下台海问题搬上来
[32:27] 一下又说可能有进一步的科技监管
[32:30] 或者大豆协议的采购
[32:31] 双方都在提前布局
[32:33] 反复的试探
[32:34] 筹码开始交换了
[32:36] 就跟伊朗美国之前谈判一样
[32:38] 有时候手上没有筹码
[32:40] 自己先创造一些筹码
[32:42] 先有冲突才有和谈
[32:44] 整个博弈已经从政策走向结构
[32:46] 从经济延伸到安全
[32:48] 从市场国家科技
[32:50] 在同一个棋盘上重新的排位
[32:52] 也给投资朋友多做一些思考
[32:54] 如果喜欢我们的节目
[32:54] 记得帮我们订阅按赞加分享
[32:56] 我们就明天早上半半
[32:57] 早晨财经数据解读再相见
[32:59] 祝各位投资朋友
[32:59] 看板顺利
[33:00] 操盘愉快
