[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 概況要進一步瞭解科技股財報在週四陸續公佈之後的表現
[24:23] 做多全球股市
[24:24] 每一年都會有不同的主流判斷
[24:27] 可是到今年為止
[24:28] 市場上就有點想不太出來
[24:30] 今年的風險來自於哪裡
[24:32] 今年的市場波動
[24:33] 以及市場的交易量在哪裡
[24:35] 你說還是期許頭嗎
[24:36] 它已經連續四個月都沒上漲了
[24:38] 所以這個時候就反而是
[24:40] 大家根據財報來做
[24:41] 下一次判斷的主因
[24:42] 真正的危機
[24:43] 也不說市場在爭論多空
[24:46] 而是有時候大家想不出來
[24:47] 那現在市場風險在哪裡
[24:49] 機會在哪裡
[24:50] 2000年網路泡沫的時候
[24:51] 大家想不出來的是
[24:52] 沒有獲利的公司
[24:54] 為什麼能夠一直漲
[24:55] 07年次貸風暴
[24:57] 市場沒想到的是
[24:58] 那些房價怎麼可能全國一起跌
[25:00] 21年以後
[25:01] 很多的投資人想不到
[25:02] 零利率的世界
[25:04] 怎麼突然就結束了
[25:05] 那26年也是一樣
[25:06] 就是我們好像有一點想象力
[25:08] 可是好像去年就透支了
[25:10] AI就是機器人之價值
[25:12] 你好像也想不出
[25:13] 更多那種
[25:14] AI轉化為生產力的動力
[25:16] 那接下來就要從這些財報機當中
[25:18] 來做新一輪的釋放
[25:20] 所以現在其實大家
[25:22] 我覺得最缺的是什麼
[25:23] 最缺的是想象力
[25:24] 我們總是要想下一步
[25:25] 物理性AI
[25:26] 再下一步是什麼
[25:27] 到底能夠對於生產力的提升會有多少
[25:29] 想不出來
[25:30] 所以其實最後還是一個
[25:32] 各大分析師
[25:33] 畫出餅的一個時刻
[25:35] 每一輪財報機都是如此
[25:36] 之前才看
[25:38] 忘記哪一個節目
[25:39] 全明星攻略還是什麼
[25:41] 一個意志節目
[25:42] 主持人問女來賓
[25:44] 男人用壯陽藥的目的是什麼
[25:47] 那女來賓
[25:48] 紅著臉想了很久
[25:50] 想不出來
[25:52] 主持人說
[25:53] Bingo
[25:54] 恭喜你答對了
[25:56] 現在到底市場的風險
[25:59] 你說到底是哪裡
[26:00] 比較有比較大的風險
[26:01] 估值極高
[26:02] 它沒有超過2000年
[26:04] 那你說現在的機會
[26:06] 物理性AI
[26:06] 好像已經講了幾個月了
[26:08] 想不出來
[26:09] 想不出來如何去解釋
[26:11] 當前有進一步的想象空間
[26:12] 所以有時候我們吹的
[26:14] 就是一個想象
[26:15] 吹的就是一個蹦蹦筆
[26:17] 那現在呢
[26:17] 科技股估值的回撥啊
[26:19] 反而讓大家覺得
[26:20] 好像這個夢稍微淡化一點點大家都在等具體的獲利出來再說嘛我們往下看整體臺灣景氣的位置其實也反映著跟美國一樣的概況過去由AI所拉動的景氣
[26:31] 已經讓景氣訊號燈
[26:33] 重新站回到38分
[26:34] 轉紅燈了
[26:36] 這一次有幾個變化
[26:37] 一個是製造業營業氣候測驗點
[26:40] 傳產開始復甦
[26:41] 從黃藍燈轉往綠燈
[26:43] 工業服務加班工時
[26:44] 已經轉為黃紅燈
[26:45] 批發零售業表現還是沒有特別好
[26:48] 環步的下滑
[26:49] 從紅燈進入到黃紅燈
[26:51] 那這些資料
[26:52] 其實就值得留意
[26:53] AEI開始不只拉動製造和出口
[26:55] 也開始重塑各大產業的競爭方式
[26:58] 很多的傳產
[26:59] 莫名其妙開始缺貨
[27:01] 開始報價上漲
[27:03] 你好不容易才等到今年
[27:05] 你已經產了兩三年
[27:06] 過去幾年都在擴存調整
[27:08] 現在就是試圖進行產業轉型升級的時候
[27:12] 所以我們看從領先指標
[27:13] 目前正在下滑
[27:15] 拖後腿的
[27:15] 一個是半導體的裝置進口值
[27:18] 這個很正常
[27:19] 因為去年已經進口很多了
[27:20] 有年增幅的變化
[27:21] 第二個是建築物的開工樓地板面積
[27:23] 那沒辦法
[27:24] 因為楊總裁還在打草房
[27:25] 工業服務的員工進入率
[27:28] 基本上也在下滑
[27:29] 就代表著整體市場
[27:30] 失業率已經低到一定程度
[27:32] 你也很難更低
[27:33] 它是積極效果
[27:34] 所以除了房市真的很差以外
[27:36] 基本上臺灣景氣
[27:37] 仍然在AI往下帶動的擴張空間
[27:41] 我們昨天才跟投資朋友提到
[27:42] 整個現在的漲價潮
[27:44] 已經從AI轉往非AI來做前進
[27:47] 這一波終端產品的漲價潮
[27:49] 就是受到這種非AI的缺貨潮
[27:52] 使得市場上進一步缺貨影響
[27:54] 如果我們看過去硬體產業
[27:56] 常常只有兩到三年的高成長
[27:58] 然後就要做修正
[27:59] 很少有科技盈餘連續四年的
[28:01] 那現在好不容易
[28:03] 居然牛市進入到第四年
[28:06] 應該講牛市進入第三年轉到第四年
[28:09] 而科技股的庫存週期
[28:10] 居然有些產業AI產業
[28:13] 居然連續四年都還在擴張
[28:16] 它完全沒有反映正常的消費性電子迴圈
[28:18] 而且嘗試的把一些
[28:20] 過去跟消費性電子迴圈
[28:22] 極度聯動的製造業
[28:23] 開始往上拉動
[28:24] 所以從AI的漲價潮
[28:26] 往現在細晶圓
[28:28] 風策
[28:28] 太陽能
[28:29] 塑化報價也在上漲
[28:31] 鋼鐵也在上漲
[28:32] 最近大家觀察到了
[28:33] 貨櫃運價最近也開始爆衝了
[28:36] 所以使得終端商品
[28:37] 進一步的漲價
[28:38] 最後就變成PC
[28:40] 華碩先宣佈漲價
[28:42] 宏基戴爾聯想惠普跟進
[28:44] 現在三星vivo預估評估中
[28:47] 下半年也即將調漲價格
[28:48] Sony的PS6預估因為缺貨
[28:51] 可能要到2029年
[28:52] 要不然也要漲價
[28:53] 甚至直接反映到民間
[28:54] 我們看在最近
[28:56] 不管是高爾夫球球陣的漲價潮
[28:58] 還是Buffet的漲價潮
[28:59] 餐飲成本的壓力都在陸續浮現
[29:02] 因為人力也非常貴
[29:03] 現在我們看
[29:05] 想想
[29:07] 續集果然會
[29:09] 享時天堂
[29:10] 宣佈在2026年全數進行漲價潮
[29:13] 平均漲幅也不多
[29:14] 大概是3%到5%
[29:16] 不過已經跑贏通膨了
[29:17] 因為臺灣通膨現在只有1.3%
[29:19] 包括旗下的新業集團的新業日本料理
[29:23] 基本上也陸續開始進行價格調漲
[29:26] 島嶼現在是調整用餐時段
[29:28] 來維持價格不變
[29:29] 可是遲早要上漲了
[29:30] 現在唯一沒有上漲是漢來海港
[29:32] 所以大家要吃要趁早
[29:34] 我猜大概下半年遲早也要調漲
[29:36] Costco今年也調漲會員費
[29:38] 你說這種市場的傳導
[29:40] 不斷不斷的交織而成
[29:42] 環境就慢慢的把整個市場的總體價格給推高了
[29:46] 尤其是一個到處都在漲價的氛圍環境裡頭
[29:50] 人就會不自覺的內化成合理行為
[29:53] 那房東最常乾的事情是什麼
[29:55] 那個水費多100
[29:57] 電費多200
[29:59] 那房租漲3000
[30:00] 很自然嘛
[30:01] 沒什麼問題啊
[30:03] 蔥油餅老闆說
[30:04] 蔥油餅要漲價
[30:05] 因為豬肉漲價了
[30:07] 不是啊
[30:08] 你蔥油餅裡面沒有豬肉啊
[30:10] 因為我要吃豬肉嘛
[30:11] 所以重點早就已經不是成本有沒有真的上升了
[30:14] 整個環境都告訴你
[30:15] 現在不漲價才奇怪呢
[30:16] 這就是臺股現在
[30:17] 蠻有趣的市場產業邏輯
[30:20] 當這種集體的預期心理形成
[30:23] 個體的環境
[30:24] 遲早也會被牽著走
[30:26] 漲價從理性計劃來看
[30:28] 變成一個被氣氛
[30:29] 推著前進的本能反應
[30:31] 這個就是環境影響人
[30:33] 整個臺股的大輪廓
[30:35] 開始往實體民間來做傳送
[30:37] 環境對於人的影響
[30:38] 是越來越大的
[30:39] 昨天才看到一個網友分享
[30:41] 那孫子是牙醫嗎
[30:44] 有一天奶奶
[30:45] 來洗牙
[30:47] 哇一洗
[30:47] 奶奶你怎麼八十歲了
[30:49] 還是滿口蛀牙
[30:51] 因為你爺爺有糖尿病
[30:53] 環境影響人
[30:57] 很多時候都是大環境的影響
[30:59] 不是說企業突然變貪婪
[31:01] 就大環境變了
[31:02] 原物料也在漲
[31:03] 能力
[31:04] 政策方向同步級
[31:05] 企業也沒有太多選擇
[31:07] 你只能跟著調漲價格
[31:09] 策略或者解構
[31:10] 你看到的是企業在變
[31:11] 其實整個大環境已經改變了
[31:14] 因為爺爺有糖尿病
[31:16] 不能喝太多糖
[31:18] 所以奶奶就喝很多果汁
[31:20] 那也跟著蛀牙了
[31:21] 這沒辦法
[31:21] OK
[31:22] 我們看一下臺北股市點位
[31:23] 繼續上漲218點
[31:25] 算32535點
[31:27] 臺股這種財富效應
[31:29] 這種漲價潮
[31:30] 你稍微股市漲了一點
[31:31] 你不會稍微吃好吃一點嗎
[31:33] 你稍微吃好吃一點
[31:34] 那不會讓餐廳有更多獲利空間
[31:37] 讓它有更進一步調漲價格的底氣嗎
[31:39] 這是我們看到的真實現象
[31:41] 甚至我們可以觀察到
[31:43] 一路往下傳導
[31:44] 現在在各大海外旅行團
[31:46] 除了日本
[31:47] 去年是真的基期太高
[31:48] 開始陸續進行團費調降以外
[31:50] 其他像美加
[31:51] 歐洲
[31:52] 中亞非
[31:53] 紐澳
[31:54] 中南半島
[31:55] 陸續都在進行適度的價格調升
[31:57] 這件事情其實也就意味著
[31:59] 大家會根據當前的總體環境
[32:02] 來決定調高調低
[32:03] 管你有沒有什麼成本壓力
[32:04] 先調漲再說
[32:06] 而且反映到終端產品物價的上漲
[32:08] 都會提前反映在原物料上漲之前
[32:11] 我就是判斷你
[32:12] 我能力一定會上漲
[32:13] 那我先把票價給上漲
[32:15] 所以有沒有可能
[32:17] 藉由這種漲價潮來拖動
[32:19] 在去年低基期的零售股
[32:21] 去年臺灣零售和百貨類股
[32:23] 這營收大部分都是衰退
[32:25] 慘不能賭
[32:26] 正常來講
[32:27] 營收類股至少要反應通膨
[32:29] 漲個1% 2%
[32:30] 結果營收在去年是全部都在衰退
[32:32] 去年還普發1萬現金
[32:34] 還是救不動整體買氣
[32:35] 那零售業到今年為止
[32:37] 我們就看
[32:38] 也許就藉由這種結構性的方式
[32:40] 一路推高到現在
[32:41] 所以這就代表著
[32:43] 今年的內需消費兩大重點
[32:45] 一個就是全面性的漲價潮
[32:47] 多快反映到終端市場
[32:48] 那第二個呢
[32:49] 就是沉積已久的零售業
[32:51] 是受到房地產市場疲憊的影響
[32:54] 去年全臺灣的總銷金額
[32:56] 減少了兩成九
[32:57] 戶數減少兩成七
[32:59] 保家個案數
[33:00] 已經快要跌破一萬戶數
[33:02] 整體個案數在去年
[33:04] 大概也跌了四成二左右
[33:06] 那當然了
[33:07] 如果我們從全臺灣十大建案的
[33:09] 指標推案量來看的話
[33:10] 保家大概是一家抵全家
[33:13] 這個從總銷金額排行
[33:14] 保家是1751
[33:16] 大概可以把第二名
[33:18] 第三名
[33:18] 第四名全部加起來了
[33:20] 但保家通常
[33:22] 2025年你看
[33:23] 那價格房價
[33:24] 漲到現在也沒有跌多少
[33:25] 人家講說疫情後的保家催淚時
[33:28] 第一年拒絕保家
[33:30] 第二年執以保家
[33:32] 第三年接受保家
[33:34] 第四年研究保家
[33:36] 第五年買不起保家了
[33:38] 疫情之後
[33:39] 那房價也漲了蠻多了
[33:41] 這種財富效果
[33:42] 它就會持續推升到現在
[33:43] 不過呢
[33:44] 這就是整個大環境的影響
[33:46] 孟母就是知道
[33:47] 大環境會影響到孟子
[33:49] 孟母才常常要搬家嘛
[33:51] 而且還炒了三次房
[33:52] 孟母最有名的名言是什麼
[33:55] 三句話嘛
[33:56] location location location
[33:58] 那保家的location都很不錯嘛
[34:00] OK我們今天聊很廣
[34:02] 總結來看
[34:02] 今天聊的三條線
[34:04] 講同一件事情
[34:05] 世界開始去單點的依賴
[34:07] 首先歐盟印度這一條超大型的協議
[34:10] 從加拿大到印度各自找夥伴
[34:12] 中等強權開始一起抱團
[34:15] 他不是要跟美國翻臉
[34:16] 要把談判籌碼掌握到自己手上
[34:18] 美國不再是唯一選項
[34:20] 第二美國景氣之所以還拖得住
[34:22] 股市創高
[34:23] 並不是民眾信心多大
[34:24] 而是AI投資加科技巨頭來託底
[34:27] 等於用一個高資本的密集新引擎
[34:29] 先把總體成長給撐住
[34:31] 但是市場中七巨頭的股價
[34:33] 看得出來大家有點謹慎
[34:35] 第三是美國影響到臺灣之後
[34:38] 另外一層傳導
[34:39] AI把上游的產能資源全部吸走了
[34:41] 缺貨一路外溢到漲價潮
[34:43] 零元件到終端到出口到內需
[34:45] 被迫調漲
[34:47] 個體的分化感覺更明顯
[34:48] 今年我們就看多快
[34:50] 因為已經傳導到PC了
[34:52] 我就不信完全不會傳導到實體零售民間
[34:56] 或者影響到餐飲業
[34:57] 看起來很快就會反映
[34:59] 整個26年的核心
[35:00] 也不是單押多空
[35:01] 而是看清楚誰被AI拖住了
[35:04] 新的貿易體系形成了
[35:06] 誰在替漲價買單
[35:07] 給投資朋友做一些思考
[35:08] 如果喜歡我們節目
[35:09] 記得幫我們訂閱按贊加分享
[35:10] 我們就明天早上半點半
[35:11] 早晨財經說起來
[35:12] 再相見
[35:13] 祝各位投資朋友
[35:13] 開盤順利
[35:14] 操盤愉快
