[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 我們後續要觀察的幾個方向
[25:36] 重點在於對於主要出口層面
[25:38] 美國的出口已經開始全面性跟中國拉開距離
[25:42] 目前佔臺灣總出口新高達32%
[25:45] 中國市場僅僅只有24%
[25:47] 美國已經成為臺灣最大客戶
[25:49] 其實以前一直以來都是
[25:51] 但是以前都是轉口貿易
[25:52] 臺灣生產領主建進中國
[25:55] 然後運美國
[25:56] 現在由於國安問題的原因
[25:59] 都是由臺灣直接組裝
[26:00] 或者藉由墨西哥進入到美國市場
[26:03] 如果我們細看
[26:04] 主要國家在去年一整年
[26:07] 一直到今年元月份的出口年增幅
[26:09] 第一臺灣在去年出口年增幅是34.9%
[26:13] 遠遠高於香港的17.8%
[26:16] 新加坡的12%
[26:17] 中國的5.5%
[26:18] 日本的4.1%
[26:19] 南韓的3.8%
[26:20] 美國的5.7%
[26:21] 德國的4.2%
[26:22] 那去年大家都會想
[26:24] 我們的去年基期已經這麼高了
[26:26] 今年應該會有基期效應吧
[26:28] 結果今年元月份還有69.9%
[26:30] 這個有點太離譜了
[26:32] 南韓也有33.9%
[26:33] 但只有臺灣的一半
[26:34] 從這件事情也看得出來
[26:36] 一個新的出口產業鏈邏輯
[26:39] 其實已經逐步到來
[26:40] 臺灣的一個出口增長幅度
[26:43] 可能要好幾年都不會迎來淡季了
[26:46] 看起來就是全面性的出口增長
[26:49] 一直到本輪的AI算力過剩
[26:51] 或者我們講的泡沫破滅為止
[26:53] 與此同時
[26:54] 美國已經成為臺灣第一大的出口國
[26:57] 1980年代也是如此
[26:58] 那也導致傳產正在極力的轉型
[27:01] 現在一方面有臺美關稅談判協議的簽訂
[27:04] 另外一方面
[27:05] 臺塑三寶在最新簽署了
[27:08] 新臺幣1000億元的連帶案
[27:10] 這是臺塑集團十年來最大規模的融資
[27:13] 市場的解讀是這筆資金
[27:15] 它不是用來單純週轉或者進行還舊
[27:18] 而是為產業的轉型來鋪路
[27:20] 這一次三家公司貸款都綁地ESG永續
[27:24] 可以享用利率的小幅減碼
[27:26] 整體市場預估
[27:28] 整體融資成本大概低於3%
[27:31] 那種種效果底下
[27:32] 這一次臺塑已經正式宣佈
[27:34] 要用10年來最大規模的資本支出資金
[27:37] 來轉型進行AI佈局
[27:40] 那到底要AI佈局什麼呢
[27:41] 我們後續再來做一些觀察
[27:43] 不過呢
[27:43] 臺灣的傳產看起來也是動起來了
[27:46] 最後啊
[27:47] 我們看到
[27:47] 不管是臺灣七巨頭還是軟體股硬體股
[27:51] 大家都綁在這條AI列車上
[27:53] 所以AI的引誘之外
[27:54] 最後就變成了
[27:56] 我們至少要先確認
[27:57] 七巨頭賺的錢不能少
[27:58] 在AI還沒有造成生產力大爆發之前
[28:02] 科技巨頭的
[28:03] 尤其是現在Google作為領頭羊
[28:05] 它的廣告收入先不能夠減少
[28:07] 當然有些人會擔心
[28:09] 科技巨頭的廣告
[28:10] 真的能夠抵抗景氣迴圈的衰退嗎
[28:13] 市場上現在最擔心的AI熱潮
[28:16] 會不會變泡沫
[28:16] 大型科技公司要先擔心
[28:18] 數位廣告如果在未來景氣稍微滑落
[28:22] 消費沒有這麼好
[28:23] 它能不能撐得住持續性的開銷
[28:25] 現在數位廣告已經成為全球廣告支出的大宗
[28:28] Meta幾乎全部收入
[28:30] Google的大部分收入
[28:32] 還有電商軟體巨頭一大塊都來自於廣告
[28:35] 兩次衰退期間
[28:36] 其實線上廣告表現都還算是穩得住
[28:39] 所以很多人認為
[28:40] 如果只要廣告收入穩得住
[28:43] 等於去景氣迴圈化
[28:45] 那基本上這些人就可以一直把錢給投下去
[28:48] 那我個人的看法是
[28:49] 的確歷史經驗來看
[28:52] 現在過去兩輪景氣迴圈
[28:54] 在廣告支出收入都很明顯更為抗拒衰退
[28:58] 但是最終其實還是會被景氣下滑給打臉
[29:01] 就算撐住了
[29:02] 股價不代表不會遭遇到系統性的賣壓
[29:05] 所以現在很多人看到的是科技巨頭的大局的發展
[29:10] 或者資本支出的暴衝
[29:12] 資料中心的狂蓋
[29:13] AI投資
[29:14] 金額持續創高
[29:16] 很多人會理解成
[29:17] 那就是需求一定要報
[29:18] 獲利一定會來
[29:19] AI一定會全面的兌現
[29:21] 可是從企業財務角度來看
[29:23] 大發債
[29:24] 其實只是把班表先拍好
[29:26] 先把錢給借到位
[29:28] 把算力和基礎建設給建起來
[29:30] 不代表說短期內
[29:31] 就會有對應的現金流的回收
[29:33] 所以AI的投資
[29:34] 現在正處於重資本開支
[29:37] 營收驗證模式的過渡階段
[29:39] 巨頭現在先發債
[29:41] 去搶算力
[29:42] 搶供應鏈的位置
[29:43] 本質上現在是卡位戰
[29:45] 還不是收割期
[29:46] 對於投資人來說
[29:47] 真正省市的重點
[29:49] 他不會是看到動作就興奮
[29:50] 而是我們要拆開來三件事
[29:53] 誰在借錢
[29:54] 借來做什麼
[29:55] 多久能夠轉化為自由現金流
[29:58] 不然你就容易把融資行為
[30:00] 誤解圖成獲利保證
[30:02] 情緒先上來了
[30:04] 可是報表沒有跟著上來
[30:06] 所以重點
[30:07] 我們還是看的是預期管理
[30:08] 我們容易用自己的取代
[30:10] 或去填補對方還沒有說完的話
[30:13] 把模糊的訊號
[30:14] 自動腦補成自己的好訊息
[30:16] 過兩天就是西洋情人節了
[30:18] 那網路上就說
[30:19] 那有一個漂亮的女同事
[30:21] 支支吾吾的
[30:23] 跑來問一個男的
[30:24] 你接下來2月14號情人節有空嗎
[30:28] 男的爽了一下
[30:30] 有啊有啊當然有啊
[30:32] 然後就跟他換班了
[30:33] 所以重點在於預期管理
[30:35] 有時候現實
[30:37] 往往只是對方在處理他的需求
[30:39] 不是你的劇情
[30:40] 你放在投資市場也是如此
[30:43] 我們很容易用自己的期待
[30:44] 去填補接下來的敘事
[30:46] 他們只是在借錢
[30:47] 還沒有開始賺錢
[30:49] 所以這的確是一個
[30:50] 長期值得擔憂的方向
[30:52] 可是至少
[30:53] 不管是臺灣的出口業
[30:55] 七巨頭當前的營收
[30:56] 七巨頭當前的資本支出
[30:59] 軟體股接下來的前景
[31:01] 是否能夠順勢反彈成功
[31:03] 硬體股是否能夠保持
[31:04] 接下來的多頭
[31:05] 大家都綁在同一條列車繩上
[31:08] 所以我們細看
[31:09] 接下來這個七巨頭
[31:11] 以及融資的管道
[31:12] 我們接下來幾個季度
[31:14] 會持續的觀察
[31:15] 但總結來說
[31:16] 今天聊的範圍也很廣
[31:17] 重點在於
[31:18] 我們是不是都在這條列車上了
[31:20] 答案是真的
[31:21] 那目前美國股市的本益比回撥夠不夠呢
[31:25] 看起來在很多產業
[31:26] 回撥幅度已經算是蠻大的
[31:28] 所以即便股價看起來
[31:30] 好像下跌幅度沒有這麼多
[31:32] 是不是代表著價值投資的空間
[31:34] 已經喪失了呢
[31:35] 這是不一定的
[31:36] 也給投資朋友做些思考了
[31:38] 臺北股市上漲381點
[31:39] 刷了32,785點
[31:41] 臺積電做在1845塊
[31:44] 我們後續再跟投資朋友追蹤
[31:46] 因為明天就是封關了嘛
[31:47] 到底臺股要如何迎接
[31:49] 當前爆股過年的問題呢
[31:51] 給投資朋友做一些參考
[31:52] 如果喜歡我們節目
[31:53] 記得幫我們訂閱按贊加分享
[31:54] 我們就明天早上半半
[31:55] 早晨財經速解讀
[31:57] 再相見
[31:57] 祝各位投資朋友看盤順利
[31:59] 操盤愉快
